Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-15.6357	-1.68794	-4.08044	-5.05146	-4.81589	-1.68794	-4.08044	-5.05146	-4.81589	
-15.0883	-2.09964	-3.93223	-4.24053	-4.81589	-2.09964	-3.93223	-4.24053	-4.81589	
-15.2655	-1.9885	-3.54391	-4.41455	-5.31852	-1.9885	-3.54391	-4.41455	-5.31852	
-16.3937	-1.7832	-4.24053	-5.05146	-5.31852	-1.7832	-4.24053	-5.05146	-5.31852	
-15.7188	-2.21733	-4.08044	-4.60517	-4.81589	-2.21733	-4.08044	-4.60517	-4.81589	
-15.7804	-1.88322	-4.24053	-4.60517	-5.05146	-1.88322	-4.24053	-4.60517	-5.05146	
-17.0764	-2.15762	-4.24053	-5.05146	-5.62682	-2.15762	-4.24053	-5.05146	-5.62682	
-14.9355	-2.15762	-3.79424	-5.05146	-3.93223	-2.15762	-3.79424	-5.05146	-3.93223	
-14.9355	-2.15762	-3.79424	-5.05146	-3.93223	-2.15762	-3.79424	-5.05146	-3.93223	
-14.9592	-2.0433	-3.93223	-5.31852	-3.66516	-2.0433	-3.93223	-5.31852	-3.66516	
-15.5505	-1.83258	-3.79424	-4.60517	-5.31852	-1.83258	-3.79424	-4.60517	-5.31852	
-13.9117	-2.21733	-3.32146	-5.05146	-3.32146	-2.21733	-3.32146	-5.05146	-3.32146	
-13.9117	-2.21733	-3.32146	-5.05146	-3.32146	-2.21733	-3.32146	-5.05146	-3.32146	
-15.9239	-2.21733	-4.41455	-5.62682	-3.66516	-2.21733	-4.41455	-5.62682	-3.66516	
-15.4798	-1.9885	-3.93223	-5.31852	-4.24053	-1.9885	-3.93223	-5.31852	-4.24053	
-15.4798	-1.9885	-3.93223	-5.31852	-4.24053	-1.9885	-3.93223	-5.31852	-4.24053	
-16.0994	-1.93517	-4.24053	-5.31852	-4.60517	-1.93517	-4.24053	-5.31852	-4.60517	
-16.0994	-1.93517	-4.24053	-5.31852	-4.60517	-1.93517	-4.24053	-5.31852	-4.60517	
-16.1839	-2.15762	-4.60517	-4.81589	-4.60517	-2.15762	-4.60517	-4.81589	-4.60517	
-15.9854	-1.64196	-5.05146	-4.24053	-5.05146	-1.64196	-5.05146	-4.24053	-5.05146	
-14.5225	-1.93517	-3.93223	-4.24053	-4.41455	-1.93517	-3.93223	-4.24053	-4.41455	
-14.8352	-2.40795	-3.93223	-4.41455	-4.08044	-2.40795	-3.93223	-4.41455	-4.08044	
-14.2775	-1.7832	-3.02826	-5.05146	-4.41455	-1.7832	-3.02826	-5.05146	-4.41455	
-14.2775	-1.7832	-3.02826	-5.05146	-4.41455	-1.7832	-3.02826	-5.05146	-4.41455	
-14.9044	-1.9885	-3.93223	-5.05146	-3.93223	-1.9885	-3.93223	-5.05146	-3.93223	
-14.5355	-1.93517	-4.24053	-4.81589	-3.54391	-1.93517	-4.24053	-4.81589	-3.54391	
-13.4113	-2.0433	-3.21888	-4.60517	-3.54391	-2.0433	-3.21888	-4.60517	-3.54391	
-12.9665	-1.83258	-3.1213	-3.93223	-4.08044	-1.83258	-3.1213	-3.93223	-4.08044	
-12.9665	-1.83258	-3.1213	-3.93223	-4.08044	-1.83258	-3.1213	-3.93223	-4.08044	
-14.5084	-1.83258	-3.54391	-5.05146	-4.08044	-1.83258	-3.54391	-5.05146	-4.08044	
-15.5448	-2.0433	-4.08044	-5.62682	-3.79424	-2.0433	-4.08044	-5.62682	-3.79424	
-14.4018	-1.9885	-3.66516	-5.31852	-3.4296	-1.9885	-3.66516	-5.31852	-3.4296	
