D_Dmin[0]	D_Dmin[1]	D_Dmin[2]	D_Dmin[3]	
-0.238267	-0.420866	-0.651556	-0.463526	
-0.125028	-0.907865	-0.532846	-0.523134	
-0.753102	-0.131298	-0.40218	-0.0191736	
-0.381827	-0.723595	-0.331723	-0.588161	
-0.792705	-0.315568	-0.637038	-0.376823	
-0.0755251	-0.315568	-0.320193	-0.160066	
0.233252	-0.434028	-0.254006	-0.100458	
-0.57489	0.342539	-0.558894	-0.0462683	
-0.696173	-0.420866	-0.717317	0.0566914	
0.114444	-0.723595	-0.638319	-0.447269	
-0.562514	-0.302406	-0.712192	-0.409337	
-0.808175	-0.104974	-0.500393	-0.100458	
-0.78466	-0.315568	-0.637892	-0.447269	
-0.194952	-0.723595	-0.756175	0.0241778	
-0.329849	0.237242	-0.61099	-0.517715	
-0.608924	-0.328731	-0.26767	-0.360566	
-0.367595	-0.223433	-0.692123	-0.458107	
-0.678228	-0.907865	-0.361187	-0.273863	
-0.102752	0.131945	-0.203618	-0.447269	
-0.780948	-1	-0.748489	-0.718216	
-0.582316	-0.0391633	-0.455984	0.522719	
-0.175769	0.118782	-0.617822	-0.425593	
-0.65162	-0.157623	-0.733116	-0.512296	
-0.616968	-0.394541	-0.489718	-0.39308	
-0.706074	-0.0523255	-0.544803	0.338476	
-0.671422	-0.605136	-0.737813	-0.458107	
-0.362026	-0.486676	-0.390651	-0.143809	
-0.580459	0.40835	-0.403888	-0.122133	
-0.867579	-0.249758	-0.429936	-0.203417	
-0.77971	-0.591973	-0.699382	-0.176323	
-0.0569614	-0.81573	-0.294145	0.110881	
-0.858297	-0.802568	-0.480324	-0.328053	
-0.625631	-0.0786498	-0.374851	-0.13839	
-0.167106	-0.0523255	0.0893136	-0.311796	
-0.553851	-0.591973	-0.244185	-0.409337	
-0.314998	0.460998	-0.678031	0.175908	
-0.563133	-0.499838	-0.624227	-0.571905	
-0.702361	-0.907865	-0.587077	-0.192579	
-0.231461	-0.486676	-0.524733	-0.360566	
-0.253737	-0.710433	-0.574694	-0.403918	
-0.808175	-0.407703	-0.562737	-0.902459	
-0.658427	-0.26292	-0.465805	-0.496039	
-0.566846	-0.539325	-0.40645	-0.739891	
-0.444944	0.421512	-0.455557	-0.95123	
-0.347175	-0.802568	-0.608428	0.083786	
-0.619443	0.079296	-0.506371	-0.322634	
-0.0650057	-0.473514	-0.455984	-0.100458	
-0.633056	0.355701	-0.119923	-0.512296	
-0.539	0.355701	-0.40218	-0.674864	
-0.73887	-1	-0.781796	-0.268444	
-0.428855	-0.157623	-0.423104	-0.382242	
-0.737014	-0.44719	-0.564872	-0.523134	
0.0197688	-0.81573	-0.161344	-0.143809	
-0.740726	0.47416	-0.871896	-0.902459	
-0.483928	0.355701	-0.686998	-0.160066	
-0.535906	-0.434028	-0.0221371	-0.0842008	
-0.715975	0.671593	-0.697674	-0.414756	
-0.766097	-0.618298	-0.077649	-0.349728	
-0.801368	-0.81573	-0.709203	-0.458107	
-0.438756	-0.420866	-0.0212831	-0.826594	
-0.383683	0.0398095	-0.640881	-0.322634	
-0.425142	0.711079	-0.544376	0.143394	
-0.0631493	-0.0786498	-0.590493	-0.490621	
-0.665852	-0.276082	-0.690415	-0.100458	
-0.363263	0.000323099	-0.576829	-0.252188	
-0.599023	-0.710433	-0.332577	-0.739891	
-0.402247	-0.526163	-0.28774	-0.295539	
-0.10399	-0.341893	-0.408158	-0.528553	
-0.636769	-0.0786498	-0.518755	-0.39308	
0.180036	-0.565649	-0.682301	-0.707378	
-0.383065	-0.236596	-0.315496	-0.463526	
0.146621	0.434674	-0.661378	-0.349728	
-0.705455	-0.513001	-0.584942	-0.718216	
-0.466602	-0.355055	-0.569143	-0.902459	
-0.469077	-0.907865	-0.489718	-0.44185	
-0.387396	-0.012839	-0.495269	-0.496039	
-0.571177	0.184593	-0.363749	-0.815756	
0.100212	-0.486676	-0.37357	-0.853689	
-0.397916	0.118782	-0.534981	-0.636932	
-0.526006	-0.605136	-0.283043	-0.0408494	
-0.295815	-0.539325	-0.593482	-0.620675	
-0.352125	-0.63146	-0.557613	0.192165	
-0.485165	0.131945	-0.249309	-0.44185	
-0.363263	-0.63146	-0.191235	0.322219	
-0.533431	-0.289244	-0.163479	-0.674864	
-0.306334	-0.565649	-0.549073	-0.501458	
-0.370689	-0.710433	-0.585796	-0.425593	
-0.392965	-0.539325	-0.355635	-0.387661	
-0.392965	-0.473514	-0.41072	0.349314	
-0.638626	-0.605136	-0.328733	-0.273863	
-0.536525	0.145107	-0.451287	-0.00291684	
-0.543332	0.316215	-0.686998	-0.067944	
-0.562514	-0.328731	-0.510642	-0.295539	
-0.643576	-0.210271	-0.505944	-0.452688	
-0.857059	-0.197109	-0.389369	-0.00291684	
-0.297671	0.197755	-0.488437	-0.815756	
-0.283439	-0.170785	-0.767704	-0.338891	
-0.0773815	-0.407703	-0.506371	-0.458107	
-0.70793	-0.591973	-0.595617	-0.360566	
-0.771666	-1	-0.496977	-0.853689	
0.356392	-0.381379	-0.482032	-0.59358	
-0.352125	-0.907865	-0.54096	0.230097	
-0.596548	-0.44719	-0.393213	-0.300958	
-0.630581	-0.276082	-0.37357	-0.95123	
-0.780948	-0.381379	-0.446589	0.105462	
-0.767953	-0.157623	-0.34069	-0.598999	
-0.870054	-0.341893	-0.548646	-0.425593	
-0.611399	-0.63146	-0.534127	-0.653188	
-0.50311	-0.63146	-0.434206	-0.804919	
