ZengE[0]	ZengE[1]	ZengE[2]	ZengE[3]	
-0.226549	-0.962659	-2.35055	-1.36561	
0.945582	1.6378	-2.17854	-0.281024	
-2.13375	-1.15529	0.0574965	-1.13727	
-1.33908	-2.0221	-1.65025	0.289809	
-2.25295	0.385726	-1.07281	-1.59394	
-0.00801628	-0.38478	-1.31853	-0.680607	
0.0913169	-1.63685	-0.937665	0.0614761	
-1.93508	0.000472852	-1.67482	0.403976	
-2.09401	-1.54054	-2.32598	-0.56644	
-0.186816	-1.44423	-2.09254	-1.19436	
-1.73641	-1.44423	-1.93283	-0.56644	
0.42905	-0.770033	-1.36767	-0.851856	
-1.27948	0.000472852	-1.9574	-0.851856	
-1.06095	-0.866346	-1.06052	2.51606	
-0.862282	-0.192154	-1.89597	-1.70811	
-0.445082	-1.44423	-1.23253	-1.19436	
-0.524549	-0.67372	-1.89597	-1.30852	
-1.99468	-2.21473	-1.24481	-0.39519	
-0.961615	-0.770033	-0.544515	-1.42269	
-1.35895	-2.31104	-0.298796	-0.509357	
-1.18015	-0.67372	-0.605944	0.232726	
-0.365616	2.02305	-1.79768	-1.42269	
-1.69668	-0.770033	-1.18338	-1.65102	
-1.77615	-1.34791	-2.01883	-0.966023	
-2.09401	-0.577406	-1.93283	-0.109774	
-2.01455	-0.577406	-2.10483	-1.65102	
-1.33908	0.867292	-1.57653	-0.166857	
-0.921882	0.289413	-1.1711	0.0614761	
-2.35228	-0.67372	-1.4291	-0.452273	
-2.23308	0.674665	-0.67966	-0.73769	
-0.365616	0.193099	-1.18338	0.118559	
-1.77615	-2.0221	-1.69939	-0.966023	
-0.902015	2.11936	-1.24481	-0.452273	
-1.16028	-0.962659	-0.372511	-0.90894	
-1.73641	0.482039	-1.3431	-1.47977	
-0.464949	1.44517	-1.76082	-0.452273	
-0.842415	-1.73317	-1.12195	-1.70811	
-1.89535	-2.21473	-1.96968	-1.36561	
-1.39868	-0.67372	-2.11712	-1.65102	
-0.961615	0.385726	-1.53968	-0.39519	
-2.23308	-1.63685	-2.1294	-2.45019	
-1.87548	0.193099	-1.45367	-1.59394	
-1.71655	-0.67372	0.155784	-1.08019	
-1.37881	0.578352	-1.55196	-0.22394	
-1.10068	-1.2516	-1.30624	0.632309	
-1.85561	-0.38478	-1.76082	-1.59394	
-0.504682	-1.54054	-1.80997	-0.39519	
-1.85561	2.02305	-0.839377	-1.76519	
-1.53775	1.44517	-1.44139	-0.966023	
