Hw[0]	Hw[1]	Hw[2]	Hw[3]	
0.848276	0.933333	0.949275	0.969697	
0.931034	0.777778	0.971014	0.954545	
0.878161	0.911111	0.974638	0.969697	
0.933333	0.911111	0.985507	0.939394	
0.912644	0.955556	0.985507	0.924242	
0.937931	0.955556	0.978261	0.984848	
0.905747	0.911111	0.98913	0.954545	
0.866667	0.911111	0.985507	0.969697	
0.783908	0.955556	0.985507	0.984848	
0.937931	0.844444	0.985507	0.893939	
0.864368	0.866667	0.98913	0.969697	
0.926437	0.866667	0.992754	0.954545	
0.954023	0.955556	0.974638	0.984848	
0.804598	0.977778	0.98913	0.954545	
0.875862	0.977778	0.981884	0.954545	
0.933333	0.955556	0.985507	0.984848	
0.887356	0.888889	0.981884	0.954545	
0.937931	0.911111	0.978261	0.954545	
0.942529	0.911111	0.985507	0.969697	
0.783908	0.911111	0.992754	0.954545	
0.832184	0.911111	0.985507	0.939394	
0.954023	0.666667	0.971014	0.969697	
0.836782	0.8	0.981884	0.969697	
0.910345	0.8	0.978261	0.969697	
0.91954	0.911111	0.98913	0.969697	
0.903448	0.955556	0.98913	0.909091	
0.924138	0.955556	0.981884	0.969697	
0.825287	0.977778	0.985507	0.954545	
0.721839	0.866667	0.945652	0.969697	
0.942529	0.955556	0.992754	0.954545	
0.905747	0.933333	1	0.954545	
0.914943	0.955556	0.992754	1	
0.852874	0.844444	0.98913	0.969697	
0.921839	0.933333	0.98913	0.848485	
0.887356	0.844444	0.992754	0.969697	
0.885057	0.844444	0.978261	0.969697	
0.928736	0.844444	0.996377	0.954545	
0.898851	0.8	0.985507	0.939394	
0.951724	0.911111	0.98913	0.954545	
0.94023	0.933333	0.985507	0.848485	
0.891954	0.911111	0.978261	0.969697	
0.921839	0.866667	0.98913	0.954545	
0.924138	0.844444	0.98913	0.984848	
0.878161	0.8	0.985507	0.969697	
0.954023	0.933333	0.98913	0.954545	
0.926437	1	0.967391	0.954545	
0.887356	0.911111	0.971014	0.939394	
0.829885	0.888889	0.974638	0.954545	
0.855172	0.933333	0.985507	0.939394	
0.843678	0.977778	0.971014	0.969697	
0.894253	0.911111	0.971014	0.939394	
0.937931	0.933333	0.978261	0.969697	
0.901149	0.755556	0.981884	0.954545	
0.944828	0.911111	0.985507	0.984848	
0.931034	0.955556	0.978261	0.909091	
0.942529	0.933333	0.992754	0.909091	
0.887356	0.888889	0.992754	0.969697	
0.910345	0.6	0.985507	0.969697	
0.94023	0.866667	0.978261	0.833333	
0.921839	0.955556	0.98913	0.969697	
0.928736	0.955556	0.971014	0.984848	
0.88046	0.844444	0.992754	0.939394	
0.8	0.844444	0.981884	0.863636	
0.804598	0.977778	0.981884	0.969697	
0.834483	0.911111	0.967391	0.939394	
0.910345	0.733333	0.992754	0.924242	
0.901149	0.933333	0.956522	0.939394	
0.855172	0.933333	0.985507	0.954545	
0.889655	0.911111	0.971014	0.848485	
0.834483	0.888889	0.992754	0.984848	
0.878161	0.911111	0.985507	0.939394	
0.944828	0.977778	0.981884	0.984848	
0.944828	0.888889	0.974638	0.954545	
0.954023	0.844444	0.985507	0.939394	
0.917241	0.755556	0.992754	0.954545	
0.74023	0.888889	0.978261	0.939394	
0.843678	0.911111	0.985507	0.984848	
0.944828	0.777778	0.985507	0.909091	
0.908046	0.955556	0.960145	1	
0.905747	0.911111	0.952899	0.893939	
0.758621	0.933333	0.98913	0.954545	
0.875862	0.911111	0.98913	0.969697	
0.914943	0.911111	0.996377	0.984848	
0.914943	0.844444	0.942029	0.984848	
0.898851	0.933333	0.985507	0.969697	
0.917241	0.955556	0.992754	1	
0.94023	0.933333	0.974638	0.969697	
0.866667	0.711111	0.985507	0.984848	
0.901149	0.911111	0.971014	0.984848	
0.88046	0.933333	0.996377	0.954545	
0.841379	0.866667	0.992754	0.969697	
0.862069	0.844444	0.98913	0.893939	
0.813793	0.822222	0.981884	0.984848	
0.878161	0.733333	0.985507	0.969697	
0.898851	0.955556	0.981884	0.969697	
0.809195	0.866667	0.98913	0.984848	
0.848276	0.977778	0.985507	0.909091	
0.822989	0.866667	0.996377	0.984848	
0.908046	0.888889	0.985507	0.969697	
0.887356	0.844444	0.98913	1	
0.786207	0.866667	0.98913	0.954545	
0.928736	0.844444	0.98913	0.954545	
0.855172	0.955556	0.967391	0.954545	
0.908046	0.933333	0.971014	0.954545	
0.926437	0.911111	0.985507	0.954545	
0.94023	0.911111	0.985507	0.954545	
0.864368	0.933333	0.98913	0.954545	
0.873563	0.933333	0.992754	0.969697	
0.926437	0.844444	0.963768	0.984848	
0.797701	0.955556	0.98913	0.969697	
0.91954	0.866667	0.98913	0.909091	
0.937931	0.533333	0.985507	0.924242	
0.91954	0.911111	0.985507	1	
0.834483	0.955556	0.974638	0.893939	
0.885057	0.866667	0.98913	0.924242	
0.951724	0.955556	0.996377	0.954545	
0.866667	0.866667	0.978261	0.939394	
0.908046	0.955556	0.98913	0.969697	
0.905747	0.866667	0.98913	0.969697	
0.889655	0.844444	0.98913	0.893939	
0.937931	0.911111	0.98913	0.969697	
0.806897	0.977778	0.981884	0.939394	
0.891954	0.911111	0.985507	0.939394	
0.905747	0.955556	0.963768	0.969697	
0.928736	0.933333	0.974638	0.939394	
0.937931	0.844444	0.978261	0.939394	
0.963218	0.755556	0.938406	0.954545	
0.802299	0.955556	0.981884	0.984848	
0.885057	0.844444	0.978261	0.969697	
0.921839	0.955556	0.992754	0.954545	
0.777011	0.933333	0.996377	0.984848	
0.896552	0.866667	0.985507	1	
0.912644	0.844444	0.978261	0.924242	
0.903448	0.866667	0.971014	0.984848	
0.944828	0.933333	0.985507	0.984848	
0.937931	0.955556	0.978261	0.984848	
0.931034	0.955556	0.974638	0.954545	
0.898851	0.955556	0.992754	0.969697	
0.894253	0.955556	0.956522	0.939394	
0.94023	0.911111	0.978261	0.969697	
0.802299	0.911111	0.978261	0.984848	
0.917241	0.977778	0.981884	1	
0.903448	0.844444	0.981884	0.848485	
0.926437	0.955556	0.981884	0.984848	
0.908046	0.955556	0.985507	0.969697	
0.910345	0.933333	0.992754	0.939394	
0.816092	0.911111	0.985507	0.954545	
0.931034	0.866667	0.981884	0.969697	
0.866667	0.866667	0.98913	0.984848	
0.901149	0.777778	0.992754	0.969697	
0.910345	0.955556	0.98913	0.984848	
0.848276	0.955556	0.996377	0.893939	
0.894253	0.844444	0.963768	1	
0.896552	0.977778	0.985507	1	
