Fs[0]	Fs[1]	Fs[2]	Fs[3]	
-5.58514	-3.36005	-12.5521	-6.20577	
-2.06639	0.963749	-7.36033	0.536979	
-12.6645	-2.89625	-6.35773	-5.03555	
-3.19789	-3.97101	-5.89807	-0.604139	
-15.4795	-1.74369	-5.30284	-1.29524	
-7.11589	-1.74369	-11.4195	-7.98487	
-0.978084	-0.694708	-4.16453	-3.39171	
-8.42174	0.123085	-13.8524	-0.796439	
-9.93857	-5.28867	-11.2084	-3.11007	
-2.04274	-2.38564	-10.2255	-2.63889	
-6.82513	-1.72602	-9.17667	-6.03749	
-5.36336	-4.665	-5.6074	0.15401	
-9.54208	-0.548629	-12.3764	-2.63889	
-3.2141	-1.10177	-16.7131	1.37496	
-2.93281	-1.11119	-8.07705	-4.34906	
-5.92014	-3.20177	-4.23094	-1.26777	
-3.12309	-1.62319	-18.7015	-4.18868	
-9.69009	-0.230334	-9.55894	-1.12703	
-4.79591	-2.54661	-3.93062	-6.15438	
-9.48474	-4.69764	-9.629	-4.96781	
-7.0198	-1.40218	-8.42636	-0.138039	
-4.10296	4.12202	-12.126	-4.10506	
-6.33598	-1.54139	-2.68598	-9.18337	
-12.4049	-1.8531	-7.00502	-5.98864	
-15.9238	-1.41717	-16.5428	-2.67916	
-17.494	-2.17768	-9.49236	-4.18868	
-3.09429	-0.763024	-9.80484	-7.93757	
-4.46422	0.180704	-3.78198	-3.43335	
-10.9727	-1.65688	-12.433	-3.59627	
-9.46575	0.235427	-5.84051	-3.54074	
-1.82649	-1.25027	-4.36345	-1.69384	
-12.7047	-9.21338	-19.2883	-5.80031	
-7.47286	2.14202	-7.78257	0.102545	
-0.720746	-0.255575	-2.8397	-1.18746	
-9.78918	1.45377	-4.11761	-2.55976	
-2.861	1.38995	-10.7009	-2.91741	
-4.33388	-5.46881	-17.6398	-6.56982	
-11.8193	-6.61788	-11.7592	-2.15533	
-4.4002	-1.98877	-11.0715	-3.94539	
-4.526	-1.08141	-14.047	-1.34181	
-13.6965	-5.2597	-13.8993	-5.67667	
-9.42643	-1.67394	-12.8003	-6.31097	
-13.6144	-3.58093	-2.77374	-5.04328	
-5.80543	-0.938654	-5.30003	-2.59806	
-2.14548	-2.53669	-12.0118	-1.73111	
-8.93719	-0.122365	-13.2401	-5.7851	
-3.5759	-1.96882	-6.74458	-3.39171	
-7.55455	1.29118	-9.90824	-6.36482	
-13.2178	0.134718	-6.35773	-4.82236	
-7.31593	0.806707	-6.6738	-5.63696	
-8.45585	-0.368142	-6.50422	-2.50491	
-10.5409	0.423273	-11.506	-2.80601	
-3.22098	-1.25027	-6.40931	-5.32107	
-8.895	1.40211	-18.9831	-0.207428	
-4.88829	1.29118	-10.8133	-3.50802	
-11.3022	-3.38358	-3.20871	-5.18101	
-10.224	1.58007	-7.30586	-4.07777	
-14.9378	-2.19978	-3.41183	-2.44085	
-13.5617	-2.56294	-11.1004	-2.66202	
-7.08292	-3.36005	-5.69702	-3.62649	
-2.31044	-1.31455	-8.37963	-5.7851	
-4.4801	1.61471	-5.93335	-4.70167	
-1.10587	0.851486	-11.799	-6.2932	
-11.2645	-1.69115	-10.8567	-5.21855	
-4.09298	-0.201349	-11.6411	-5.59385	
-10.3472	-1.08141	-4.56539	-7.22057	
-4.33213	-0.815767	-5.63488	-3.79502	
-1.99013	-1.7795	-12.2193	-2.81843	
-10.8507	-1.4475	-8.9841	-2.52669	
-0.431425	-5.62782	-12.964	-7.08526	
-6.61872	-1.63996	-7.35875	-6.20577	
-1.94345	-0.926889	-15.2119	-0.204459	
-11.8683	-5.49994	-14.1759	-7.12982	
-7.33156	-0.596215	-13.9781	-2.452	
-4.7811	0.963749	-10.715	-6.13743	
-6.65334	-1.37253	-4.30264	-2.7449	
-6.90938	-1.1634	-9.57991	-2.21365	
-2.08774	-0.763024	-11.8931	-10.7976	
-9.73942	-1.23066	-13.5673	-6.80806	
-11.178	-0.92545	-4.30725	0.232952	
-5.96906	-0.833649	-7.90753	-3.04046	
-5.1354	-3.7682	-13.8369	-4.60895	
-6.13026	2.39783	-5.41829	-6.13743	
-9.39722	-2.22213	-6.57836	-6.7954	
-4.12062	-0.517483	-8.14275	-1.87411	
-7.38509	-5.62782	-5.96971	-6.32882	
-4.13734	-3.94101	-11.7443	-4.10506	
-6.69821	-3.58093	-9.51376	-5.97252	
-4.27377	-1.96882	-5.01511	-1.39225	
-10.8764	-0.92545	-7.45013	-2.29829	
-6.58049	-1.20348	-8.38684	-3.21292	
-6.64341	-1.03539	-13.029	-1.95329	
-11.6469	-3.20177	-7.17412	-5.71016	
-10.9455	-3.01341	-8.86559	-6.17142	
-10.7736	-0.411879	-7.89201	-1.85513	
-0.441121	-0.00874211	-8.70762	-10.5875	
-3.64798	-4.7837	-14.2444	-5.83094	
-3.63099	-1.87193	-13.2401	-4.18868	
-10.1066	-2.15581	-9.75182	-5.8931	
-12.9979	-1.58448	-13.1358	-3.71491	
0.663014	-3.29086	-10.6393	-1.70003	
-7.76204	-2.75623	-11.2437	-1.53746	
-14.0589	-1.92951	-7.92138	-2.34814	
-4.86849	-1.69115	-3.62612	-4.06043	
-13.1699	-1.83445	-10.3019	-4.77604	
-11.035	-2.9346	-7.53418	-4.58401	
-6.12601	-3.22371	-9.27069	-1.37982	
-10.5083	-3.7682	-11.1707	-6.87018	
-7.67597	-5.79568	-8.24557	-2.18558	
-5.6817	-1.40218	-6.46488	-1.50353	
-2.37509	-0.00874211	-12.9546	-3.43335	
-11.1703	-5.79568	-8.16177	-5.62252	
-10.6507	-1.06126	-11.5926	-2.47265	
-0.802622	-1.31455	-10.4559	-4.03734	
-3.32883	-5.46881	-9.67432	-0.68965	
-17.7175	-3.18004	-13.5673	-2.16457	
-2.32508	-1.60655	-10.1496	-5.55134	
-5.9575	-1.40218	-7.68796	-2.91741	
-10.8081	-1.70851	-10.6143	-2.03005	
-9.77667	-4.19163	-11.3642	-6.05394	
-19.693	-2.61643	-7.12519	-3.9844	
-9.86688	-0.385452	-7.22345	-5.36044	
-6.05161	-2.74935	-7.46205	-8.51161	
-9.49951	-2.26755	-2.50561	-5.14034	
-3.88739	-1.25027	-10.6561	-5.69538	
-6.53659	-1.2444	-14.718	-5.24385	
-6.05161	1.00454	-8.48287	-4.71779	
-3.95847	-1.50959	-5.35676	0.225869	
-6.58261	-1.40218	-6.64544	-3.28083	
-6.66328	-2.56276	-9.4976	-3.75877	
-8.36742	-3.26826	-6.88156	-3.89428	
-4.92257	-3.33675	-4.06347	-3.36095	
-9.23386	-3.11607	-9.13074	-2.48366	
-0.562891	-5.79568	-10.3148	-2.24957	
-9.68727	-5.83039	-6.66199	-3.23212	
-10.3976	-3.50497	-4.63302	-3.25536	
-5.7504	-2.76717	-9.52762	-3.30061	
-10.4934	-1.7795	-13.3508	-0.833233	
-10.7463	-2.11275	-11.6363	-3.12843	
-10.9505	-0.798037	-11.1254	-0.963242	
-11.9275	-2.56294	-5.71231	-5.44079	
-16.7425	-1.81596	-9.2599	-5.51721	
-6.24397	-1.55748	-6.17915	-1.67912	
-4.15087	-3.91135	-6.42354	-4.39449	
-6.65512	-0.596215	-8.49896	-3.35079	
-12.008	-1.11119	-10.6813	-4.01074	
-12.8852	-0.397202	-11.0087	-2.26893	
-9.15768	0.520512	-12.2262	-1.29524	
