TD[0]	TD[1]	TD[2]	TD[3]	
-0.610939	-0.818285	-1.73448	-0.999015	
-0.320584	-1.76515	-1.41847	-1.12749	
-1.93102	-0.255282	-1.07063	-0.041324	
-0.979039	-1.40688	-0.883066	-1.26764	
-2.03257	-0.613557	-1.69583	-0.812149	
-0.193653	-0.613557	-0.852374	-0.344982	
0.598079	-0.843876	-0.67618	-0.216511	
-1.47407	0.665995	-1.48781	-0.0997198	
-1.78505	-0.818285	-1.90954	0.122184	
0.293445	-1.40688	-1.69925	-0.963978	
-1.44234	-0.587966	-1.8959	-0.882224	
-2.07223	-0.2041	-1.33208	-0.216511	
-2.01194	-0.613557	-1.69811	-0.963978	
-0.499874	-1.40688	-2.01299	0.0521093	
-0.845761	0.461267	-1.62649	-1.11581	
-1.56134	-0.639148	-0.712556	-0.777111	
-0.942546	-0.43442	-1.84247	-0.987336	
-1.73904	-1.76515	-0.961501	-0.590245	
-0.263465	0.256539	-0.542045	-0.963978	
-2.00242	-1.94429	-1.99252	-1.54794	
-1.49311	-0.0761449	-1.21386	1.12659	
-0.450689	0.230948	-1.64468	-0.917261	
-1.67081	-0.306464	-1.9516	-1.10413	
-1.58196	-0.767103	-1.30366	-0.847186	
-1.81044	-0.101736	-1.4503	0.729501	
-1.72159	-1.17656	-1.96411	-0.987336	
-0.928267	-0.94624	-1.03994	-0.309945	
-1.48835	0.793951	-1.07518	-0.263228	
-2.22455	-0.485602	-1.14452	-0.438416	
-1.99925	-1.15097	-1.8618	-0.38002	
-0.146054	-1.58602	-0.783033	0.238976	
-2.20075	-1.56043	-1.27865	-0.707036	
-1.60417	-0.152918	-0.997877	-0.298266	
-0.428476	-0.101736	0.237758	-0.671999	
-1.42012	-1.15097	-0.650035	-0.882224	
-0.807682	0.896315	-1.80496	0.379126	
-1.44392	-0.971831	-1.66173	-1.2326	
-1.80092	-1.76515	-1.56284	-0.415057	
-0.593486	-0.94624	-1.39687	-0.777111	
-0.650605	-1.38129	-1.52987	-0.870545	
-2.07223	-0.792694	-1.49804	-1.94503	
-1.68827	-0.511193	-1.24	-1.06909	
-1.45344	-1.0486	-1.082	-1.59465	
-1.14088	0.819542	-1.21272	-2.05014	
-0.890187	-1.56043	-1.61967	0.18058	
-1.58831	0.154174	-1.34799	-0.695357	
-0.16668	-0.920649	-1.21386	-0.216511	
-1.62321	0.691586	-0.319244	-1.10413	
-1.38205	0.691586	-1.07063	-1.4545	
-1.89453	-1.94429	-2.08119	-0.578566	
-1.09962	-0.306464	-1.12633	-0.823828	
-1.88977	-0.869467	-1.50373	-1.12749	
0.050689	-1.58602	-0.429507	-0.309945	
-1.89929	0.921906	-2.32104	-1.94503	
-1.24083	0.691586	-1.82883	-0.344982	
-1.37411	-0.843876	-0.0589305	-0.181474	
-1.83582	1.30577	-1.85725	-0.893903	
-1.96434	-1.20215	-0.206707	-0.753753	
-2.05478	-1.58602	-1.88794	-0.987336	
-1.12501	-0.818285	-0.056657	-1.78152	
-0.983799	0.0774013	-1.70607	-0.695357	
-1.0901	1.38254	-1.44916	0.309051	
-0.16192	-0.152918	-1.57193	-1.05741	
-1.70731	-0.536784	-1.83793	-0.216511	
-0.93144	0.000628199	-1.53555	-0.543528	
-1.53595	-1.38129	-0.88534	-1.59465	
-1.0314	-1.02301	-0.765982	-0.636961	
-0.266639	-0.664739	-1.08654	-1.13917	
-1.63273	-0.152918	-1.38096	-0.847186	
0.461628	-1.09979	-1.81633	-1.52458	
-0.982212	-0.460011	-0.83987	-0.999015	
0.37595	0.845133	-1.76063	-0.753753	
-1.80885	-0.997423	-1.55715	-1.54794	
-1.19641	-0.69033	-1.51509	-1.94503	
-1.20276	-1.76515	-1.30366	-0.952299	
-0.993319	-0.0249628	-1.31844	-1.06909	
-1.46455	0.358903	-0.968322	-1.75816	
0.256952	-0.94624	-0.994467	-1.83992	
-1.02029	0.230948	-1.42415	-1.37275	
-1.34873	-1.17656	-0.753478	-0.0880407	
-0.758496	-1.0486	-1.57989	-1.33771	
-0.90288	-1.22774	-1.4844	0.414163	
-1.24401	0.256539	-0.663676	-0.952299	
-0.93144	-1.22774	-0.509079	0.694463	
-1.36777	-0.562375	-0.435191	-1.4545	
-0.785469	-1.09979	-1.46167	-1.08077	
-0.95048	-1.38129	-1.55943	-0.917261	
-1.0076	-1.0486	-0.946724	-0.835507	
-1.0076	-0.920649	-1.09336	0.752859	
-1.63749	-1.17656	-0.875109	-0.590245	
-1.3757	0.28213	-1.20135	-0.00628653	
-1.39315	0.614813	-1.82883	-0.146436	
-1.44234	-0.639148	-1.35936	-0.636961	
-1.65019	-0.408829	-1.34686	-0.975657	
-2.19758	-0.383237	-1.03653	-0.00628653	
-0.763256	0.384494	-1.30025	-1.75816	
-0.726764	-0.332055	-2.04368	-0.730395	
-0.198413	-0.792694	-1.34799	-0.987336	
-1.8152	-1.15097	-1.58557	-0.777111	
-1.97862	-1.94429	-1.32298	-1.83992	
0.91382	-0.741512	-1.2832	-1.27932	
-0.90288	-1.76515	-1.44007	0.495917	
-1.5296	-0.869467	-1.04676	-0.64864	
-1.61687	-0.536784	-0.994467	-2.05014	
-2.00242	-0.741512	-1.18885	0.227297	
-1.9691	-0.306464	-0.906938	-1.29099	
-2.2309	-0.664739	-1.46053	-0.917261	
-1.56768	-1.22774	-1.42188	-1.40779	
-1.29002	-1.22774	-1.15588	-1.7348	
-1.09962	-0.0761449	-1.11155	0.554313	
-0.525261	0.384494	-1.27865	-0.263228	
-1.34714	-1.22774	-1.64923	-0.566886	
-1.23607	-1.3557	-1.52419	-0.78879	
-0.493528	0.0774013	-2.15167	-0.858865	
-1.04092	-0.971831	-0.223758	0.0754676	
-2.03257	-0.613557	-1.42415	-0.426736	
-0.493528	-0.408829	-1.14452	-0.508491	
-1.19006	-0.0761449	-0.963775	0.379126	
-1.6248	-0.562375	-1.27638	-0.251549	
-2.05002	-1.58602	-1.46962	-0.893903	
-1.70096	-1.6372	-1.34345	-0.812149	
-2.0643	-1.94429	-0.786444	-0.344982	
-0.788643	-0.0505539	-0.879656	-0.707036	
-1.70255	-1.27892	-0.919442	-1.65305	
-0.339624	-1.58602	-1.28775	-0.625282	
-0.488768	0.205357	-2.1187	-0.23987	
-0.788643	0.128583	-1.73221	-1.38443	
0.188727	-0.255282	-1.23546	-0.0997198	
-2.04209	-0.0761449	-2.07437	-0.0880407	
-0.996492	0.230948	-1.52078	-0.601924	
-1.07582	-0.715921	-0.644351	-0.730395	
-0.323758	-0.792694	-1.68788	-0.181474	
-1.29478	-0.536784	-1.88567	-1.96839	
0.329937	-1.22774	-1.71971	-0.531849	
-1.39791	-1.25333	-1.1843	-0.0296449	
-1.17896	-0.971831	-0.918305	-1.5129	
-0.675991	-0.0761449	-0.951271	-0.111399	
-1.88184	-0.664739	-1.37414	-0.158116	
-0.847348	-1.09979	-1.53442	0.0988259	
-1.30113	-0.997423	-1.41051	-0.356661	
-1.81837	-1.58602	-0.801221	-0.415057	
-2.40225	-0.715921	-0.861468	-1.86327	
-0.856868	-0.332055	-1.00015	0.262334	
-0.474488	-1.3557	-0.436328	-1.15084	
-1.74856	-0.69033	-1.23659	-0.169795	
-1.51056	0.461267	-1.29457	-0.835507	
-1.96275	-0.357646	-2.24715	-0.555207	
-1.63432	-0.715921	-1.66628	-0.812149	
-1.05678	-1.45806	-2.24374	0.367447	
-1.5423	-1.58602	-0.67618	-0.321624	
-1.86438	-1.94429	-1.74585	-0.0179657	
0.199833	-0.920649	-1.06267	-1.10413	
-1.87232	0.384494	-0.523857	-0.543528	
-0.688684	-1.33011	-1.99707	-1.94503	
-0.306305	0.0774013	0.10817	-0.730395	
-1.26463	0.845133	-0.663676	-1.15084	
-0.531607	-1.25333	0.172964	1.43025	
-0.20476	-0.536784	-0.936493	-0.765432	
-1.54706	-0.818285	-1.05699	-0.274907	
-1.65336	-0.0249628	-1.30934	-0.847186	
-0.368183	-0.613557	-1.74585	-1.61801	
-2.03098	-0.460011	-1.63331	-1.09245	
-2.35307	-1.56043	-1.63786	-0.438416	
-1.49628	-0.562375	-2.27898	-1.11581	
-0.560167	-0.357646	-1.7845	-0.882224	
-1.8501	-0.971831	-1.42415	-0.0763615	
-1.95323	-1.33011	-1.40597	-0.555207	
-1.39791	-0.920649	-0.570463	-1.19756	
-2.23724	1.12663	-1.17635	-0.333303	
-0.75691	0.0774013	-0.0680244	-1.76984	
-0.685511	-1.56043	-0.621616	-0.707036	
-2.23407	-0.408829	-1.35481	-0.92894	
-0.464968	-0.408829	-1.23432	-0.975657	
-0.874321	-0.511193	-1.05699	-0.146436	
-2.13094	0.742768	-1.34231	-0.508491	
-1.56134	0.742768	-0.963775	-0.847186	
-1.13929	-0.895058	-1.37527	-1.27932	
-0.952066	-0.562375	-1.59239	-1.03405	
-1.57879	-0.767103	-1.71857	-1.36107	
-1.32017	-1.22774	-1.93	0.565992	
-1.84376	-0.767103	-1.45826	-1.86327	
-1.25987	-0.152918	-1.35936	-1.09245	
-2.00083	-1.22774	-1.25478	-1.01069	
-1.71048	-0.741512	-1.98457	-1.11581	
-1.87708	-0.383237	-2.14485	0.437522	
-1.04885	-0.383237	-1.99821	-1.08077	
-1.29319	-0.997423	-1.51396	-0.368341	
-2.00083	-0.971831	-1.33435	-1.67641	
-1.14722	-1.6372	-0.866015	0.402484	
-1.39791	0.512449	-1.9516	-0.251549	
-1.57086	0.0774013	-1.0945	-0.146436	
-1.63273	0.461267	-1.26615	-0.298266	
-1.61211	-1.56043	-1.11269	-0.169795	
-1.70572	-1.94429	-1.96297	-0.438416	
-1.29637	-0.408829	-1.02971	-1.65305	
-2.16743	0.921906	-1.91977	-0.683678	
-0.780709	-0.357646	-1.32412	-0.52017	
-0.996492	-1.38129	-0.936493	-0.753753	
-1.1139	-1.22774	-1.23205	-0.0880407	
-1.27098	-0.613557	-0.25786	-0.718715	
-1.53436	-1.0486	-1.67992	-1.09245	
0.685344	-0.869467	-0.285142	-0.78879	
-1.19958	-0.357646	-1.17066	-1.38443	
-0.495114	-1.0486	-2.17099	-1.58297	
-1.62004	-0.0505539	-0.811452	-0.742074	
-0.748977	-0.613557	-1.86294	0.998121	
-1.06154	-0.43442	-1.22295	-2.05014	
-1.56927	-0.639148	-1.41051	-0.847186	
-1.55023	-1.45806	-1.15361	-0.531849	
-1.71048	0.819542	-0.396542	-0.847186	
-0.215866	-1.0486	-0.822819	-1.96839	
-1.77394	-0.127327	-0.794401	-1.12749	
-1.58513	-1.0486	-0.538634	-0.765432	
-0.729937	-1.0486	-1.59921	-1.86327	
-1.19641	-1.0486	-1.1718	-0.66032	
-1.64067	-0.767103	-1.04903	-0.0179657	
-1.68192	0.0518103	0.236622	-0.23987	
-1.41854	0.998679	-0.879656	1.03316	
-2.12459	0.0774013	-1.39005	-1.1742	
-0.734697	-0.178509	-1.17066	-0.695357	
-1.0552	-0.332055	-1.77882	-0.999015	
-1.98814	-0.178509	-0.827366	-1.19756	
-2.10555	-0.536784	-1.74812	-2.05014	
-0.891774	-1.33011	-0.893297	-1.75816	
-0.74739	0.0262192	-2.15394	-0.251549	
-1.4947	0.28213	-2.07778	-0.765432	
-1.44868	-0.511193	-1.77313	-1.32603	
-1.14722	-0.562375	-0.822819	-0.625282	
-0.658538	0.128583	-0.397679	-0.531849	
-0.569686	-1.25333	-1.43552	-0.438416	
-1.24718	-0.255282	-0.946724	-0.777111	
-1.29161	0.333312	-0.424961	-0.0530032	
-1.63749	-0.460011	-1.65605	-0.0997198	
-1.10914	-1.25333	-2.12325	-0.823828	
-1.46614	-0.485602	-1.42756	-0.263228	
-1.3281	-0.818285	-1.98911	-1.31435	
-1.24242	-0.920649	-1.76631	-0.228191	
-1.07582	0.614813	-1.3298	-0.718715	
-1.68509	0.28213	-1.06722	0.157222	
-1.76918	1.5105	-1.81519	-1.32603	
0.20618	-0.408829	-1.39233	-0.531849	
-1.78981	-1.58602	-1.50827	-0.917261	
-1.45979	-0.255282	-1.17862	-1.41947	
-0.644258	-1.53483	-1.67537	0.028751	
0.128434	0.870724	-1.78791	-1.02237	
-1.56292	1.68964	-1.55261	-0.882224	
0.00943642	-1.25333	-2.13234	-0.344982	
-1.32969	-0.792694	-1.57761	-0.0880407	
-0.712484	-0.639148	-1.09677	0.939726	
0.89954	-0.536784	-1.54465	-0.987336	
-1.88184	-1.17656	-1.81406	-0.111399	
-0.20476	-1.45806	-1.47303	-0.952299	
-0.863215	-0.229691	-1.80269	-0.625282	
-1.47883	0.691586	-2.18918	-1.41947	
-1.42488	-0.69033	-0.635257	-1.48954	
-0.933027	-1.94429	-0.914895	-1.27932	
-1.33127	0.410085	-0.472704	-1.86327	
-1.60417	-0.920649	-1.10928	-1.33771	
0.310898	-1.15097	-0.930809	-0.683678	
-1.6962	-1.58602	-1.50145	-0.485132	
-0.925093	0.717177	0.125221	-1.06909	
-1.20751	-0.920649	-1.55261	0.297372	
-0.579206	-1.94429	-1.16952	-1.20924	
-0.347557	-1.94429	-1.8527	-0.391699	
-1.14722	-0.511193	-0.579557	-0.0296449	
-2.26739	-0.613557	-1.20363	-0.368341	
-0.0572024	1.40814	-1.18658	-0.216511	
-1.41854	-0.664739	-1.3946	-0.531849	
-1.91833	-0.357646	-0.634121	0.238976	
0.623465	-0.741512	-1.91182	-0.636961	
-1.67716	-1.40688	-2.05732	-0.999015	
-1.33603	-0.460011	-1.16725	0.729501	
-1.08217	-1.76515	-1.54692	-1.68809	
-0.127014	-0.843876	-1.64241	-0.0997198	
-0.253945	1.66405	-1.40597	-0.78879	
-1.04409	0.000628199	-0.0339222	0.565992	
-1.15357	-0.639148	-0.503396	-0.146436	
-1.48835	-1.56043	0.0536067	-1.20924	
-1.40743	1.04986	0.640164	-1.30267	
-1.69144	-1.0486	-1.21386	-0.64864	
-0.760083	-1.09979	-0.190792	0.274013	
-1.95482	-0.715921	-1.8402	-0.403378	
-1.53119	-0.664739	-1.50373	-0.999015	
-1.1266	-1.17656	-0.722786	-1.10413	
-1.95958	-1.38129	-0.708009	0.437522	
0.203006	-1.76515	-1.55488	-1.37275	
-1.0076	-0.741512	-1.66401	-0.707036	
-1.42647	-0.536784	-2.25397	-1.53626	
-0.794989	-0.639148	-1.21045	-0.204832	
-2.23407	-1.38129	-2.063	-1.54794	
0.314071	-0.0761449	-1.85953	-0.00628653	
-0.831482	-0.715921	-1.02061	-0.78879	
-0.415783	-0.460011	-0.557959	-1.53626	
-1.25829	-0.715921	-1.26501	-1.06909	
-0.537954	-0.0761449	-0.712556	-1.32603	
-1.30271	-0.536784	-1.66628	-1.16252	
-1.68192	-0.152918	-0.0339222	-1.15084	
-0.515741	0.358903	-2.00275	-0.368341	
0.623465	-0.485602	-1.07063	0.0637885	
-1.48042	-1.22774	-1.10246	-0.905582	
-1.77712	0.205357	-1.26387	-1.7348	
-0.334864	-1.94429	-0.330611	0.0871468	
-1.22338	-0.869467	-1.07404	-1.40779	
0.434655	-1.56043	-1.97434	-0.0179657	
-0.644258	-1.6372	-0.619343	-0.426736	
-1.33762	-1.17656	-1.71402	-0.78879	
-1.67081	-0.332055	-0.20216	-0.695357	
-0.36977	-1.45806	-1.43097	0.122184	
-1.07741	-0.332055	-1.63786	-0.531849	
-0.269812	-1.76515	-1.83452	0.309051	
-2.30706	-1.3557	-0.144186	-1.78152	
-1.63115	-0.460011	-1.47758	-1.61801	
-1.58037	-0.818285	-1.49691	-0.041324	
-0.0365761	-0.511193	-1.46167	-1.33771	
-1.35349	0.563631	-0.146459	-1.57129	
-0.815615	0.76836	-1.43893	-0.765432	
0.647265	-0.0505539	-1.1627	-1.54794	
-1.35031	-1.22774	-0.976279	-0.64864	
0.433069	0.205357	-1.10587	-0.999015	
-0.71883	-0.255282	-1.0729	0.028751	
-0.815615	-1.76515	-0.539771	0.414163	
-1.95958	-0.229691	-0.0384692	-0.92894	
-1.62797	0.921906	-1.8618	-1.47786	
-1.09328	-0.332055	-2.03686	-1.94503	
-1.50898	-0.306464	-1.11155	-0.870545	
0.00626314	-1.02301	-0.720513	-0.601924	
-1.1028	-0.383237	-1.83793	0.390805	
-0.823549	-1.58602	-0.961501	-0.169795	
0.333111	-0.43442	-1.13656	0.250655	
-2.14839	-0.536784	-1.96638	-0.169795	
-2.27374	-1.0486	-1.93796	-1.20924	
-0.956826	-1.20215	-1.92546	-1.75816	
-1.24877	-1.02301	-1.67992	-0.473453	
-0.993319	-0.255282	-1.34913	-0.590245	
-1.72793	-0.255282	-0.453379	1.09155	
-0.872734	-1.76515	-1.41051	-0.274907	
-2.04685	-1.76515	-1.07063	-0.858865	
-1.2805	0.870724	-1.05358	-0.847186	
-0.856868	-1.0486	-1.86635	-0.671999	
-1.06948	-1.76515	-1.37982	-0.23987	
-0.848935	-0.536784	-0.951271	0.472559	
-0.493528	-0.536784	-0.146459	-0.975657	
-2.05161	-0.869467	-1.76404	-0.905582	
0.0792485	0.384494	-0.919442	-0.426736	
