ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
5.14713	2.37778	1.21014	2.57576	
8.7954	9.2	1.42029	6.19697	
0.43908	1.44444	16.1377	2.06061	
1.81839	0.444444	3.4529	8.19697	
0.172414	5.31111	10.1304	1.60606	
5.30115	3.53333	5.7029	3.90909	
4.49885	0.844444	7.83696	6.10606	
0.466667	3.31111	5.20652	7.04545	
0.365517	1.04444	1.94203	3.66667	
3.97471	1.77778	2.92391	3.07576	
1.11034	1.06667	4.68116	4.9697	
9.54023	2.28889	6.88406	3.19697	
3.52184	4.42222	3.87681	4.16667	
2.08966	3.11111	11.2283	13.5758	
3.28046	3.04444	4.08333	1.63636	
5.76552	1.11111	5.86594	2.83333	
4.5931	2.71111	4.77174	2.74242	
0.643678	0.311111	6.57246	5.13636	
2.09195	1.88889	10.192	2.34848	
3.23218	0.244444	16.5543	6.01515	
3.11494	2.4	11.8986	4.90909	
4.43218	8.35556	4.83696	2.28788	
1.57931	2.37778	10.163	1.80303	
1.17471	1.44444	2.18478	3.65152	
0.402299	2.64444	3.26087	4.33333	
0.549425	3.57778	3.68116	1.65152	
1.74483	6.71111	4.47464	5.5	
4.0046	3.86667	7.45652	6.16667	
0.105747	2.75556	5.85145	4.75758	
0.193103	6.44444	13.442	3.77273	
3.9908	5.71111	6.43841	5.69697	
2.07126	0.577778	4.36594	3.4697	
4.24138	8.91111	6.68841	4.57576	
1.64138	1.75556	8.92391	3.60606	
1.07816	6	4.88406	2.06061	
4.6046	6.44444	5.6087	3.69697	
4.21609	0.733333	9.67391	1.78788	
1.07816	0.311111	3.3587	1.81818	
1.05287	3.15556	1.78623	1.37879	
2.65287	5.97778	6.2971	5.5	
0.298851	0.8	2.02174	0.348485	
0.983908	4.77778	5.98188	1.93939	
1.1954	3.24444	16.8696	4.25758	
1.91494	4.51111	5.19928	7.57576	
2.51724	2.35556	8.23551	7.40909	
0.908046	2.86667	4.15217	1.45455	
3.53793	1.13333	3.37681	4.65152	
0.958621	7.95556	7.39493	1.43939	
1.71264	6.62222	5.52899	4.43939	
0.593103	5.57778	5.53261	5.30303	
1.30345	2.37778	6.1413	2.89394	
0.517241	4.64444	1.60507	2.92424	
2.6023	0.377778	6.96377	10.2273	
2.18621	3.97778	7.07971	12.7121	
2.81839	3.51111	8.72826	2.09091	
1.49425	2.62222	9.26087	4.06061	
1.81839	4.31111	5.42754	2.25758	
0.28046	2.48889	10.4275	2.80303	
0.342529	1.71111	6.6558	7.4697	
2.85747	1.04444	8.9058	1.59091	
2.58391	4.93333	4.51087	3.27273	
2.11724	4.46667	1.9529	3.42424	
4.28966	8.91111	5.12681	1.01515	
0.45977	1.46667	2.49638	2.83333	
3.4046	6.55556	7.09783	3.98485	
1.86667	5.97778	11.6341	0.621212	
1.27356	0.777778	6.81884	3.01515	
4.57931	4.91111	2.10145	8.93939	
6.35172	1.8	3.82246	3.28788	
6.62759	0.622222	3.21014	1.62121	
0.857471	1.17778	7.83696	2.21212	
2.61379	5.15556	2.77174	1.34848	
0.468966	0.977778	9.34058	4.56061	
3.02989	7.37778	6.51087	6.89394	
0.970115	7.42222	5.1413	2.87879	
3.42529	3.24444	7.01449	5.93939	
0.590805	1.8	3.28986	11.0152	
3.4069	6.26667	11.808	3.66667	
3.3954	5.24444	7.61232	0.878788	
1.5954	4.46667	12.2572	7.93939	
2.25747	1.91111	2.28261	2.83333	
4.05287	0.511111	7.36957	3.10606	
1.9954	7.66667	5.62319	2.15152	
2.57701	1.84444	8.43478	6.01515	
0.51954	2.15556	5.85145	6.25758	
3.33103	2.4	10.4275	2.13636	
3.29425	1.08889	4.47826	2.28788	
2.82529	3.24444	6.26449	1.27273	
3.23908	6.02222	4.55797	5.75758	
0.910345	5.35556	5.42754	4.04545	
4.46207	2.97778	4.46739	5.83333	
1.93563	2.91111	4.90217	3.83333	
1.11034	2	5.57971	2.28788	
2.44598	2.02222	3.71377	2.54545	
2.06667	4.88889	4.55072	6.92424	
2.6092	4.22222	7.65217	2.28788	
3.45287	4.84444	4.80435	4.59091	
4.27356	0.8	4.67391	2.01515	
0.754023	2.44444	4.47464	1.37879	
3.81839	7.35556	3.72464	0.393939	
5.07586	1.64444	2.98913	4.75758	
1.84598	2.08889	8.18478	5.72727	
1.02989	4.2	8.67029	2.84848	
2.88046	3.68889	3.46014	3.93939	
0.473563	1.2	5.03623	4.43939	
0.770115	2.37778	8.65942	0.954545	
0.114943	1.8	5.98913	6.65152	
0.671264	0.511111	4.82246	2.19697	
0.475862	1.84444	3.62681	8.80303	
2.13103	1.95556	5.83333	5.10606	
1.57471	5.11111	2.80072	3.25758	
0.972414	0.511111	10.0688	3.28788	
0.949425	6.17778	7.06159	1.21212	
8.97701	2.26667	0.713768	7.84848	
2.3908	2.06667	8.48188	3.36364	
0.172414	2.2	3.26449	5.28788	
5.66667	1.57778	6.19928	2.66667	
0.675862	3.28889	12.1449	5.51515	
0.616092	4.82222	6.09783	4.51515	
0.266667	3.04444	11.9312	1.5303	
1.69195	0.422222	3.78986	1.60606	
0.908046	3.8	6.01449	6.81818	
2.78391	3.93333	5.96377	2.01515	
0.65977	0.555556	4.61232	3.78788	
4.27126	1.71111	5.09058	1.72727	
1.72874	1.48889	4.86957	3.22727	
1.81839	3.11111	18.4203	2.89394	
4.95402	2.77778	9.96739	9.22727	
0.6	2.4	20.4674	3.57576	
1.77471	2.57778	9.05072	3.15152	
2.71724	2.28889	5.30072	3.5	
2.17931	2.13333	2.36594	2.60606	
2.2069	3.68889	2.99638	5.10606	
4.4046	0.511111	2.6413	6.69697	
3.3908	1.2	3.28261	4.04545	
1.55632	0.733333	5.91304	6.15152	
2.27586	1.51111	6.62681	4.33333	
0.574713	0.911111	3.62681	3.30303	
1.55862	3.28889	5.78986	4.06061	
2.49195	0.977778	2.52536	8.10606	
2.13793	0.377778	9.4529	3.27273	
1.6046	1.84444	5.9058	3.33333	
1.98621	3.06667	13.8261	3.84848	
3.01839	0.844444	6.81159	1.86364	
1.76092	3.37778	3.7971	2.77273	
2.10575	3.04444	7.37319	4.18182	
0.209195	2.86667	8.14855	6	
0.629885	0.955556	3.42754	4.87879	
2.96552	5.82222	2.13768	3.16667	
2.28966	0.377778	7.66304	3.15152	
1.17011	0.244444	6.81159	4.93939	
5.0069	0.688889	6.98188	1.07576	
1.94023	2.44444	4.0471	1.80303	
3.53563	2.37778	13.4384	5.80303	
2.63678	2.71111	9.68478	1.31818	
0.990805	2.93333	8.57971	1.5	
1.44598	1.64444	8.52174	7.06061	
2.48966	1.91111	5.27536	4.45455	
1.95172	1.04444	6.35507	6	
3.96782	1.91111	6.98551	4.01515	
3.2092	1.31111	1.5942	2.4697	
0.377011	1.62222	4.62681	1.60606	
0.0850575	4.13333	3.94565	2.57576	
0.498851	1.26667	3.90217	5.63636	
2.72874	3.75556	5.36957	2.42424	
4.8046	1.17778	4.82971	3.74242	
5.98851	1.48889	3.55435	4.54545	
4.35632	3.35556	6.02174	4.83333	
2.05517	3.35556	9.9529	5.89394	
0.806897	2.26667	11.8986	2.84848	
2.97931	2.35556	8.18478	2.37879	
0.11954	1.57778	8.34783	3.93939	
3.55632	2.02222	3.0942	3.27273	
0.977011	6.11111	2.18116	3.4697	
0.177011	3.91111	3.52536	4.48485	
2.86897	3.46667	4.66667	2.56061	
1.01609	3.11111	7.02174	0.757576	
1.57241	2.15556	2.40942	6.80303	
0.618391	1	13.8551	7.95455	
1.55402	2.73333	4.96377	4.18182	
3.0023	3.22222	7.72101	0.424242	
2.15632	4.02222	2.97101	1.60606	
0.678161	0.511111	2.81159	4.22727	
1.70575	3.42222	1.48551	1.63636	
3.11954	3.55556	0.692029	3.80303	
1.36782	0.888889	2.74638	3.95455	
1.03218	4.97778	4.50725	4.66667	
0.678161	2.51111	1.67391	0.545455	
3.02759	7.53333	4.87681	4.0303	
2.14943	4.33333	1.11957	8.15152	
0.537931	4.93333	11.2572	3.83333	
1.11034	3.04444	2.67391	3.48485	
1.14943	2.35556	3.48913	8.59091	
0.802299	2.02222	0.981884	2.21212	
0.622989	2.91111	4.18116	1.60606	
4.16092	4.86667	1.53986	4.89394	
2.42759	1.97778	4.51087	4.31818	
1.63678	1.08889	4.92754	1.34848	
5.66897	4.95556	4.47826	3.93939	
5.96552	1.75556	11.721	4.75758	
6.07126	1.91111	2.94928	1.24242	
4.71724	0.644444	7.80797	3.39394	
2.48276	1.97778	4.28261	1.80303	
1.73793	1.02222	4.51449	4.42424	
2.88506	4.82222	5.57246	4.42424	
2.24368	2.2	5.88043	6.34848	
1.11034	1.82222	11.7536	3.93939	
2.53563	2.44444	5.82971	1.83333	
0.577011	0.488889	6.05435	1.60606	
1.01609	4.51111	8.68478	6.92424	
1.88506	5.91111	6.65217	5.83333	
1.38391	2.44444	6.12681	2.56061	
0.489655	1.91111	6.26812	2.27273	
2.90575	0.577778	3.99638	9.15152	
3.30575	1.02222	5.06884	2.31818	
2.15632	1	3.46014	3.12121	
0.56092	3.4	10.058	2.13636	
1.0069	3.68889	3.7029	4.66667	
0.167816	3.15556	6.46014	1.5303	
4.77471	2.04444	4.63043	3.27273	
1.65287	2.17778	5.61232	6.21212	
1.76322	1.6	6.84058	1.19697	
0.278161	3.68889	13.6014	11.2121	
3.82989	0.6	4.78986	0.469697	
0.931034	6.75556	7.67754	4.15152	
0.565517	2.97778	0.913043	3	
3.05057	7.44444	4.63768	3.72727	
5.23448	4.82222	9.6087	1.36364	
4.66437	2.22222	6.68841	4.87879	
3.29425	2.97778	6.08333	5.84848	
2.13793	2.77778	7.82971	4.28788	
1.09885	3.82222	5.9058	7.71212	
3.3931	1.62222	4.69928	4.13636	
4.07586	2.53333	2.10145	3.62121	
1.48966	0.977778	2.84058	3.98485	
0.806897	3.71111	7.76087	5.71212	
2.2	1.13333	7.39855	2.66667	
1.47586	2.91111	4.0942	1.48485	
0.565517	3.42222	9.77899	4.16667	
0.48046	4.57778	6.77174	3.36364	
6.10115	1.57778	7.33696	3.42424	
3.61379	0.377778	9.61957	1.19697	
1.75632	1.44444	2.6558	0.575758	
3.05747	0.777778	6.23913	5.9697	
6.69655	3.13333	6.51087	4.42424	
1.0092	4.64444	7.41304	4.24242	
5.42069	0.755556	0.565217	2.45455	
1.56782	3.91111	3.84058	6.12121	
4.46667	2	3.96014	5.87879	
4.61379	4.57778	3.12681	1.65152	
0.988506	6.24444	0.942029	6.51515	
3.86897	2.26667	6.98551	3.24242	
8.89195	2.08889	8.21014	3.54545	
3.57701	2.17778	3.35507	7.48485	
6.25747	1.15556	8.40217	0.666667	
1.95862	0.244444	8.77174	1.12121	
0.673563	4.86667	6.4058	4.06061	
0.793103	1.57778	3.21739	7.56061	
