FF[0]	FF[1]	FF[2]	FF[3]	
-0.808079	-1.06099	-3.23062	-1.80857	
-0.118527	-0.994152	-2.42901	-1.03993	
-3.63177	-0.501253	-1.0801	-0.386377	
-2.09943	-2.00501	-1.2672	-1.36054	
-3.10397	-0.618212	-2.14666	-1.47152	
-0.350997	-0.618212	-1.38759	-0.493247	
0.545486	-1.44528	-1.57953	0.637111	
-2.30374	0.175439	-1.65786	-0.406929	
-2.71695	-1.43692	-3.83884	-0.0575455	
0.134898	-2.00501	-3.48251	-0.711098	
-2.57551	-0.985797	-3.43272	-1.2249	
-2.26576	-0.484544	-1.59162	-1.26189	
-3.38031	-0.618212	-3.48203	-1.25367	
-1.33195	-2.00501	-2.94875	1.27422	
-0.335281	0.108605	-3.05125	-2.12096	
-2.62462	-1.00251	-1.86189	-0.645331	
-1.51466	-0.935672	-3.27655	-1.53318	
-2.98282	-2.87385	-2.10121	-0.308279	
0.189905	0.0417711	-1.12216	-1.79624	
-3.37638	-3.30827	-3.07349	-1.45919	
-2.88132	-0.0668337	-1.94166	1.65238	
-1.59651	1.53718	-3.45931	-2.05108	
-2.38495	-0.893901	-2.92264	-2.38814	
-3.20285	-1.42022	-1.71297	-0.941279	
-3.29714	-0.827067	-3.24319	0.698766	
-2.97562	-1.92982	-3.59516	-1.80446	
-0.939048	-0.726817	-2.00113	-0.752201	
-2.87935	0.21721	-2.81676	-0.73576	
-3.1832	-0.200501	-2.57937	-0.52613	
-3.09021	-1.16959	-3.01789	-1.04815	
-0.901067	-1.31161	-2.0253	0.254844	
-3.74309	-2.80702	-2.36954	-1.70581	
-2.07258	1.03592	-2.11668	-0.476805	
-1.30249	-0.0751879	-0.657051	-1.15091	
-2.28148	-1.16959	-2.10218	-1.2249	
-1.74385	1.00251	-3.9278	0.304169	
-2.00644	-1.48705	-2.53247	-2.43335	
-2.7235	-2.87385	-2.62385	-0.789195	
-0.800875	-1.4787	-2.41982	-0.916617	
-1.10931	-1.24478	-2.74327	-0.9495	
-4.25977	-1.05263	-2.99662	-3.22666	
-3.24672	0.167084	-1.95278	-2.37581	
-2.29523	-1.13617	-1.08493	-2.56077	
-1.88137	0.977443	-2.74182	-2.44979	
-2.63248	-2.43108	-2.2477	-0.0369935	
-2.92061	-0.367585	-2.66591	-1.43042	
-1.47929	-1.84628	-2.7423	-0.448033	
-2.65016	0.935672	-1.56116	-2.38814	
-2.55062	0.935672	-2.14762	-1.96888	
-3.61671	-2.18045	-2.71088	-0.304169	
-1.57949	-1.26984	-2.43819	-1.74692	
-3.32989	-0.701754	-2.73215	-2.12507	
-0.819866	-2.43943	-1.07429	-0.20963	
-2.7641	0.258981	-4.01386	-1.59894	
-2.7772	0.183793	-2.73699	-0.764533	
-2.8322	-1.06934	-1.317	-0.706987	
-3.30762	1.13617	-3.41628	-1.50029	
-3.36066	-1.56224	-0.178888	-1.45097	
-3.96771	-2.43943	-3.56277	-1.26189	
-1.58996	-1.06099	-0.782272	-3.16911	
-0.67711	-0.0167084	-2.28445	-1.15913	
-2.14527	1.53718	-2.17518	-0.263065	
-0.622758	1.03592	-1.96052	-1.82912	
-2.96972	-1.34503	-3.40806	0.094539	
-1.22521	0.710108	-2.87913	-0.834409	
-1.75957	-1.24478	-1.26817	-2.56077	
-2.4059	-1.8797	-1.75117	-1.13858	
-1.80541	-0.63492	-1.08687	-0.772753	
-2.65409	-0.0918964	-2.94682	-1.21257	
0.774027	-1.52882	-2.99855	-2.8074	
-1.53103	-0.192147	-1.11539	-2.35114	
0.16895	0.609858	-2.4411	-1.17968	
-2.72677	-1.87134	-2.75487	-2.00176	
-1.90429	-0.267335	-2.4701	-2.68408	
-1.90691	-1.37009	-1.97985	-1.52084	
-1.82047	-0.802005	-2.78678	-1.56195	
-2.58467	0.451128	-1.43691	-1.53318	
-1.01959	-0.726817	-1.31458	-2.64709	
