ThetaFL[0]	ThetaFL[1]	ThetaFL[2]	ThetaFL[3]	
13	3	25	7	
14	4	30	7	
8	2	32	11	
8	2	24	9	
11	3	28	7	
12	5	33	9	
12	4	26	12	
10	6	23	14	
14	3	25	7	
11	7	22	0	
10	4	27	8	
13	6	32	10	
13	5	31	6	
12	5	23	7	
13	7	27	8	
15	7	23	10	
10	7	24	12	
14	8	17	12	
10	1	23	5	
8	5	26	9	
11	8	26	10	
10	6	27	11	
15	2	24	9	
14	6	19	5	
16	6	21	8	
7	6	31	11	
14	0	23	13	
9	3	31	10	
6	5	15	10	
11	3	34	10	
6	4	33	4	
7	5	19	13	
10	7	27	11	
9	7	23	10	
10	5	31	8	
15	6	22	9	
14	7	18	9	
12	5	22	7	
6	8	18	6	
10	8	15	10	
8	9	33	9	
11	3	32	10	
7	9	25	9	
11	9	22	9	
14	7	30	9	
15	8	27	10	
5	4	32	12	
9	5	29	12	
12	4	16	8	
7	5	23	14	
11	5	26	11	
15	8	19	4	
11	7	16	14	
10	6	32	12	
11	5	33	7	
10	7	32	13	
14	6	21	8	
13	3	29	7	
14	6	28	9	
7	6	32	12	
14	3	20	6	
9	3	27	8	
16	7	24	11	
8	7	23	5	
6	9	28	7	
8	6	21	5	
14	8	20	6	
6	5	19	9	
11	10	23	14	
9	7	26	11	
12	3	27	5	
14	5	27	9	
5	10	18	11	
11	3	25	11	
11	5	31	15	
6	7	32	10	
11	2	18	6	
15	8	25	9	
15	6	21	11	
12	5	29	9	
8	6	27	7	
4	4	23	12	
9	6	25	11	
14	6	24	8	
11	3	26	12	
8	4	24	11	
9	6	24	11	
12	5	21	10	
11	3	21	12	
10	9	16	11	
11	5	19	5	
10	5	27	13	
17	5	31	10	
8	6	24	7	
14	3	25	13	
11	4	24	13	
14	6	19	11	
13	6	30	3	
8	2	21	9	
10	3	26	7	
9	5	19	8	
12	5	21	7	
12	6	28	8	
13	6	24	14	
15	6	30	8	
14	8	29	9	
13	5	12	5	
8	5	33	12	
13	9	32	9	
11	7	20	8	
12	6	28	11	
14	6	25	13	
8	3	21	8	
13	5	25	10	
11	5	27	8	
11	8	23	9	
7	7	28	6	
13	5	22	13	
14	6	26	12	
12	8	25	12	
11	6	17	9	
11	6	26	8	
7	7	30	13	
10	3	28	7	
11	3	32	10	
13	7	29	6	
10	4	31	8	
14	4	26	10	
16	2	20	8	
14	3	21	10	
8	4	21	9	
12	5	23	10	
10	7	29	13	
9	7	30	10	
15	5	28	9	
14	3	29	8	
10	6	28	9	
14	5	36	13	
14	8	22	11	
14	11	26	11	
9	7	35	14	
13	7	28	12	
9	3	25	9	
11	5	24	8	
14	8	30	6	
12	1	15	9	
11	4	32	9	
8	9	34	7	
14	5	19	10	
8	8	28	10	
12	2	32	14	
15	4	18	12	
6	7	30	11	
9	5	30	5	
14	7	26	14	
9	5	28	12	
6	4	23	11	
10	3	25	15	
12	8	15	10	
10	6	25	7	
9	2	30	8	
13	8	29	7	
13	3	35	15	
11	4	27	11	
11	9	29	4	
14	8	33	9	
12	8	32	9	
11	2	27	13	
10	7	27	10	
14	4	28	9	
10	5	22	11	
11	8	31	11	
5	7	20	11	
8	3	23	13	
13	8	26	13	
5	3	29	8	
9	6	31	6	
15	5	35	10	
8	3	29	13	
13	9	30	6	
11	8	31	13	
10	1	25	9	
8	1	31	6	
12	7	32	6	
11	10	26	10	
10	4	26	14	
7	7	22	7	
14	6	19	9	
8	8	18	11	
11	5	35	12	
9	5	30	7	
10	7	28	8	
7	2	29	5	
11	8	18	9	
11	6	13	5	
13	3	28	6	
9	7	28	8	
13	6	13	6	
11	6	22	13	
9	9	23	12	
13	1	28	13	
11	2	20	8	
10	1	29	10	
15	5	18	13	
13	4	17	5	
13	6	17	11	
10	7	36	13	
11	9	29	11	
15	3	28	11	
12	4	25	11	
12	8	34	12	
9	6	24	6	
11	9	27	8	
12	5	29	8	
14	9	25	8	
11	5	30	8	
14	6	37	9	
10	4	26	12	
12	7	21	12	
11	4	21	12	
9	9	31	6	
12	7	19	10	
12	5	33	16	
11	8	19	12	
9	6	23	8	
12	4	30	9	
14	4	29	9	
7	5	31	8	
16	10	33	8	
10	6	32	6	
11	4	33	11	
5	6	20	6	
14	7	31	8	
14	6	31	8	
9	3	29	10	
9	4	27	7	
9	5	22	10	
13	8	33	8	
7	5	26	7	
7	8	29	10	
8	5	33	8	
12	7	30	12	
9	2	32	13	
10	7	26	13	
11	2	21	12	
9	9	31	4	
11	7	26	12	
15	3	28	10	
11	4	22	8	
11	6	24	14	
11	5	29	8	
8	7	27	12	
8	6	29	12	
10	5	27	11	
8	10	24	9	
12	5	17	7	
11	3	23	9	
11	5	21	7	
12	10	25	11	
9	7	20	10	
11	6	24	10	
11	6	28	12	
11	9	26	10	
7	8	20	9	
12	6	24	6	
8	6	30	12	
9	4	21	7	
8	8	27	9	
12	7	30	9	
10	9	20	11	
4	5	24	13	
9	5	27	7	
14	10	27	6	
3	9	18	12	
14	7	30	3	
9	4	29	7	
8	8	25	15	
12	4	27	10	
11	7	10	10	
11	4	17	7	
8	2	33	12	
14	4	29	9	
