Q[0]	Q[1]	Q[2]	Q[3]	
0	0.545455	0.0869565	0.117647	
0.2	0.545455	0.0869565	0.294118	
0.25	0.363636	0.0869565	0.117647	
0	0.272727	0.0869565	0.235294	
0	0	0	0.117647	
0.1	0.181818	0	0.529412	
0.1	0	0.0652174	0.235294	
0	0	0.108696	0.235294	
0	0	0.130435	0	
0.1	0.181818	0.0434783	0.294118	
0.1	0.181818	0.0434783	0.117647	
0	0.454545	0.108696	0.235294	
0	0.363636	0	0.117647	
0	0.181818	0.0869565	0.235294	
0.1	0	0.0869565	0.117647	
0.2	0.272727	0.130435	0.176471	
0.1	0.545455	0	0.235294	
0.1	0.454545	0.0869565	0.411765	
0	0	0.0434783	0.117647	
0	0.454545	0.0434783	0.411765	
0	0.181818	0.108696	0.117647	
0	0.363636	0.108696	0.117647	
0	0.545455	0.0434783	0.235294	
0.1	0	0.0434783	0.235294	
0	0.181818	0.0434783	0	
0	0.181818	0.108696	0.411765	
0.1	0.181818	0.0434783	0.176471	
0.3	0.181818	0	0	
0.2	0	0.130435	0.352941	
0.1	0.181818	0.0434783	0.235294	
0.1	0.181818	0.0434783	0.176471	
0	0.545455	0.0434783	0.294118	
0.3	0	0.0869565	0.117647	
0	0.181818	0.152174	0	
0	0.181818	0.108696	0	
0.1	0.181818	0.0652174	0.352941	
0	0.636364	0.130435	0.235294	
0.1	0.272727	0.173913	0.529412	
0	0.181818	0.173913	0.235294	
0	0	0.108696	0.235294	
0.2	0.181818	0.0434783	0.411765	
0.1	0.272727	0.0434783	0.117647	
0.1	0	0.0434783	0	
0	0.181818	0.152174	0.117647	
0	0.727273	0.0869565	0.352941	
0	0	0.0434783	0.117647	
0	0.181818	0.0434783	0	
0	0.181818	0.217391	0.588235	
0.1	0.363636	0.0652174	0.117647	
0.15	0.727273	0.152174	0.411765	
0	0.363636	0.0652174	0.117647	
0.15	0.363636	0.173913	0.235294	
0	0.545455	0.0652174	0	
0.15	0.545455	0.0652174	0	
0.15	0.181818	0.108696	0.117647	
0.25	0.545455	0.0434783	0.176471	
0.1	0	0.0652174	0.352941	
0.1	0	0.152174	0	
0	0.181818	0.0434783	0.529412	
0.1	0	0.0869565	0.294118	
0.1	0.181818	0.0434783	0.117647	
0.1	0	0.0434783	0.235294	
0.15	0.454545	0.108696	0.176471	
0.1	0	0.108696	0.235294	
0	0.272727	0.108696	0.235294	
0	0.272727	0.152174	0.294118	
0	0.636364	0	0	
0.25	0.181818	0.152174	0.117647	
0	0	0.0869565	0.117647	
0.1	0.363636	0	0.117647	
0.1	0.272727	0.0869565	0.529412	
0.4	0.181818	0.130435	0.117647	
0.2	0.363636	0.130435	0.235294	
0.15	0.363636	0.130435	0	
0.1	0.363636	0.130435	0.117647	
0	0.181818	0.130435	0.529412	
0.3	0.363636	0.0434783	0.294118	
0.1	0.181818	0.0869565	0.117647	
0.1	0.363636	0.0434783	0	
0.1	0.181818	0.130435	0.117647	
0	0.181818	0.130435	0.352941	
0.25	0.181818	0.130435	0.235294	
0.1	0.363636	0.23913	0.235294	
0	0	0.23913	0.176471	
0.1	0	0.0434783	0.176471	
0.1	0	0.0869565	0.294118	
0.25	0.181818	0.217391	0.352941	
0.1	0.181818	0.326087	0	
0.1	0.181818	0.0434783	0.294118	
0.1	0.272727	0.0434783	0.352941	
0	0.454545	0.26087	0.235294	
0.1	0.181818	0.0869565	0.235294	
0	0	0.0434783	0.235294	
0.3	0.454545	0	0.235294	
0	0.181818	0.0434783	0.176471	
0.2	0.181818	0.195652	0.176471	
0.1	0.181818	0.0869565	0.235294	
0.15	0	0	0.117647	
0.3	0	0.195652	0.470588	
0	0.454545	0	0.294118	
0.3	0	0.0434783	0.411765	
0.1	0.454545	0.0869565	0.470588	
0.1	0.181818	0.0869565	0.176471	
0.1	0.181818	0.152174	0.117647	
0	0.454545	0.152174	0.235294	
0.1	0.454545	0.217391	0.235294	
0.1	0.181818	0.0869565	0.117647	
0.1	0.363636	0.217391	0.235294	
0	0.363636	0.0434783	0.117647	
0.15	0	0.130435	0	
0.25	0	0.130435	0.117647	
0	0	0.0869565	0.352941	
0.2	0.181818	0.173913	0.176471	
0.1	0.181818	0	0	
0.1	0.272727	0.0434783	0.117647	
0.1	0.181818	0.152174	0.294118	
0.2	0.272727	0.130435	0.117647	
0.2	0	0.23913	0.647059	
0	0.181818	0	0.235294	
0.3	0	0	0.235294	
0.2	0.181818	0.130435	0.294118	
0.3	0	0.23913	0.176471	
0	0.272727	0.0869565	0.117647	
0	0	0.217391	0	
0.25	0	0.0434783	0.294118	
0.35	0.363636	0	0.117647	
0.1	0.363636	0.0434783	0.117647	
0	0.454545	0.0869565	0.235294	
0	0	0.173913	0.294118	
0.15	0	0.0869565	0.117647	
0.2	0.181818	0.0434783	0.117647	
0.2	0.454545	0.217391	0.117647	
0.1	0	0.0652174	0	
0	0.181818	0.0434783	0.235294	
0.1	0.181818	0.0434783	0.117647	
0	0	0.0434783	0.117647	
0.1	0.454545	0.130435	0.411765	
0	0	0.282609	0.705882	
0	0.454545	0.130435	0	
0	0.181818	0.0434783	0.117647	
0.1	0.181818	0.0434783	0.117647	
0.1	0.363636	0.217391	0.352941	
0	0.363636	0.108696	0.235294	
0.1	0.181818	0.0869565	0	
0	0.181818	0.0434783	0.352941	
0.3	0.272727	0.0434783	0	
0.2	0.363636	0.0434783	0.352941	
0	0	0.130435	0.235294	
0	0	0.304348	0	
0	0.636364	0.0869565	0.352941	
0	0.454545	0.0434783	0.294118	
0	0.363636	0.0434783	0.235294	
0.15	0	0.195652	0.176471	
0.1	0	0	0.294118	
0	0.363636	0.0434783	0	
0.35	0.363636	0.130435	0.235294	
0.1	0.272727	0.130435	0.235294	
0.1	0.181818	0.0434783	0.352941	
0	0.181818	0.195652	0.235294	
0	0	0.0434783	0.235294	
0.1	0.181818	0.173913	0.176471	
0.2	0	0.130435	0.294118	
0.2	0.454545	0	0	
0	0	0	0.117647	
0.1	0.363636	0.195652	0.117647	
0.1	0.272727	0.0434783	0.117647	
0.1	0.545455	0.0434783	0.117647	
0	0.545455	0.0652174	0.117647	
0.25	0.181818	0.130435	0.235294	
0.1	0.272727	0.108696	0.117647	
0.1	0.454545	0	0.235294	
0	0.181818	0.0434783	0.235294	
0	0	0.0869565	0.235294	
0.1	0	0.0652174	0.235294	
0	0.454545	0.130435	0.352941	
0.1	0.181818	0.152174	0	
0.1	0.727273	0.282609	0	
0.2	0.363636	0.130435	0.235294	
0	0.363636	0.0652174	0.117647	
0	0.454545	0.0869565	0.352941	
0	0.272727	0.0652174	0	
0.1	0.636364	0.152174	0.235294	
0	0.181818	0	0.176471	
0	0.363636	0.173913	0.411765	
0	0	0.0652174	0.117647	
0.1	0.545455	0.26087	0.176471	
0	0	0.173913	0.294118	
0.1	0.363636	0.0434783	0.647059	
0.1	0.181818	0.0434783	0	
0.1	0.181818	0.173913	0.117647	
0.2	0	0.0434783	0.176471	
0.1	0.181818	0.152174	0.117647	
0	0.181818	0.0434783	0.176471	
0	0.272727	0.0869565	0.235294	
0.1	0	0.0434783	0	
0.1	0.363636	0.195652	0.117647	
0	0.545455	0.0434783	0.235294	
0.15	0	0.152174	0.117647	
0.1	0	0.0434783	0	
0.1	0.272727	0.0869565	0	
0.25	0.363636	0.130435	0.352941	
0.1	0.363636	0.0869565	0	
0.1	0	0.195652	0.470588	
0.1	0.636364	0.0869565	0	
0.3	0.181818	0.282609	0.117647	
0.1	0.363636	0.0652174	0.117647	
0.25	0.181818	0.434783	0.470588	
0	0.454545	0.0434783	0.176471	
0.25	0.454545	0.0434783	0.294118	
0.2	0	0.0434783	0.235294	
0.1	0	0.108696	0.352941	
0.25	0.272727	0.0434783	0.117647	
0	0.181818	0.173913	0	
0	0.272727	0.0652174	0.352941	
0.15	0	0.0434783	0.235294	
0	0.454545	0.130435	0.411765	
0.2	0.181818	0.130435	0	
0.1	0.363636	0.173913	0.235294	
0	0.181818	0.195652	0.117647	
0.3	0.272727	0.0869565	0.235294	
0.25	0.454545	0.0652174	0.117647	
0	0.272727	0.152174	0.235294	
0.1	0	0.0652174	0.235294	
0.1	0.272727	0	0.117647	
0.1	0.272727	0.0434783	0.117647	
0	0.272727	0.217391	0.117647	
0.1	0.181818	0.23913	0	
0	0.181818	0.152174	0.117647	
0.3	0.272727	0	0.176471	
0.25	0.272727	0.0869565	0.294118	
0.1	0.272727	0.152174	0.235294	
0	0.181818	0.173913	0.117647	
0.1	0	0.0869565	0.411765	
0.1	0.181818	0	0.294118	
0.2	0.545455	0.173913	0.117647	
0	0.363636	0.0652174	0.352941	
0.1	0	0.0434783	0.117647	
0.1	0	0.0434783	0.235294	
0.25	0.272727	0.152174	0.235294	
0.2	0.454545	0.0869565	0.235294	
0.1	0.363636	0.0434783	0.117647	
0.25	0	0.0869565	0.235294	
0.2	0.181818	0.130435	0.176471	
0	0	0.152174	0.117647	
0.1	0.181818	0.195652	0.235294	
0	0.181818	0.173913	0.235294	
0	0.181818	0.0869565	0.117647	
0	0	0.0869565	0.294118	
0.1	0.454545	0.108696	0.352941	
0.1	0.181818	0.130435	0.117647	
0.4	0.272727	0.23913	0	
0.1	0	0.0869565	0.294118	
0.2	0.363636	0.0869565	0.294118	
0	0.363636	0.108696	0.235294	
0.2	0	0.0869565	0.352941	
0	0.181818	0.108696	0.352941	
0.1	0.272727	0.195652	0.352941	
0	0	0.130435	0.117647	
0	0.363636	0.0434783	0.411765	
0.7	0.181818	0	0.411765	
0	0.363636	0.0869565	0.117647	
0	0	0.0434783	0.235294	
0.15	0.545455	0	0	
0.1	0.272727	0.23913	0.411765	
0.1	0.272727	0.130435	0.117647	
0.2	0.181818	0.130435	0	
0	0.272727	0.152174	0.176471	
0.1	0.181818	0.347826	0	
0.2	0.181818	0.195652	0.235294	
0.1	0.272727	0.0869565	0	
0	0.272727	0.0652174	0.235294	
0.1	0.272727	0.0434783	0.117647	
0.1	0.363636	0	0	
0.1	0	0.23913	0.235294	
0	0.181818	0.0869565	0.235294	
0.25	0.181818	0.0869565	0.352941	
0	0.545455	0.23913	0.235294	
0.25	0.454545	0.152174	0.588235	
0	0	0.217391	0.411765	
0	0.181818	0.152174	0.117647	
0	0.181818	0.0869565	0.470588	
0	0	0.0434783	0.235294	
0	0	0.0869565	0	
0.1	0.181818	0.0869565	0.235294	
0	0.272727	0.23913	0.176471	
0.25	0.181818	0.0434783	0.117647	
0	0.363636	0.130435	0.235294	
0.1	0.363636	0.108696	0	
0	0.181818	0.108696	0.235294	
0.2	0.363636	0.0434783	0.117647	
0.25	0.181818	0.130435	0.117647	
0	0.181818	0.23913	0.235294	
0.1	0	0.0434783	0	
0	0.363636	0.130435	0.411765	
0.1	0.363636	0.152174	0.117647	
0.1	0.818182	0	0	
0.1	0	0.108696	0.235294	
0.1	0.545455	0.0434783	0.117647	
0	0.272727	0.217391	0.117647	
0	0	0.130435	0	
0.1	0	0.0434783	0.117647	
0.1	0.545455	0.0434783	0.294118	
0	0.363636	0.0434783	0	
0.1	0.181818	0	0.117647	
0.1	0.454545	0	0.235294	
0	0	0.130435	0	
0	0.272727	0.0434783	0.294118	
0.1	0.545455	0.0434783	0.117647	
0.2	0	0.108696	0.117647	
0.1	0.272727	0.130435	0	
0.2	0	0.0652174	0	
0.1	0.545455	0.0652174	0.117647	
0	0.363636	0.0869565	0.294118	
0	0.363636	0.0869565	0.176471	
0.25	0.363636	0	0.117647	
0	0.545455	0.0434783	0.117647	
0	0.181818	0.0434783	0.117647	
0	0.181818	0	0.117647	
0	0	0.0652174	0.176471	
0.2	0.363636	0.173913	0	
0	0.454545	0.0434783	0.176471	
0	0.272727	0.0434783	0.235294	
0.2	0.181818	0.108696	0	
0.1	0.818182	0.152174	0.235294	
0.1	0.454545	0.130435	0.235294	
0.1	0.545455	0.0434783	0.117647	
0.1	0.181818	0.23913	0	
0.2	0	0.23913	0.235294	
0	0.454545	0	0.235294	
0.1	0.363636	0.0869565	0.117647	
0.2	0.454545	0	0	
0.25	0.181818	0.173913	0.235294	
0.1	0	0.173913	0	
0	0.454545	0.130435	0.470588	
0.2	0.363636	0.0434783	0	
0	0.545455	0.0869565	0	
0.1	0.181818	0.0434783	0.117647	
0	0.181818	0.0869565	0.235294	
0.25	0.363636	0.152174	0.117647	
0.15	0.363636	0.0434783	0.117647	
0.15	0.636364	0.0434783	0.117647	
0.1	0.636364	0.195652	0.235294	
0.15	0.181818	0.130435	0.411765	
0	0.363636	0.130435	0	
0.25	0.454545	0.0869565	0.235294	
0.1	0.636364	0.0869565	0.411765	
0.1	0	0.108696	0.235294	
0	0	0.0869565	0.117647	
0	0.181818	0.108696	0.117647	
0	0	0.130435	0	
0.25	0.181818	0.130435	0.117647	
0.15	0.454545	0.0652174	0.235294	
0.25	0.181818	0.0869565	0.235294	
0	0.636364	0.130435	0.117647	
0	0.272727	0.108696	0.411765	
0	0.454545	0.0869565	0.352941	
0	0.181818	0.108696	0	
0.25	0	0.108696	0.235294	
0.15	0.181818	0.26087	0.294118	
0.1	0.363636	0.0434783	0.411765	
0	0.454545	0.0434783	0.411765	
0	0.454545	0	0.470588	
0.1	0.363636	0.173913	0.235294	
0.1	0.181818	0.0869565	0.294118	
0.3	0	0.173913	0.176471	
0.1	0.363636	0.0869565	0.176471	
0.1	0	0.108696	0.352941	
0	0	0.0434783	0.117647	
0.2	0.181818	0.0434783	0.352941	
0.2	0.272727	0.130435	0.117647	
0.1	0.727273	0.0434783	0.352941	
0	0.181818	0.23913	0	
0.15	0.181818	0.195652	0.235294	
0.2	0.181818	0.108696	0.117647	
0.1	0	0.0869565	0.411765	
0	0.181818	0.130435	0.235294	
0	0.454545	0.108696	0.117647	
0.1	0.545455	0.0652174	0	
0	0.545455	0.130435	0.529412	
0.15	0.272727	0.217391	0.117647	
0.25	0.363636	0.0869565	0.235294	
0	0.454545	0	0	
0	0.181818	0.0869565	0.529412	
0.1	0.181818	0.26087	0.235294	
0	0.181818	0.130435	0.235294	
0	0.545455	0.173913	0.235294	
0	0.272727	0.0434783	0.235294	
0.1	0.272727	0.173913	0.176471	
0	0.363636	0.173913	0.235294	
0.1	0.272727	0.0869565	0.117647	
0.1	0	0.0652174	0.235294	
0	0.363636	0.0434783	0.176471	
0.1	0	0	0.294118	
0.2	0.636364	0	0.235294	
0	0.181818	0	0.235294	
0.2	0.272727	0.0869565	0.117647	
0	0	0.0434783	0.235294	
0	0.272727	0.0869565	0.235294	
0	0.181818	0.0652174	0.117647	
0	0	0.195652	0.235294	
0.2	0.181818	0.0434783	0.235294	
0	0	0.130435	0.117647	
0.1	0	0.0434783	0.235294	
0.2	0.545455	0	0.352941	
0.1	0.363636	0.0869565	0.117647	
0.25	0.272727	0.0434783	0.117647	
0	0	0.108696	0.117647	
0	0.454545	0.0434783	0.235294	
0.25	0.363636	0.195652	0.117647	
0.1	0.363636	0.195652	0.117647	
0.1	0	0.130435	0.117647	
0	0.545455	0	0	
0.1	0.363636	0.0869565	0.117647	
0	0.363636	0	0.294118	
0.1	0.636364	0.108696	0.176471	
0	0	0	0.352941	
0.2	0	0	0.294118	
0	0	0.130435	0.294118	
0.3	0	0.130435	0.294118	
0	0	0.0434783	0.117647	
0	0.727273	0.130435	0.176471	
0.1	0.454545	0	0.117647	
0.1	0.181818	0.130435	0.117647	
0.15	0.363636	0.0869565	0.235294	
0.1	0	0.152174	0.117647	
0	0.181818	0.108696	0	
0	0.272727	0.0869565	0.411765	
0	0.363636	0.0869565	0.117647	
0	0.181818	0.130435	0.411765	
0.1	0.181818	0.0434783	0	
0.3	0	0.130435	0	
0.2	0.363636	0	0.294118	
0	0.272727	0.0869565	0.176471	
0	0.272727	0.0434783	0.117647	
0	0.363636	0	0.117647	
0.2	0.181818	0	0.176471	
0	0.363636	0.152174	0.117647	
0.3	0.181818	0.130435	0.235294	
0	0	0.108696	0.117647	
0.1	0	0.0869565	0.117647	
0	0.181818	0	0.117647	
0.35	0.545455	0.130435	0	
0	0.181818	0.152174	0.470588	
0.1	0.181818	0.173913	0.117647	
0.1	0.363636	0.0869565	0	
0.45	0.363636	0.0869565	0	
0	0	0.0434783	0.470588	
0.1	0.363636	0.0652174	0	
0	0	0.130435	0.117647	
0	0	0.173913	0.411765	
0	0.454545	0.108696	0.411765	
0.25	0	0.0434783	0	
0	0.181818	0.0869565	0.470588	
0.1	0.363636	0	0.235294	
0.2	0	0.0434783	0.470588	
0.1	0.272727	0.0434783	0.117647	
0.2	0.181818	0.152174	0.235294	
0.1	0.363636	0.282609	0.235294	
0.1	0.545455	0.0869565	0.117647	
0.1	0.363636	0.0869565	0.235294	
0.1	0.181818	0.130435	0.117647	
0	0.181818	0.0652174	0.235294	
0	0	0	0.235294	
0	0.363636	0.0869565	0.235294	
0.35	0.363636	0.108696	0.352941	
0	0.181818	0.23913	0.117647	
0	0.181818	0.326087	0.117647	
0.1	0.909091	0.130435	0.411765	
0.1	0.181818	0.0434783	0.352941	
0.25	0	0.108696	0	
0	0.181818	0.0434783	0.352941	
0.15	0.181818	0.108696	0.294118	
0.1	0	0.152174	0.235294	
0	0	0.195652	0.235294	
0.1	0	0.130435	0.352941	
0.3	0.545455	0.195652	0	
0	0.181818	0.152174	0.294118	
0	0.363636	0.173913	0.352941	
0.1	0.272727	0.130435	0.235294	
0.25	0.181818	0.108696	0.352941	
0	0.363636	0.0434783	0.235294	
0.1	0.545455	0.0434783	0.411765	
0.1	0	0.0869565	0.117647	
0.1	0.363636	0	0	
0.1	0.363636	0.0869565	0.647059	
0.1	0.363636	0.108696	0.117647	
0.1	0.454545	0	0.117647	
0	0.181818	0.0869565	0	
0.35	0	0.108696	0.117647	
0.1	0.181818	0.0434783	0.294118	
0	1	0.0434783	0.294118	
0.2	0.181818	0.0434783	0	
0.1	0	0.0652174	0.117647	
0.1	0.181818	0.23913	0.294118	
0.1	0.636364	0.130435	0	
0.1	0.181818	0.0869565	0.235294	
0.25	0	0.0434783	0	
0.15	0.181818	0.173913	0	
0	0.272727	0.0434783	0.294118	
0.3	0.181818	0.130435	0.117647	
0.1	0.363636	0.0434783	0.117647	
0.2	0.181818	0	0.411765	
0.1	0.181818	0.0869565	0.117647	
0.1	0.363636	0.0869565	0.470588	
0.2	0.181818	0.108696	0.235294	
0.1	0	0.108696	0.117647	
0.2	0.545455	0.108696	0.294118	
0	0.272727	0.23913	0	
0.1	0.181818	0.0434783	0.235294	
0.2	0.545455	0.0434783	0.294118	
0.1	0.454545	0.0869565	0.117647	
0	0.272727	0.0869565	0.588235	
0.1	0.181818	0.0434783	0	
0	0.272727	0.108696	0	
0.2	0	0.0434783	0.117647	
0	0.363636	0.0869565	0.176471	
0.15	0.181818	0.173913	0.294118	
0	0.181818	0.152174	0	
0.1	0.181818	0.0869565	0.235294	
0	0	0.108696	0.176471	
0.1	0	0	0.235294	
0.25	0.181818	0.0434783	0.352941	
0.2	0	0.130435	0.117647	
0.15	0.181818	0.173913	0.176471	
0.2	0.363636	0.282609	0.176471	
0	0	0.173913	0.117647	
0	0.181818	0.108696	0.117647	
0.1	0.454545	0.23913	0	
0	0.454545	0.217391	0.117647	
0.3	0	0.108696	0.352941	
0	0.181818	0.108696	0.352941	
0	0.181818	0.108696	0	
0	0	0.0869565	0.294118	
0	0.545455	0	0.294118	
0	0	0	0.117647	
0.1	0.181818	0.108696	0.117647	
0	0.454545	0.0652174	0.117647	
0.25	0.181818	0.195652	0	
0	0.272727	0.413043	0.235294	
0.3	0.818182	0.130435	0	
0.1	0	0.108696	0.117647	
0.45	0.363636	0.152174	0.117647	
0.3	0.636364	0.0434783	0.411765	
0.1	0.181818	0.130435	0.117647	
0	0.272727	0.0434783	0.117647	
0	0.363636	0.0652174	0.176471	
0.1	0.181818	0.0869565	0	
0.2	0	0	0.411765	
0	0	0.0434783	0.411765	
0.1	0.545455	0.0434783	0.294118	
0.1	0	0.173913	0.470588	
0.15	0.545455	0.0869565	0.352941	
0	0.454545	0	0.117647	
0.1	0.181818	0	0.117647	
0	0.181818	0.173913	0	
0	0.272727	0.130435	0.117647	
0	0	0.108696	0.176471	
0	0	0.0434783	0.235294	
0.2	0.363636	0.0869565	0.352941	
0	0.545455	0.0434783	0.117647	
0.1	0	0.0652174	0.117647	
0	0.363636	0.173913	0.117647	
0	0.181818	0.0434783	0.294118	
0	0.545455	0.0869565	0.117647	
0	0.181818	0.0434783	0.352941	
0.1	0.272727	0	0.411765	
0	0.181818	0.130435	0	
0	0.181818	0.130435	0.117647	
0.1	0.636364	0.130435	0.294118	
0.15	0	0.0869565	0.235294	
0.1	0	0.0869565	0.117647	
0	0	0.108696	0	
0	0.363636	0.130435	0.176471	
0.15	0.454545	0.0869565	0.235294	
0.1	0.181818	0.0434783	0.235294	
0	0.363636	0.0869565	0.294118	
0.15	0	0	0.588235	
0	0	0.0869565	0.235294	
0	0.363636	0.130435	0	
0.1	0.181818	0.0869565	0.117647	
0.1	0.181818	0.173913	0.176471	
0	0.363636	0.217391	0.352941	
0.2	0	0.130435	0.117647	
0.2	0	0.195652	0.235294	
0	0.272727	0.108696	0	
0	0.272727	0	0.176471	
0.1	0.363636	0.0869565	0.588235	
0	0.363636	0.130435	0	
0.2	0.454545	0	0.117647	
0.15	0.454545	0.217391	0	
0.1	0.545455	0	0.294118	
0	0.181818	0.23913	0.294118	
0	0.545455	0.217391	0.411765	
0.1	0.181818	0.108696	0.294118	
0.2	0.363636	0.152174	0.235294	
