thetaWatt[0]	thetaWatt[1]	thetaWatt[2]	thetaWatt[3]	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
5.0484	3.88834	12.3183	5.62937	
