H[0]	H[1]	H[2]	H[3]	
-0.983908	0.8	5.57971	1.75758	
-4.21149	-6.84444	6.37681	-2.0303	
1.81149	2.22222	-7.23188	3.51515	
1.81149	2.22222	6.05072	-4.21212	
1.93103	-1.95556	-3.21739	2.9697	
-0.533333	-0.177778	3.89855	1.27273	
1.41609	2.31111	2.32609	-0.757576	
2.44598	1.15556	2.36957	-1.54545	
2.09655	2.13333	4.28986	2.12121	
1.49885	0.888889	3.97826	1.30303	
1.84828	2.31111	1.5942	-0.484848	
-7.49425	1.42222	1.18841	2.15152	
-1.38851	-1.06667	3.02899	0.212121	
2.23448	-0.444444	-5.32609	-7.87879	
0.542529	1.24444	3.05072	2.54545	
-2.97931	2.22222	4.18116	1.78788	
-0.910345	0.8	1.67391	1.60606	
1.88506	2.04444	2.68116	-0.272727	
2.57471	2.22222	0.398551	2.0303	
-1.08506	1.95556	-10.587	-2.39394	
-0.229885	1.42222	-3.44928	2.18182	
-0.0367816	-4.26667	2.23913	2.15152	
1.04828	1.24444	-4.06522	2.39394	
1.58161	1.77778	5.97826	0.878788	
2.02299	1.15556	4.43478	2.24242	
2.0046	-0.711111	2.37681	2.69697	
1.95862	-3.64444	4.52899	-0.272727	
-1.11264	0.711111	1.43478	-0.878788	
1.71954	0.711111	2.81884	0.30303	
1.95862	-3.55556	-7.05797	1.36364	
0.845977	-3.2	3.38406	0.242424	
-0.211494	1.95556	3.87681	1.24242	
-1.51724	-5.15556	2.44928	0.666667	
2.78621	2.04444	4.15217	1.15152	
1.91264	-3.11111	5.36232	2.42424	
-0.726437	-1.77778	0.956522	2.42424	
-1.25977	2.31111	-2.65217	2.24242	
1.36092	2.04444	3.97826	3.27273	
3.13563	-0.0888889	6.07971	3.24242	
1.45287	-3.28889	1.14493	-1	
1.74713	2.4	5.52174	2.75758	
1.61839	-1.33333	2.38406	2.30303	
1.74713	-0.266667	-8	-0.69697	
1.48046	0.0888889	3.25362	-4.60606	
1.24138	0.177778	-1.07971	-1.54545	
1.83908	1.15556	3.86957	3.27273	
1.26897	1.95556	5.07246	0.69697	
1.73793	-3.46667	3.9058	2.75758	
1.33333	-2.13333	3.37681	-0.69697	
1.71034	-3.37778	0.152174	-0.424242	
2.15172	1.24444	2.58696	1.66667	
1.7931	-1.51111	5.92029	1.24242	
2.51954	2.13333	3.98551	-5	
0.110345	0.711111	-2.15942	-9.60606	
0.432184	0.977778	-2.23913	3.09091	
1.56322	0.533333	2.86957	1.33333	
0.570115	0.711111	0.971014	2.21212	
1.92184	0.355556	1.23188	1.84848	
1.72874	0.8	-0.355072	-3.12121	
0.56092	2.13333	3.23188	1.72727	
1.03908	-0.977778	2.36957	1.45455	
1.35172	0.622222	5.74638	2.60606	
0.524138	-5.15556	2.18116	3.24242	
2.11494	1.95556	3.96377	2.51515	
0.294253	-2.66667	0.326087	0.939394	
0.956322	-3.28889	-2.13768	2.93939	
2.28046	2.22222	3.05797	1.78788	
0.0827586	-1.6	6.75362	-4.78788	
-3.66897	1.95556	4.0942	1.24242	
-0.910345	2.31111	3.31884	2.0303	
2.76782	2.31111	1.80435	2.12121	
2.97931	-0.533333	3.93478	3.30303	
1.95862	2.04444	-1.98551	-0.939394	
0.285057	-4.08889	0.978261	-3.78788	
2.33563	-5.06667	3.02174	1.51515	
0.183908	0.622222	1.10145	-1.69697	
2.33563	2.4	5.94203	-7.66667	
2.01379	-3.2	-2.65942	-0.424242	
0.174713	-1.15556	0.166667	2.9697	
1.49885	-1.6	-2.34058	-2.42424	
1.69195	1.06667	5	1.06061	
-0.312644	2.31111	0.217391	3.06061	
1.25057	-3.55556	4.57971	2.24242	
1.12184	0.977778	2.26087	0.515152	
2.54713	1.24444	5.07971	-2.51515	
0.57931	0.533333	-2.76812	2.09091	
0.377011	1.6	2.86957	2.15152	
0.763218	-0.266667	3.03623	3.27273	
0.349425	-2.93333	4.27536	0.848485	
1.76552	-2.48889	4.10145	0.818182	
-1.4069	1.15556	4.02174	-0.212121	
1.09425	1.51111	1.58696	1.60606	
1.84828	1.33333	2.4058	2.51515	
0.211494	1.51111	4.31159	1.81818	
-0.202299	-1.33333	4.46377	-1.30303	
1.33333	0	0.521739	1.06061	
0.542529	-1.24444	1	0.0909091	
0.487356	2.4	3.34783	2.33333	
1.66437	0.444444	2.78986	3.24242	
-1.63678	-5.15556	4.37681	2.84848	
1.29655	1.6	5.23913	-0.787879	
1.89425	0.266667	-0.456522	0.545455	
1.8023	-1.06667	0.311594	1.93939	
-0.174713	-0.266667	5.68841	-0.969697	
1.67356	2.04444	3.49275	1.48485	
1.42529	1.24444	0.768116	3	
1.70115	1.51111	1.67391	-2.21212	
2.10575	2.31111	2.96377	1.60606	
2.70345	0.977778	5.00725	-5.42424	
1.32414	1.86667	2.94203	1.24242	
2.71264	-0.888889	5.44203	2.0303	
2.12414	2.31111	-3.00725	1.60606	
2.30805	-3.46667	0.398551	3.39394	
-4.64368	1.68889	4.74638	-3.33333	
1.14943	0.977778	3.12319	2.36364	
1.93103	1.15556	4.51449	-0.212121	
-1.33333	1.95556	2.47101	2.30303	
2.64828	0.533333	-2.89855	0.606061	
2.07816	-1.42222	2.15217	0.787879	
1.81149	-0.533333	-4.2971	2.93939	
0.891954	2.04444	4.24638	2.9697	
1.14943	-1.6	3.7971	-1.63636	
1.12184	-0.0888889	3.55072	2.69697	
1.92184	2.22222	4.77536	-0.30303	
0.285057	0.8	3.12319	3.09091	
2.61149	2.57778	0.695652	2.09091	
2.08736	0.888889	-11.6232	0.939394	
0.367816	0.888889	-1.58696	-3.72727	
1.48966	1.42222	-14.7609	1.93939	
1.82989	1.51111	-1.57971	1.69697	
0.772414	0.977778	4.96377	1.18182	
2.4	1.06667	4.57246	2.78788	
0.965517	-0.266667	3.31159	-2.0303	
1.12184	2.31111	4.19565	-1.75758	
-0.367816	1.6	5.26087	1.54545	
1.78391	2.31111	3.47826	-2.48485	
1.7931	2.31111	2.65942	1.15152	
1.74713	2.4	4.31159	2.12121	
2.26207	-0.355556	1.63768	1.69697	
0.671264	2.04444	5.2971	-2.93939	
0.275862	2.13333	0.311594	1.81818	
-0.0367816	1.42222	3.66667	-0.121212	
1.82069	0.533333	-4.69565	2.12121	
1.34253	1.86667	4.11594	2.27273	
0.754023	-0.0888889	4.57971	2.63636	
0.754023	1.24444	0.818841	0.363636	
1.9954	0.711111	-2.99275	-1.09091	
2.05057	2.31111	3.57971	-0.30303	
0.551724	-3.2	3.02899	2.93939	
0.524138	2.13333	2.5	2.06061	
1.17701	1.95556	-0.057971	0.666667	
0.331034	2.4	1.94928	3.12121	
0.395402	1.77778	6.60145	3.12121	
0.514943	0.355556	-7.48551	-2.69697	
1.96782	1.24444	2.97826	3.36364	
2.22529	1.68889	1.62319	2.63636	
2.83218	1.15556	4.34783	0.424242	
2.26207	1.51111	4.05797	0.181818	
0.855172	2.13333	2.5942	-0.727273	
-1.31494	1.95556	1.15942	0.515152	
1.30575	2.04444	5.15942	1.06061	
1.72874	1.86667	2.48551	2.60606	
1.55402	-1.6	3.15217	2.48485	
2.38161	2.13333	1.15217	-1.45455	
1.50805	-0.177778	1.26087	2.06061	
-2.43678	1.86667	2.94928	1.78788	
-3.77011	1.24444	4.28261	0.363636	
-1.33333	-0.266667	4.47826	-0.757576	
-0.248276	1.51111	-1.38406	-0.69697	
3.14483	1.68889	0.202899	0.484848	
1.07586	0.177778	2.15217	2.33333	
1.69195	1.95556	-0.347826	0.484848	
0.818391	1.51111	5.28986	1.09091	
2.8046	-2.66667	6.76812	1.9697	
1.78391	0.622222	4.51449	0.484848	
-0.0827586	1.06667	4.57971	1.9697	
2.38161	0	0.913043	3.21212	
2.09655	1.24444	4.83333	-2.51515	
2.14253	2.22222	-7.01449	-4.09091	
1.58161	0.0888889	1.2029	2.18182	
-0.625287	0	-0.0507246	2.78788	
1.06667	-0.266667	5.01449	2.60606	
1.47126	2.31111	5.50725	0.0909091	
0.864368	-0.177778	4.50725	2.54545	
-0.790805	-4.44089e-16	4.78986	2.39394	
2.16092	2.66667	3.2029	0.272727	
2.14253	-1.95556	2.98551	0.484848	
1.47126	0.533333	6.3913	2.90909	
0.358621	-5.06667	4.68116	2.12121	
0.873563	-8.88178e-16	4.97826	-2.84848	
2.23448	-0.977778	-2.42754	1.60606	
1.57241	1.24444	5.6087	1.75758	
1.56322	0.177778	5.28261	-3.18182	
1.77471	0.177778	5.07971	2.84848	
2.54713	0.622222	4.85507	1.87879	
-2.25287	-0.177778	4.65942	-0.151515	
1.48966	1.6	3.58696	0.636364	
1.96782	1.6	4.4058	3.30303	
-2.23448	-2.13333	3.91304	1.57576	
-2.75862	1.6	-0.224638	-0.0606061	
-3.24598	1.06667	4.01449	2.9697	
1.32414	2.48889	3.60145	1.21212	
0.827586	1.6	4.30435	2.0303	
2.5931	1.95556	0.884058	-0.848485	
-0.183908	-0.977778	4.15942	0.242424	
1.71954	1.15556	0.5	0.575758	
2.4	1.68889	-3.33333	-0.969697	
0.23908	0.888889	1.99275	2.69697	
2.22529	2.13333	2.58696	3.33333	
1.55402	0.0888889	2.36957	-2.39394	
2.85057	-2.93333	3.04348	-2.75758	
1.09425	1.33333	3.65942	1.60606	
2.26207	1.06667	4.33333	2.36364	
1.08506	2.4	3.22464	-5.93939	
0.0091954	1.95556	3.51449	2.45455	
0.514943	2.22222	5.51449	2.48485	
2.05057	0.533333	3.01449	3.18182	
1.98621	1.06667	5.81159	2.30303	
1.8023	0.8	1.42754	2.57576	
-0.790805	1.68889	3.95652	1.45455	
1.86667	1.42222	1.03623	-1.87879	
0.404598	2.13333	2.84058	2.87879	
1.71954	-0.266667	-6.85507	-8.24242	
-0.0735632	2.13333	4.68116	2.87879	
3.03448	-2.84444	-2.22464	1.15152	
2.31724	1.15556	4.78261	1.63636	
-0.101149	-4	2.02899	0.181818	
-1.84828	-1.42222	0.0869565	3.45455	
-0.570115	1.77778	4.36232	0.0606061	
0.928736	-0.177778	1.65942	-0.787879	
1.10345	0.888889	1.47101	0.333333	
2.07816	0.355556	5.05797	-2.15152	
-0.717241	1.86667	2.34058	1.36364	
-0.634483	0.266667	3.44928	0.939394	
1.43448	2.48889	4.92754	1.30303	
2.31724	-0.533333	-1.78261	-1.78788	
1.04828	1.95556	-0.710145	2.66667	
2.01379	1.51111	3.98551	3.21212	
2.04138	0.711111	-0.862319	1.66667	
2.0046	0.622222	-0.23913	0.545455	
-0.754023	1.95556	0.543478	1.51515	
-1.15862	2.13333	-2.1087	3.24242	
1.17701	2.22222	5.9058	3.21212	
1.05747	1.77778	0.73913	-0.30303	
-1.46207	1.51111	0.108696	-0.121212	
1.77471	0.711111	-0.0434783	0.242424	
-0.358621	2.04444	4.95652	2.72727	
1.55402	-0.711111	3.44928	-0.606061	
-0.450575	1.33333	4.86232	0.969697	
1.73793	-1.15556	4.26812	2.69697	
1.33333	-3.37778	5.5942	-1.0303	
0.882759	0.355556	0.637681	1.15152	
-5.09425	1.6	-1.63768	1.27273	
-0.671264	2.31111	1.98551	-3.69697	
-3.27356	2.13333	1.8913	3.0303	
1.73793	1.95556	0.630435	2.84848	
2.44598	-0.622222	4.4058	-0.848485	
1.93103	1.51111	5.56522	-3.66667	
1.75632	-0.444444	4.35507	1.66667	
-2.1977	-4.08889	2.1087	-1.27273	
1.82989	2.13333	1.78261	1.21212	
0.183908	-0.266667	4.13043	1.30303	
2.0046	1.95556	3.7029	0.484848	
2.12414	0.177778	3.08696	3.33333	
2.42759	2.22222	3.37681	2.27273	
-0.266667	-0.177778	0.876812	2.66667	
0.965517	0.888889	2.98551	1.42424	
2.12414	1.51111	5.92029	0.424242	
1.98621	1.15556	3.72464	2.06061	
1.62759	-0.177778	4.62319	2.51515	
2.13333	0.888889	4.73913	1.75758	
-1.49885	0.0888889	5.45652	0.787879	
1.16782	-1.51111	1.12319	0.515152	
-1.44368	2.31111	-3.13768	2.45455	
0.947126	0.888889	1.15217	1.21212	
-1.48046	1.77778	4.07246	-1.09091	
1.85747	0	0.471014	1.24242	
2.1977	-1.6	3.84783	1.93939	
1.94943	0.711111	3.41304	2.06061	
1.1954	2.4	0.376812	2.66667	
2.17011	-1.24444	-0.231884	-0.939394	
1.81149	0.533333	4.12319	3.12121	
-4.06437	1.51111	-1.55797	3.21212	
0.763218	-1.6	4.55072	2.0303	
2.0046	-1.51111	0.557971	-0.878788	
2.4092	-1.51111	-8.4058	1.15152	
2.0046	-1.51111	2.72464	1.24242	
1.48046	-0.266667	3.22464	0.363636	
-1.65517	2.22222	1.7029	1.27273	
1.69195	-1.51111	4.96377	0.151515	
2.17931	1.86667	-6.86957	3.42424	
2.85977	0.533333	4.3913	1.93939	
-2.69425	1.42222	4.81884	1.09091	
1.14023	1.42222	3.44203	0.484848	
2.26207	1.86667	-2.42754	-0.545455	
1.01149	1.51111	0.449275	3.15152	
0.11954	1.95556	4.94203	1.90909	
1.22299	1.51111	-1.69565	1.57576	
-0.855172	1.6	0.768116	1.06061	
2.42759	2.31111	5.43478	3.45455	
0.809195	-0.977778	5.97101	2.93939	
1.74713	0.177778	4.00725	2.21212	
0.413793	1.15556	4.31159	3.06061	
1.56322	-2.04444	5.35507	0.30303	
1.6092	0.266667	5.2971	1.9697	
1.6	1.51111	0.318841	3.0303	
1.32414	1.42222	5.78261	2.90909	
1.23218	-1.42222	1.16667	2.12121	
-1.50805	2.31111	1.23913	3.33333	
1.72874	0.266667	5.11594	1.15152	
1.61839	0.0888889	0.5	-1.90909	
-0.836782	1.86667	5.47826	1.06061	
2.2069	1.24444	-2.38406	1.33333	
0.128736	1.77778	1.57971	2.87879	
2.10575	0.0888889	-3.51449	-0.272727	
0.974713	-0.444444	0.507246	2.36364	
0.937931	2.13333	1.65942	1.60606	
1.56322	-3.91111	3.36957	1.93939	
-1.68276	1.68889	4.80435	1.39394	
1.04828	0.888889	5.10145	0.424242	
1.94023	2.04444	3.19565	1.9697	
1.45287	0.711111	2.30435	2.30303	
2.2069	0.266667	5.46377	-6.57576	
0.790805	-5.24444	3.65217	2.75758	
2.2069	0.355556	2.94203	-0.272727	
1.56322	1.33333	2.13043	2.06061	
2.69425	1.33333	2.05072	-2.81818	
2.12414	-1.42222	5.28986	2.27273	
2.51034	2.57778	3.30435	1.90909	
1.8023	1.51111	1.66667	0.454545	
1.64598	1.95556	3.84783	1.93939	
1.18621	1.68889	0.536232	-4.0303	
2.54713	1.77778	4.36232	2.21212	
1.83908	0.888889	0.992754	-1	
2.12414	1.77778	5.48551	2.27273	
-2.22529	-5.06667	5.12319	1.81818	
1.4069	-1.06667	4.42029	3.21212	
-0.165517	1.06667	-6.68841	2.69697	
2.09655	1.06667	-0.478261	1.87879	
0.377011	0.266667	4.71014	3.18182	
2.05057	0.622222	4.92029	1.57576	
1.14943	-2.93333	3.26812	2.18182	
0.634483	-4.17778	-1.21739	3.09091	
0.947126	-0.888889	4.77536	0.151515	
1.58161	1.68889	5.03623	3.12121	
2.11494	1.77778	5.73188	1.87879	
0.588506	-0.355556	2.07971	-4	
0.404598	2.13333	3.9058	-0.909091	
2.05977	0.266667	-0.166667	2.06061	
1.71954	-1.6	2.77536	2.66667	
1.24138	1.68889	3.84783	2.81818	
1.0023	0.533333	-2.0942	2.54545	
2.18851	1.06667	3.36957	-2.75758	
1.74713	-0.8	4.26812	2.69697	
-0.606897	0.266667	5.04348	2.63636	
2.17011	2.13333	5.57971	2.36364	
1.67356	-1.42222	5	-0.151515	
1.72874	2.31111	5.77536	2.33333	
0.726437	-3.2	-4.35507	2.75758	
0.450575	1.24444	2.93478	-0.333333	
2.05057	2.31111	3.91304	-1.63636	
2.10575	1.15556	3.02899	2.24242	
1.90345	1.15556	3.98551	2.24242	
1.83908	1.33333	1.64493	2.12121	
-1.92184	1.6	3.68116	1.33333	
-3.49425	1.24444	2.26812	2.36364	
2.17011	-1.6	-2.75362	2.72727	
2.36322	2.31111	3.53623	1.63636	
1.77471	2.22222	4.80435	-0.30303	
1.56322	-1.68889	5.45652	-3.24242	
-0.0091954	-1.42222	3.61594	1.69697	
1.8023	1.15556	2.73913	2.63636	
2.02299	-0.266667	0.478261	-0.575758	
1.94943	0.711111	5.4058	2.66667	
2.0046	1.33333	6.80435	0.030303	
0.183908	1.06667	0.108696	0.848485	
1.16782	-5.15556	4.36957	1.75758	
2.27126	0.8	2.7029	0.121212	
2.57471	2.04444	3.23188	3.15152	
-0.873563	2.4	2.0942	-1.12121	
-0.358621	-0.0888889	0.623188	1.81818	
-1.67356	0.711111	1.73188	-1.24242	
1.27816	2.48889	5.63768	1.66667	
2.09655	2.04444	3.23188	-2.12121	
-1.6	1.24444	4.03623	2.57576	
0.928736	1.15556	3.96377	-1.21212	
0.754023	-0.355556	5.46377	-3.18182	
1.73793	1.24444	3.28986	-3.87879	
2.02299	1.15556	-3.5942	2.30303	
0.183908	1.15556	6.06522	1.69697	
2.23448	2.22222	2.14493	-2.48485	
1.67356	1.24444	2.43478	1.33333	
1.94943	1.06667	1.19565	-3.33333	
2.64828	-1.6	3.13043	1.84848	
0.193103	-0.622222	1.2029	1.45455	
0.662069	0.355556	0.231884	2	
0.689655	-3.37778	2.56522	2.90909	
0.901149	-1.42222	-1.18841	2.48485	
0.597701	1.15556	4.7971	2.15152	
2.04138	1.68889	0.688406	2.21212	
-3.31954	1.68889	3.71739	2.84848	
-10.1333	-0.177778	3.73913	0.909091	
1.52644	-0.444444	5.76812	-1.09091	
2.26207	0.8	5.78986	1.42424	
0.514943	1.51111	2.21014	1.57576	
0.772414	1.68889	2.75362	0.30303	
1.85747	-3.28889	4.16667	2.36364	
-0.965517	1.06667	5.61594	1.87879	
1.9954	1.86667	-0.992754	-0.727273	
-1.46207	2.13333	2.68841	2.66667	
-0.275862	2.4	3.07971	-1.42424	
-2.14253	1.24444	3.17391	-6.21212	
0.0367816	-4.44089e-16	1.13043	1.93939	
-0.147126	1.24444	5.76812	2.63636	
1.16782	2.22222	5.39855	2.69697	
2.70345	0.266667	3.10145	0.30303	
2.28966	2.31111	2.91304	1.87879	
-2.08736	1.33333	-0.869565	-5.06061	
2.08736	1.86667	6.73188	2.06061	
2.09655	0.177778	3.25362	2.15152	
1.30575	2.31111	4.36232	-4.48485	
1.18621	1.33333	-5.89855	-2.21212	
1.98621	1.95556	1.38406	3.36364	
0.505747	2.04444	0.398551	1.60606	
1.95862	0.711111	4.94203	-0.757576	
0.855172	1.6	3.89855	2.75758	
-0.533333	0.977778	-0.681159	3.18182	
-1.14943	0.888889	2.91304	0.151515	
1.82989	0.622222	4.31884	1.24242	
0.450575	1.51111	1.73913	2.09091	
2.15172	1.86667	3.10145	3.06061	
0.625287	-1.86667	3.5	3.06061	
-1.49885	0.355556	5.55797	-4.60606	
-2.41839	2.22222	3.07246	2.42424	
1.70115	-2.31111	-3.74638	0.515152	
0.947126	-2.66667	-0.485507	2	
-0.873563	1.06667	0.0797101	-2.54545	
2.17011	1.6	5.72464	2.39394	
1.25977	1.68889	5.46377	3	
2.2069	0.8	0.528986	2.27273	
-1.24138	0.8	1.7971	1.66667	
-0.110345	-1.51111	-3.19565	2.81818	
2.48276	0.888889	3.78986	1.9697	
1.02989	-0.177778	0.963768	2.78788	
1.97701	1.86667	2.76087	1.75758	
1.61839	0.888889	-0.557971	1.09091	
2.05977	2.4	3.03623	2.33333	
1.85747	1.86667	3.94928	2.24242	
-0.542529	1.06667	4.26812	1.9697	
2.55632	1.68889	0.42029	0.818182	
2.14253	-0.177778	0.775362	-3.57576	
1.64598	1.51111	3.9058	-1.84848	
1.97701	0.0888889	3.5942	-0.363636	
0.68046	1.86667	1.13768	0.121212	
0.248276	2.13333	5.26087	1.81818	
-0.91954	1.86667	3.18116	2.30303	
2.09655	-0.711111	3.98551	1.93939	
-0.772414	-0.177778	-9.02174	1.42424	
-1.16782	1.06667	4.32609	1.15152	
1.17701	1.6	-3.7029	3.36364	
0.478161	-2.66667	-0.0724638	1.81818	
0.422989	2.13333	4.74638	0.242424	
1.05747	0.622222	5.51449	1.93939	
