FD[0]	FD[1]	FD[2]	FD[3]	
-0.698577	-0.903311	-3.12677	-1.69156	
0.0173236	-0.475537	-2.28992	-0.746665	
-3.56218	-0.475537	-0.783584	-0.431701	
-2.13038	-1.75886	-1.11833	-1.06163	
-2.84628	-0.475537	-1.78781	-1.37659	
-0.340627	-0.475537	-1.2857	-0.431701	
0.375274	-1.33108	-1.62044	0.828158	
-2.13038	-0.0477638	-1.2857	-0.431701	
-2.48833	-1.33108	-3.79625	-0.116736	
0.0173236	-1.75886	-3.46151	-0.431701	
-2.48833	-0.903311	-3.29414	-1.06163	
-1.77243	-0.475537	-1.2857	-1.37659	
-3.20423	-0.475537	-3.46151	-1.06163	
-1.41448	-1.75886	-2.62466	1.45809	
0.0173236	-0.0477638	-2.9594	-2.00652	
-2.48833	-0.903311	-1.95518	-0.431701	
-1.41448	-0.903311	-3.12677	-1.37659	
-2.84628	-2.61441	-2.12255	-0.116736	
0.375274	-0.0477638	-1.11833	-1.69156	
-3.20423	-3.04218	-2.79203	-1.06163	
-2.84628	-0.0477638	-1.78781	1.45809	
-1.77243	1.66333	-3.46151	-2.00652	
-2.13038	-0.903311	-2.62466	-2.32149	
-3.20423	-1.33108	-1.45307	-0.746665	
-3.20423	-0.903311	-3.29414	0.513193	
-2.84628	-1.75886	-3.46151	-1.69156	
-0.698577	-0.475537	-1.95518	-0.746665	
-2.84628	-0.0477638	-2.9594	-0.746665	
-2.84628	-0.0477638	-2.62466	-0.431701	
-2.84628	-0.903311	-2.79203	-1.06163	
-1.05653	-0.903311	-2.12255	0.198229	
-3.56218	-2.61441	-2.28992	-1.69156	
-1.77243	1.23556	-2.12255	-0.431701	
-1.41448	-0.0477638	-0.950955	-1.06163	
-2.13038	-0.903311	-2.28992	-1.06163	
-1.77243	0.807783	-3.96362	0.198229	
-1.77243	-1.33108	-2.28992	-2.32149	
-2.48833	-2.61441	-2.45729	-0.746665	
-0.698577	-1.33108	-2.28992	-0.746665	
-1.05653	-0.903311	-2.62466	-0.746665	
-4.27808	-0.903311	-2.9594	-2.95142	
-3.20423	0.38001	-1.78781	-2.32149	
-2.13038	-0.903311	-0.783584	-2.32149	
-1.77243	0.807783	-2.79203	-2.00652	
-2.84628	-2.18663	-1.95518	-0.116736	
-2.84628	-0.475537	-2.62466	-1.37659	
-1.77243	-1.75886	-2.79203	-0.431701	
-2.48833	0.807783	-1.78781	-2.32149	
-2.48833	0.807783	-2.12255	-1.69156	
-3.56218	-1.75886	-2.28992	-0.116736	
-1.41448	-1.33108	-2.45729	-1.69156	
-3.20423	-0.475537	-2.62466	-2.00652	
-1.05653	-2.18663	-1.11833	-0.116736	
-2.48833	-0.0477638	-3.79625	-1.06163	
-2.84628	-0.0477638	-2.45729	-0.746665	
-2.84628	-0.903311	-1.62044	-0.746665	
-3.20423	0.807783	-3.29414	-1.37659	
-3.20423	-1.33108	-0.114102	-1.37659	
-3.92013	-2.18663	-3.46151	-1.06163	
-1.41448	-0.903311	-0.950955	-2.95142	
-0.340627	-0.0477638	-1.95518	-1.06163	
-2.13038	1.23556	-1.95518	-0.431701	
-0.698577	1.23556	-1.62044	-1.69156	
-2.84628	-1.33108	-3.29414	0.198229	
-1.05653	0.807783	-2.79203	-0.746665	
-1.41448	-0.903311	-1.11833	-2.32149	
-2.48833	-1.75886	-1.78781	-1.06163	
-2.13038	-0.475537	-0.783584	-0.431701	
-2.48833	-0.0477638	-2.9594	-1.06163	
0.733224	-1.33108	-2.79203	-2.63645	
-1.41448	-0.0477638	-0.950955	-2.32149	
0.0173236	0.38001	-2.12255	-1.06163	
-2.48833	-1.75886	-2.62466	-1.69156	
-1.77243	-0.0477638	-2.28992	-2.32149	
-1.77243	-0.903311	-1.78781	-1.37659	
