FDn[0]	FDn[1]	FDn[2]	FDn[3]	
-0.554338	-0.572297	-2.47888	-1.20897	
0.0693824	-1.93522	-1.79585	-0.46252	
-3.04922	-0.231567	-0.976212	-0.213702	
-1.80178	-1.25376	-0.839605	-1.45779	
-2.4255	-0.231567	-1.38603	-0.960155	
-0.242478	-0.231567	-0.976212	-0.213702	
0.381243	-0.913028	-1.24942	0.283933	
-1.80178	0.109164	-0.976212	-0.213702	
-2.11364	-0.913028	-3.02531	0.0351152	
0.0693824	-1.25376	-2.7521	-0.213702	
-2.11364	-0.572297	-2.61549	-0.711337	
-2.4255	-0.231567	-0.976212	-0.960155	
-2.73736	-0.231567	-2.7521	-0.711337	
-1.17806	-1.25376	-2.47888	1.2792	
0.0693824	0.109164	-2.34228	-1.45779	
-2.11364	-0.572297	-1.52264	-0.213702	
-1.17806	-0.572297	-2.47888	-0.960155	
-2.4255	-1.93522	-1.65924	-0.213702	
0.381243	0.109164	-1.11282	-1.20897	
-2.73736	-2.27595	-3.29852	-1.45779	
-2.4255	0.109164	-1.38603	1.2792	
-1.48992	1.47209	-2.7521	-1.45779	
-1.80178	-0.572297	-2.06906	-1.70661	
-2.73736	-0.913028	-1.11282	-0.46252	
-2.73736	-0.572297	-2.61549	0.53275	
-2.4255	-1.25376	-2.7521	-1.20897	
-0.554338	-1.25376	-1.52264	-0.46252	
-2.4255	0.109164	-2.34228	-0.711337	
-2.4255	0.109164	-2.06906	-0.46252	
-2.4255	-1.59449	-3.02531	-0.711337	
-0.866198	-1.59449	-1.65924	0.283933	
-3.36108	-1.93522	-1.79585	-1.20897	
-1.48992	1.13136	-1.65924	-0.213702	
-1.17806	0.109164	-0.702999	-0.711337	
-1.80178	-1.25376	-1.79585	-0.711337	
-1.80178	0.790625	-3.16192	0.283933	
-1.48992	-0.913028	-1.79585	-1.70661	
-2.11364	-1.93522	-1.93246	-0.46252	
-0.554338	-1.25376	-1.79585	-0.46252	
-0.866198	-1.59449	-2.06906	-0.46252	
-3.67294	-0.572297	-2.34228	-2.20424	
-2.73736	0.449894	-1.38603	-1.70661	
-1.80178	-0.572297	-0.566392	-1.70661	
-1.48992	0.790625	-2.20567	-2.45306	
-2.4255	-1.93522	-1.93246	0.0351152	
-2.4255	-0.231567	-2.06906	-0.960155	
-1.48992	-1.25376	-2.20567	-0.213702	
-2.11364	0.790625	-1.38603	-1.70661	
-2.11364	0.790625	-1.65924	-1.70661	
-3.04922	-2.27595	-1.79585	-0.213702	
-1.17806	-0.913028	-1.93246	-1.20897	
-2.73736	-0.231567	-2.06906	-1.45779	
-0.866198	-1.59449	-0.839605	-0.46252	
-2.4255	0.109164	-3.43513	-2.20424	
-2.4255	0.109164	-1.93246	-0.46252	
-2.4255	-0.572297	-1.24942	-0.46252	
-2.73736	0.790625	-2.61549	-0.960155	
-2.73736	-1.25376	-0.0199659	-0.960155	
-3.36108	-1.59449	-3.02531	-0.711337	
-1.17806	-0.572297	-0.702999	-2.20424	
-0.242478	0.109164	-1.65924	-0.711337	
-1.80178	1.13136	-1.52264	-0.213702	
-0.554338	1.13136	-1.52264	-1.20897	
-2.4255	-0.913028	-2.61549	0.283933	
-0.866198	0.790625	-2.20567	-0.46252	
-1.17806	-1.59449	-0.839605	-1.70661	
-2.11364	-1.25376	-1.38603	-0.711337	
-1.80178	-0.231567	-0.566392	-0.711337	
-2.11364	0.109164	-2.34228	-0.960155	
0.693103	-0.913028	-2.20567	-1.95542	
-1.17806	0.109164	-0.702999	-1.70661	
0.0693824	0.449894	-1.65924	-0.711337	
-2.11364	-1.25376	-2.34228	-1.70661	
-1.48992	0.109164	-1.79585	-2.20424	
-1.48992	-1.93522	-1.38603	-0.960155	
-1.48992	-0.572297	-2.20567	-0.960155	
-2.11364	0.449894	-0.976212	-1.95542	
-1.17806	-1.25376	-0.839605	-1.95542	
-1.80178	0.109164	-2.47888	-1.45779	
-2.4255	-1.25376	-0.702999	0.781568	
-2.4255	-0.572297	-2.34228	-1.20897	
-1.48992	-0.913028	-1.24942	0.0351152	
-0.866198	1.13136	-1.52264	-0.960155	
-2.11364	-0.913028	-0.702999	0.53275	
-1.48992	0.109164	-0.702999	-1.45779	
-1.80178	-0.913028	-1.79585	-1.45779	
-2.4255	-1.59449	-2.06906	-1.20897	
-1.80178	-0.572297	-1.79585	-0.213702	
-2.11364	-0.572297	-1.79585	1.03038	
-2.11364	-1.59449	-1.24942	-0.711337	
-1.48992	-0.231567	-2.20567	0.0351152	
-2.73736	0.449894	-2.34228	0.0351152	
-1.17806	-0.572297	-2.34228	-0.960155	
-2.11364	-0.913028	-2.06906	-1.45779	
-2.73736	0.449894	-1.52264	-0.213702	
-2.11364	0.449894	-2.34228	-1.95542	
-1.48992	-0.231567	-2.7521	-0.46252	
-0.554338	-0.572297	-2.34228	-1.45779	
-2.11364	-1.25376	-1.52264	-0.960155	
-2.73736	-2.27595	-2.61549	-1.95542	
-0.242478	-1.25376	-1.11282	-1.20897	
-2.11364	-1.93522	-2.20567	0.283933	
-2.11364	-0.913028	-1.24942	-0.960155	
