FFn[0]	FFn[1]	FFn[2]	FFn[3]	
-0.672857	-0.712352	-2.63449	-1.31332	
-0.0644635	-2.12993	-1.9679	-0.723276	
-3.16584	-0.267132	-1.17949	-0.192066	
-1.81003	-1.4532	-1.00061	-1.60228	
-2.7042	-0.366861	-1.73904	-1.04858	
-0.266766	-0.366861	-1.09952	-0.282043	
0.529373	-1.00798	-1.25529	0.174763	
-1.9954	0.277817	-1.33234	-0.209369	
-2.36168	-1.00085	-3.13927	0.0657524	
0.165466	-1.4532	-2.8419	-0.465458	
-2.23335	-0.64824	-2.80379	-0.859972	
-2.71905	-0.252885	-1.27528	-0.872084	
-2.94631	-0.366861	-2.84148	-0.884197	
-1.13093	-1.4532	-2.73652	1.09184	
-0.261122	0.220829	-2.48476	-1.55729	
-2.27791	-0.662487	-1.48894	-0.410087	
-1.2967	-0.605499	-2.67405	-1.10049	
-2.59429	-2.12993	-1.69031	-0.354717	
0.206759	0.163841	-1.09598	-1.30294	
-2.94275	-2.4683	-3.38999	-1.68534	
-2.5022	0.0712352	-1.56245	1.41022	
-1.36235	1.31073	-2.8219	-1.49846	
-2.06907	-0.569881	-2.38355	-1.7632	
-2.7853	-0.986607	-1.37503	-0.640221	
-2.87086	-0.512893	-2.64052	0.664445	
-2.58775	-1.38909	-2.93894	-1.30986	
-0.791684	-1.32497	-1.60889	-0.481031	
-2.50041	0.313435	-2.28276	-0.676557	
-2.77609	-0.0427411	-2.08785	-0.519098	
-2.69172	-1.67046	-3.12177	-0.711164	
-0.748609	-1.79156	-1.62492	0.309728	
-3.51668	-2.07294	-1.91667	-1.2268	
-1.79428	0.915372	-1.70364	-0.268201	
-1.1042	0.0641116	-0.479793	-0.79768	
-1.9752	-1.38196	-1.68635	-0.859972	
-1.74586	0.918934	-3.21111	0.351256	
-1.73428	-1.0436	-2.05703	-1.80127	
-2.36762	-2.12993	-2.13095	-0.512176	
-0.666321	-1.32497	-1.95999	-0.619457	
-0.937543	-1.73458	-2.22904	-0.647142	
-3.71839	-0.705228	-2.4377	-2.43111	
-2.82511	0.238638	-1.57203	-1.75282	
-1.98768	-0.776463	-0.853173	-1.90855	
-1.6208	0.897563	-2.223	-2.67162	
-2.27642	-2.07294	-2.15178	0.0830556	
-2.53784	-0.153156	-2.1624	-1.01397	
-1.256	-1.31785	-2.22341	-0.243976	
-2.30108	0.861945	-1.23467	-1.7632	
-2.21077	0.861945	-1.73029	-1.86702	
-3.15218	-2.4683	-2.21071	-0.351256	
-1.35552	-0.858384	-1.97102	-1.26141	
-2.90056	-0.438096	-2.21946	-1.56075	
-0.674936	-1.79156	-0.834431	-0.481031	
-2.65429	0.349052	-3.62052	-2.43111	
-2.40773	0.284941	-2.22841	-0.491413	
