thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	
4.65517	2.77778	4	3.45455	
6.68966	5.77778	4.6087	5.18182	
1.34483	2.55556	12.5217	3.81818	
2.72414	1.55556	6.47826	6.09091	
1.13793	4.33333	8.52174	3.09091	
5.03448	3.44444	7.65217	4.54545	
5.2069	2	9	5.72727	
1.68966	3.88889	6.3913	6.27273	
1.41379	2.11111	4.08696	4.72727	
4.72414	2.22222	4.91304	3.72727	
2.03448	2.22222	5.47826	4.72727	
5.7931	3	7.47826	4.27273	
2.82759	3.88889	5.3913	4.27273	
3.2069	2.88889	8.56522	9.63636	
3.55172	3.66667	5.6087	2.90909	
4.27586	2.22222	7.95652	3.72727	
4.13793	3.11111	5.6087	3.54545	
1.58621	1.33333	7.91304	5	
3.37931	3	10.3913	3.36364	
2.68966	1.22222	11.2609	4.81818	
3	3.11111	10.1739	6	
4.41379	6.22222	5.95652	3.36364	
2.10345	3	8.13043	3	
1.96552	2.33333	5.17391	4.09091	
1.41379	3.22222	5.47826	5.45455	
1.55172	3.22222	4.86957	3	
2.72414	4.88889	6.73913	5.36364	
3.44828	4.22222	8.17391	5.72727	
0.965517	3.11111	7.26087	4.90909	
1.17241	4.66667	9.91304	4.45455	
4.41379	4.11111	8.13043	5.81818	
1.96552	1.55556	6.30435	4.09091	
3.48276	6.33333	7.91304	4.90909	
3.03448	2.77778	11	4.18182	
2.03448	4.44444	7.56522	3.27273	
4.24138	5.55556	6.08696	4.90909	
3.58621	1.88889	8.34783	2.90909	
1.75862	1.33333	5.34783	3.45455	
2.62069	3.11111	4.82609	3	
3.37931	4.33333	6.86957	5	
1.17241	2	4.78261	1.72727	
1.7931	4.11111	7.17391	3.09091	
2.06897	3.11111	12.8696	3.90909	
2.65517	4.55556	6.82609	5.27273	
3.13793	2.44444	7.69565	6.63636	
1.82759	3.44444	6.08696	3.09091	
4.17241	2.11111	5.91304	5	
1.82759	6.22222	9.34783	2.81818	
2.37931	5.55556	7.21739	4.09091	
1.44828	3.88889	5.6087	5.09091	
2.37931	3	7.43478	3.72727	
1.41379	3.88889	4.56522	3.54545	
3.86207	1.44444	8.95652	7.72727	
2.24138	4.33333	6	7.90909	
3.03448	4	7.6087	3.63636	
2.27586	2.88889	10.6957	4.72727	
2.10345	4.66667	5.91304	3.36364	
1.24138	2.66667	11.0435	3.72727	
1.2069	2.11111	6.47826	5.90909	
3.13793	2.11111	10.5217	2.45455	
3.10345	4.44444	5.69565	4	
2.7931	4.77778	4.82609	4.72727	
4.55172	6.33333	6.21739	2.63636	
1.51724	2.44444	4.47826	4.09091	
3.55172	5.22222	7.26087	4.45455	
2.34483	4.33333	10.5652	2.09091	
2.41379	1.88889	8.34783	3.90909	
4.62069	4.11111	5.47826	6.54545	
4.51724	2.77778	5.86957	3.90909	
6.17241	1.77778	4.86957	2.63636	
2.24138	2.33333	8.73913	3.27273	
4.10345	4.88889	4.73913	3	
1.44828	2	8.34783	4.09091	
3.17241	5.33333	7	5	
2.13793	4.88889	6.65217	3.63636	
3.51724	3.55556	7.56522	5.09091	
1.75862	3	6.26087	7.18182	
4.41379	4.66667	10.4783	3.45455	
3.48276	4.66667	7.69565	2.36364	
2.34483	3.66667	11.087	6.72727	
3.10345	2.44444	4.78261	3.36364	
3.89655	1.66667	7.47826	4.63636	
2.62069	5.88889	7.91304	3.27273	
3.13793	2.33333	9.56522	6.27273	
1.7931	2.77778	8.3913	5	
3.62069	2.66667	9.04348	3.18182	
3.48276	1.88889	5.91304	3.36364	
3.2069	3.11111	7.78261	2.90909	
3.41379	4.55556	6.69565	6.18182	
1.7931	4.11111	7.47826	4.45455	
3.75862	3.55556	6.47826	5.72727	
2.48276	3.66667	5.69565	4.63636	
2.03448	2.66667	6.78261	3.54545	
2.55172	2.77778	5.86957	3.45455	
1.96552	4.22222	6.78261	6.27273	
3.27586	4.22222	7.91304	2.81818	
3.72414	4.22222	5.30435	4.63636	
4.51724	2	6.34783	3.18182	
1.58621	2.66667	5.86957	3	
3	4.77778	5.91304	1.81818	
5.72414	2.44444	5.6087	4.36364	
2.7931	2.22222	7.95652	6	
1.93103	3.66667	8.82609	3.81818	
2.7931	3.55556	6.30435	3.45455	
1.31034	2.22222	6.78261	5.18182	
1.48276	3	9.04348	2.45455	
0.965517	2.55556	6.82609	5.54545	
1.72414	1.66667	6.30435	3	
1.82759	2.33333	6.13043	6.09091	
2.7931	2.88889	7.30435	5.72727	
2.93103	4.66667	5.52174	4.27273	
2.03448	1.66667	8.56522	4.09091	
2.10345	4.44444	7.26087	2.90909	
6.65517	3.11111	3.08696	6.18182	
2.96552	2.55556	10.0435	4.54545	
1.13793	2.77778	5.52174	5.18182	
5	2.55556	7.43478	3.81818	
2	3.55556	10.6957	5.81818	
1.65517	4.11111	7.17391	4.90909	
1.17241	2.77778	9.78261	3	
2.13793	1.44444	5.91304	3.09091	
1.48276	3	7.91304	6	
3.34483	3.88889	7.73913	3.36364	
1.62069	1.66667	7	3.63636	
4.41379	2.11111	6.65217	3.27273	
3.03448	2.77778	5.21739	4.27273	
2.86207	3.55556	12.6087	3.36364	
5.13793	3.22222	9.17391	7.36364	
1.34483	3.11111	13.087	4.54545	
2.68966	3.33333	8.26087	4	
3.10345	2.77778	7.78261	4.09091	
3.37931	2.66667	4.65217	4	
2.68966	3.55556	4.65217	4.09091	
4.96552	1.66667	4.73913	5.81818	
3.2069	2	5.91304	4.81818	
2.44828	1.88889	7.65217	4.90909	
3.17241	2.66667	7.95652	4.90909	
1.44828	2.11111	5.78261	4.36364	
2.68966	3.11111	6.6087	4.90909	
2.82759	2	5.17391	6.63636	
2.27586	1.44444	9.6087	4.18182	
1.58621	2.55556	7.73913	3.27273	
2.89655	3.33333	11.4783	4.90909	
3.68966	1.77778	8.86957	3	
2.13793	3.33333	6.08696	4.09091	
2.48276	3.66667	7.78261	4.36364	
1.2069	3.22222	6.65217	5.45455	
1.65517	2.11111	5.21739	4.72727	
3.24138	4.22222	3.65217	4.63636	
2.55172	1.44444	8.91304	4.18182	
1.75862	1.22222	6.78261	5.27273	
5.17241	1.88889	7.95652	2.63636	
2.13793	3.33333	7.34783	3.36364	
3.7931	2.55556	9.69565	4.45455	
3.62069	3.33333	11.1739	3	
2.10345	3.77778	9.3913	2.81818	
2.86207	2.22222	10.6957	7.27273	
3.62069	2.66667	7.30435	4.54545	
2.37931	2.11111	7.65217	5.63636	
3.31034	2.88889	7.56522	4.27273	
3.86207	2.33333	4.17391	3	
1.24138	2.55556	5.86957	2.90909	
0.862069	3.33333	5.52174	3.81818	
1.68966	2.33333	4.47826	4.90909	
3.48276	3.66667	6	3.45455	
3.58621	2.11111	6.30435	4.63636	
4.10345	2.11111	5.69565	4.72727	
3.68966	3.22222	8.26087	4.45455	
1.93103	4.11111	9.26087	5.54545	
2.37931	3.11111	12	3.09091	
3.51724	2.44444	9.26087	3.54545	
0.965517	2.55556	8.17391	4.18182	
3.96552	2.77778	5.73913	3.81818	
2.37931	4.77778	5.56522	4.45455	
1.06897	4.22222	5.78261	4.72727	
2.82759	4	6.95652	3.54545	
2.2069	3.11111	7.47826	2.36364	
2.62069	2.77778	4.82609	5.54545	
1.68966	2.11111	10.3478	5.90909	
2.34483	2.77778	5.56522	5.27273	
2.68966	3.22222	7.69565	1.81818	
2.68966	3.88889	5.47826	2.90909	
1.41379	1.66667	5.56522	4.27273	
2.13793	3.33333	3.73913	2.90909	
2.72414	3.55556	3.08696	5	
2.44828	2.22222	4.34783	4.09091	
2.10345	4	6	4.90909	
