Pwh[0]	Pwh[1]	Pwh[2]	Pwh[3]	
0.240199	0.314685	0.147279	0.461538	
0.218154	2.9717	0.128253	0.48	
0.444331	0.272727	0.112286	0.179348	
0.275491	0.75	0.105223	0.501901	
0.47541	0.298013	0.144654	0.218543	
0.20974	0.298013	0.104151	0.192982	
0.169063	0.316901	0.196791	0.186969	
0.343331	0.895522	0.131994	0.181818	
0.406162	0.314685	0.160465	0.34555	
0.182696	0.375	0.144882	0.228374	
0.337995	0.296053	0.159353	0.222973	
1.46629	0.269461	0.247756	0.186969	
0.46875	0.298013	0.144806	0.228374	
0.23126	0.375	0.169429	1.22872	
0.261575	0.466321	0.140173	0.23913	
0.358911	0.3	0.0995312	0.64918	
0.271536	0.28481	0.155143	0.229965	
0.395455	0.849057	0.108066	0.616822	
0.214286	0.243243	0.188847	0.228374	
0.465739	0.454545	1.34062	0.552301	
0.346614	0.261628	0.118353	0.141026	
0.22751	1.95652	0.141321	0.225256	
0.380577	0.276074	0.819964	0.238267	
0.362802	0.310345	0.122503	0.441472	
0.412322	0.263158	0.129944	0.152074	
0.391539	0.348837	0.165072	0.229965	
0.270019	0.326087	0.111066	0.191304	
0.345787	0.218447	0.112469	0.189112	
0.547859	0.288462	0.115336	0.197605	
0.464744	1.73077	0.31328	0.19469	
0.206749	1.19469	0.101807	0.168367	
0.537701	0.394737	0.121319	0.212219	
0.367089	1.86391	0.109437	0.381503	
0.225857	0.263158	0.0764755	0.420382	
0.334358	1.38462	0.195191	0.222973	
0.257854	1.28571	0.152318	0.163366	
0.676516	0.328467	0.142415	0.24812	
0.409991	0.849057	0.136296	0.196429	
0.238749	0.326087	0.12713	0.432787	
0.243561	0.743802	0.134372	0.666667	
0.488764	0.3125	0.132565	0.321951	
0.384276	0.290323	0.119532	0.235714	
0.339844	0.335821	0.22549	0.561702	
0.294516	0.217391	0.118303	0.673469	
0.266055	0.394737	0.279494	0.170543	
0.364017	0.248619	0.124661	0.211538	
0.208034	0.323741	0.236707	0.186969	
0.370844	1.33663	0.17698	0.238267	
0.328302	0.222772	0.112286	0.267206	
0.434132	2.27273	0.351816	0.204969	
0.289421	0.276074	0.229141	0.219269	
0.432836	0.319149	0.132884	0.24	
0.195242	0.39823	0.0913302	0.191304	
0.435435	0.853081	0.60972	1.2878	
0.307638	0.222772	0.308208	0.192982	
0.327068	0.316901	0.0824373	0.185393	
0.418672	1.19469	0.156285	0.223729	
0.454071	0.703125	0.257303	0.214984	
0.482797	0.79646	0.158712	0.229965	
0.292535	0.314685	0.0823881	0.30137	
0.828046	0.758427	0.290679	0.423077	
0.28827	0.196507	0.129882	0.165829	
0.207736	1.06509	0.136837	0.469751	
0.388393	0.292208	0.154795	0.186969	
0.540709	1.02857	0.1347	0.203077	
0.354235	1.4876	0.31591	0.280851	
0.281371	0.666667	0.809978	0.208202	
0.214497	0.90604	0.11293	0.240876	
0.372751	0.266272	0.126316	0.441472	
0.17491	0.340909	0.153163	0.273859	
0.27584	0.286624	0.829763	0.230769	
0.178792	0.649038	0.149109	0.429967	
0.411932	0.330882	0.135961	0.276151	
0.301664	0.304054	0.133527	1.2878	
0.302503	2.9717	0.122503	0.227586	
0.27707	0.517241	0.123214	0.235714	
0.341712	0.238095	0.10832	1.79186	
0.184478	0.326087	0.109307	0.308411	
0.280103	0.244565	0.128551	0.259843	
