mlcoalsim version 09v3beta (20060206)
OUTPUT FILE: date 02/12/06 17:34:46 

Input data from the file: l2f1r12.txt

Finite island model. Population parameters in function of 4Ne
except the parameters that indicate the size of the populations, as Ne).

Print_neuttest:        1
Print_matrixpol:       0
N_iterations:          10000
Seed1:                 4638

N_loci:                1
N_sites:               3927
N_samples:             11
Mutations:             96
Sfix_allthetas:        1
Range_thetant:         1
Thetant_min:           0.000500
Thetant_max:           0.060000
Recombination:         12
Nintn:                 5
Nrec:                  1 1 0.01 0.01 1
Npast:                 1 0.01 0.01 1 1
Tpast:                 0.045 1E-006 0.005 1E-006 4

REJECTION ALGORITHM OF TAVARE et al. 1997. Fix S and screening all probable thetas.  Rejection algorithm n. 2.

Neutral tests (excluding multiple hits positions)
value(TD)	value(Fs)	value(FD*)	value(FF*)	value(FD)	value(FF)	value(H)	value(B)	value(Q)	value(ZA)	value(Fst)	value(Kw)	value(Hw)	value(R2)	value(S)	value(pi_w)	value(pi_b)	value(ThetaWatt)	value(ThetaTaj)	value(ThetaFW*)	value(D/Dmin)	value(H/Hmin)	value(maxhap)	value(maxhap1)
-2.0475	-2.4139	-2.3448	-2.5763	-3.4387	-3.716	16.527	0.12632	0.19792	0.14136	na	1	1	0.034515	96	0	0	32.776	18.764	2.2364	-0.91456	0.10521	0.090909	0.090909	
0.40732	1.9325	0.69285	0.70347	0.7468	0.79311	-20.673	0.52632	0.5625	0.57329	na	0.81818	0.96364	0.16697	96	0	0	32.776	35.564	56.236	0.18194	-0.1316	0.18182	0.18182	
1.8154	0.91751	0.96901	1.3479	1.1273	1.6446	2.8	0.68421	0.70833	0.72689	na	0.90909	0.98182	0.22154	96	0	0	32.776	45.2	42.4	0.81088	0.017824	0.18182	0.18182	
-1.8987	-2.2916	-2.0227	-2.261	-2.9948	-3.2794	17.164	0.10526	0.16667	0.1225	na	1	1	0.062625	96	0	0	32.776	19.782	2.6182	-0.8481	0.10926	0.090909	0.090909	
-1.6383	-0.45748	-1.6545	-1.8744	-2.4875	-2.7467	17.927	0.10526	0.15625	0.13212	na	0.90909	0.98182	0.066488	96	0	0	32.776	21.564	3.6364	-0.73181	0.11412	0.18182	0.18182	
-2.0475	-2.4139	-2.3448	-2.5763	-3.4387	-3.716	16.527	0.052632	0.09375	0.064578	na	1	1	0.037263	96	0	0	32.776	18.764	2.2364	-0.91456	0.10521	0.090909	0.090909	
-1.8828	-2.2791	-2.0227	-2.2564	-2.9948	-3.2734	16.182	0.042105	0.072917	0.073934	na	1	1	0.036729	96	0	0	32.776	19.891	3.7091	-0.84098	0.10301	0.090909	0.090909	
-1.6968	-2.1403	-1.9306	-2.1244	-2.868	-3.0952	17.327	0.042105	0.083333	0.067892	na	1	1	0.046686	96	0	0	32.776	21.164	3.8364	-0.75792	0.1103	0.090909	0.090909	
-1.5321	-2.0277	-1.4243	-1.6492	-2.0436	-2.3259	3.5818	0.14737	0.22917	0.19936	na	1	1	0.063124	96	0	0	32.776	22.291	18.709	-0.68434	0.022801	0.090909	0.090909	
0.54016	-1.0916	0.4167	0.50936	0.3663	0.51587	0.94545	0.36842	0.41667	0.45026	na	1	1	0.16609	96	0	0	32.776	36.473	35.527	0.24127	0.0060185	0.090909	0.090909	
1.1299	-0.91742	0.69285	0.91467	0.7468	1.0624	-0.78182	0.54737	0.57292	0.59631	na	1	1	0.192	96	0	0	32.776	40.509	41.291	0.50472	-0.0049769	0.090909	0.18182	
-1.9625	-2.3428	-2.1607	-2.3961	-3.1851	-3.4665	16.891	0.11579	0.17708	0.13238	na	1	1	0.057271	96	0	0	32.776	19.345	2.4545	-0.87658	0.10752	0.090909	0.090909	
0.01944	-1.2698	-0.73394	-0.6134	-1.2191	-1.0397	8.6182	0.30526	0.35417	0.34688	na	1	1	0.12464	96	0	0	32.776	32.909	24.291	0.0086835	0.054861	0.090909	0.090909	
-1.7818	-2.2021	-1.9766	-2.1881	-2.9314	-3.1813	17.364	0.084211	0.14583	0.11421	na	1	1	0.050249	96	0	0	32.776	20.582	3.2182	-0.79589	0.11053	0.090909	0.090909	
-1.0539	1.2036	-0.31971	-0.57768	-0.52154	-0.84063	-13.873	0.44211	0.47917	0.49495	na	0.81818	0.94545	0.099164	96	0	0	32.776	25.564	39.436	-0.47074	-0.08831	0.27273	0.27273	
-0.29937	-1.3933	-0.77997	-0.7454	-1.2825	-1.2129	5.8545	0.21053	0.27083	0.27524	na	1	1	0.11188	96	0	0	32.776	30.727	24.873	-0.13372	0.037269	0.090909	0.090909	
-1.2823	-1.8726	-1.2402	-1.4209	-1.9167	-2.1239	18.4	0.10526	0.16667	0.1658	na	1	1	0.07505	96	0	0	32.776	24	5.6	-0.57279	0.11713	0.090909	0.090909	
-0.5491	0.11417	0.46273	0.22983	0.93705	0.60003	-42.764	0.69474	0.73958	0.74006	na	0.90909	0.98182	0.13352	96	0	0	32.776	29.018	71.782	-0.24527	-0.27222	0.18182	0.18182	
-1.548	-2.0382	-1.5164	-1.7315	-1.8533	-2.1684	0.76364	0.11579	0.15625	0.14944	na	1	1	0.081511	96	0	0	32.776	22.182	21.418	-0.69146	0.0048611	0.090909	0.090909	
0.37013	0.4748	-0.31971	-0.1615	-0.64837	-0.41883	7.0182	0.23158	0.26042	0.30581	na	0.90909	0.98182	0.14641	96	0	0	32.776	35.309	28.291	0.16533	0.044676	0.18182	0.18182	
0.48702	0.51538	0.83093	0.84323	0.93705	0.98619	-20.982	0.6	0.61458	0.66443	na	0.90909	0.98182	0.17184	96	0	0	32.776	36.109	57.091	0.21754	-0.13356	0.18182	0.27273	
2.1342	4.4125	1.1531	1.5964	1.381	1.9813	3.7636	0.61053	0.63542	0.70392	na	0.72727	0.92727	0.23661	96	0	0	32.776	47.382	43.618	0.95329	0.023958	0.27273	0.27273	
-0.62348	0.081091	0.73888	0.44103	0.81022	0.46339	-20.782	0.65263	0.66667	0.65971	na	0.90909	0.98182	0.13172	96	0	0	32.776	28.509	49.291	-0.27849	-0.13229	0.18182	0.18182	
-1.3833	-1.9332	-1.5164	-1.6834	-2.107	-2.3249	13.018	0.063158	0.11458	0.086885	na	1	1	0.078505	96	0	0	32.776	23.309	10.291	-0.61789	0.08287	0.090909	0.18182	
-2.2175	-2.567	-2.713	-2.9366	-1.7899	-2.3635	-45.4	0.69474	0.69792	0.69805	na	1	1	0.22884	96	0	0	32.776	17.6	63	-0.99051	-0.289	0.090909	0.18182	
-2.0103	-2.3824	-2.4369	-2.6431	-3.5656	-3.8111	16.436	0.063158	0.11458	0.078702	na	1	1	0.050353	96	0	0	32.776	19.018	2.5818	-0.89794	0.10463	0.090909	0.090909	
-0.13996	-1.33	-0.043556	-0.077646	-0.26787	-0.28219	-5.9636	0.35789	0.375	0.40845	na	1	1	0.13175	96	0	0	32.776	31.818	37.782	-0.062518	-0.037963	0.090909	0.090909	
-2.09	-2.4508	-2.4369	-2.6664	-3.5656	-3.8408	16.345	0.063158	0.10417	0.07883	na	1	1	0.039396	96	0	0	32.776	18.473	2.1273	-0.93355	0.10405	0.090909	0.090909	
1.7835	-0.75065	0.87696	1.261	1.0005	1.5238	4.1636	0.56842	0.59375	0.63358	na	1	1	0.21874	96	0	0	32.776	44.982	40.818	0.79664	0.026505	0.090909	0.18182	
-2.0528	1.7799	-2.4829	-2.6943	-1.2825	-1.8664	-50.345	0.84211	0.85417	0.84667	na	0.72727	0.92727	0.25351	96	0	0	32.776	18.727	69.073	-0.91693	-0.32049	0.27273	0.27273	
-1.9518	0.60918	-2.2068	-2.4319	-1.9801	-2.4278	-20.164	0.33684	0.375	0.35203	na	0.81818	0.96364	0.14522	96	0	0	32.776	19.418	39.582	-0.87184	-0.12836	0.18182	0.18182	
-2.0687	-2.4323	-2.3909	-2.6213	-2.2972	-2.7437	-17.764	0.36842	0.41667	0.37667	na	1	1	0.10326	96	0	0	32.776	18.618	36.382	-0.92405	-0.11308	0.090909	0.090909	
1.7091	0.88868	0.96901	1.3169	1.1273	1.605	0.74545	0.54737	0.59375	0.62601	na	0.90909	0.98182	0.21775	96	0	0	32.776	44.473	43.727	0.76342	0.0047454	0.18182	0.18182	
-0.34187	-1.4107	-0.82599	-0.79665	-1.346	-1.2832	7.6727	0.23158	0.28125	0.28161	na	1	1	0.10961	96	0	0	32.776	30.436	22.764	-0.15271	0.048843	0.090909	0.090909	
-1.8828	-2.2791	-2.1147	-2.334	-3.1216	-3.3823	15.382	0.063158	0.11458	0.088287	na	1	1	0.046899	96	0	0	32.776	19.891	4.5091	-0.84098	0.097917	0.090909	0.090909	
-2.0262	-2.3958	-2.2988	-2.5313	-3.3119	-3.5992	14.818	0.094737	0.13542	0.11537	na	1	1	0.045197	96	0	0	32.776	18.909	4.0909	-0.90507	0.094329	0.090909	0.090909	
-1.564	-0.41105	-1.6084	-1.8138	-2.4241	-2.6645	17.745	0.094737	0.15625	0.13618	na	0.90909	0.98182	0.068928	96	0	0	32.776	22.073	4.3273	-0.69858	0.11296	0.18182	0.18182	
-0.16653	0.27421	-0.13561	-0.16306	0.049215	-0.019803	-13.727	0.63158	0.64583	0.66745	na	0.90909	0.98182	0.14371	96	0	0	32.776	31.636	45.364	-0.074385	-0.087384	0.18182	0.18182	
