Total	ZnA[Total]	thetaWatt[Total]	ThetaTaj[Total]	Rm[Total]	ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
-31.2064	-3.51572	-9.23024	-9.23024	-9.23024	-3.51572	-9.23024	-9.23024	-9.23024
-31.2979	-3.60719	-9.23024	-9.23024	-9.23024	-3.60719	-9.23024	-9.23024	-9.23024
-30.862	-3.17125	-9.23024	-9.23024	-9.23024	-3.17125	-9.23024	-9.23024	-9.23024
-31.8267	-4.13603	-9.23024	-9.23024	-9.23024	-4.13603	-9.23024	-9.23024	-9.23024
-32.3935	-4.70275	-9.23024	-9.23024	-9.23024	-4.70275	-9.23024	-9.23024	-9.23024
-31.8496	-4.15888	-9.23024	-9.23024	-9.23024	-4.15888	-9.23024	-9.23024	-9.23024
-32.2509	-4.56022	-9.23024	-9.23024	-9.23024	-4.56022	-9.23024	-9.23024	-9.23024
-32.1816	-4.49085	-9.23024	-9.23024	-9.23024	-4.49085	-9.23024	-9.23024	-9.23024
-31.2798	-3.609	-9.23024	-9.23024	-9.21034	-3.609	-9.23024	-9.23024	-9.21034
-31.3398	-3.6491	-9.23024	-9.23024	-9.23024	-3.6491	-9.23024	-9.23024	-9.23024
-32.9688	-5.27811	-9.23024	-9.23024	-9.23024	-5.27811	-9.23024	-9.23024	-9.23024
-32.7076	-5.01687	-9.23024	-9.23024	-9.23024	-5.01687	-9.23024	-9.23024	-9.23024
-32.4405	-4.74981	-9.23024	-9.23024	-9.23024	-4.74981	-9.23024	-9.23024	-9.23024
-31.6062	-3.91549	-9.23024	-9.23024	-9.23024	-3.91549	-9.23024	-9.23024	-9.23024
-31.3743	-3.68354	-9.23024	-9.23024	-9.23024	-3.68354	-9.23024	-9.23024	-9.23024
-30.6112	-4.32665	-9.23024	-9.23024	-7.82405	-4.32665	-9.23024	-9.23024	-7.82405
-29.3583	-4.46003	-9.23024	-9.23024	-6.43775	-4.46003	-9.23024	-9.23024	-6.43775
-31.1123	-3.42158	-9.23024	-9.23024	-9.23024	-3.42158	-9.23024	-9.23024	-9.23024
-30.2	-3.91549	-9.23024	-9.23024	-7.82405	-3.91549	-9.23024	-9.23024	-7.82405
-32.4206	-4.74981	-9.23024	-9.23024	-9.21034	-4.74981	-9.23024	-9.23024	-9.21034
-31.9709	-4.28013	-9.23024	-9.23024	-9.23024	-4.28013	-9.23024	-9.23024	-9.23024
-32.8007	-5.1299	-9.23024	-9.23024	-9.21034	-5.1299	-9.23024	-9.23024	-9.21034
-32.8461	-5.15538	-9.23024	-9.23024	-9.23024	-5.15538	-9.23024	-9.23024	-9.23024
-30.517	-4.23251	-9.23024	-9.23024	-7.82405	-4.23251	-9.23024	-9.23024	-7.82405
-31.8036	-4.1129	-9.23024	-9.23024	-9.23024	-4.1129	-9.23024	-9.23024	-9.23024
-29.2927	-3.81909	-9.23024	-9.23024	-7.01312	-3.81909	-9.23024	-9.23024	-7.01312
-32.1092	-4.43841	-9.23024	-9.23024	-9.21034	-4.43841	-9.23024	-9.23024	-9.21034
-31.9709	-4.28013	-9.23024	-9.23024	-9.23024	-4.28013	-9.23024	-9.23024	-9.23024
-31.7127	-4.04189	-9.23024	-9.23024	-9.21034	-4.04189	-9.23024	-9.23024	-9.21034
-32.138	-4.46718	-9.23024	-9.23024	-9.21034	-4.46718	-9.23024	-9.23024	-9.21034
-31.5182	-3.84737	-9.23024	-9.23024	-9.21034	-3.84737	-9.23024	-9.23024	-9.21034
-32.0429	-4.3721	-9.23024	-9.23024	-9.21034	-4.3721	-9.23024	-9.23024	-9.21034
-31.8968	-4.22593	-9.23024	-9.23024	-9.21034	-4.22593	-9.23024	-9.23024	-9.21034
-29.4608	-3.17632	-9.23024	-9.23024	-7.82405	-3.17632	-9.23024	-9.23024	-7.82405
-31.0679	-3.37715	-9.23024	-9.23024	-9.23024	-3.37715	-9.23024	-9.23024	-9.23024
-29.8002	-3.51572	-9.23024	-9.23024	-7.82405	-3.51572	-9.23024	-9.23024	-7.82405
-31.5604	-3.86972	-9.23024	-9.23024	-9.23024	-3.86972	-9.23024	-9.23024	-9.23024
-32.8226	-5.15176	-9.23024	-9.23024	-9.21034	-5.15176	-9.23024	-9.23024	-9.21034
-31.8722	-4.18148	-9.23024	-9.23024	-9.23024	-4.18148	-9.23024	-9.23024	-9.23024
-32.2509	-4.56022	-9.23024	-9.23024	-9.23024	-4.56022	-9.23024	-9.23024	-9.23024
-28.5649	-4.1129	-9.23024	-9.23024	-5.99146	-4.1129	-9.23024	-9.23024	-5.99146
-30.1763	-3.89182	-9.23024	-9.23024	-7.82405	-3.89182	-9.23024	-9.23024	-7.82405
-31.7837	-4.1129	-9.23024	-9.23024	-9.21034	-4.1129	-9.23024	-9.23024	-9.21034
-31.0679	-3.37715	-9.23024	-9.23024	-9.23024	-3.37715	-9.23024	-9.23024	-9.23024
-31.1737	-3.483	-9.23024	-9.23024	-9.23024	-3.483	-9.23024	-9.23024	-9.23024
-31.6686	-3.97786	-9.23024	-9.23024	-9.23024	-3.97786	-9.23024	-9.23024	-9.23024
-30.8692	-3.17847	-9.23024	-9.23024	-9.23024	-3.17847	-9.23024	-9.23024	-9.23024
-31.5204	-3.82964	-9.23024	-9.23024	-9.23024	-3.82964	-9.23024	-9.23024	-9.23024
-30.6581	-2.96734	-9.23024	-9.23024	-9.23024	-2.96734	-9.23024	-9.23024	-9.23024
-30.8288	-3.15796	-9.23024	-9.23024	-9.21034	-3.15796	-9.23024	-9.23024	-9.21034
-30.9921	-3.30136	-9.23024	-9.23024	-9.23024	-3.30136	-9.23024	-9.23024	-9.23024
-31.424	-3.73332	-9.23024	-9.23024	-9.23024	-3.73332	-9.23024	-9.23024	-9.23024
-30.807	-3.11629	-9.23024	-9.23024	-9.23024	-3.11629	-9.23024	-9.23024	-9.23024
-30.9513	-3.26054	-9.23024	-9.23024	-9.23024	-3.26054	-9.23024	-9.23024	-9.23024
-31.6895	-3.9988	-9.23024	-9.23024	-9.23024	-3.9988	-9.23024	-9.23024	-9.23024
-30.6906	-3.01982	-9.23024	-9.23024	-9.21034	-3.01982	-9.23024	-9.23024	-9.21034
-30.7094	-3.01871	-9.23024	-9.23024	-9.23024	-3.01871	-9.23024	-9.23024	-9.23024
-32.6197	-4.94887	-9.23024	-9.23024	-9.21034	-4.94887	-9.23024	-9.23024	-9.21034
