ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	ThetaFW[4]	
0	0	18.5455	7.77273	7.65152	
0	0	0	0	0	
0	0	0	0.0151515	0	
0	0	3.0303	63.6364	7.75758	
0	0	0	0.0151515	0	
0.0151515	0	0	0	0	
0	0	9.28788	3.69697	12.9545	
3.66667	3.68182	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.0151515	0	
0.0151515	1.84848	0.0151515	0	0	
0	0	0	11.0606	12.8788	
0	0	0.0151515	0	0	
0	0	0	0	0.0151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	3.78788	26.1667	11.9394	
0.0151515	0.0151515	0	0	0	
0	0	0.0151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	31.3182	1.84848	7.34848	
0	0	17.5758	3.27273	7.81818	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
