H[0]	H[1]	H[2]	H[3]	H[4]	
-3.33333	-3.18182	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0.151515	-1.51515	0.151515	0	0	
0	0	0	-9.39394	-11.2121	
0	0	0.151515	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	-2.12121	-16.8788	-7.87879	
0.151515	0.151515	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	-26.8182	-1.51515	-6.51515	
0	0	-9.69697	-1.45455	-5.09091	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
