H[0]	H[1]	H[2]	H[3]	H[4]	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0.30303	0	0	
0	0.151515	0	0	0.151515	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	-6.36364	-11.5152	-5.75758	
0	0	0	0	0	
-4.09091	-1.66667	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0.151515	0	
0	0.151515	0	0	0	
0	0.151515	0.151515	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	-1.66667	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	-1.90909	-0.545455	
0	0	0.151515	0.151515	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0.151515	0	0	-3.0303	
0	0.151515	-23.0303	-6.9697	-5.75758	
0	0	0	0	0	
0	0	0	0	0	
-3.33333	-3.18182	0	0	0	
0	0	0	0	0	
0	0.151515	0	0.151515	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	-1.21212	-5.09091	
0.151515	0	0	0	0	
-1.51515	0	0	0	0.151515	
0	0	0	-7.57576	-10.303	
0	0	0	0	0	
0	0	0.30303	0	0	
0	0	0	0	0	
0.30303	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
-5.57576	-2.18182	0	0	0	
0	0	-7.51515	-3.39394	-4.45455	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	-3.93939	0.151515	
0	0	0	0.151515	0	
0.151515	-9.54545	-29.3939	-3.0303	0.151515	
0	0	0	0	0	
0	0	0	0.242424	-7.75758	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0.151515	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	-21.5152	-3.0303	-1.66667	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.30303	-15.7879	-6.21212	
-3.33333	0	0.151515	0.151515	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0.151515	0	0.151515	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0.151515	
0	0	0	-10.9091	-16.2121	
-1.66667	0	0	0	0	
0	0.151515	0	0	-8.0303	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0.151515	0	0	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0.151515	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	0	0	0	
-3.0303	-0.909091	-3.63636	-1.36364	-16.9697	
0	0.151515	0	-19.697	-4.54545	
-2.72727	0.151515	0	0	0	
0	0	0	0	0.151515	
0	0	0.151515	0	0	
-1.51515	0	0	0	0	
0	0	0	0.242424	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0.151515	
0	0	0	0	0	
0	0	-4.54545	-17.2727	-14.2424	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	-16.9697	-23.6364	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0.151515	0.151515	0	0.151515	0	
0	0.151515	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	-4.54545	0.30303	0	0	
0	0	0	0	-4.69697	
0	0.151515	-2.42424	0.969697	-5.57576	
0	0	0	0	-12.8788	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0.151515	0	0	
0	0	0	0	-2.18182	
0	0	0.151515	0	0	
0	0	-19.8485	-28.6364	-8.93939	
0	0	0.151515	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	0.151515	0	0	
0	0	-6.66667	-2.42424	-6.36364	
0	0	-12.1515	-2.30303	-4.9697	
0	0	0.151515	-10.4545	-16.0606	
0	0	0	-7.87879	-3.0303	
-10.9091	-6.21212	-20.1515	-5.90909	-11.0606	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0.151515	
0	0	0	0	0.151515	
0.151515	0.151515	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0	0	
0	0	0	-8.0303	-6.21212	
0	0	0	0	0	
0	0	0	0	-1.66667	
0	0	0.151515	0	0	
0	0	-8.63636	-9.84848	-16.0606	
0	0	0	0	0.242424	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0.151515	-6.36364	
0.151515	0	0	0	0	
0	0	0	0.151515	0	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	0.151515	0	0	
0	0.151515	0.151515	0.151515	0.151515	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	-1.36364	0	0	0	
0	0	0	0	0	
0.151515	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0.151515	0.151515	0	
0	0	0	0	0	
-2.72727	0	0	0.151515	-16.9697	
-11.0606	0.30303	0	0	0	
0	0	0	0	0	
