FD[0]	FD[1]	FD[2]	FD[3]	FD[4]	
na	na	-1.42122	-1.42122	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
-1.42122	na	na	-1.42122	na	
na	na	na	0.703619	na	
na	na	na	na	na	
1.10807	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	-1.42122	-1.91219	na	na	
na	-1.42122	na	na	-1.42122	
na	na	na	-1.42122	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-0.00924996	-1.47711	-1.2959	
na	na	na	na	na	
-1.57737	0.703619	na	na	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.42122	na	
na	na	na	-1.42122	na	
na	-1.42122	na	na	na	
na	-1.42122	-1.42122	-1.42122	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	0.703619	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	na	1.32064	0.946685	
na	na	-1.42122	-1.42122	na	
na	na	-1.42122	na	na	
na	na	na	na	na	
na	na	-1.42122	na	na	
na	-1.42122	na	na	-0.625906	
na	-1.42122	-0.764927	-0.200194	-1.2959	
na	na	na	na	na	
na	na	na	na	na	
0.946685	-0.00734185	na	na	na	
na	na	na	na	na	
na	-1.42122	na	-1.42122	na	
na	na	na	-1.42122	na	
na	na	na	na	na	
na	na	na	na	na	
na	na	-1.42122	0.703619	1.7348	
-1.42122	na	na	na	na	
-0.482752	na	na	na	-1.42122	
na	na	na	-0.813901	-1.22605	
na	na	na	na	na	
na	na	-1.91219	na	na	
na	na	na	na	na	
-1.91219	na	na	na	na	
na	na	na	na	na	
na	na	na	-1.42122	na	
1.45859	1.55674	na	na	na	
na	na	1.63058	1.22741	1.24308	
na	na	na	na	na	
na	na	na	na	-1.42122	
na	na	na	na	na	
na	na	na	-1.77789	-1.42122	
na	na	na	-1.42122	na	
-1.42122	-0.0103146	-0.645618	-0.625906	-1.42122	
na	na	na	na	na	
na	na	na	0.703619	1.75481	
na	na	na	na	na	
na	na	na	na	na	
