ThetaFL[0]	ThetaFL[1]	ThetaFL[2]	ThetaFL[3]	
6	2	33	7	
17	4	49	9	
15	8	37	9	
10	8	20	14	
8	4	28	8	
18	4	31	14	
8	10	37	9	
14	3	41	5	
15	2	36	16	
10	0	43	9	
6	1	41	8	
13	3	18	8	
9	7	27	5	
15	16	36	6	
13	2	36	6	
14	15	38	13	
5	1	28	13	
9	4	36	15	
19	4	28	4	
6	3	45	12	
9	1	50	5	
5	1	35	8	
13	5	30	13	
12	2	26	6	
7	1	29	7	
8	6	33	10	
6	3	27	13	
4	2	40	7	
12	5	58	13	
15	3	49	3	
14	4	34	5	
11	6	39	14	
6	0	23	13	
3	10	28	9	
13	7	35	12	
7	5	37	8	
3	3	24	14	
7	3	14	8	
10	3	27	8	
3	12	47	20	
11	4	14	14	
8	5	33	12	
17	2	28	16	
9	1	56	8	
8	1	43	6	
6	7	50	10	
10	4	55	15	
5	6	20	13	
7	8	28	12	
8	1	39	9	
13	1	31	10	
8	2	46	4	
9	5	30	3	
17	1	37	5	
10	4	29	10	
11	4	37	11	
6	7	30	10	
12	6	38	10	
11	2	42	5	
14	2	52	15	
15	10	34	8	
3	7	31	9	
7	9	38	10	
7	7	50	5	
11	2	33	2	
8	4	50	13	
16	1	20	7	
11	5	44	7	
10	4	38	6	
15	20	38	8	
7	13	47	7	
7	5	35	16	
5	1	38	6	
12	4	43	5	
12	2	29	4	
5	4	41	9	
7	12	31	9	
5	2	28	10	
9	7	23	10	
8	5	26	8	
9	4	24	12	
6	4	31	8	
11	9	32	13	
18	5	29	9	
7	3	43	10	
6	5	36	10	
9	10	33	10	
3	7	41	13	
23	3	30	3	
13	13	18	9	
11	6	38	13	
9	6	25	6	
10	9	37	16	
8	4	49	2	
12	4	35	11	
7	2	39	5	
13	4	36	11	
17	3	34	7	
11	3	31	9	
4	9	32	10	
7	5	39	2	
15	2	31	9	
10	2	47	7	
11	3	42	9	
10	12	41	21	
10	4	34	5	
9	2	32	5	
7	6	26	1	
11	1	43	6	
10	5	40	9	
8	3	25	6	
11	4	30	2	
6	11	32	8	
10	0	36	12	
2	11	27	14	
12	3	31	5	
14	2	69	5	
4	4	34	5	
10	1	33	7	
21	3	34	12	
10	6	32	15	
11	4	34	10	
6	1	23	6	
7	5	47	9	
9	6	16	10	
6	6	39	9	
6	10	49	11	
12	5	25	5	
5	5	25	5	
10	1	34	7	
9	7	30	5	
10	2	33	13	
6	1	19	4	
3	5	48	4	
8	8	53	10	
11	6	40	6	
6	5	32	11	
10	7	39	10	
9	12	46	6	
3	2	28	6	
12	7	41	2	
1	14	34	16	
7	7	34	8	
17	5	54	7	
11	5	16	9	
10	5	34	11	
9	2	27	12	
11	4	38	11	
19	11	34	7	
14	13	51	11	
6	7	34	7	
11	1	20	11	
14	7	37	12	
6	3	31	9	
19	4	38	9	
15	6	28	4	
12	5	45	8	
10	4	37	15	
8	6	37	10	
19	7	71	12	
7	6	17	11	
14	5	32	5	
13	6	33	5	
12	5	41	5	
9	4	47	9	
10	2	34	10	
12	5	27	11	
9	4	17	9	
9	7	19	3	
16	6	16	4	
5	11	42	9	
6	2	36	5	
7	11	26	7	
12	6	25	13	
8	8	41	8	
14	1	57	9	
9	1	30	4	
6	4	46	9	
13	4	47	4	
4	8	51	4	
9	12	42	13	
16	4	36	16	
10	4	38	9	
5	7	36	9	
7	6	25	5	
8	5	39	10	
11	5	35	9	
15	8	46	10	
9	2	19	5	
20	8	48	3	
8	5	33	11	
7	6	51	11	
5	3	42	9	
10	4	42	5	
12	3	32	11	
5	7	55	7	
8	4	39	1	
5	3	40	5	
16	12	10	12	
12	6	35	10	
17	2	33	5	
12	3	50	11	
3	8	42	7	
12	4	37	6	
14	9	32	7	
15	4	21	3	
7	8	37	9	
12	5	42	3	
11	16	21	18	
6	4	32	15	
5	1	27	4	
10	7	18	10	
20	5	35	4	
8	7	26	7	
6	3	30	10	
13	2	35	5	
7	7	20	4	
7	7	25	12	
13	1	42	12	
8	2	24	6	
7	3	17	10	
11	1	18	10	
11	7	30	14	
18	7	23	5	
13	9	32	5	
8	4	34	5	
5	4	37	5	
18	5	25	5	
9	5	28	9	
8	2	36	9	
11	2	34	9	
9	2	39	11	
5	7	49	10	
13	3	36	6	
12	3	23	9	
4	1	30	6	
7	0	34	5	
6	3	24	9	
14	1	25	8	
4	3	47	11	
6	2	28	8	
10	1	29	8	
17	1	17	3	
18	3	42	10	
12	6	41	7	
11	15	30	6	
5	2	33	6	
12	4	47	13	
13	9	55	9	
11	2	48	6	
10	5	40	14	
9	2	27	8	
21	5	29	7	
7	7	28	13	
7	4	29	14	
4	1	44	13	
16	19	25	10	
12	3	25	3	
11	6	36	9	
6	2	30	5	
10	8	35	12	
6	5	47	10	
17	6	18	5	
