ThetaFL[0]	ThetaFL[1]	ThetaFL[2]	ThetaFL[3]	
9	2	26	11	
16	3	34	7	
7	4	41	6	
10	4	28	7	
13	3	25	5	
9	0	34	9	
10	2	54	9	
10	12	21	2	
14	2	32	5	
6	3	45	6	
9	1	31	7	
18	3	41	3	
15	5	28	5	
9	5	33	7	
9	11	38	16	
13	7	44	6	
18	3	47	8	
5	2	41	4	
7	6	31	6	
2	3	20	8	
19	1	20	8	
12	5	47	10	
3	2	52	12	
17	2	40	6	
6	5	39	2	
18	0	21	7	
10	0	43	11	
11	3	48	6	
15	11	43	13	
7	8	33	7	
4	4	33	6	
7	14	45	3	
6	2	18	13	
9	4	44	6	
9	3	37	10	
10	9	33	8	
8	6	11	9	
14	1	29	10	
17	5	29	5	
8	2	30	7	
9	0	44	3	
2	6	25	12	
14	8	33	5	
10	3	54	9	
5	2	34	10	
7	5	51	8	
13	4	49	13	
5	0	29	5	
5	12	35	9	
13	1	38	9	
12	0	27	8	
11	9	32	14	
12	3	39	4	
11	4	29	12	
10	9	43	3	
11	3	33	13	
9	5	29	12	
8	4	23	6	
12	5	32	14	
4	5	43	8	
6	5	30	7	
9	4	25	9	
11	4	29	4	
11	11	32	13	
11	4	53	8	
11	4	34	5	
12	8	35	8	
27	2	28	13	
3	2	24	5	
7	2	37	8	
8	17	34	10	
0	7	19	16	
7	3	37	12	
5	4	30	8	
17	11	37	8	
6	9	26	7	
12	17	51	12	
10	3	27	13	
7	2	49	7	
2	1	25	11	
6	6	32	6	
17	21	51	5	
7	1	27	8	
10	0	37	13	
9	3	42	4	
5	6	38	6	
6	5	33	13	
8	4	38	9	
7	5	43	9	
18	4	39	6	
19	5	25	12	
10	8	42	12	
13	6	19	11	
5	5	31	10	
10	5	30	6	
13	0	25	4	
21	6	30	8	
12	2	34	6	
3	2	43	6	
3	3	27	6	
9	4	17	8	
14	6	58	7	
15	1	21	8	
5	3	25	1	
3	4	40	13	
6	5	34	5	
4	1	39	2	
13	2	39	5	
9	5	34	5	
6	4	34	16	
8	7	40	6	
14	3	43	4	
8	4	34	13	
5	1	30	8	
5	7	61	4	
7	14	25	7	
15	10	53	10	
6	5	49	6	
5	2	28	3	
6	4	19	12	
12	2	55	9	
5	1	32	8	
3	10	29	5	
10	19	24	8	
16	2	54	15	
18	4	34	8	
12	14	27	6	
8	8	31	3	
12	5	45	9	
14	3	44	9	
7	4	47	9	
10	3	41	8	
7	11	24	4	
21	1	24	10	
12	5	40	6	
10	9	33	7	
4	4	49	4	
7	3	25	11	
10	7	32	7	
9	5	33	10	
8	7	22	18	
12	6	33	3	
4	13	28	11	
5	1	36	4	
11	2	34	14	
7	4	39	12	
14	3	35	10	
9	7	28	11	
15	3	37	8	
10	9	27	8	
4	5	42	8	
5	6	30	8	
14	1	44	5	
6	2	32	7	
8	6	46	5	
13	3	31	8	
16	6	31	8	
8	2	30	6	
10	7	32	13	
12	7	29	7	
7	3	42	9	
10	6	25	9	
8	2	32	12	
5	7	30	10	
12	4	39	8	
2	1	24	11	
12	5	27	3	
10	2	29	5	
8	3	55	4	
5	4	44	10	
12	6	48	7	
9	4	24	5	
13	3	38	2	
12	4	20	5	
10	6	47	9	
6	10	52	8	
13	3	25	8	
17	4	34	8	
10	6	42	10	
6	5	55	15	
11	5	25	20	
12	6	28	6	
12	3	52	14	
12	8	35	4	
3	6	38	17	
10	9	26	8	
11	4	29	5	
15	4	30	13	
11	2	17	6	
9	0	27	11	
5	7	42	5	
8	3	32	11	
16	4	40	6	
13	4	55	11	
11	6	47	12	
8	6	40	8	
8	5	40	9	
5	2	39	6	
15	2	39	7	
18	5	32	3	
6	2	27	4	
8	7	39	10	
9	1	50	6	
7	6	44	13	
5	3	15	6	
13	2	36	6	
11	4	22	16	
9	3	40	19	
3	4	27	7	
12	6	34	10	
4	7	42	12	
8	11	45	10	
17	10	38	9	
12	6	37	7	
8	5	39	8	
9	1	40	7	
12	8	27	10	
10	2	37	13	
8	30	33	7	
17	5	27	10	
15	10	44	7	
4	5	32	4	
23	1	32	9	
9	4	29	6	
14	6	41	12	
9	5	29	9	
5	11	38	8	
13	9	37	4	
7	3	23	11	
13	6	40	9	
7	2	36	3	
11	5	34	10	
10	10	22	6	
14	10	44	9	
9	6	54	3	
10	1	31	4	
10	2	26	8	
12	6	55	6	
10	8	13	11	
13	2	39	6	
16	1	28	7	
17	6	34	13	
6	6	30	12	
9	2	40	12	
13	2	42	8	
6	4	48	11	
3	1	39	5	
7	3	47	6	
14	7	24	7	
10	15	33	3	
15	2	36	7	
8	6	16	9	
11	4	20	8	
5	9	33	10	
7	2	36	13	
11	0	38	17	
9	2	21	17	
22	6	33	3	
8	1	35	4	
10	2	45	12	
8	5	44	5	
10	10	45	4	
6	11	32	6	
5	4	36	6	
12	10	43	9	
15	5	49	6	
19	8	35	12	
10	4	51	5	
14	3	33	8	
19	1	47	9	
5	0	32	5	
11	3	54	12	
11	6	35	10	
5	2	50	7	
15	6	36	8	
7	9	28	7	
17	7	18	2	
4	6	28	4	
17	4	40	10	
11	7	43	2	
7	9	46	8	
9	3	36	11	
9	4	38	6	
9	13	38	9	
4	12	55	8	
7	3	51	12	
5	4	20	7	
12	3	19	3	
11	6	27	9	
12	12	22	8	
7	15	40	6	
14	2	32	4	
4	19	44	7	
20	5	30	8	
13	12	43	4	
7	3	30	9	
11	6	26	10	
9	3	37	7	
7	3	36	10	
8	6	39	9	
11	1	21	6	
9	1	41	8	
9	7	38	5	
6	5	44	13	
8	2	53	11	
7	8	39	7	
15	10	19	8	
16	4	37	7	
9	7	36	7	
9	8	39	5	
13	0	44	8	
6	14	31	5	
9	1	26	7	
7	8	25	10	
19	8	30	14	
20	4	35	4	
5	8	32	12	
8	2	34	13	
8	13	24	2	
10	6	41	4	
15	2	18	14	
9	10	31	11	
9	2	41	8	
5	5	17	16	
10	4	43	8	
10	2	23	6	
9	4	35	10	
12	7	46	12	
6	7	20	1	
11	3	24	7	
13	5	32	7	
8	5	33	12	
3	4	53	3	
10	11	62	10	
8	4	26	10	
16	3	58	7	
9	25	23	13	
14	3	28	8	
8	1	26	8	
7	4	42	12	
16	2	43	6	
7	4	28	9	
6	2	30	6	
10	0	68	7	
6	0	17	7	
3	7	27	1	
11	6	35	6	
14	3	33	9	
10	4	32	7	
7	11	39	9	
7	5	39	6	
9	2	34	12	
16	6	20	12	
13	4	39	9	
8	5	63	11	
3	11	26	2	
10	1	19	9	
5	1	27	12	
5	5	44	8	
13	5	14	6	
6	4	28	5	
9	2	41	10	
11	8	40	14	
5	6	38	9	
9	3	34	5	
11	0	36	12	
19	8	33	6	
7	5	19	12	
12	2	32	6	
15	2	25	9	
8	2	37	7	
10	2	24	5	
3	14	28	16	
6	4	40	11	
11	5	25	6	
6	9	31	16	
7	1	23	7	
12	11	28	11	
6	4	34	5	
6	4	11	3	
8	4	33	15	
11	11	42	11	
11	3	41	6	
10	8	46	9	
12	4	30	10	
9	7	36	4	
10	7	33	6	
6	2	37	21	
5	7	31	8	
9	6	20	13	
14	4	28	6	
13	2	28	11	
17	5	29	5	
7	5	32	5	
8	5	32	11	
13	14	37	7	
15	3	41	11	
5	5	34	11	
5	3	36	15	
10	5	43	7	
13	2	45	5	
8	9	39	11	
11	7	44	6	
8	9	30	14	
10	6	51	4	
14	4	28	15	
6	12	36	15	
2	3	40	6	
8	1	40	8	
13	8	31	7	
7	3	42	12	
7	2	36	10	
10	5	19	6	
5	6	23	9	
16	3	34	8	
6	2	28	6	
12	1	28	8	
8	2	35	15	
6	2	24	10	
23	1	38	5	
6	1	34	7	
10	3	43	10	
17	2	19	9	
9	10	27	12	
4	3	35	9	
3	5	48	6	
10	1	36	8	
10	10	41	9	
4	6	50	13	
17	10	60	10	
14	0	43	5	
11	5	31	15	
5	3	35	14	
7	4	23	7	
10	22	49	12	
12	3	62	8	
20	5	37	7	
5	3	56	10	
10	10	44	13	
11	4	29	5	
6	6	32	4	
8	3	29	4	
10	3	37	7	
4	2	34	12	
8	12	48	6	
13	5	48	4	
12	4	48	16	
4	4	40	12	
7	2	37	8	
7	10	26	12	
9	12	28	7	
24	6	19	9	
6	10	43	6	
8	8	27	7	
9	5	39	7	
8	2	35	11	
6	4	21	7	
8	5	52	12	
7	9	21	9	
12	7	30	8	
16	8	33	5	
8	12	34	6	
9	11	34	12	
8	4	24	9	
16	2	23	6	
5	4	52	10	
22	8	45	12	
12	4	36	17	
5	4	24	5	
4	3	39	9	
13	11	30	11	
21	6	47	3	
14	6	33	10	
15	2	29	6	
8	5	46	9	
12	2	41	9	
11	11	34	19	
7	5	17	10	
9	4	24	10	
17	15	39	6	
8	2	42	8	
7	14	25	3	
9	10	52	12	
10	8	37	10	
9	3	42	11	
17	3	38	16	
14	3	25	11	
10	11	36	2	
7	8	49	7	
19	4	64	13	
9	1	45	6	
11	4	39	8	
5	4	29	6	
17	7	29	9	
11	3	34	8	
10	8	48	9	
8	6	42	6	
6	13	26	9	
6	3	27	7	
9	1	38	8	
16	4	51	3	
4	5	40	5	
10	8	37	13	
6	10	34	15	
7	7	41	14	
5	9	62	6	
6	3	34	5	
7	5	35	11	
9	13	17	7	
6	19	40	9	
8	5	37	10	
9	3	20	10	
10	0	31	9	
6	3	53	4	
17	1	36	10	
10	0	43	21	
11	1	48	5	
18	4	46	9	
6	8	38	3	
14	1	17	7	
20	7	41	12	
10	8	32	6	
4	5	28	6	
5	3	35	11	
7	2	45	9	
9	8	34	6	
14	12	45	8	
3	7	34	16	
13	5	44	7	
9	9	26	9	
6	3	48	10	
22	3	23	6	
21	1	23	9	
9	4	38	9	
12	9	32	6	
12	7	26	5	
7	8	21	11	
5	1	39	5	
23	8	28	7	
11	2	32	10	
3	1	37	11	
8	3	27	3	
11	4	39	11	
7	8	31	4	
17	2	29	8	
10	4	36	5	
25	1	38	9	
9	7	30	6	
14	1	46	9	
15	2	25	9	
8	3	41	3	
21	6	39	9	
3	8	23	9	
5	5	62	9	
18	3	74	7	
21	6	34	13	
16	8	50	5	
13	7	34	10	
16	8	32	4	
11	4	35	9	
10	5	39	11	
7	1	48	12	
14	7	49	18	
11	5	53	6	
11	3	41	6	
13	6	32	6	
10	7	28	7	
14	4	32	9	
12	1	37	12	
8	1	36	7	
16	6	35	3	
22	3	34	12	
15	10	50	3	
9	13	34	10	
17	16	35	10	
6	5	20	4	
4	3	51	10	
17	7	58	8	
17	6	46	9	
11	3	33	7	
9	4	34	14	
11	1	34	7	
7	0	37	10	
3	4	33	7	
8	10	34	6	
6	3	27	14	
4	3	45	8	
2	1	46	11	
14	8	46	7	
8	7	61	3	
5	3	38	8	
13	2	36	9	
10	5	25	14	
6	6	17	8	
6	7	56	9	
8	4	25	5	
6	5	48	6	
10	6	21	5	
11	5	25	9	
13	7	47	6	
19	13	24	10	
10	6	42	7	
7	3	55	9	
11	12	32	4	
6	2	40	14	
5	2	44	13	
10	2	28	7	
12	2	31	6	
6	5	16	9	
10	9	43	11	
14	9	28	6	
14	6	29	11	
4	4	34	9	
6	3	46	8	
14	8	25	5	
10	2	47	7	
12	6	30	9	
14	4	39	10	
16	8	36	5	
13	6	24	10	
9	3	37	5	
16	2	40	9	
13	4	33	4	
8	1	29	10	
15	3	27	12	
7	1	44	11	
11	1	23	10	
19	7	28	9	
6	9	39	4	
9	3	42	14	
13	6	32	5	
7	5	28	7	
12	1	48	4	
8	13	43	11	
8	3	44	11	
10	3	29	6	
8	4	44	10	
10	6	20	7	
9	9	35	7	
7	3	27	5	
12	2	42	8	
13	5	32	14	
8	10	61	6	
8	7	46	7	
12	13	41	5	
24	4	24	12	
9	3	40	7	
9	4	42	7	
12	5	26	5	
9	2	50	8	
7	7	32	9	
11	4	29	8	
8	5	22	11	
6	2	22	12	
7	9	38	11	
6	3	36	11	
13	6	55	9	
17	9	58	12	
6	9	34	6	
18	8	36	15	
8	4	29	9	
8	5	43	9	
14	2	27	7	
17	9	31	4	
10	2	26	11	
14	2	34	21	
10	11	30	15	
11	3	13	10	
19	2	13	5	
13	1	24	5	
8	4	38	5	
7	8	48	6	
11	3	29	9	
14	5	41	12	
13	7	24	10	
14	7	29	7	
28	5	33	20	
9	6	51	14	
12	8	35	15	
13	1	41	10	
10	4	34	10	
4	3	18	9	
19	2	21	10	
10	11	30	6	
11	5	42	7	
11	2	17	13	
9	4	33	4	
14	5	62	3	
8	0	21	8	
8	7	40	10	
8	3	40	6	
22	1	30	2	
14	1	12	10	
11	9	29	8	
10	2	30	11	
13	10	41	9	
12	8	31	6	
13	4	39	7	
11	3	37	10	
2	3	26	4	
22	12	33	9	
7	12	38	4	
10	2	30	6	
16	15	35	3	
10	1	32	11	
3	5	16	7	
6	7	26	12	
21	4	35	8	
16	3	47	11	
16	3	42	7	
6	2	24	14	
11	9	31	6	
6	1	48	9	
12	12	42	11	
10	5	47	7	
8	6	23	7	
13	3	34	7	
11	3	30	12	
4	4	30	0	
10	9	28	8	
15	5	51	5	
11	5	44	13	
9	4	33	3	
12	3	33	6	
11	4	28	4	
11	2	39	12	
14	4	46	12	
7	1	47	9	
6	3	39	6	
14	13	29	6	
11	13	57	6	
20	5	16	2	
9	5	41	10	
16	5	33	5	
9	2	34	8	
7	2	35	7	
12	2	25	4	
