ThetaTaj[0]	ThetaTaj[1]	ThetaTaj[2]	ThetaTaj[3]	
14.154	1.33333	38.6812	4.57576	
6.55172	2.86667	52.2464	8.39394	
9.78851	5.11111	16.8551	12.2879	
9.95862	7.04444	63.0254	11.3182	
6.58851	4.77778	27	7.5303	
12.531	5.42222	32.0507	11	
9.89425	7.75556	23.9891	9.62121	
14.2483	5.88889	33.4457	8.95455	
10.3149	0.755556	39.3116	9.65152	
6.10115	13.2889	17.4964	6.54545	
6.49425	5.46667	22.9058	6.36364	
10.8276	10.7556	35.3913	8.5	
7.82299	5.08889	33.4928	6.27273	
10.7701	12.1333	34.5942	8.25758	
10.5172	9.33333	41.8007	9.66667	
4.63908	7.13333	30.663	9.42424	
6.08046	2.77778	45.0181	9.43939	
6.58621	11.8667	46.7391	10.8939	
13.7678	2.22222	25.8696	7.57576	
8.13333	9.53333	38.4891	8.84848	
10.1586	12.0667	40.6449	6.33333	
12.8069	6.28889	36.2645	10.3636	
5.82989	1	30.5616	13.8182	
13.4253	5.51111	38.9783	7.21212	
15.5862	1.2	25.721	6.40909	
9.14943	3.02222	50.2536	10.0152	
6.86897	5.22222	37.6848	12.0909	
7.90805	3.26667	27.5362	7.31818	
15.6575	3.8	38.8333	8.9697	
5.47586	6.46667	26.0942	9.09091	
9.05747	2.75556	32.0942	11.2273	
14.2184	4.55556	16.0399	8.60606	
10.5034	6.57778	27.9529	11.7576	
8.69425	6.4	53.6703	6.78788	
14.8805	8.68889	45.6341	8.59091	
6.8046	2.28889	30.0181	5.16667	
10.5678	6.93333	43.7319	9.69697	
6.4092	6.82222	37.8478	5.86364	
14.6644	10.6667	39.9348	9.87879	
11.1149	10.8	36.3623	9.22727	
7.50805	4.64444	33.1739	7.25758	
8.76552	3.28889	27.0543	8.43939	
9.73333	7.28889	37.7536	12.5909	
8.51494	3.57778	33.1232	11.0909	
22.8989	2.11111	35.1703	7.90909	
12.3563	3.48889	45.4239	7.16667	
6.95402	2.42222	28.8152	8.39394	
6.21379	7.48889	25.0145	7.84848	
9.25747	5.48889	40.3949	8.27273	
15.6161	12.5556	47.5	12.803	
14.469	0.555556	31.0181	10.9394	
7.31494	2.84444	42.3514	4.06061	
11.8759	5.88889	42.8007	8.36364	
11.5563	2.97778	32.0761	5.51515	
14.0276	4.53333	30.6377	8.68182	
7.74483	2.86667	27.4783	4.57576	
6.68506	4.75556	46.1667	7.68182	
18.8023	9.35556	37.1812	7.28788	
10.9977	12.3111	27.1848	11.8182	
4.65977	0.866667	27.6413	12.6667	
10.3425	3	29.5109	8.66667	
8.34023	10.9556	32.0725	11.8788	
11.3402	6.51111	20.5036	7.68182	
9.13793	4.46667	38.4855	10.697	
15.9379	3.08889	32.1087	10.1061	
13.6138	3.04444	26.3659	7.34848	
11.2713	0.733333	22.7355	9.45455	
