B[0]	B[1]	B[2]	B[3]	
0.102041	0.666667	0.123188	0.142857	
0	0.444444	0.13587	0.217391	
0.138889	0.2	0.0930233	0.151515	
0.05	0.210526	0.253886	0.162162	
0.0666667	0.25	0.163636	0.0869565	
0.0980392	0.333333	0.0895522	0.176471	
0.119048	0.0909091	0.138889	0.0740741	
0.18	0	0.136364	0.136364	
0.12766	0	0.181208	0.121212	
0.181818	0.44	0.126437	0.130435	
0.04	0.5	0.0980392	0.047619	
0.0909091	0.416667	0.188034	0.222222	
0.117647	0.142857	0.128	0.2	
0.0888889	0.125	0.181818	0.190476	
0.186047	0.6	0.215385	0.208333	
0.16129	0.307692	0.18254	0.137931	
0.228571	0.166667	0.266667	0.0769231	
0.03125	0.5	0.187879	0.0588235	
0.0645161	0.285714	0.16	0.277778	
0.142857	0.428571	0.144828	0.16	
0.0540541	0.285714	0.104575	0.0588235	
0.179487	0.166667	0.246032	0.1875	
0.121212	0.25	0.141593	0.195122	
0.106383	0.545455	0.0729927	0.1	
0.145833	0	0.125	0.315789	
0.0833333	0.111111	0.22561	0.2	
0.233333	0.0833333	0.153285	0.151515	
0.222222	0.428571	0.121951	0.3	
0.212766	0.2	0.100629	0.103448	
0.0344828	0.615385	0.146341	0.0416667	
0.175	0.142857	0.173554	0.206897	
0.150943	0	0.237113	0.185185	
0.151515	0.692308	0.135922	0.176471	
0.103448	0.285714	0.253333	0.047619	
0.107143	0.173913	0.107784	0.269231	
0.185185	0.5	0.0862069	0.5	
0.166667	0.5	0.147887	0.15625	
0.0294118	0.428571	0.22807	0.166667	
0.0408163	0.0833333	0.118519	0.0714286	
0.151515	0.259259	0.221477	0.0588235	
0.166667	0.0833333	0.141414	0.166667	
0.027027	0	0.108911	0.153846	
0.139535	0.631579	0.198413	0.179487	
0.1875	0.285714	0.177305	0.206897	
0.223881	0	0.140625	0.0909091	
0.225	0.416667	0.201149	0.0869565	
0.0909091	0	0.12782	0.0714286	
0.137931	0.294118	0.255556	0.222222	
0.0322581	0.411765	0.0571429	0.178571	
0.186047	0.416667	0.175	0.361111	
0.142857	0	0.201613	0.0645161	
0.1	0	0.175325	0.181818	
0.257143	0.307692	0.157895	0.2	
0.0576923	0.166667	0.160305	0.2	
0.109091	0.461538	0.158879	0.0416667	
0.0909091	0	0.059322	0.117647	
0.142857	0.0714286	0.174194	0.153846	
0.15873	0.347826	0.144828	0.269231	
0.25	0.451613	0.0762712	0.142857	
0.0357143	0	0.0894309	0.0555556	
0.0769231	1	0.29661	0.16	
0.166667	0.375	0.0508475	0.0625	
0.119048	0.190476	0.139785	0.0869565	
0.117647	0.230769	0.21831	0.222222	
0.304348	0.142857	0.144068	0.461538	
0.255814	0.111111	0.104	0.208333	
0.166667	0	0.131868	0.08	
0.0967742	0	0.106667	0.0666667	
0.0357143	0.125	0.166667	0.115385	
0.194444	0.571429	0.0446429	0.208333	
0.1	0.25	0.10219	0.3125	
0	0	0.227642	0.219512	
0.2	0	0.211864	0.0769231	
0.142857	0.392857	0.176471	0.0952381	
0.115385	0.375	0.234483	0.111111	
0.0740741	0.333333	0.162338	0.173913	
0.105263	0.142857	0.15748	0.310345	
0.0909091	0.142857	0.166667	0.26087	
0.0645161	0.235294	0.153153	0.230769	
0.32	0.25	0.113821	0.125	
0.097561	0.8	0.0841121	0.148148	
0.16	0.285714	0.23913	0.2	
0.0344828	0.692308	0.201613	0.153846	
0.14	0.166667	0.205607	0.259259	
0.142857	0	0.186992	0.0714286	
0.142857	0.4	0.186667	0.121212	
0.204082	0.0714286	0.088	0.05	
0.352941	0.375	0.120567	0.259259	
0.0444444	0.416667	0.151261	0.227273	
0.0555556	0.1875	0.152381	0.454545	
0.0645161	0.166667	0.141732	0.2	
0.142857	0	0.0754717	0	
0.227273	0.0833333	0.158273	0.137931	
0.103448	0.166667	0.177632	0	
0.111111	0	0.16	0.047619	
0.1	0.6	0.180952	0.0625	
0.0697674	0	0.206349	0.125	
0.212766	0.125	0.137931	0.05	
0.119048	0.3125	0.225806	0.333333	
0.181818	0.0833333	0.131387	0.0454545	
0.0487805	0.0909091	0.122642	0.235294	
0.137931	0.692308	0.0873786	0.185185	
0.155556	0.2	0.134328	0.241379	
0.0857143	0.448276	0.0733333	0.0833333	
0.147059	0.444444	0.270492	0.0930233	
0.106383	0.142857	0.222222	0.166667	
0.290909	0.375	0.0576923	0.0909091	
0.037037	0.333333	0.173913	0.238095	
0.216216	0.666667	0.0748299	0.142857	
0.163265	0.25	0.144	0.0357143	
0.134615	0	0.180556	0.1	
0.131579	0.136364	0.104167	0.105263	
0.111111	0.35	0.0932203	0.16129	
0.0217391	0.3	0.109677	0.107143	
0.333333	0.117647	0.178862	0.1	
0.0769231	0.25	0.165563	0.227273	
0.0714286	0	0.122449	0.0555556	
0.142857	0	0.153153	0.136364	
0.105263	0.384615	0.121622	0.0833333	
0.164384	0	0.12963	0.111111	
0.0882353	0.666667	0.136	0.0322581	
0.146341	0.153846	0.116788	0.04	
0.21875	0.25	0.207692	0.125	
0.129032	0.352941	0.137931	0.2	
0.234043	0.392857	0.1875	0.107143	
0.203704	0	0.0955882	0.36	
0.282609	0.176471	0.0526316	0.162162	
0.0238095	0.25	0.153846	0.142857	
0.0625	0.0769231	0.184211	0.0869565	
0.0333333	0.333333	0.172414	0.230769	
0.0909091	0.0833333	0.136	0.1	
0.122449	0.111111	0.14433	0	
0.119048	0	0.169118	0	
0.4	0.125	0.121212	0.157895	
0.0740741	0.0666667	0.290909	0.216216	
0.0967742	0.117647	0.157025	0.148148	
0.108108	0	0.201493	0.0952381	
0.25641	0.166667	0.33871	0.0606061	
0.114286	0.411765	0.0821918	0.1875	
0.133333	0.166667	0.211268	0.173913	
0.185185	0	0.161017	0.294118	
0.047619	0.333333	0.166667	0.0555556	
0.153846	0.368421	0.10687	0	
0.102041	0.222222	0.0699301	0.0526316	
0.207547	0.4	0.119658	0.25	
0.238095	0.1	0.12931	0.0555556	
0.2	0.642857	0.1	0.151515	
0.113636	0.3	0.126506	0.269231	
0.146341	0.15	0.117647	0.0666667	
0.210526	0.142857	0.153846	0.130435	
0.0357143	0.142857	0.125	0.117647	
0.103448	0.142857	0.216981	0.166667	
0.22	0.357143	0.0675676	0.2	
0.152174	0.375	0.153846	0.0384615	
0.0454545	0.307692	0.0952381	0.1	
0.148936	0	0.152672	0.0454545	
0.214286	0	0.132911	0.137931	
0.0555556	0.333333	0.111111	0.117647	
0.142857	0.222222	0.157895	0.03125	
0.0851064	0.222222	0.11976	0.0967742	
0.108696	0.375	0.138211	0.0869565	
0.128205	0	0.15625	0.277778	
0.192308	0	0.127273	0.16	
0.1	0	0.187919	0.0526316	
0.114286	0.235294	0.179104	0.208333	
0.0606061	0.222222	0.157025	0.130435	
0.0322581	0.111111	0.0740741	0.125	
0.0833333	0	0.207921	0.2	
0.263158	0.3125	0.197674	0.181818	
0.181818	0.1	0.268041	0.0666667	
0.209302	0.214286	0.137255	0.166667	
0.292683	0	0.20202	0.142857	
0.103448	0.294118	0.115385	0.0416667	
0.0588235	0.333333	0.240506	0.193548	
0.137931	0.0666667	0.169014	0.185185	
0.203704	0	0.0719424	0.190476	
0.0833333	0	0.191489	0.285714	
0.25	0.333333	0.0803571	0.173913	
0.0434783	0.16	0.165563	0.111111	
0.1	0.25	0.118343	0.181818	
0.125	0.36	0.196078	0.151515	
0.146341	0	0.0896552	0.108108	
0.0869565	0.6	0.0930233	0.0434783	
0.137931	0.4	0.176471	0.0833333	
0.16129	0.26087	0.0744681	0.115385	
0.166667	0.2	0.139535	0.105263	
0.193548	0.0909091	0.22	0.0588235	
0.0666667	0	0.2125	0.222222	
0.133333	0.333333	0.227642	0.166667	
0.3	0.692308	0.204918	0.2	
0	0	0.142857	0.114286	
0.137931	0	0.213018	0.0833333	
0.0967742	0.368421	0.157143	0.0625	
0.113636	0.272727	0.0753425	0.304348	
0.047619	0.125	0.176923	0.119048	
0.32	0.375	0.163934	0	
0.0930233	0	0.147059	0.0769231	
