ZengE[0]	ZengE[1]	ZengE[2]	ZengE[3]	
-0.485985	0.619264	-0.195256	-0.794484	
-1.43109	1.15385	-0.395023	0.371733	
-0.0817139	-0.64766	-1.03171	0.10202	
-0.896761	-0.404635	1.0992	0.31101	
-0.651247	0.991621	0.451134	-0.798162	
-0.351016	0.395396	-0.816751	-0.614895	
-0.00803917	-1.42734	-0.458993	-0.342857	
0.0961224	-0.44627	-0.194622	0.593172	
-0.935131	-1.24702	0.444941	-0.739008	
0.963903	1.44384	-1.4783	0.458392	
-0.953339	1.25254	-0.966493	-0.28539	
-0.839422	0.634889	-0.107448	1.33503	
-0.666065	-1.12541	0.106659	0.222532	
-1.12261	-0.604334	0.704402	-0.145851	
0.851087	2.41838	0.637582	1.21243	
-0.138428	-0.233981	0.19673	-0.117883	
1.63102	-0.167633	0.363782	-0.210244	
-1.13946	0.940474	0.28967	-0.583344	
-1.10354	-0.898511	-0.132183	1.08759	
-0.00418433	2.20583	0.0412408	-0.109755	
-0.106917	0.483342	-0.258829	-0.303812	
0.13603	0.480571	0.129208	0.457832	
-0.601665	-1.7941	-0.187754	-0.295812	
0.196133	0.526333	-0.73064	-0.120401	
0.254928	1.00225	0.0709661	0.911417	
-0.368158	-1.01227	0.427148	0.142849	
0.875371	-0.0304785	0.245267	-0.12441	
-0.2564	-0.295562	0.257875	0.603982	
0.757011	-0.770033	-0.43887	0.457864	
-0.821831	1.32617	0.0210545	1.38002	
-0.328964	-0.174973	0.26348	1.78928	
0.904793	-0.200828	0.144185	-1.21993	
0.566095	0.439952	0.189056	0.457856	
0.00563164	0.679101	1.04252	0.0867138	
0.0305752	-0.808657	-0.028547	-0.131624	
0.197007	0.263112	-0.727854	0.616815	
0.168925	1.39749	-0.106632	-0.67045	
-1.00407	0.709428	0.729658	-1.16167	
-0.229281	-0.383728	-0.0616445	-0.3567	
0.463434	-0.0499836	0.14867	-1.6561	
-0.0961135	-0.711878	0.218136	-1.51103	
-0.573462	-0.805977	-0.102242	-0.917821	
-1.33534	-0.46569	0.510224	-0.0197069	
-0.283868	0.669155	0.153518	0.673769	
0.675458	-0.149172	-0.102299	-0.977044	
1.01409	0.310221	0.777707	-0.278208	
-0.383512	-1.26028	-0.725587	-0.20859	
-0.151301	0.11518	0.287342	-0.533526	
-0.0438514	0.247928	-0.42538	-0.652918	
0.994795	1.19513	0.355195	1.14959	
0.770034	-0.955944	0.67132	0.594101	
-0.345924	-0.0702712	-0.0544936	0.467331	
1.10557	0.198255	0.0107099	1.1352	
-0.774354	-0.299669	-0.362651	0.222532	
-0.115398	-0.365704	-0.164105	-0.0864508	
-1.1278	-1.07042	-0.764068	-0.740515	
0.260013	-1.50767	0.147329	-1.07506	
0.209309	1.19285	0.366387	-0.210244	
-0.0745534	0.504946	-0.389568	1.56872	
-1.92695	-1.02209	-0.516725	-0.564587	
-0.488729	0.556525	1.04687	0.295869	
1.51377	0.787682	-0.168971	-0.006755	
-0.730746	-0.508354	-0.307203	-0.538185	
-0.140285	-0.607401	-0.0291007	1.7545	
0.725926	-0.295562	-0.589643	1.75525	
0.820292	-1.52802	0.00461239	-0.337846	
-0.538473	0.181156	-0.808071	-0.596504	
0.429033	-1.48799	-0.862851	-1.15353	
-0.532579	-1.29268	-0.0972336	-0.0136942	
-0.785888	-0.371715	-0.527881	0.206844	
-1.00595	0.940474	-0.218177	0.403976	
-0.921346	-0.909125	0.450292	0.081144	
0.486777	0.279581	0.708284	0.104235	
-0.268382	0.843365	0.206061	-0.378415	
-1.48983	0.202454	0.531072	-0.0108858	
0.695754	0.798426	-0.361541	-0.364867	
-0.981482	-1.58413	0.520034	0.565817	
-0.601665	0.0662068	0.38965	-0.278208	
0.0101926	-0.216692	0.278043	0.458024	
0.219763	0.596495	0.248007	-0.73769	
0.155596	2.35552	-0.529576	0.343551	
1.02392	0.78588	0.570374	0.603982	
-0.338991	-0.124007	0.42161	-0.328173	
-0.300219	-0.959848	0.22948	-0.0759205	
-0.0499352	-1.2719	0.23814	0.606009	
-0.580763	-0.744114	0.0898339	-0.0920632	
0.329968	-1.58413	0.0823621	-0.603323	
0.578555	-1.29268	-0.158695	-0.57166	
-1.0239	0.565746	0.523743	1.04181	
-0.90524	-0.76932	-0.102251	1.04009	
-1.09771	0.798426	0.0652534	-0.458446	
-1.03181	-1.37165	-0.261074	0.175643	
-0.436859	-2.07468	-0.137483	-1.08946	
-0.736232	-0.456353	-0.46976	0.393029	
0.170491	-0.0958404	-0.401669	-0.424928	
0.112062	1.25254	-0.376933	-0.109774	
-1.04792	-0.46785	0.10027	-0.589242	
-0.630926	0.151984	-0.436015	-0.265278	
0.201441	0.688341	0.304099	1.21243	
