H[0]	H[1]	H[2]	H[3]	
6.72184	-0.888889	6.75362	1.51515	
2.06897	-3.82222	15.6232	-0.666667	
1.37011	0.888889	0.144928	1.48485	
4.88276	1.42222	-7.60145	-4.45455	
0.763218	-2.22222	-12.6087	2.51515	
1.54483	0.622222	7.4058	2.36364	
-1.86667	5.06667	-3.23913	2.33333	
2.01379	3.11111	-0.673913	0.272727	
3.18161	0.622222	-11.1159	0.939394	
-10.1425	1.68889	6.73188	-4.72727	
3.95402	0.266667	4.94203	-0.727273	
4.68966	1.06667	9.3913	-7.90909	
1.64598	2.84444	-2.4058	1.27273	
6.16092	4.26667	-8.37681	2.51515	
-6.89655	-5.33333	1.60145	-2.48485	
-6.17011	-3.73333	-10.2391	-0.424242	
-15.2184	0.888889	1.42754	1.9697	
2.48276	1.95556	-2.17391	1.9697	
5.94943	0.444444	-0.434783	-1.21212	
1.64598	-5.15556	-2.06522	0.969697	
1.76552	1.24444	4.42029	1.75758	
4.57931	2.13333	2.18116	-3.63636	
-2.27126	0.888889	3.12319	1.81818	
1.1954	1.24444	18.3043	0.969697	
4.55172	-0.711111	-5.86232	-3.72727	
1.74713	1.15556	2.24638	-1.24242	
-6.26207	1.33333	-3.32609	2.36364	
2.85057	1.42222	-15.8841	-1.54545	
1.5908	1.6	1.84058	-4.24242	
-0.22069	-0.622222	-14.5942	-4.36364	
-0.505747	0.177778	-5.72464	-6.45455	
-6.11494	0.444444	-22.442	4.48485	
0.8	2.04444	-2.61594	-2.30303	
2.21609	-5.42222	4.2971	-1.33333	
0.726437	3.82222	1.96377	-0.0909091	
-1.42529	-2.31111	9.51449	-4.39394	
1.48046	-0.8	13.029	1.21212	
0.68046	0.977778	2.13043	3.18182	
5.81149	5.33333	8.21739	2.30303	
2.57471	2.04444	-10.7536	4.81818	
-0.156322	1.95556	9.65217	4.51515	
1.73793	1.24444	0.978261	3.24242	
6.22529	2.13333	-1.71014	-1.18182	
1.85747	0.266667	-12.8841	-1.09091	
4.76322	0.888889	3.12319	4.54545	
-2.3908	-3.02222	-21.9348	-0.393939	
-1.1954	1.51111	-0.369565	-1.39394	
-1.98621	1.86667	-2.49275	-0.30303	
2.58391	-2.57778	13.7464	0.545455	
2.33563	2.22222	0.73913	-5.84848	
-2.09655	0.444444	-16.8333	-2.48485	
0.698851	-0.533333	2.87681	-0.969697	
-0.662069	1.33333	3.42754	-1.45455	
2.49195	1.51111	0.23913	-0.242424	
