ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.198012	0.349332	0.222176	0.256159	
0.186438	0.232096	0.301177	0.229446	
0.268084	0.457829	0.18469	0.272882	
0.248884	0.434524	0.293542	0.13912	
0.0968434	0.488536	0.176368	0.278384	
0.33749	0.0871791	0.261276	0.265142	
0.295136	0.0960097	0.228872	0.28958	
0.154018	0.489859	0.177684	0.226662	
0.217649	0.328336	0.268683	0.217768	
0.168472	0.284122	0.18422	0.176733	
0.200351	0.449267	0.229231	0.187001	
0.184134	0.0432099	0.235899	0.398439	
0.280795	0.188566	0.205406	0.276851	
0.218302	0.0721451	0.289612	0.174861	
0.216864	0.400508	0.254172	0.304956	
0.132694	0.339359	0.253992	0.216276	
0.082893	0.288409	0.157545	0.250058	
0.135989	0.0299824	0.2904	0.318692	
0.334409	0.440414	0.285377	0.353699	
0.263088	0.16358	0.349055	0.205839	
0.326933	0.240048	0.219881	0.255648	
0.460125	0.141865	0.28959	0.28433	
0.238323	0.333333	0.196252	0.227934	
0.134052	0.36214	0.341405	0.342825	
0.239509	0.210391	0.278608	0.354295	
0.288745	0.0277778	0.155752	0.268201	
0.122185	0.0694444	0.310691	0.397562	
0.330761	0.39952	0.142265	0.279459	
0.142935	0.29892	0.270226	0.298597	
0.15953	0.328153	0.220271	0.346248	
0.230901	0.442482	0.266494	0.235759	
0.253826	0.191358	0.172659	0.189774	
0.142933	0.666667	0.204858	0.140153	
0.304612	0.502425	0.26511	0.205793	
0.345774	0.37207	0.158264	0.240639	
0.24517	0.222222	0.222129	0.179425	
0.254947	0.262266	0.294319	0.130179	
0.140085	0.0685626	0.313562	0.322265	
0.229275	0.465021	0.325929	0.250557	
0.333229	0.698481	0.269899	0.34268	
0.0846623	0.122878	0.215255	0.231358	
0.217906	0.0553351	0.306402	0.267941	
0.230091	0.458647	0.236418	0.13493	
0.225162	0.390332	0.160404	0.453383	
0.181428	0.22123	0.262986	0.239708	
0.400597	0.430115	0.221159	0.170985	
0.136543	0.125351	0.261143	0.286199	
0.208791	0.508547	0.242595	0.487362	
0.211164	0.258282	0.332131	0.193556	
0.0857448	0.364345	0.196045	0.305616	
0.241567	0.385326	0.226241	0.318577	
0.153287	0.345679	0.19421	0.247194	
0.116119	0.241733	0.24782	0.195406	
0.150479	0.407407	0.228362	0.172145	
0.291295	0.578112	0.339177	0.304495	
0.320776	0.451283	0.343956	0.321863	
0.121346	0.272977	0.135908	0.186298	
0.284237	0.241329	0.172408	0.357631	
0.0578657	0.369195	0.230101	0.126181	
0.369996	0.384596	0.187893	0.273282	
0.420079	0.743056	0.204834	0.186015	
0.177208	0.333388	0.424464	0.358385	
0.201112	0.397934	0.217897	0.392759	
0.128761	0.497354	0.29838	0.278848	
0.261266	0.175485	0.313785	0.142983	
0.225224	0.688596	0.228154	0.430206	
0.405928	0.268261	0.22939	0.214201	
0.141265	0.256728	0.252087	0.211997	
0.330794	0.722222	0.239566	0.297153	
0.206306	0.0277778	0.181469	0.330276	
0.154485	0.0358613	0.314011	0.279982	
0.208741	0.694989	0.270909	0.29752	
0.150695	0.256473	0.352069	0.134943	
0.158963	0.402767	0.262873	0.278219	
0.184524	0.275321	0.22372	0.287489	
0.161367	0.33879	0.227508	0.259436	
0.140581	0.152458	0.192557	0.440688	
0.214559	0.158951	0.202433	0.324314	
0.149173	0.193322	0.197498	0.179555	
0.0976226	0.68254	0.268594	0.292825	
0.174056	0.27538	0.288274	0.169265	
0.246196	0.753086	0.125906	0.353385	
0.155556	0.054784	0.303418	0.434009	
0.111049	0.401235	0.19089	0.239393	
