Pwh[0]	Pwh[1]	Pwh[2]	Pwh[3]	
0.059329	0.957447	0.122124	0.444444	
0.198812	0.244565	0.0321042	0.183333	
0.0963455	1.39752	0.0617726	0.17862	
0.0813845	0.473684	0.0865407	0.258317	
0.157837	0.483871	0.0687251	0.092827	
0.092909	0.175097	0.0519921	0.138655	
0.142343	1.11111	0.0776481	0.162562	
0.131978	0.647482	0.0708419	0.125	
0.124892	0.436893	0.0499231	0.143791	
0.0719127	0.576923	0.0567609	0.115993	
0.304302	0.674157	0.0413236	0.0946915	
0.200831	0.330882	0.140187	0.109635	
0.0816595	0.351562	0.0720752	0.182069	
0.108398	0.602007	0.0590122	0.0934844	
0.136278	0.338346	0.0787147	0.0817844	
0.082402	1.13445	0.129108	0.188571	
0.136642	1.22727	0.166282	0.274428	
0.107037	0.652174	0.0284771	0.164589	
0.0761288	0.226131	0.0703274	0.108911	
0.05387	0.36	0.172285	0.15493	
0.215934	0.267857	0.0289369	0.257812	
0.201716	0.243243	0.211865	0.28884	
0.149228	0.304054	0.0556564	0.0869565	
0.129928	0.789474	0.233174	0.207221	
0.229309	0.467128	0.0384696	0.113014	
0.150989	0.258621	0.101421	0.164179	
0.0897648	0.555556	0.139206	0.128405	
0.0799779	0.633803	0.0835984	0.12766	
0.127641	0.8	0.0344526	0.111298	
0.141096	0.576923	0.0775281	0.20122	
0.12536	0.1875	0.0927497	0.19242	
0.213514	1.09756	0.0671942	0.157895	
0.201296	0.9	0.0458167	0.116814	
0.0902115	0.319149	0.0386826	0.133874	
0.0746141	0.81	0.259398	0.187234	
0.136578	0.257143	0.0414788	0.30662	
0.0893774	0.800712	0.0447689	0.0850515	
0.0980392	0.661765	0.162864	0.18107	
0.182428	2.6087	0.0826842	0.142549	
0.106513	1.18214	0.164899	0.116402	
0.115876	0.635294	0.118812	0.101852	
0.0948953	1.05469	0.0636825	0.19469	
0.180948	0.233161	0.115216	0.37931	
0.0877724	0.223881	0.0641363	0.218182	
0.0746013	0.668317	0.178065	0.283871	
0.597733	3.38346	0.375397	0.15	
0.180423	0.357143	0.100206	0.165829	
0.144326	0.420561	0.0721317	0.494382	
0.0989761	0.873786	0.0532253	0.219269	
0.0985277	0.486486	0.0801394	0.103448	
0.0870522	0.351562	0.0499367	0.0648968	
0.0558408	0.416667	0.104903	0.132265	
0.0893774	0.241935	0.134064	0.387097	
0.107381	0.463918	0.112093	0.320908	
0.0838635	0.248619	0.227329	0.127168	
0.125868	0.922551	0.0875635	0.246575	
0.0959206	0.561097	0.0571665	0.37218	
0.0923175	0.604027	0.0362395	0.0899183	
0.255132	0.412844	0.0582934	0.215686	
0.098394	0.473684	0.0570661	0.188034	
0.0725847	1.55172	0.0704561	0.224109	
0.0568702	0.685714	0.159854	0.1841	
0.186375	0.384615	0.0747866	0.172775	
0.0721513	0.434783	0.13686	0.120219	
0.283388	0.922131	0.0305107	0.138075	
0.109544	0.833333	0.0841378	0.164794	
0.0747937	0.888889	0.0614221	0.157895	
0.102113	1.00746	0.0315537	0.351064	
0.0806452	0.552147	0.196232	0.0890688	
0.2359	1.70886	0.0627178	0.1375	
0.0763426	1.15385	0.0951396	0.169231	
0.090399	1.48649	0.0385045	0.553691	
0.460387	0.798817	0.0455258	0.20625	
0.0938107	0.197368	0.108384	0.24812	
1.41809	1.47059	0.0875449	0.302752	
0.458861	1.32353	0.0580564	0.20625	
0.166031	0.9375	0.103643	0.132797	
0.0692014	1.10024	0.0484126	0.436123	
0.107407	0.313589	0.0567259	0.115993	
0.118561	0.35809	0.0349588	0.13253	
0.130162	0.225	0.0866834	0.135524	
0.224458	0.3125	0.105572	0.221477	
0.467072	0.382979	0.0306701	0.307692	
0.197055	0.196507	0.0634337	0.269939	
0.18872	0.238095	0.114444	0.110924	
0.165399	1.25	0.0526466	0.108731	
0.107328	0.205479	0.123628	0.282051	
0.669849	1.21154	0.130046	0.136082	
0.0688182	0.436893	0.10688	0.0966325	
0.133109	0.502793	0.0345345	0.200608	
0.105047	0.957447	0.0539853	0.189655	
0.328178	0.454545	0.0555779	0.113014	
0.0858496	2.8125	0.0514206	0.337165	
0.158067	0.703125	0.0557013	0.127168	
0.123299	0.703125	0.0883106	0.112054	
0.138978	1.46104	0.257271	0.117857	
0.0891393	0.266272	0.162421	0.131737	
0.114806	1.57895	0.062394	0.225256	
0.229551	1.72686	0.195837	0.139535	
0.0729621	0.9	0.0265053	0.0972018	
0.230565	0.302013	0.172005	0.0710441	
0.182773	1.30909	0.172091	0.178862	
0.337209	0.401786	0.213292	0.161765	
0.0897092	0.529412	0.106715	0.23913	
0.17407	0.483871	0.0449365	0.348285	
0.525362	0.428571	0.0387368	0.259843	
0.0908521	0.208333	0.035471	0.115993	
0.0604755	0.192308	0.1341	0.118919	
0.083174	0.296053	0.0294024	0.148984	
0.139961	0.434783	0.064569	0.101538	
0.10829	1.60714	0.0568194	0.121101	
0.24073	0.957447	0.0702201	0.144105	
0.0981055	3.6	0.307749	0.168367	
0.253423	0.784884	0.0737869	0.334177	
0.109159	0.224252	0.0395302	0.0974889	
0.141925	0.940767	0.0460999	0.231579	
0.151647	0.238095	0.120823	0.111298	
0.0776647	0.849057	0.136995	0.210526	
0.125505	0.271084	0.137336	0.121771	
0.111825	0.706806	0.0497029	0.116814	
0.584416	0.348837	0.0401513	0.115183	
0.122951	0.28754	0.0535143	0.157518	
0.197593	1.39535	0.0727273	0.423077	
0.0960901	1.46272	0.110326	0.134694	
0.0620542	2.8125	0.046449	0.140127	
0.0628976	0.775862	0.061828	0.147651	
0.0736041	0.230769	0.0979835	0.130435	
0.106253	0.378151	0.0617795	0.114385	
0.276234	1.64384	0.199711	0.219269	
0.12989	1.8	0.0279296	0.0946915	
0.327314	2.09302	0.0510402	0.336735	
0.307203	0.412844	0.107855	0.143478	
0.172825	0.375783	0.127468	0.0930889	
0.241667	1.11111	0.0576742	0.134146	
0.0842697	1.55172	0.167205	0.226027	
0.0725121	0.255682	0.0393555	0.200608	
0.119901	0.346154	0.058487	0.170323	
0.374677	0.523256	0.0284009	0.129666	
0.218813	1.75325	0.0292807	0.102009	
0.197011	0.878906	0.211278	0.229965	
0.0524096	0.394737	0.0184776	0.167089	
0.0868784	0.633803	0.0815603	0.0857143	
0.0659491	0.54878	0.0475288	0.200608	
0.0891942	0.681818	0.129821	0.103448	
0.0899876	1.62829	0.0904918	0.147982	
0.194602	0.909091	0.0874063	0.150342	
0.138469	0.882353	0.10244	0.231579	
0.273973	0.501859	0.0993699	0.141935	
0.0805854	0.180723	0.0947911	0.133065	
0.136792	0.424528	0.061676	0.110738	
0.219697	0.235602	0.0349943	0.102326	
0.155357	0.535714	0.040714	0.114983	
0.071499	0.36193	0.102488	0.151376	
0.0994513	0.239362	0.0515984	0.159806	
0.11779	1.45161	0.076201	0.224872	
0.146761	0.15	0.112837	0.182825	
0.0983718	1.52542	0.0316477	0.111675	
0.161171	0.681818	0.0738067	0.122905	
0.102861	0.681818	0.0653177	0.0835443	
0.09375	2.14286	0.0352355	0.15103	
0.267199	1.65584	0.383219	0.276151	
0.12117	0.327273	0.0549655	0.130435	
0.155579	1.08108	0.0831638	0.185393	
0.177442	0.712025	0.107216	0.0878828	
0.116779	0.381356	0.0994714	0.232394	
0.144326	0.263158	0.117735	0.102644	
0.343738	1	0.191507	0.268293	
0.191083	0.199557	0.187627	0.119782	
0.0937096	1.5	0.109013	0.13851	
0.198178	1.60714	0.0669578	0.26506	
0.129234	0.310345	0.0469029	0.166247	
0.407813	0.478723	0.0873349	0.183844	
0.227154	0.375	0.0255627	0.24	
0.107487	2.32759	0.0831576	0.230366	
0.0809001	0.633803	0.0470227	0.131474	
0.174139	0.39823	0.0602291	0.295964	
0.11895	1.15385	0.145168	0.126679	
0.211954	1.03448	0.0763063	0.15155	
0.138712	0.737705	0.0593719	0.0993976	
0.0644063	0.378151	0.0943375	0.249057	
0.0747294	0.555556	0.153818	0.101852	
0.0683747	0.48913	0.0579467	0.201835	
0.098729	0.576923	0.0478198	0.161765	
0.131499	0.882353	0.0493651	0.0834387	
0.139602	0.397059	0.0739616	0.156398	
0.135177	0.486486	0.061676	0.253359	
0.166316	2.5	0.0792724	0.245658	
0.0944523	0.48913	0.025356	0.10802	
0.166412	1.47761	0.142857	0.163772	
0.238487	1.33531	0.037551	0.23741	
0.225155	0.255682	0.0380061	0.113014	
0.143092	3	0.033233	0.101695	
0.0926912	1.04464	0.0969271	0.207547	
0.07403	1.06752	0.0545293	0.147321	
0.0729376	1.05263	0.179771	0.135802	
0.100555	0.311419	0.226628	0.899183	
0.0671089	0.405405	0.0599544	0.266129	
0.0871394	0.412844	0.136724	0.112054	
