S[0]	S[1]	S[2]	S[3]	
50	4	139	15	
39	10	185	24	
37	16	87	34	
41	20	194	38	
31	13	111	24	
52	13	135	35	
43	23	109	28	
51	14	133	23	
48	3	150	34	
34	26	88	24	
26	11	103	22	
45	25	118	28	
35	15	126	16	
46	33	122	22	
44	21	131	25	
32	27	127	30	
36	7	151	27	
33	25	166	35	
63	8	101	19	
29	22	146	26	
38	29	154	18	
40	13	127	33	
34	5	114	42	
48	12	138	21	
49	3	105	20	
37	10	165	31	
31	13	138	34	
28	8	124	21	
48	11	160	30	
30	14	124	25	
41	8	122	30	
54	13	98	28	
34	14	104	35	
30	22	151	22	
57	24	168	27	
28	9	117	19	
37	15	143	33	
35	15	115	19	
50	25	136	29	
34	28	150	35	
31	13	100	25	
38	10	102	27	
44	20	127	40	
33	8	142	30	
68	5	129	23	
41	13	175	24	
34	8	134	29	
30	18	91	28	
32	18	141	29	
44	25	161	37	
50	2	125	32	
31	9	155	12	
36	14	153	21	
53	7	132	16	
56	14	108	25	
34	9	119	18	
29	15	156	27	
64	24	146	27	
45	32	119	29	
29	3	124	37	
40	15	119	26	
31	25	119	33	
43	22	94	24	
35	14	143	28	
47	8	119	27	
44	10	126	25	
49	2	92	26	
32	7	151	16	
29	9	121	27	
37	29	113	25	
41	25	138	17	
22	10	124	42	
31	6	119	27	
29	29	171	22	
27	17	146	19	
28	19	155	24	
20	15	128	30	
34	8	127	24	
32	18	112	27	
26	9	124	17	
42	31	108	28	
51	15	139	21	
59	14	125	27	
51	7	108	28	
43	4	124	29	
36	6	151	34	
50	15	126	21	
52	9	142	28	
46	13	120	23	
37	17	106	34	
32	19	128	21	
22	12	107	17	
45	13	140	30	
30	13	153	12	
46	11	101	22	
31	11	106	17	
44	12	127	25	
48	9	88	21	
43	17	125	25	
34	13	138	23	
42	12	107	35	
30	14	104	28	
46	6	135	30	
36	30	151	25	
35	28	123	44	
48	8	154	19	
56	17	105	23	
28	13	139	22	
38	7	148	15	
50	9	126	29	
53	6	73	21	
39	23	97	20	
28	21	119	32	
47	11	156	29	
34	18	124	31	
27	13	152	23	
43	9	148	19	
22	9	112	23	
39	14	149	25	
74	8	163	37	
35	10	126	32	
42	14	138	26	
33	5	131	17	
32	18	146	26	
48	29	129	29	
55	13	137	26	
47	18	172	38	
43	13	105	22	
33	14	153	24	
31	16	146	27	
23	13	126	21	
50	10	98	28	
43	5	137	17	
31	17	133	20	
28	16	166	38	
32	18	122	28	
38	9	135	22	
40	31	125	34	
36	18	147	33	
31	13	143	24	
28	12	119	18	
22	25	163	37	
40	20	132	25	
50	10	144	20	
54	11	118	25	
43	11	117	19	
36	15	111	34	
45	11	167	27	
42	21	103	31	
39	22	157	24	
29	15	105	18	
30	8	107	25	
51	15	149	26	
47	9	118	27	
45	14	106	31	
48	10	132	23	
43	9	159	30	
37	16	136	35	
29	10	134	33	
48	10	168	32	
47	9	124	24	
40	6	129	19	
53	13	111	26	
61	9	150	20	
36	18	135	25	
34	10	122	24	
32	10	136	33	
37	5	102	26	
39	33	173	23	
56	11	98	16	
44	15	103	25	
42	5	100	22	
30	18	105	25	
35	7	159	32	
30	16	143	28	
55	3	140	22	
25	3	142	22	
45	10	113	24	
47	26	152	28	
31	13	170	34	
41	26	154	34	
42	6	146	38	
47	6	130	24	
30	31	103	25	
32	24	95	27	
43	11	173	20	
32	12	151	18	
46	15	161	28	
46	10	124	19	
41	14	123	21	
27	9	120	36	
30	9	170	25	
32	20	141	17	
45	12	147	24	
43	9	131	43	
51	9	123	21	
44	12	171	14	
37	14	133	24	
43	16	126	26	
38	28	131	34	
41	23	136	23	
45	8	202	30	
16	15	162	27	
45	7	132	17	
49	20	142	26	
54	29	133	28	
28	10	104	19	
46	16	102	21	
23	22	107	28	
32	18	133	36	
36	17	125	19	
42	17	94	27	
54	11	109	28	
21	8	155	20	
42	7	121	20	
48	20	101	23	
42	13	145	15	
39	28	120	26	
20	7	146	25	
16	3	116	27	
24	4	105	24	
53	18	87	22	
36	19	132	30	
65	22	93	22	
35	15	131	19	
21	9	113	26	
26	14	129	19	
49	15	115	20	
25	12	108	29	
26	8	133	27	
35	13	129	22	
40	14	100	25	
48	9	129	31	
36	11	115	28	
43	16	117	17	
32	6	129	23	
43	2	134	31	
22	5	118	24	
44	5	116	27	
27	20	145	27	
39	10	139	23	
41	4	121	27	
38	22	123	19	
46	6	132	31	
50	11	129	34	
30	24	118	16	
27	7	141	18	
41	6	120	28	
32	15	154	32	
24	6	118	22	
48	12	113	32	
55	13	155	24	
52	11	124	20	
31	16	109	35	
37	17	118	28	
18	16	125	25	
41	32	95	20	
39	9	114	17	
62	34	104	29	
30	26	86	25	
46	13	112	30	
42	18	153	31	
45	13	141	25	
32	10	135	28	
37	9	105	27	
33	18	133	20	
43	35	146	16	
43	24	117	21	
61	1	146	24	
52	8	147	23	
48	16	169	20	
43	7	119	24	
48	15	151	15	
54	2	128	31	
37	4	160	16	
43	9	105	22	
29	26	116	32	
33	20	129	28	
55	15	99	14	
53	12	123	17	
28	8	142	29	
31	8	123	21	
17	29	111	28	
52	34	96	24	
63	8	191	34	
32	12	161	33	
60	6	149	27	
38	17	142	24	
52	17	115	19	
58	4	134	39	
57	9	154	14	
53	20	98	26	
41	16	124	23	
26	7	126	27	
34	17	112	24	
24	5	83	29	
45	18	104	19	
35	10	141	22	
35	19	141	26	
34	18	98	17	
42	11	126	29	
31	10	104	23	
35	5	110	31	
39	1	121	17	
15	30	143	32	
31	17	189	22	
46	16	172	18	
39	16	142	34	
35	8	149	27	
31	11	133	29	
22	2	115	22	
33	29	99	26	
42	2	152	38	
26	3	125	23	
33	18	154	37	
39	7	172	14	
23	8	130	29	
37	16	140	23	
42	11	147	26	
24	9	118	24	
33	6	106	22	
54	14	149	38	
24	6	182	27	
45	9	115	32	
48	6	78	29	
51	15	124	16	
40	20	198	38	
33	11	157	33	
35	22	144	18	
52	16	128	26	
60	2	137	41	
61	6	127	24	
32	21	111	20	
33	32	104	28	
18	12	90	31	
42	5	119	31	
35	26	84	26	
56	37	135	23	
47	14	137	20	
38	24	137	22	
48	7	131	36	
39	6	170	26	
41	7	119	23	
25	31	140	22	
51	35	207	18	
39	9	127	23	
39	9	133	26	
43	10	152	33	
18	18	100	17	
50	39	103	34	
38	16	152	32	
38	13	205	19	
36	10	146	29	
51	12	119	32	
45	14	161	30	
58	14	103	28	
34	5	109	27	
30	11	159	33	
49	2	133	9	
52	16	127	33	
35	10	89	28	
38	9	131	24	
29	3	147	18	
27	6	164	23	
35	15	169	33	
36	24	112	20	
34	13	125	13	
37	7	110	28	
52	18	134	23	
24	23	122	17	
45	9	166	17	
44	17	126	23	
21	5	151	30	
52	7	91	24	
30	13	148	14	
38	6	117	37	
47	5	90	28	
36	22	140	17	
58	23	87	29	
37	23	111	25	
29	10	134	24	
34	13	111	14	
41	14	130	30	
39	21	127	33	
37	9	134	34	
60	16	127	25	
48	31	91	28	
43	15	134	28	
60	18	174	24	
31	23	134	27	
42	17	128	22	
52	10	130	26	
44	9	177	19	
26	6	133	25	
56	11	138	19	
45	17	93	21	
48	8	138	26	
51	17	147	19	
28	19	122	22	
32	14	153	18	
40	10	136	28	
43	11	123	21	
47	20	126	33	
39	14	119	35	
33	8	123	19	
34	15	128	31	
29	15	132	18	
42	18	100	25	
47	15	133	22	
38	20	138	28	
37	23	149	32	
41	9	139	26	
37	27	98	19	
32	10	158	19	
31	15	116	21	
61	8	112	22	
32	9	144	38	
35	18	118	24	
43	15	125	25	
57	12	115	31	
48	9	117	25	
41	12	129	32	
37	13	102	20	
38	4	120	31	
33	23	88	21	
50	13	116	28	
44	10	94	30	
41	5	120	24	
38	18	156	40	
52	7	127	15	
22	18	145	26	
30	6	134	16	
41	26	151	28	
46	11	137	17	
41	20	139	19	
43	6	128	23	
39	7	130	19	
28	8	128	30	
33	22	153	21	
48	9	100	21	
41	14	156	28	
41	18	164	35	
46	11	161	38	
41	18	136	37	
47	10	128	24	
38	11	142	32	
39	22	142	22	
44	15	134	30	
43	11	137	29	
39	21	132	23	
63	12	133	32	
37	8	73	19	
34	7	117	36	
23	13	134	18	
67	17	165	29	
59	16	107	16	
41	8	157	25	
38	9	148	30	
39	13	128	24	
31	13	133	33	
42	10	149	21	
39	16	151	15	
47	14	111	20	
34	15	142	18	
39	21	145	24	
57	7	139	35	
25	17	139	28	
45	9	107	24	
52	12	154	16	
32	8	89	34	
26	12	151	29	
47	9	117	28	
51	13	146	29	
45	8	120	26	
51	36	120	21	
33	29	146	26	
40	14	131	19	
40	12	137	29	
54	6	126	22	
41	11	112	32	
23	13	145	23	
37	48	119	22	
41	14	124	20	
54	12	124	19	
30	15	107	19	
57	19	204	21	
32	12	145	28	
42	7	153	27	
43	7	139	23	
44	22	160	32	
36	27	116	17	
45	6	109	31	
42	8	138	18	
44	33	147	17	
36	13	135	27	
37	17	150	32	
34	17	139	23	
43	12	161	24	
30	6	125	28	
40	7	124	25	
27	14	134	24	
21	10	139	36	
46	13	91	34	
39	13	96	23	
54	12	138	29	
38	18	127	31	
38	21	125	23	
30	19	145	22	
26	15	142	30	
24	10	131	24	
41	15	119	20	
53	17	100	26	
32	25	115	29	
46	17	144	26	
32	28	137	26	
26	22	84	27	
30	19	126	27	
26	13	102	25	
32	11	84	38	
35	8	143	38	
41	15	113	18	
68	6	125	15	
37	13	130	26	
32	15	169	20	
32	14	129	22	
31	31	132	11	
26	9	144	26	
33	19	99	28	
77	7	146	24	
46	12	159	24	
37	17	137	25	
31	11	149	24	
37	9	113	36	
49	6	135	19	
41	6	149	24	
45	18	142	32	
28	27	138	25	
47	22	150	30	
26	15	97	16	
61	15	122	14	
26	13	122	23	
30	8	130	26	
32	12	137	10	
35	21	138	12	
37	11	143	33	
33	11	168	35	
55	17	144	28	
25	17	140	23	
32	6	145	28	
27	5	111	21	
48	18	88	29	
44	23	104	23	
43	20	138	23	
37	25	114	28	
31	6	127	15	
19	29	174	22	
45	28	99	20	
46	24	126	14	
25	18	135	18	
48	24	106	30	
62	14	121	16	
33	9	137	29	
38	26	138	39	
24	6	145	20	
40	19	119	17	
30	9	135	28	
22	6	140	39	
22	5	156	25	
23	15	160	27	
41	16	104	27	
33	10	130	23	
43	12	106	27	
41	34	159	21	
52	7	142	20	
36	24	114	23	
44	6	103	34	
41	17	119	38	
51	10	96	41	
47	18	129	28	
19	17	162	29	
40	23	174	46	
32	18	105	14	
38	15	111	17	
46	8	107	24	
48	13	117	27	
50	17	154	20	
30	22	105	32	
29	10	155	22	
48	21	122	21	
61	13	109	21	
31	18	135	26	
35	29	148	16	
29	6	93	24	
59	16	159	27	
24	8	118	23	
44	15	115	22	
38	17	138	27	
41	10	71	30	
48	22	140	26	
46	56	101	36	
41	7	133	18	
48	1	148	22	
47	18	122	23	
63	6	99	22	
44	16	130	23	
38	14	162	37	
37	8	158	21	
34	15	103	22	
28	20	129	8	
28	9	128	29	
57	11	153	27	
47	15	146	21	
15	25	160	30	
30	12	128	17	
20	12	169	40	
60	11	147	25	
41	14	119	25	
27	11	200	20	
15	17	125	23	
53	6	156	26	
26	2	101	26	
54	36	151	17	
52	10	103	35	
33	8	112	24	
58	17	145	28	
52	17	145	31	
31	14	148	21	
45	5	104	18	
27	8	151	30	
42	17	117	24	
44	10	109	34	
49	9	123	24	
36	7	120	29	
34	13	157	19	
49	4	109	27	
26	18	129	44	
53	9	147	33	
47	17	120	26	
32	19	106	29	
35	15	158	27	
58	22	115	24	
52	7	183	27	
36	9	79	19	
40	7	126	34	
49	17	164	33	
46	6	144	19	
39	18	163	27	
40	9	100	27	
34	18	136	27	
28	13	131	15	
29	5	137	39	
19	12	121	26	
38	14	94	31	
42	15	146	25	
43	8	166	28	
39	12	93	35	
38	8	160	21	
33	9	139	19	
51	18	113	21	
43	13	110	26	
42	10	133	26	
47	15	94	30	
47	8	133	20	
27	16	128	27	
41	18	125	28	
41	23	120	28	
35	11	138	32	
42	19	161	14	
35	14	122	28	
33	18	115	25	
24	19	112	17	
40	14	97	29	
33	20	121	22	
44	22	162	50	
46	11	151	16	
38	18	93	27	
46	28	132	19	
49	17	123	26	
44	11	150	27	
36	8	112	27	
35	12	117	37	
27	9	110	23	
64	2	149	28	
31	3	117	16	
38	9	136	31	
35	7	153	26	
43	16	110	26	
19	17	133	23	
37	16	122	20	
49	11	148	23	
41	21	127	33	
27	10	169	28	
44	18	163	36	
46	9	168	25	
43	9	104	28	
27	6	143	27	
40	7	105	32	
35	36	131	34	
37	5	113	30	
57	13	132	25	
34	9	138	24	
45	20	147	30	
37	8	128	28	
44	19	195	24	
40	8	125	14	
49	9	134	30	
30	9	143	27	
59	14	135	18	
40	12	127	17	
34	6	152	31	
31	22	144	21	
40	5	185	27	
48	39	93	36	
22	28	146	24	
45	13	141	25	
42	28	142	22	
35	14	103	16	
39	18	135	18	
38	8	158	31	
38	13	119	29	
32	16	159	28	
29	20	125	32	
33	19	97	25	
51	27	124	19	
27	25	137	12	
50	19	151	26	
39	12	130	28	
57	4	99	17	
40	12	164	35	
52	9	147	27	
28	8	137	34	
45	8	193	24	
34	12	148	17	
42	19	136	30	
66	12	156	20	
45	20	124	26	
41	8	79	18	
21	12	127	20	
51	13	117	22	
57	21	151	48	
29	8	117	30	
31	14	140	19	
48	29	125	22	
42	14	135	22	
50	20	79	16	
34	17	134	43	
38	13	116	25	
38	15	129	23	
37	12	137	34	
57	9	133	26	
21	41	159	23	
41	15	140	23	
57	6	135	34	
34	6	120	20	
49	8	165	20	
34	25	130	23	
45	13	124	23	
29	12	153	15	
36	23	172	34	
45	13	143	28	
32	15	129	24	
34	19	110	28	
38	13	98	20	
42	21	151	18	
45	11	138	24	
35	15	119	32	
32	14	126	36	
33	19	113	25	
39	23	143	27	
26	7	110	25	
33	18	126	36	
35	31	83	30	
36	37	172	19	
34	25	164	29	
40	15	110	25	
22	3	140	21	
25	9	174	24	
54	5	125	24	
39	9	125	42	
46	14	103	23	
55	6	156	28	
33	11	141	24	
28	7	131	22	
55	9	170	21	
44	11	141	17	
55	19	167	18	
24	12	136	31	
24	15	157	28	
35	15	103	21	
41	33	148	25	
20	22	109	42	
41	6	137	25	
59	13	121	19	
31	11	191	27	
45	14	115	20	
77	4	131	27	
41	5	125	19	
36	15	108	30	
29	22	116	26	
50	14	103	31	
28	6	134	18	
43	17	102	27	
41	9	119	26	
21	3	150	36	
38	7	104	18	
39	17	134	22	
36	25	103	17	
56	13	137	16	
39	23	146	30	
43	8	121	33	
33	15	131	29	
41	10	138	23	
47	20	138	26	
33	7	133	14	
54	12	134	26	
39	18	93	18	
34	20	186	25	
45	10	158	25	
60	9	113	34	
34	12	103	16	
53	19	140	20	
44	12	113	24	
59	7	194	24	
36	8	113	35	
42	5	121	29	
59	16	119	37	
34	14	154	17	
33	17	156	20	
39	31	116	19	
47	17	125	19	
27	11	105	25	
49	14	148	26	
30	14	107	23	
63	22	101	22	
46	5	117	24	
48	25	116	22	
32	23	129	26	
49	22	113	22	
38	8	122	11	
35	4	173	24	
27	12	169	21	
32	26	143	25	
37	6	144	20	
45	12	161	36	
40	6	96	37	
50	11	102	23	
41	7	123	16	
49	15	131	26	
35	14	140	39	
26	7	145	24	
40	19	133	30	
59	24	181	30	
36	19	114	17	
32	4	132	27	
51	4	126	31	
38	25	139	36	
42	29	154	26	
46	20	177	24	
55	32	117	34	
33	20	125	31	
53	10	141	30	
61	11	75	23	
32	10	120	20	
68	27	127	25	
38	14	117	23	
43	19	126	22	
38	24	130	20	
45	8	131	40	
32	6	138	21	
35	5	145	28	
26	8	110	26	
33	19	96	25	
35	49	122	34	
47	20	131	31	
44	18	127	36	
22	6	105	18	
25	9	143	36	
46	22	147	20	
28	11	136	17	
61	16	114	29	
48	29	113	33	
32	28	107	25	
38	9	117	25	
40	10	122	21	
49	13	105	23	
41	17	113	23	
34	12	169	24	
32	18	137	43	
46	25	151	26	
48	5	137	30	
46	22	139	30	
34	16	121	14	
50	4	124	41	
44	13	86	27	
34	13	102	33	
