Q[0]	Q[1]	Q[2]	Q[3]	
0.16	1	0.194245	0.266667	
0	0.6	0.221622	0.375	
0.243243	0.375	0.149425	0.264706	
0.097561	0.25	0.329897	0.236842	
0.129032	0.384615	0.252252	0.166667	
0.153846	0.384615	0.148148	0.285714	
0.209302	0.173913	0.192661	0.142857	
0.235294	0	0.195489	0.217391	
0.208333	0	0.246667	0.176471	
0.264706	0.461538	0.204545	0.208333	
0.0769231	0.545455	0.165049	0.0909091	
0.177778	0.44	0.262712	0.357143	
0.228571	0.2	0.198413	0.25	
0.152174	0.181818	0.278689	0.318182	
0.295455	0.619048	0.335878	0.36	
0.25	0.333333	0.275591	0.266667	
0.25	0.285714	0.397351	0.111111	
0.0606061	0.52	0.283133	0.114286	
0.111111	0.5	0.247525	0.368421	
0.206897	0.454545	0.232877	0.269231	
0.0789474	0.344828	0.181818	0.111111	
0.275	0.230769	0.338583	0.333333	
0.235294	0.4	0.210526	0.357143	
0.1875	0.666667	0.123188	0.190476	
0.244898	0	0.209524	0.45	
0.135135	0.2	0.321212	0.290323	
0.387097	0.153846	0.224638	0.235294	
0.357143	0.5	0.177419	0.47619	
0.291667	0.363636	0.1625	0.166667	
0.0666667	0.642857	0.209677	0.08	
0.292683	0.25	0.229508	0.333333	
0.185185	0	0.336735	0.321429	
0.235294	0.785714	0.211538	0.314286	
0.2	0.363636	0.331126	0.0909091	
0.192982	0.25	0.172619	0.37037	
0.214286	0.555556	0.153846	0.736842	
0.243243	0.533333	0.202797	0.242424	
0.0571429	0.466667	0.33913	0.210526	
0.06	0.16	0.205882	0.137931	
0.264706	0.321429	0.293333	0.114286	
0.193548	0.153846	0.2	0.28	
0.0526316	0	0.156863	0.296296	
0.25	0.7	0.267717	0.3	
0.272727	0.375	0.267606	0.366667	
0.323529	0	0.224806	0.173913	
0.317073	0.538462	0.274286	0.125	
0.147059	0	0.186567	0.103448	
0.166667	0.388889	0.362637	0.357143	
0.0625	0.5	0.0992908	0.241379	
0.272727	0.48	0.248447	0.540541	
0.22	0	0.264	0.125	
0.193548	0	0.264516	0.25	
0.333333	0.357143	0.254902	0.380952	
0.113208	0.285714	0.227273	0.375	
0.160714	0.571429	0.259259	0.08	
0.176471	0	0.092437	0.166667	
0.241379	0.133333	0.262821	0.296296	
0.203125	0.375	0.219178	0.444444	
0.311111	0.53125	0.134454	0.206897	
0.0689655	0	0.145161	0.108108	
0.15	1	0.361345	0.307692	
0.322581	0.4	0.0840336	0.121212	
0.209302	0.272727	0.234043	0.166667	
0.228571	0.428571	0.307692	0.357143	
0.361702	0.25	0.243697	0.592593	
0.340909	0.2	0.134921	0.32	
0.22449	0	0.195652	0.153846	
0.15625	0	0.178808	0.125	
0.0689655	0.222222	0.239669	0.222222	
0.378378	0.62069	0.0707965	0.4	
0.195122	0.28	0.152174	0.470588	
0	0	0.306452	0.261905	
0.258065	0	0.294118	0.148148	
0.241379	0.413793	0.245614	0.136364	
0.148148	0.470588	0.321918	0.210526	
0.142857	0.368421	0.219355	0.333333	
0.2	0.266667	0.273438	0.433333	
0.147059	0.25	0.23622	0.416667	
0.125	0.333333	0.232143	0.37037	
0.423077	0.333333	0.177419	0.235294	
0.166667	0.806452	0.138889	0.214286	
0.235294	0.4	0.330935	0.333333	
0.0677966	0.714286	0.288	0.259259	
0.235294	0.285714	0.277778	0.321429	
0.232558	0	0.282258	0.137931	
0.25	0.666667	0.284768	0.235294	
0.28	0.133333	0.15873	0.0952381	
0.442308	0.555556	0.204225	0.428571	
0.0869565	0.461538	0.208333	0.391304	
0.108108	0.235294	0.226415	0.647059	
0.125	0.210526	0.226562	0.333333	
0.227273	0	0.130841	0	
0.333333	0.153846	0.228571	0.233333	
0.133333	0.307692	0.267974	0	
0.173913	0	0.227723	0.0909091	
0.193548	0.636364	0.264151	0.117647	
0.113636	0	0.291339	0.2	
0.291667	0.222222	0.193182	0.0952381	
0.209302	0.352941	0.296	0.48	
0.205882	0.153846	0.217391	0.0869565	
