D_Dmin[0]	D_Dmin[1]	D_Dmin[2]	D_Dmin[3]	
0.165061	-0.131298	0.0568882	-0.158621	
-0.454511	-0.435344	0.0792845	0.113139	
0.0653253	-0.221788	-0.401463	0.184036	
-0.0512866	-0.0082323	0.309477	-0.202419	
-0.214733	0.0914456	-0.133069	-0.105651	
-0.0615785	0.414424	-0.164678	-0.10247	
-0.120164	-0.106119	-0.258625	0.0758512	
0.145129	0.437494	-0.0884624	0.35379	
-0.202016	-0.662172	-0.0309621	-0.287411	
-0.392856	1.02697	-0.37389	-0.355147	
-0.0142171	0.934835	-0.246141	-0.254651	
-0.0635618	0.499958	0.174232	-0.167614	
-0.155614	-0.0926894	-0.0106959	0.370312	
-0.0984473	0.0924581	0.0854985	0.268769	
-0.0720936	0.59262	0.278122	0.337609	
-0.578448	-0.581736	-0.142838	-0.103348	
-0.449619	0.282369	0.164511	0.112286	
-0.284452	0.789525	0.0746665	-0.120895	
-0.182409	-0.493257	-0.0631813	0.410918	
0.150953	0.520228	-0.0225759	0.0558577	
0.0802801	0.407896	-0.0209282	0.125933	
0.364745	0.848775	0.096277	-0.103906	
-0.435808	-1	0.00160335	-0.0129806	
0.146827	0.689142	0.0794923	0.0747545	
0.353512	0.303052	-0.12375	-0.0649636	
-0.0276607	-0.333995	0.199393	-0.0490651	
-0.166028	0.31419	0.0286776	0.148813	
0.161561	0.357346	-0.247876	0.105462	
0.39718	-0.0523255	-0.135968	-0.195469	
-0.376258	0.706378	-0.310923	0.197584	
-0.169612	-0.0589066	-0.0255953	0.262069	
0.0585923	-0.0199264	-0.564454	-0.144583	
0.304195	0.758087	0.00536422	0.0291323	
0.201281	-0.407703	0.475151	-0.137405	
0.046518	0.0557138	0.0208337	-0.0787819	
-0.0505967	-0.646085	-0.0608458	-0.359996	
0.178715	0.708447	0.206169	-0.226735	
-0.373076	0.660185	0.332456	-0.136964	
0.22001	0.476793	0.140141	0.0578126	
0.401017	0.209977	-0.137556	-0.41042	
-0.0550451	0.0246224	0.346701	-0.248286	
-0.117082	-0.160255	-0.0138229	-0.112901	
-0.168006	0.0713987	0.159845	-0.0995093	
0.0301945	0.610718	-0.187181	0.234432	
0.453979	0.447836	0.0262909	0.0774247	
0.263543	-0.554512	-0.044581	-0.197773	
-0.257814	-0.330376	-0.285975	-0.253496	
-0.243836	0.407618	0.0384707	-0.309086	
0.198522	-0.3163	0.101382	-0.278909	
0.551761	0.969057	0.147693	0.0905231	
0.198971	-0.493257	-0.106495	0.0651585	
-0.0885796	-0.243908	0.0295288	0.0440472	
0.417033	0.437494	0.0648119	0.408148	
-0.185063	0.468519	-0.134384	0.0824313	
-0.0103752	-0.193348	0.0861663	0.098092	
