H_norm[0]	H_norm[1]	H_norm[2]	H_norm[3]	
0.90156	-0.819536	0.326699	0.515685	
0.349479	-1.77564	0.571307	-0.150603	
0.2429	0.279393	0.0110415	0.244563	
0.787603	0.368332	-0.265302	-0.662071	
0.158955	-0.832585	-0.75914	0.568186	
0.199724	0.233124	0.368596	0.37905	
-0.288119	1.15957	-0.198489	0.458846	
0.265137	1.09538	-0.0340331	0.0639936	
0.443323	0.696677	-0.499181	0.154723	
-1.94256	0.346314	0.507267	-1.06792	
0.964191	0.114678	0.319911	-0.17752	
0.693939	0.226577	0.532839	-1.55531	
0.307024	0.944681	-0.128064	0.409992	
0.893197	0.704275	-0.460126	0.613923	
-1.04202	-1.32316	0.0820773	-0.541197	
-1.24865	-0.739903	-0.540865	-0.0783582	
-2.76654	0.545924	0.063691	0.40029	
0.488602	0.415392	-0.0884071	0.315875	
0.641884	0.246324	-0.0286836	-0.336579	
0.364041	-1.22746	-0.0952241	0.203886	
0.305431	0.231163	0.193459	0.511545	
0.755682	0.799282	0.115216	-0.615584	
-0.435006	0.700203	0.183237	0.246214	
0.166567	0.498281	0.891712	0.246629	
0.622138	-0.796202	-0.372485	-0.989554	
0.309738	0.536822	0.0918962	-0.222715	
-1.3042	0.499551	-0.162033	0.389304	
0.650625	0.788235	-0.858797	-0.393066	
0.221662	0.688066	0.0775985	-0.783582	
-0.0473435	-0.219076	-0.789059	-0.950395	
-0.0815785	0.0985294	-0.314446	-1.19216	
-0.763054	0.166517	-1.52434	0.881938	
0.153221	0.71982	-0.167761	-0.369331	
0.475407	-1.29095	0.19172	-0.325453	
0.0861508	0.842152	0.0789297	-0.0184749	
-0.325312	-1.16783	0.54431	-1.2201	
0.262462	-0.265692	0.613051	0.205195	
0.126926	0.324734	0.123937	0.883519	
0.779461	1.13289	0.406058	0.438697	
0.493124	0.392062	-0.48291	0.77268	
-0.0325571	0.732675	0.642933	0.983395	
0.300659	0.578116	0.0639261	0.658939	
0.9406	0.552499	-0.0903355	-0.167481	
0.365547	0.147794	-0.610399	-0.201492	
0.477964	0.700203	0.162486	1.06656	
-0.385644	-1.13232	-0.847048	-0.088993	
-0.22895	0.8375	-0.0185276	-0.265527	
-0.426091	0.530039	-0.181868	-0.0595904	
0.522907	-0.731959	0.655761	0.103902	
0.352899	0.472036	0.0309721	-0.890987	
-0.281198	0.64462	-0.903036	-0.432684	
0.145549	-0.269499	0.125112	-0.397795	
-0.120357	0.469448	0.150969	-0.369944	
0.316467	0.928071	0.0121654	-0.0780938	
0.0898172	0.062593	0.369178	0.257399	
0.840072	0.76358	0.234884	-0.0881973	
-0.551146	1.09229	0.239887	0.498823	
0.353816	-0.724642	-0.524568	-0.474189	
-0.0312953	-0.12074	-0.155366	-0.623411	
0.825703	0.696677	-0.109309	0.646312	
0.57966	-2.06649	-1.26372	-0.254858	
-1.35208	0.169933	0.184318	0.328311	
0.892743	-0.126979	-0.365346	0.3902	
0.257283	0.250372	0.045689	-1.08454	
0.423368	0.591177	0.589655	-1.17624	
-0.0750257	1.07364	-0.789598	-0.0857996	
0.243828	-0.128924	0.501697	0.917488	
0.137705	0.873478	0.494333	0.810223	
-0.0203375	0.988162	0.21827	0.344865	
0.32604	-1.00721	0.634616	0.211199	
0.90478	-1.77486	-0.107669	-0.694991	
0.483275	0.784586	-0.599826	-0.139521	
-0.0976713	6.12444e-16	-0.908135	0.104691	
-0.138295	0.462325	-0.251896	0.2219	
0.548544	0.716047	-0.223526	0.54694	
-0.300127	0.264867	0.168917	0.581877	
0.525045	0.708511	-0.0277302	0.296642	
0.329336	0.443382	-0.0746416	0.0479193	
-0.658751	0.656239	0.271183	-0.566564	
-0.329619	-1.84158	-0.317347	0.583792	
0.110243	-2.34617	0.637549	-0.947487	
0.14407	0.0295213	-0.0255891	-1.08671	
0.371573	-0.970192	-0.639861	-0.258649	
0.308721	0.0545924	-0.108424	0.154935	
0.543594	0.737582	-0.288355	-0.750402	
0.481427	-0.490347	0.300673	0.354366	
0.321898	0.885639	-0.151594	0.35453	
0.570641	0.62883	0.181266	0.280075	
0.0199969	0.399641	-0.336528	-0.163539	
0.114114	-0.450844	0.34992	-0.519072	
0.772265	-0.987231	-0.138271	-0.947982	
-0.200065	0.854196	0.340423	-0.101932	
0.012246	0.999102	0.0128794	0.386194	
0.704234	0.166517	0.27385	0.211329	
-0.213301	0.611614	-0.340857	0.0961567	
0.603264	-0.267581	0.0688891	0.315063	
