R2[0]	R2[1]	R2[2]	R2[3]	
0.137869	0.190029	0.129778	0.124398	
0.073657	0.193592	0.130632	0.149666	
0.12195	0.125654	0.0818814	0.164501	
0.114766	0.14116	0.158279	0.119366	
0.0990512	0.161276	0.111799	0.132786	
0.111811	0.184955	0.10967	0.126437	
0.109662	0.147324	0.0986376	0.147791	
0.132171	0.191704	0.114308	0.178728	
0.0994968	0.145909	0.120935	0.121381	
0.083719	0.255556	0.0840639	0.109631	
0.118619	0.240942	0.0983717	0.117254	
0.113131	0.20472	0.143966	0.12404	
0.105828	0.14925	0.124535	0.174625	
0.107926	0.178739	0.13008	0.167534	
0.113013	0.21355	0.149019	0.176761	
0.070448	0.178706	0.109533	0.124911	
0.0808086	0.189049	0.141672	0.147992	
0.0953559	0.222199	0.131816	0.125012	
0.104129	0.121558	0.117382	0.181876	
0.134635	0.204096	0.120168	0.150895	
0.127982	0.204859	0.120945	0.156862	
0.156198	0.235322	0.13266	0.13186	
0.0780545	0.184391	0.123422	0.139405	
0.132128	0.215556	0.133702	0.150935	
0.154612	0.194365	0.112415	0.135367	
0.119297	0.1127	0.143301	0.13741	
0.105484	0.181239	0.129376	0.148616	
0.136992	0.186013	0.0988522	0.153149	
0.155288	0.157721	0.110179	0.114593	
0.0842725	0.212065	0.0925634	0.168713	
0.101786	0.147693	0.120734	0.171807	
0.125489	0.158673	0.0732183	0.120985	
0.149432	0.234921	0.126993	0.136366	
0.141924	0.166018	0.170233	0.123186	
0.123816	0.159709	0.127575	0.12951	
0.115293	0.205106	0.116368	0.134686	
0.14034	0.215384	0.146139	0.12726	
0.085749	0.211755	0.15962	0.147492	
0.140579	0.202956	0.139573	0.150221	
0.160756	0.157305	0.109746	0.097818	
0.11162	0.15642	0.160528	0.109794	
0.109365	0.132656	0.120336	0.127584	
0.101476	0.174816	0.139869	0.127262	
0.123234	0.214416	0.103648	0.161049	
0.164756	0.200308	0.124471	0.152797	
0.146135	0.177993	0.119071	0.120532	
0.0947205	0.130976	0.0937604	0.110077	
0.0987918	0.183649	0.128859	0.113766	
0.137991	0.175631	0.135368	0.110865	
0.17209	0.247402	0.137922	0.154023	
0.136266	0.174359	0.115079	0.147057	
0.111868	0.143561	0.125099	0.146769	
