ThetaFW[0]	ThetaFW[1]	ThetaFW[2]	ThetaFW[3]	
7.4046	1.86667	39.2862	8.65152	
13.7724	4.51111	21.4529	12.1667	
11.6828	1.42222	42.5942	11.2424	
10.0299	1.15556	45.1594	15.7424	
9.05057	5.13333	18.8043	9.66667	
5.48966	3.48889	37.8007	9.77273	
10.8299	0.688889	47.3659	7.21212	
10.3977	1.11111	28.1775	6.34848	
9.82989	0.466667	25.7536	7.56061	
11.4161	4.68889	19.9964	10.0909	
17.7816	1.44444	45.1087	5.90909	
8.32414	4.53333	31.8768	10.0606	
7.53333	2.77778	41.1341	7.80303	
6.1954	2.04444	27.5435	9.77273	
7.75172	1.17778	32.0072	9.07576	
20.7954	5.82222	48.9674	6.06061	
16.9609	2.35556	31.1159	3.36364	
19.7563	4.4	21.4058	8.21212	
14.4621	1.75556	21.2065	9.43939	
4.9931	8.11111	25.4964	5.74242	
4.01609	0.488889	44.9275	10.4242	
9.4023	4	30.8732	8.51515	
17.3977	1.53333	22.6703	10.7576	
5.58391	0.666667	41.3913	11.9848	
17.4667	2.42222	20.4964	7.62121	
7.70115	6.22222	34.8116	9.86364	
7.22989	2.55556	46.2174	11.8636	
11.777	20.6444	35.6739	7.51515	
8.07586	0.266667	35.5072	16.0455	
11.5885	2.68889	33.2826	8.43939	
6.88736	10.6444	27.8297	6.13636	
11.7839	10.7778	14.837	8.72727	
8.91034	6.04444	29.413	4.13636	
9.78391	3.04444	53.8043	5.63636	
9.98621	3.31111	45.7464	10.2879	
12.7333	3.06667	37.9565	5.13636	
14.7563	9.26667	43.7645	13.3333	
6.8023	1.64444	31.192	10.8485	
6.45057	1.4	57.6268	7.54545	
11.6207	7.28889	39.0326	3.98485	
13.092	4.11111	31.2609	6.69697	
11.4782	2.04444	33.1667	14.2273	
17.1264	1.15556	20.5326	6.80303	
8.88046	2.08889	47.8732	9.56061	
13.7908	5.75556	33.4457	7.19697	
9.24828	1.08889	35.0543	7.22727	
8.88276	13.5778	37.2174	17.8333	
5.36782	13.0889	37.1884	6.84848	
7.09885	2.24444	47.2464	11.4242	
3.87356	2.71111	36.3623	6	
9.90575	3	22.6051	6.86364	
15.5333	11.3111	54.8116	7.62121	
12.8299	9.88889	43.1667	7.86364	
9.94483	0.733333	23.4312	2.57576	
10.8989	10.2889	30.0797	6.77273	
3.16092	5.24444	25.1377	4.75758	
8.04368	6.88889	22.8659	12.0455	
12.9747	8.11111	33.9601	6.75758	
5.51724	8.26667	33.0906	10.7273	
10.7724	3.26667	27.0761	11.8636	
2.24368	1.57778	43.471	4.72727	
9.52184	2.95556	35.6848	4.27273	
11.9724	13.7111	29.6812	11.3333	
13.8989	4.02222	38.7645	10.0606	
4.85747	7.64444	30.0507	10.4848	
5.38621	4.37778	48.6884	5.39394	
3.88966	0.133333	33.5507	12.8485	
5.28736	0.266667	31.837	3.19697	
9.27356	9.35556	37.5181	8.39394	
6.68966	4.06667	43.0906	11.5606	
11.269	6.95556	23.1341	8.81818	
6.38621	4	29.913	4.07576	
1.33793	1.68889	35.8442	12.7879	
8.1977	3.44444	35.8297	3.5	
12.2644	1.8	20.6449	8.40909	
3.32184	2.24444	27.6123	7.89394	
3.6092	6.57778	42.9674	8.43939	
9.09655	3.35556	37.0362	6	
8.88046	5.77778	18.0616	12.8333	
10.3655	1.04444	47.3225	6.92424	
2.69425	2.91111	17.1304	9.30303	
12.3425	5.22222	21.8225	5.27273	
6.66437	3.8	38.2754	7.87879	
10.2138	1.51111	28.8442	11.2273	
3.88046	0.355556	29.6594	4.31818	
8.30345	3.91111	26.5507	9.43939	
3.70115	11.3778	32.6087	6.06061	
9.74713	1.35556	44.2935	6.40909	
2.3931	0.288889	32.2065	8.93939	
6.32184	9.04444	33.3623	7.56061	
12.3632	1.33333	27.5761	5.5303	
16.3678	0.911111	23.0181	9.37879	
3.49425	10.1111	29.6413	3.31818	
7.31034	2.4	45.2754	3.63636	
9.1977	1.44444	29.3659	5.09091	
8.66897	6.97778	37.9275	12.5152	
2.95172	1	21.75	12.6667	
