thetaWatt[0]	thetaWatt[1]	thetaWatt[2]	thetaWatt[3]	
12.621	1.41394	37.2226	4.96709	
9.84437	3.53486	49.5409	7.94734	
9.33953	5.65577	23.2976	11.2587	
10.3492	7.06972	51.951	12.5833	
7.82501	4.59531	29.7245	7.94734	
13.1258	4.59531	36.1514	11.5899	
10.8541	8.13017	29.1889	9.2719	
12.8734	4.9488	35.6159	7.6162	
12.1162	1.06046	40.1683	11.2587	
8.58227	9.19063	23.5654	7.94734	
6.56292	3.88834	27.5822	7.28506	
11.3589	8.83714	31.599	9.2719	
8.83469	5.30229	33.7413	5.29823	
11.6113	11.665	32.6702	7.28506	
11.1065	7.4232	35.0803	8.27848	
8.07743	9.54412	34.0091	9.93418	
9.08711	2.4744	40.4361	8.94076	
8.32985	8.83714	44.4529	11.5899	
15.9024	2.82789	27.0466	6.29165	
7.32018	7.77669	39.0971	8.60962	
9.59195	10.2511	41.2394	5.96051	
10.0968	4.59531	34.0091	10.9276	
8.58227	1.76743	30.5279	13.9078	
12.1162	4.24183	36.9548	6.95392	
12.3686	1.06046	28.1178	6.62279	
9.33953	3.53486	44.1851	10.2653	
7.82501	4.59531	36.9548	11.2587	
7.06776	2.82789	33.2058	6.95392	
12.1162	3.88834	42.8461	9.93418	
7.5726	4.9488	33.2058	8.27848	
10.3492	2.82789	32.6702	9.93418	
13.6307	4.59531	26.2433	9.2719	
8.58227	4.9488	27.85	11.5899	
7.5726	7.77669	40.4361	7.28506	
14.3879	8.48366	44.9885	8.94076	
7.06776	3.18137	31.3312	6.29165	
9.33953	5.30229	38.2937	10.9276	
8.83469	5.30229	30.7957	6.29165	
12.621	8.83714	36.4192	9.60304	
8.58227	9.8976	40.1683	11.5899	
7.82501	4.59531	26.7788	8.27848	
9.59195	3.53486	27.3144	8.94076	
11.1065	7.06972	34.0091	13.2456	
8.32985	2.82789	38.026	9.93418	
17.1645	1.76743	34.5447	7.6162	
10.3492	4.59531	46.863	7.94734	
8.58227	2.82789	35.8836	9.60304	
7.5726	6.36274	24.3687	9.2719	
8.07743	6.36274	37.7582	9.60304	
11.1065	8.83714	43.1139	12.2522	
12.621	0.706972	33.4736	10.5965	
7.82501	3.18137	41.5072	3.97367	
9.08711	4.9488	40.9716	6.95392	
13.3783	2.4744	35.3481	5.29823	
14.1355	4.9488	28.9211	8.27848	
8.58227	3.18137	31.8668	5.96051	
7.32018	5.30229	41.775	8.94076	
16.1549	8.48366	39.0971	8.94076	
11.3589	11.3115	31.8668	9.60304	
7.32018	1.06046	33.2058	12.2522	
10.0968	5.30229	31.8668	8.60962	
7.82501	8.83714	31.8668	10.9276	
10.8541	7.77669	25.1721	7.94734	
8.83469	4.9488	38.2937	9.2719	
11.8637	2.82789	31.8668	8.94076	
11.1065	3.53486	33.7413	8.27848	
12.3686	0.706972	24.6365	8.60962	
8.07743	2.4744	40.4361	5.29823	
7.32018	3.18137	32.4024	8.94076	
9.33953	10.2511	30.2601	8.27848	
10.3492	8.83714	36.9548	5.62937	
5.55324	3.53486	33.2058	13.9078	
7.82501	2.12091	31.8668	8.94076	
7.32018	10.2511	45.7918	7.28506	
6.81534	6.00926	39.0971	6.29165	
7.06776	6.71623	41.5072	7.94734	
5.0484	5.30229	34.2769	9.93418	
8.58227	2.82789	34.0091	7.94734	
8.07743	6.36274	29.9923	8.94076	
