FDn[0]	FDn[1]	FDn[2]	FDn[3]	
0.987482	-0.33833	0.27886	-0.44023	
-1.19425	-1.13824	0.0973582	-0.0599252	
-0.980325	-0.417559	-0.951842	0.429896	
0.118286	-0.028688	1.17978	-0.385739	
0.0203593	0.32477	0.00100224	0.121572	
-0.596959	0.32477	0.231983	-0.300291	
0.518118	-0.168141	-0.395202	0.0180496	
-0.093823	0.686445	-0.440296	0.624616	
-0.358208	-0.804896	0.0405525	-0.617911	
-0.419966	1.58335	-1.36594	-0.241422	
0.197284	1.13136	-0.779499	-0.403733	
-0.192444	1.09707	0.837816	-0.296405	
0.0268816	-0.286109	0.431051	0.204929	
-0.451194	-0.375843	-0.26599	0.383019	
-0.866214	1.18331	-0.0199492	0.529684	
-1.17834	-1.10655	-0.130919	-0.466116	
0.828008	0.879453	0.581175	-0.528078	
-0.0778101	0.936184	0.336795	-0.427723	
-0.288307	-0.38531	-0.115553	0.419226	
0.357771	1.02298	-0.373363	-0.43937	
0.165463	1.45301	-0.301083	0.354982	
0.932612	1.20578	0.02542	0.124083	
-1.01376	-2.01007	0.107325	0.125589	
0.0775593	0.855836	0.603935	0.120316	
0.826093	0.174637	-0.0413147	-0.166397	
0.121491	-0.767765	0.287097	0.0283704	
0.235022	0.618439	0.411623	-0.094007	
0.776621	0.512949	-0.285363	-0.0849666	
0.0775593	-0.231567	-0.719858	-0.613495	
-1.58299	0.686445	-1.35204	0.704435	
-0.551813	-0.38531	0.0049103	0.712912	
0.273961	-0.262568	-1.5135	-0.610859	
0.569686	1.51062	0.25667	-0.300291	
1.06774	-1.15328	0.625223	-0.207045	
0.233774	0.405607	0.474157	-0.528078	
0.0730476	-1.40678	-0.242964	-0.480587	
1.22331	0.746243	0.741181	-0.414813	
0.412727	0.746243	1.0403	-0.255634	
0.427701	1.09707	0.536541	0.376713	
1.16348	-0.144956	-0.402786	-1.06488	
-0.62363	0.32477	0.915171	-0.868327	
0.344785	-0.39729	-0.35406	-0.365414	
-0.866214	1.16036	0.390211	-0.398503	
-0.0778101	0.962078	-1.18404	0.123398	
1.02767	0.638077	-0.562233	0.43583	
0.788386	-1.43724	-0.041941	-0.241422	
-0.222035	-0.38531	-0.967464	-1.14472	
0.625954	0.233676	0.390034	-0.453632	
0.283095	-0.858558	0.536749	-0.23186	
0.548514	1.41883	0.247801	0.406909	
-0.411971	-0.280197	0.155	-0.0610567	
0.0203593	0.217142	-0.11543	0.113521	
0.0753526	0.136996	0.554592	0.941447	
-0.419303	0.879453	-0.00577563	0.204929	
0.583051	0.411721	0.0718342	-0.344073	
-0.419966	-0.188839	-0.263499	-1.29899	
0.130267	-0.286109	0.579971	-0.0400873	
0.525163	0.572779	-0.00924041	-0.528078	
0.115609	1.34598	-0.652005	0.681	
-1.46226	-0.804896	-0.925369	-0.197533	
-0.780187	-2.35081	-0.652005	0.234591	
1.09368	0.453536	0.125006	0.39353	
0.678608	-0.427858	-1.16554	-0.241422	
0.412727	-0.687177	-0.605687	0.804186	
0.188462	0.512949	0.0140048	1.09856	
0.548514	-0.0268151	-1.24939	-0.868327	
-0.456865	-0.280197	0.40584	0.403082	
-0.552013	-1.13149	-0.255736	-0.320607	
-0.779746	-0.188839	-0.228764	0.610567	
-0.980325	-2.04313	-0.374827	0.180181	
0.620861	-1.63794	-0.453784	-0.213702	
-0.361553	-0.39729	-0.498698	-0.410109	
0.664349	0.774915	-0.541003	0.28524	
-1.23475	1.03347	0.147591	0.579707	
-1.19781	1.07677	0.491429	0.644179	
0.542096	0.719558	0.0563321	-0.0599252	
-0.554338	-1.57655	0.246553	0.270776	
0.767617	0.512949	0.390211	-0.422919	
-0.76079	0.0152291	0.488225	-0.202751	
-0.802604	-1.81276	0.301309	-0.46252	
0.322488	1.07318	0.37658	-0.925313	
1.00565	0.488155	0.374344	-0.700815	
0.529588	-1.78608	0.155	-0.690741	
-0.780992	-1.13149	0.0718342	0.0180496	
0.678608	-1.12706	-0.605366	-0.536146	
0.639844	-2.08124	0.272839	0.298921	
0.567646	-1.06037	0.0109415	-0.495532	
1.42821	-1.40678	-0.0617601	-0.610859	
-1.96107	0.618439	0.194436	0.813402	
-0.796689	-1.9162	0.721085	0.167945	
-0.552013	0.303926	-0.167194	-1.93251	
-0.937608	-0.405927	0.301289	0.0351152	
0.269636	-1.14357	0.10053	-0.908251	
-0.0367306	0.32477	-0.271664	0.791429	
0.00176693	0.109164	-0.440608	-0.600421	
0.235022	0.790625	-0.644168	0.283933	
