Hw[0]	Hw[1]	Hw[2]	Hw[3]	
0.963218	0.511111	0.996377	0.984848	
0.977011	0.822222	0.996377	0.969697	
0.937931	0.866667	0.981884	1	
0.924138	1	0.974638	1	
0.947126	0.866667	0.967391	0.984848	
0.924138	0.911111	0.98913	1	
0.970115	0.888889	0.98913	0.984848	
0.96092	0.888889	0.985507	0.984848	
0.967816	0.533333	0.992754	0.984848	
0.898851	0.777778	0.960145	0.969697	
0.914943	0.777778	0.98913	0.984848	
0.96092	0.844444	0.985507	0.969697	
0.931034	0.755556	0.978261	0.969697	
0.963218	0.888889	0.978261	1	
0.921839	0.822222	0.98913	0.939394	
0.862069	0.844444	0.981884	0.954545	
0.935632	0.866667	0.978261	0.984848	
0.965517	0.933333	0.98913	0.984848	
0.965517	0.888889	0.98913	0.939394	
0.896552	0.911111	0.98913	0.984848	
0.937931	0.888889	0.996377	0.984848	
0.947126	0.8	0.945652	0.984848	
0.898851	0.533333	1	0.984848	
0.951724	0.844444	0.981884	0.984848	
0.94023	0.711111	0.98913	0.954545	
0.956322	0.977778	0.98913	1	
0.905747	0.888889	0.981884	0.984848	
0.889655	0.644444	0.971014	0.939394	
0.965517	0.844444	0.978261	0.984848	
0.937931	0.755556	0.98913	0.954545	
0.931034	0.755556	0.985507	0.969697	
0.970115	0.888889	0.985507	0.954545	
0.947126	0.711111	0.949275	0.984848	
0.956322	0.911111	0.974638	1	
0.903448	0.955556	0.992754	1	
0.910345	0.666667	0.992754	0.909091	
0.944828	0.644444	0.974638	0.984848	
0.974713	0.844444	0.978261	0.984848	
0.956322	0.911111	0.967391	1	
0.949425	0.977778	0.981884	0.984848	
0.958621	0.955556	0.960145	0.984848	
0.954023	0.955556	0.978261	1	
0.917241	0.844444	0.98913	0.969697	
0.956322	0.822222	0.981884	1	
0.958621	0.755556	0.971014	1	
0.944828	0.711111	1	0.984848	
0.954023	0.955556	0.974638	0.954545	
0.963218	0.866667	0.981884	0.984848	
0.942529	0.755556	0.992754	1	
0.94023	0.822222	0.98913	0.984848	
0.956322	0.511111	0.974638	1	
0.956322	0.888889	0.996377	0.969697	
0.829885	0.933333	0.985507	0.939394	
0.965517	0.844444	0.985507	0.969697	
0.958621	0.822222	0.960145	0.939394	
0.954023	0.955556	0.98913	0.939394	
0.928736	0.933333	0.985507	1	
0.970115	0.933333	0.971014	1	
0.928736	0.866667	0.981884	0.954545	
0.905747	0.711111	0.98913	0.984848	
0.944828	0.2	0.974638	1	
0.875862	0.911111	0.98913	1	
0.97931	0.888889	0.992754	0.969697	
0.947126	0.955556	0.985507	0.969697	
0.94023	0.844444	0.978261	0.954545	
0.933333	0.933333	0.992754	0.893939	
0.967816	0.644444	0.978261	1	
0.970115	0.911111	0.98913	0.984848	
0.970115	0.955556	0.985507	0.984848	
0.933333	0.844444	0.992754	1	
0.96092	0.911111	0.98913	0.939394	
0.862069	0.955556	0.978261	1	
0.942529	0.866667	0.981884	0.954545	
0.88046	0.933333	0.992754	0.969697	
0.96092	0.822222	0.967391	0.969697	
0.926437	0.955556	0.996377	1	
0.914943	0.955556	0.992754	1	
0.94023	0.888889	0.978261	0.984848	
0.944828	0.911111	0.98913	0.969697	
0.836782	0.755556	0.978261	0.969697	
0.947126	0.666667	0.974638	0.984848	
0.91954	0.888889	0.967391	0.984848	
0.983908	0.866667	0.974638	0.969697	
0.951724	0.533333	0.985507	0.984848	
0.924138	0.755556	0.963768	0.969697	
0.951724	0.377778	0.985507	1	
0.951724	0.955556	0.971014	0.984848	
0.933333	0.777778	0.981884	0.969697	
0.949425	0.866667	0.985507	0.984848	
0.947126	0.777778	0.992754	0.969697	
0.967816	0.844444	0.974638	0.984848	
0.864368	0.911111	0.981884	0.969697	
0.967816	0.888889	0.985507	1	
0.921839	0.888889	0.98913	1	
0.908046	0.911111	0.978261	0.984848	
0.924138	0.844444	0.98913	0.969697	
0.96092	0.977778	0.992754	0.954545	
0.866667	0.888889	0.981884	0.893939	
0.963218	0.955556	0.894928	0.984848	
0.914943	0.911111	0.98913	0.969697	
0.963218	0.933333	0.996377	0.939394	
0.910345	0.533333	0.992754	1	
0.967816	0.822222	0.952899	0.984848	
0.949425	0.933333	0.985507	0.984848	
0.951724	0.911111	0.981884	1	
0.965517	0.844444	0.981884	0.984848	
0.951724	0.844444	0.974638	0.969697	
0.967816	0.844444	0.978261	0.984848	
0.947126	0.511111	0.985507	0.939394	
0.947126	0.755556	0.992754	1	
0.974713	0.755556	0.978261	0.984848	
0.977011	0.911111	0.98913	0.984848	
0.926437	0.911111	0.98913	1	
0.949425	0.822222	0.992754	0.984848	
0.882759	0.911111	0.978261	0.984848	
0.96092	0.911111	0.985507	0.984848	
0.954023	0.8	0.985507	0.984848	
0.931034	0.844444	0.98913	0.969697	
0.94023	0.822222	0.967391	0.969697	
0.974713	0.888889	0.981884	0.984848	
0.965517	0.711111	0.98913	1	
0.972414	0.911111	0.98913	0.969697	
0.963218	0.511111	0.98913	0.984848	
0.878161	0.8	0.963768	0.984848	
0.917241	0.911111	0.981884	0.984848	
0.926437	0.955556	0.98913	0.969697	
0.942529	0.911111	0.992754	0.984848	
0.963218	0.911111	0.985507	0.984848	
0.96092	0.933333	0.985507	0.939394	
0.908046	0.866667	0.996377	0.969697	
0.896552	0.866667	0.981884	0.939394	
0.91954	0.733333	0.981884	1	
0.951724	0.866667	0.985507	1	
0.871264	0.755556	0.98913	0.984848	
0.921839	0.911111	0.98913	0.969697	
0.933333	0.911111	0.992754	0.984848	
0.926437	0.955556	0.978261	0.984848	
0.956322	0.888889	0.978261	0.984848	
0.947126	0.8	0.971014	0.969697	
0.926437	0.822222	0.985507	0.939394	
0.951724	0.955556	0.985507	0.969697	
0.898851	0.866667	0.978261	0.984848	
0.951724	0.933333	0.98913	0.984848	
0.967816	0.911111	0.985507	0.969697	
0.965517	0.822222	0.98913	0.984848	
0.96092	0.933333	0.98913	0.939394	
0.937931	0.844444	0.996377	1	
0.944828	0.711111	0.992754	0.969697	
0.931034	0.933333	0.985507	0.984848	
0.942529	0.977778	0.978261	1	
0.910345	0.844444	0.960145	1	
0.942529	0.888889	0.974638	0.939394	
0.96092	0.755556	0.978261	0.984848	
0.931034	0.711111	0.985507	0.984848	
0.942529	0.711111	0.985507	1	
0.905747	0.888889	0.985507	1	
0.963218	0.955556	0.98913	0.984848	
0.924138	0.8	0.992754	0.984848	
0.917241	0.666667	0.996377	0.984848	
0.958621	0.844444	0.996377	0.984848	
0.963218	0.822222	0.981884	1	
0.972414	0.844444	0.98913	0.954545	
0.951724	0.777778	0.98913	0.969697	
0.94023	0.933333	0.974638	0.984848	
0.917241	0.888889	0.985507	0.984848	
0.891954	0.888889	0.996377	0.893939	
0.977011	0.844444	0.98913	0.984848	
0.921839	0.755556	0.985507	0.969697	
0.942529	0.844444	0.963768	0.939394	
0.931034	0.866667	0.934783	0.984848	
0.944828	0.8	0.996377	0.954545	
0.954023	0.8	0.978261	0.969697	
0.924138	0.866667	0.985507	0.984848	
0.951724	0.844444	0.978261	1	
0.928736	0.866667	0.981884	1	
0.944828	0.733333	0.992754	0.893939	
0.947126	0.733333	0.971014	0.984848	
0.947126	0.822222	0.996377	0.984848	
0.949425	0.866667	0.98913	0.969697	
0.931034	0.866667	0.974638	0.984848	
0.949425	0.933333	0.996377	0.954545	
0.967816	0.777778	0.985507	0.984848	
0.97931	0.6	0.963768	0.984848	
0.94023	0.911111	0.98913	1	
0.891954	0.955556	0.971014	0.969697	
0.96092	0.933333	0.98913	0.954545	
0.963218	0.911111	0.992754	1	
0.97931	0.977778	0.98913	1	
0.949425	0.822222	0.974638	0.939394	
0.898851	0.644444	0.978261	1	
0.963218	0.933333	0.974638	0.969697	
0.891954	0.911111	0.967391	0.984848	
0.935632	0.955556	0.992754	0.984848	
0.963218	0.888889	0.98913	0.984848	
