TD[0]	TD[1]	TD[2]	TD[3]	
0.452773	-0.218882	0.156492	-0.338263	
-1.23016	-0.837855	0.219017	0.249765	
0.176234	-0.445798	-1.09346	0.413607	
-0.139218	-0.0168032	0.855409	-0.457027	
-0.572375	0.180681	-0.364515	-0.233235	
-0.169227	0.818833	-0.452782	-0.230582	
-0.327064	-0.218386	-0.708181	0.168896	
0.398473	0.870022	-0.243165	0.779009	
-0.553035	-1.03446	-0.0852777	-0.645933	
-1.05401	2.12703	-1.01867	-0.784025	
-0.0373726	1.81759	-0.673168	-0.559141	
-0.173428	1.03346	0.477864	-0.373222	
-0.418314	-0.185375	-0.0293722	0.794138	
-0.268923	0.193536	0.234647	0.59014	
-0.196471	1.21322	0.764296	0.747093	
-1.54541	-1.20708	-0.392306	-0.230925	
-1.21086	0.519312	0.453152	0.249543	
-0.761603	1.63202	0.205961	-0.272041	
-0.505407	-0.924033	-0.172717	0.893219	
0.400347	1.06793	-0.0621533	0.123882	
0.216939	0.849173	-0.0576651	0.272638	
0.988686	1.67704	0.264427	-0.233212	
-1.16924	-1.7411	0.00439447	-0.0294186	
0.401951	1.35154	0.218646	0.163638	
0.968754	0.473434	-0.338587	-0.141731	
-0.074623	-0.642802	0.549959	-0.109807	
-0.442551	0.620786	0.0788787	0.334446	
0.427297	0.669427	-0.680496	0.230857	
1.08731	-0.101736	-0.374858	-0.436766	
-1.00048	1.40474	-0.853578	0.437232	
-0.460414	-0.110351	-0.0702452	0.585579	
0.161299	-0.0393711	-1.54196	-0.32194	
0.816134	1.50757	0.0146737	0.0655544	
0.535211	-0.836936	1.30882	-0.301702	
0.128363	0.11492	0.0574775	-0.175085	
-0.133819	-1.22839	-0.166853	-0.782528	
0.482135	1.41687	0.567411	-0.508896	
-1.00288	1.32034	0.911357	-0.297721	
0.6035	0.985572	0.385367	0.128962	
1.0759	0.436442	-0.378866	-0.923542	
-0.146724	0.0486498	0.94755	-0.549431	
-0.316387	-0.308424	-0.0377958	-0.250911	
-0.457855	0.145734	0.439017	-0.225119	
0.0808441	1.14407	-0.515094	0.523827	
1.26148	0.779726	0.072229	0.170481	
0.715391	-1.09562	-0.123062	-0.436603	
-0.691698	-0.618902	-0.786187	-0.565469	
-0.648367	0.826294	0.104904	-0.688236	
0.530381	-0.641179	0.278955	-0.622158	
1.50367	2.00312	0.407218	0.204168	
0.545789	-0.69098	-0.292404	0.14604	
-0.23611	-0.463739	0.081371	0.0919061	
1.12311	0.870022	0.178563	0.89344	
-0.509028	0.861666	-0.369344	0.176775	
-0.0286078	-0.384502	0.235899	0.217067	
-0.355756	-0.433153	-0.548446	-1.01263	
-0.312691	-0.474937	0.420611	-0.630043	
0.617401	0.488225	-0.195867	-0.827191	
-0.1179	0.425472	-0.585122	1.03597	
-1.30981	-0.657484	-0.667884	0.153628	
0.0896479	-1.99996	-0.294427	0.0295855	
0.238491	1.1412	0.0256995	0.393343	
0.165671	-0.769388	-0.734798	-0.148498	
0.12538	-0.4462	0.0200085	0.689036	
1.27618	0.3982	0.0302274	0.583179	
0.836032	-0.614937	-0.871453	-0.500505	
-0.330373	0.120301	-0.305555	0.438203	
0.645071	-0.926182	-0.359522	-0.403547	
-0.638651	-0.433153	0.1394	0.408779	
-0.530317	-1.69727	0.144911	0.502466	
-0.132663	-1.1453	-0.349429	-0.38002	
-0.551475	-0.1691	-0.189517	-0.0791284	
0.451317	0.414338	-0.258204	0.249543	
-0.464353	1.55594	-0.0629353	-0.172983	
-1.1225	1.17932	0.311207	0.671894	
0.472888	1.31418	-0.192762	0.292134	
-0.585553	-1.07336	0.518731	1.01098	
-0.321576	0.70333	0.328995	-0.26713	
-0.719846	0.581715	0.596374	-0.167502	
-0.111196	-1.68719	-0.0899291	-0.169795	
0.296589	-0.244881	0.145774	-0.768821	
1.29461	1.03078	0.572829	-0.633382	
0.0351533	-1.43337	-0.264359	-0.698286	
0.00670664	-1.30658	0.123368	0.102963	
0.544036	-0.942971	-0.0681851	-0.22534	
-0.126739	-1.79631	0.427711	0.328357	
0.720959	-0.841715	-0.0811728	-0.278084	
1.26903	-0.922532	0.0338164	-0.314614	
-1.12143	1.25894	0.180917	1.02595	
-0.900286	-1.53755	0.280224	0.541483	
-0.401606	-0.298127	-0.0844882	-1.72808	
-1.44861	-0.65976	0.100834	0.0871468	
-0.475085	-1.35968	-0.130603	-0.772974	
-0.0659018	-0.369449	-0.190356	0.780678	
-0.0447721	0.691586	-0.806974	-0.384451	
0.799287	1.30577	-0.32426	0.262334	
-0.546771	0.428706	0.144634	-0.516814	
-1.02029	-0.035533	-0.840481	-0.0572226	
0.594171	-0.179117	0.172284	-0.410809	
-0.319623	-0.963591	0.45355	-0.261662	
-0.315348	-0.375812	-0.341851	1.38632	
-1.76394	-0.261106	-0.290668	-0.12414	
0.22127	0.457684	0.104896	0.0366688	
0.556511	1.24565	0.148936	0.0458284	
-1.11409	-1.4444	-0.305915	-0.444997	
0.2989	0.160876	-0.318088	0.229244	
0.519817	1.74676	-0.106211	0.170481	
-0.737019	0.180681	-0.367914	0.59014	
0.00748075	0.899706	-0.356926	-0.115617	
-0.0890321	-0.769601	0.158137	-0.019845	
0.460165	-0.192506	-0.313857	-0.239673	
-1.14513	1.14185	-0.574197	0.732543	
0.815403	-1.38384	0.00441808	0.107327	
-0.155338	0.28213	0.542411	-0.0552751	
1.27708	-1.40753	-0.348683	-0.369178	
-0.91339	-0.259423	0.405748	0.584985	
-0.573041	0.729121	-1.04291	0.176547	
0.382073	-0.0967053	-0.188781	0.523251	
0.259976	1.36361	0.345437	0.119217	
-0.0449285	0.0930691	0.651594	-0.21138	
0.00846719	-1.5902	-0.167222	-0.324978	
-0.3586	0.109081	0.19359	-0.261162	
0.0748194	-0.783184	-0.0865965	-0.555207	
1.19579	1.21762	-0.0162241	-0.245446	
1.08025	-0.252555	0.516911	-0.0127589	
1.48159	-0.215413	-0.0901466	-0.151149	
1.2913	-0.575958	0.0238106	0.0629607	
0.0646173	-0.633512	0.284323	0.617723	
0.643145	0.417571	0.0770488	0.520923	
-0.399986	1.10023	0.694197	0.408779	
-1.28774	-1.24966	0.354209	0.653374	
0.287108	0.889762	-0.176933	-0.695562	
0.671724	0.477227	1.204	-0.0296449	
1.48778	-0.144727	-0.584177	0.390873	
-0.0379614	-0.482176	-0.0900845	0.303797	
-0.171192	0.25561	-0.420209	0.124941	
-0.0347629	-1.22839	0.363332	-0.862552	
0.59955	0.915524	-0.42961	0.145677	
-0.0434156	-1.53797	-0.15957	0.669027	
-0.240367	0.466749	0.128128	0.105712	
-0.989521	-1.13301	-0.136854	0.505315	
-0.0169784	-0.953764	-0.212109	-0.688698	
0.3815	-0.578295	0.147208	-0.0438682	
-0.273707	-0.559207	-0.379581	0.00900558	
0.884958	-0.869467	0.14549	0.388306	
-0.270662	0.230948	-0.0232141	-0.582281	
0.520404	1.60991	0.354853	-0.0248233	
