Fs[0]	Fs[1]	Fs[2]	Fs[3]	
2.57214	2.49062	-1.0683	-5.95117	
-1.78517	-0.627661	0.178468	-7.57963	
1.56532	1.97781	-2.22923	-3.9906	
-1.67824	-0.705134	-0.999437	-0.703317	
-2.77308	-0.0466823	-3.62023	-3.01665	
0.259206	-4.54314	1.25417	-4.81947	
-2.2115	2.90134	-0.470117	-2.41166	
-1.27788	1.16381	1.10714	-0.867241	
-1.48343	1.60319	-0.396613	-0.833762	
-6.52835	-3.36005	-1.21181	-2.64189	
-1.25696	1.22509	1.41755	-2.74376	
-0.372271	-1.42499	-1.55252	-3.52405	
-5.08779	-1.96882	-1.72211	-2.6493	
-1.26344	0.423273	-1.94951	-3.20427	
-3.02463	-1.23066	-2.13658	-1.94493	
-1.32987	2.5714	-4.72635	-4.51728	
-1.27241	2.47527	-1.84123	-2.16813	
-6.11652	-1.42499	-2.40034	-2.63499	
-0.514069	-3.15833	-0.481009	-6.32473	
-1.65758	0.570599	0.574113	-7.09014	
-2.05149	-0.745735	0.125452	-0.877725	
-0.806898	1.34089	0.476366	-4.12944	
1.89958	1.92403	-1.68846	-3.34927	
-8.57316	3.55245	-3.1863	-4.73269	
0.828844	-0.798037	-0.721031	-5.30498	
-1.28725	-3.74054	-1.13454	-2.57665	
-2.6462	2.35247	-2.97778	-2.65626	
-2.20631	0.28799	-3.96299	-2.26703	
-2.85483	-1.12233	-4.94924	-2.6821	
-0.530347	-0.146182	0.143352	-6.27659	
-4.43794	-2.56262	-1.70034	-2.94272	
-1.67404	0.0996492	-2.49273	-1.67712	
1.09026	-2.26755	0.521195	-4.42323	
0.156816	1.36364	-0.823331	-3.72071	
-0.208803	-0.0711797	-4.62622	-0.198773	
-8.38919	-0.596215	-1.62028	-2.44199	
-1.97701	-1.67067	-1.86001	-1.54066	
-0.0836513	2.85489	4.47916	-0.618392	
0.979562	-0.214784	3.83474	-4.66006	
-1.02264	0.750084	-7.08869	-0.948062	
-1.19609	-1.14825	-1.2364	-2.13321	
-1.18047	0.388248	-1.41616	-3.20988	
-4.18271	-2.21823	2.22209	-4.96369	
-2.58501	-0.582997	-0.128382	-4.79252	
0.573468	-1.07085	-3.53682	0.591415	
-4.38792	-0.65694	1.60998	-3.3734	
-1.73777	0.423273	-5.94642	-3.85931	
-0.898001	1.12127	-1.07569	-1.27206	
-0.787496	-0.201349	0.207581	-2.0884	
-1.69466	-0.213441	-3.30569	-1.0277	
-2.94783	-2.60454	-1.53508	-2.5603	
-5.5635	1.35813	0.96788	-4.09605	
0.211246	1.43905	-3.17538	-5.55285	
-0.125997	-0.434617	-1.04333	-1.49451	
-1.97707	-2.19978	-0.752972	-2.12786	
-7.23989	-1.11119	-2.88006	-7.89086	
-6.54417	-3.97761	-0.774291	-5.28477	
0.379868	1.29118	0.717816	-1.21549	
-0.484337	1.51078	-1.22872	-6.69549	
-5.91019	-2.24471	0.321821	-0.964326	
