FF[0]	FF[1]	FF[2]	FF[3]	
1.06628	-0.532453	0.270041	-0.730254	
-1.70166	-0.459879	0.117088	-0.122177	
-0.888531	-0.796226	-1.49522	0.485634	
-0.00645089	-0.217356	1.48188	-0.357936	
-0.280111	0.255104	-0.0589428	-0.0946872	
-0.690472	0.466477	0.0513641	-0.431599	
0.2832	-0.451573	-0.78028	0.109264	
0.0318961	0.890969	-0.374616	0.827484	
-0.63539	-1.20415	0.146287	-0.937698	
-0.715045	2.39736	-1.87273	-0.494817	
0.113693	1.6792	-1.14509	-0.355937	
-0.312003	1.44902	0.967049	0.0879444	
-0.210547	-0.556282	0.339091	0.363313	
-0.59578	-0.562266	-0.07572	0.491061	
-0.363732	1.59845	0.291865	0.713096	
-1.80817	-1.37196	-0.380292	-0.591298	
0.188634	0.950618	0.746966	-0.646873	
-0.45416	1.46978	0.430187	-0.590724	
-0.555264	-0.858897	-0.137354	0.882617	
0.447919	1.36707	-0.295197	-0.592037	
0.193017	1.80971	-0.402903	0.344632	
1.24367	1.73471	0.0655417	0.35869	
-1.31499	-2.73492	0.0322718	0.099608	
0.193298	1.22991	0.621187	0.274514	
1.14325	0.193524	-0.203757	-0.139579	
0.195971	-1.20831	0.695193	0.00243275	
0.172446	0.72887	0.511413	-0.134277	
0.845089	0.611964	-0.660976	0.0720598	
0.496028	-0.451128	-0.795576	-0.666463	
-1.94332	1.06916	-1.21473	1.18456	
-0.770523	-0.601228	-0.102651	1.02976	
0.392775	-0.473765	-1.52316	-0.948734	
0.825927	2.02867	0.310582	-0.178743	
1.16186	-0.753281	1.12673	-0.481174	
0.218561	0.327219	0.421074	-0.619346	
-0.0422544	-1.19548	-0.391396	-0.699362	
1.29027	1.14491	0.912678	-0.653001	
-0.105685	1.11256	1.35904	-0.527326	
0.609949	1.43241	0.627846	0.320263	
1.48827	-0.202547	-0.469912	-1.54983	
-0.692979	0.211372	1.24789	-1.31127	
0.127529	-0.694327	-0.379766	-0.646873	
-1.06459	1.20304	0.505554	-0.434097	
-0.0912645	1.2454	-1.06531	0.511122	
1.47442	0.7597	-0.399805	0.399475	
0.990929	-1.15161	-0.174179	-0.571177	
-0.558629	-0.762271	-1.28919	-1.12609	
0.247664	0.371041	0.356772	-0.906094	
0.436057	-0.625786	0.581132	-0.63536	
1.11578	2.159	0.350704	0.52011	
0.192093	-0.555459	0.000953367	0.146576	
-0.13595	0.372364	-0.156157	0.0219062	
0.502087	0.274144	0.554773	1.21472	
-0.675619	1.05756	-0.245948	0.147055	
0.475667	0.164487	0.0990785	-0.256361	
-0.596995	-0.499752	-0.525211	-1.6605	
0.143836	-0.653308	0.687651	-0.421156	
0.711588	0.650133	-0.0371256	-0.492725	
-0.000330162	1.54206	-0.817195	1.16224	
-1.96109	-1.09664	-1.29178	-0.319111	
-0.741954	-2.03754	-0.247617	0.125239	
1.05977	0.739041	0.0591562	0.436867	
0.648885	-0.520787	-1.20733	-0.467327	
0.382439	-0.781311	-0.532591	1.00203	
0.68235	0.526075	-0.0491636	1.47267	
0.822438	-0.387741	-1.23431	-1.09911	
-0.62963	-0.333275	0.192631	0.461106	
-0.2873	-1.63982	-0.315993	-0.627147	
-0.835021	-0.499752	-0.242329	0.682657	
-1.19542	-2.18764	-0.384647	0.235734	
0.464106	-1.17499	-0.635581	-0.505578	
-0.61133	-0.649241	-0.178886	-0.284067	
0.75411	0.799344	-0.452265	0.624852	
-1.18061	1.56624	0.0806696	0.435034	
-1.63167	1.44828	0.595816	0.804079	
0.648233	1.09404	-0.0638896	-0.106905	
-0.797601	-2.30922	0.39795	0.523649	
0.518154	0.6227	0.456914	-0.510089	
-0.487567	0.0387655	0.671444	-0.253244	
-0.377568	-1.34247	0.342401	-0.702877	
0.37439	0.985197	0.361899	-0.75952	
1.45688	0.72446	0.549555	-0.463242	
0.454232	-1.72711	-0.0392787	-0.990954	
-0.655642	-1.75864	0.0495392	0.0852795	
0.814887	-1.54411	-0.549532	-0.1498	
0.484027	-2.27813	0.384535	0.306598	
0.792724	-1.64944	0.00283837	-0.789227	
1.84155	-1.97941	-0.123504	-0.77018	
-2.09818	0.940242	0.196675	1.33475	
-1.01513	-2.34982	0.762876	0.532631	
-0.737123	0.0687077	-0.228891	-1.98679	
-1.51256	-0.832916	0.267366	-0.0698766	
-0.0138668	-1.89506	-0.0347207	-1.28532	
-0.115389	0.072887	-0.43245	0.980303	
-0.0744725	0.183793	-0.867336	-0.945869	
0.50639	1.13617	-0.796345	0.263065	
-0.517644	0.225743	-0.0392499	-0.716042	
-1.11302	0.0685934	-1.13391	-0.0308828	
0.238864	0.727049	0.206309	-0.288774	
0.702396	-1.76386	0.438056	-0.592872	
0.411583	-0.389213	-0.781975	1.88988	
-2.26978	0.822433	-0.32535	0.00266498	
0.324441	0.213158	-0.483885	0.498594	
-0.0927116	1.64226	-0.00254449	-0.12376	
-0.690447	-0.858948	-0.566003	-0.915316	
0.419021	-0.515338	0.170555	0.40017	
0.838119	1.64022	-0.287961	0.608724	
-0.298764	-0.400878	0.370446	1.57865	
-0.231314	1.06945	-0.309029	-0.351435	
0.303321	-1.0485	-0.256968	0.0955623	
0.871914	-0.586186	-0.613169	0.130394	
-0.687405	1.22506	-0.521569	1.35284	
0.577643	-1.25454	-0.005396	0.444457	
0.189012	1.55388	0.486534	-0.428739	
1.75852	-1.63369	0.175043	-0.734691	
-1.54302	0.437322	0.603328	0.757734	
-0.721747	0.754527	-1.77683	0.38147	
0.568877	-0.391962	-0.317406	0.735541	
0.0879848	1.67228	0.460063	0.291721	
-0.232771	-0.0536811	0.683049	-0.0435152	
-0.20479	-1.5149	0.0170302	-0.806169	
-0.217897	0.328973	0.227179	-0.355792	
0.470596	0.288686	0.56951	-0.295948	
0.722025	0.753158	-0.365506	-0.162241	
0.899772	0.606871	1.17555	-0.0723174	
1.60576	-0.532075	-0.151408	-0.128085	
1.37995	-1.10205	-0.103215	0.23458	
-0.142975	-0.342569	0.318806	0.718465	
0.903562	0.123365	0.726403	0.781933	
-0.603106	1.6537	0.538978	0.500982	
-1.35122	-1.20263	0.351958	0.67599	
0.469862	0.910741	-0.525907	-0.908759	
1.02041	0.668536	1.38573	0.431591	
1.59536	0.215207	-0.872667	0.758735	
-0.217735	-0.808476	-0.382437	0.457026	
-0.6381	0.177214	-0.58039	0.620941	
0.583263	-1.19548	0.363799	-1.11725	
0.277226	0.930464	-0.480687	0.23946	
-0.00361214	-1.9272	-0.36964	0.993297	
0.854476	1.00584	0.532926	0.430674	
-1.48736	-1.33889	-0.564182	1.20229	
1.19416	-1.2954	0.299129	-0.766696	
0.659922	-0.181972	0.132475	0.0383068	
-0.693821	-0.775483	-0.877616	-0.0858946	
0.714569	-0.701754	0.93159	0	
0.00893591	-0.342523	-0.159849	-1.3688	
0.240809	1.50067	0.316924	-0.118611	
0.184891	0.0835421	0.32741	-0.59182	
-1.933	-1.04626	-0.310003	0.605755	
-0.52716	-1.52516	-0.5298	-0.763606	
0.215271	-0.465724	-0.512207	-0.219311	
-0.69843	1.0092	0.502445	-0.583442	
0.258713	-0.705055	0.136118	-0.947829	
1.09246	0.20578	0.235517	-0.0688163	
-1.78486	0.596264	-0.849896	0.250573	
-0.00841782	-1.20831	0.382948	1.07161	
0.0367747	-0.950508	-0.141017	0.493583	
-0.132084	0.728853	-0.150894	-0.619061	
-0.139009	-1.23536	0.0547644	0.337997	
-0.930949	-1.76738	-1.58459	-0.2175	
1.05529	-1.56785	1.01202	-0.748334	
-0.741954	-2.0783	0.159108	0.265533	
0.0168334	-0.517497	-0.268873	0.785588	
0.717296	-0.979906	-0.0163253	0.343578	
0.0457538	0.863917	-0.608221	-0.241627	
-0.0155994	0.856638	-0.051716	-0.620048	
-1.02354	-0.694327	0.433689	0.0758768	
-0.222231	-1.86886	0.55773	0.122392	
-0.0453028	0.849861	1.26972	1.22379	
-0.325256	-0.802005	0.900869	0.596871	
0.899562	-2.15397	-1.29413	-0.235734	
