thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	
10.7931	1.77778	35.3043	3.81818	
5.51724	4.77778	44.4348	8.72727	
9.10345	4.66667	16.7826	11.5455	
7.51724	6.33333	66.8261	13.5455	
6.2069	5.88889	33.3043	6.27273	
11.7586	5.11111	28.3478	9.81818	
10.8276	5.22222	25.6087	8.45455	
13.2414	4.33333	33.7826	8.81818	
8.72414	0.444444	44.8696	9.18182	
11.1724	12.4444	14.1304	8.90909	
4.51724	5.33333	20.4348	6.72727	
8.48276	10.2222	30.6957	12.4545	
7	3.66667	34.6957	5.63636	
7.68966	10	38.7826	7	
13.9655	12	41	10.9091	
7.72414	9	35.7826	9.63636	
13.6897	2.33333	44.3043	8.45455	
5.34483	10.8889	47.8261	9.90909	
10.7931	2	26.087	8.18182	
7.31034	12.1111	39.5217	8.36364	
9.27586	11.4444	38.4348	5.45455	
10.5172	5.22222	35.1739	12.1818	
6.96552	0.555556	29	12.9091	
12.8276	4.88889	29.8261	6.72727	
13.3103	1.55556	28.6522	8.27273	
8.27586	2.44444	49.1304	10.6364	
10	4.55556	39.3478	10.9091	
6.48276	2.55556	35.4783	8.09091	
14.8621	3	37.913	11.0909	
5.58621	6.77778	33.3913	11.2727	
9.31034	2.66667	34.9565	14.4545	
17.2759	4.33333	27.2609	6.36364	
10.1034	5.55556	29.2609	12.9091	
7.58621	9.11111	51.5217	7.45455	
14.5172	6.77778	44.6522	8.63636	
7.51724	3.44444	25.2609	7.36364	
9.82759	7.33333	37.2174	9.09091	
6.06897	6.33333	36.7826	4.27273	
11.7586	8	35.8261	8.72727	
9.82759	9.77778	41.7391	6.81818	
7.58621	3.66667	28.3478	5	
7.89655	2.66667	26.5652	6.81818	
6.62069	6.22222	38.6087	13.1818	
7.58621	3.44444	39.5652	11.6364	
20.5172	1.66667	33.6087	5.63636	
13.5517	5	56.3913	7.36364	
7.55172	1.66667	29	9.09091	
7.2069	6.55556	26.2609	8	
7.96552	6.77778	33.5217	8	
14.4483	11.4444	47.1304	15.7273	
15.5172	0.333333	39.4348	12.1818	
6.96552	3.11111	40.913	4.54545	
12.2069	5.22222	41.087	9.09091	
10.3103	2.22222	31.9565	5.63636	
13.6552	4.44444	27.6522	8.09091	
5.55172	2.11111	25.3913	4.72727	
7.93103	3.11111	43.3913	6.45455	
17.1379	11	42.8696	8.45455	
11.1034	12.6667	28.5652	13.4545	
2.7931	0.555556	28.6522	10.5455	
8.58621	6.11111	40.7391	9.27273	
11.5862	10.5556	30.4348	10.9091	
8.44828	6.77778	23.087	6.81818	
8.44828	4.11111	38	13.4545	
14.4483	2.55556	26.8696	13	
13.8621	1.88889	33.7826	7.54545	
10.3793	0.777778	19.2609	7.27273	
9.17241	1.22222	31.2609	3.54545	
6.06897	1.88889	31.5652	8.90909	
7.06897	9.33333	26	8.72727	
7.17241	10.8889	34.8261	6.27273	
3.82759	2.55556	37.1739	14.1818	
9.03448	2.33333	37.8696	9.18182	
6.68966	12.3333	48.2609	6.54545	
3.51724	6.33333	44.5652	6.27273	
8.65517	8.11111	37.5652	7.18182	
3.34483	3	39	11.3636	
6.96552	2.88889	37.5217	7.36364	
8.10345	6	32.2174	10	
7.03448	3.77778	35.3913	4.45455	
11.1034	17.1111	24.8261	10.0909	
16.7931	6.44444	42.8261	8.09091	
13.4138	4.77778	37.2174	8.18182	
11.7241	1.66667	30.6957	9.09091	
10.6897	0.666667	35.3043	11.0909	
7.44828	1.55556	41.3913	11	
13.8621	3	34.4783	5.81818	
15.3793	1.88889	36.4348	7.90909	
8.03448	5.33333	36.6087	9.72727	
6.72414	4.77778	27.6087	14.1818	
5.27586	8.11111	34.8696	6.09091	
3.62069	2.55556	26.6522	5.90909	
9.86207	1.88889	36.1304	7.18182	
5.7931	4	35.913	4.45455	
12.2069	3.77778	24.1304	6.45455	
8.10345	5.33333	25.5217	5.45455	
7.58621	3.66667	34.913	7	
9.82759	3.33333	20.7826	6.45455	
11.5172	7.11111	36.1739	10.9091	
6.2069	3.44444	34.5217	7	
8.89655	2.77778	26.4348	15.1818	
4.75862	6.88889	23.7391	9.54545	
11.5172	1.77778	34	8.63636	
9.24138	11.8889	37.0435	7.81818	
11.6207	14.1111	34.0435	11.2727	
13.5172	2.66667	44.1304	5.72727	
19.5862	7.55556	24.913	10.1818	
4.48276	4.33333	35.9565	10.2727	
9.62069	2.55556	34.1739	5.36364	
10.5862	1.77778	33.1304	11.1818	
12.1379	1.66667	18.913	6.90909	
12.2414	8.88889	21	6.72727	
7.24138	6.66667	32.8261	11.8182	
10.5172	3.33333	45.2609	9.09091	
9.96552	5.33333	35.087	7.63636	
4.17241	4.77778	47.3043	8.81818	
7.58621	3	31.6087	5.09091	
7.24138	2.22222	29.6957	8.36364	
10.0345	6.33333	39.1304	6.81818	
23.9655	2	42.8696	11.3636	
8	4	34.6957	8.09091	
8.48276	4.44444	43.1304	7.18182	
7.72414	3.11111	38	4	
10.1724	7.44444	36.8261	8.81818	
15.6207	14.1111	33.8261	8.72727	
16.3793	3	32.3913	7.90909	
14.3448	4.77778	38.5217	12.7273	
9.44828	5.11111	29.2174	7.81818	
8.34483	4.11111	43.7391	6.54545	
5.86207	7.22222	43.5217	10.3636	
4.65517	3.77778	34.6087	7.54545	
13.4828	3.66667	22.2609	8.63636	
11.8966	1.44444	45.3478	4.81818	
11.2414	6	37	5.81818	
5.31034	4.44444	55.4348	12	
6.82759	5.55556	34.8696	7.90909	
13	3.44444	43.8261	5.90909	
9.55172	11.4444	44.6522	12.0909	
9.03448	6.22222	34.3913	10.9091	
4.68966	5.55556	44.6087	8.27273	
3.72414	3.22222	36.2174	7.90909	
4.34483	9.55556	48.3043	11.0909	
11.6207	8.55556	32	6.81818	
13.4138	3	28.7826	5.63636	
18.3448	3.88889	28.7826	9.27273	
13.3103	3.33333	26.913	4	
9.62069	6.66667	27.6522	10.8182	
10.3103	4.66667	45.8696	9.72727	
9.44828	5.22222	30.2609	11	
10.2069	6.33333	36.3913	5.09091	
6.27586	4.77778	25.9565	5.81818	
6.48276	2.33333	34.8696	7.27273	
13.7931	4.88889	40.3913	7.90909	
10.6552	2.66667	37.2609	8.63636	
10.1724	5.22222	22.8261	11.3636	
13.3103	2.22222	39.1304	10.1818	
11.1379	2	43.3913	13.3636	
9.13793	5.88889	26.3478	10.1818	
6.41379	3.22222	37.9565	11	
11.4828	1.66667	39.1739	8.90909	
12.5172	1.77778	32.1304	6.81818	
9.58621	1	30.4348	6.81818	
12.2759	4.55556	24.2174	9.63636	
18.1724	2.11111	42.8696	6.18182	
8.7931	6	33.2174	8.90909	
8.72414	3.44444	37.087	7.36364	
6.44828	2.66667	31.7391	10.6364	
7.72414	1.22222	28.8696	9.36364	
14.7586	9.33333	50.4783	7.45455	
15.1034	3.11111	30.3478	4.72727	
15.4483	4	21.4783	8	
13.4828	1.66667	22.5652	8.63636	
6.41379	6.55556	27.2609	7.36364	
5.55172	1.11111	48.2609	10.1818	
8.68966	4.66667	37	9.45455	
15.7241	1.22222	26.2174	8.54545	
5.27586	0.888889	42.5217	10.2727	
14.2759	2.77778	23.1739	7.54545	
10.5517	8.66667	38.6087	10.2727	
7.27586	3.22222	47.2174	12.4545	
11.4828	13.4444	40.1739	9.63636	
9.13793	0.888889	36.1739	13.5455	
11.2759	2.11111	34.7826	7.72727	
8.13793	11.6667	26.0435	7.36364	
10.2069	10.1111	20.0435	9.27273	
9.72414	4.44444	38.2609	4.63636	
7.65517	3.66667	44.2609	5.45455	
10.6897	3.88889	46.2609	9.72727	
13.069	3.77778	35.8261	6.09091	
10.7241	6.11111	33.8696	10	
6.17241	2.22222	30.5652	11.4545	
6.68966	1.88889	49.6087	7.81818	
10.8621	8.22222	38.3043	4.27273	
11.6207	4.11111	34.3478	8.18182	
11.4828	2.44444	36.6087	14.8182	
17.5172	1.77778	24.5652	7.18182	
10.0345	3.11111	50.0435	7.36364	
11.5517	6.11111	34.5652	8.27273	
10.5862	2.55556	39.5217	7.54545	
8.41379	11.6667	35.7391	15	
7.89655	11	36.087	7.45455	
8.96552	2.77778	51.2174	11.2727	
3.89655	3.77778	43.913	7.63636	
10.0345	2.55556	28.8261	6.09091	
14.6552	8.55556	48.6957	8.27273	
15.2069	10.7778	43.4783	9.36364	
7.65517	1.66667	25.087	4.18182	
12.3793	7.44444	26	7.54545	
3.34483	5.33333	28.9565	6	
8.58621	6.44444	29.2609	12.0909	
13.1724	8.55556	33.2609	6.54545	
7.65517	7.11111	32.3913	9.63636	
11.5862	3.44444	28.8261	11.5455	
3.24138	1.66667	45.6522	6	
11.3103	2.77778	33.6087	5.09091	
11.5172	10.5556	27.8261	10.1818	
14.5517	3.88889	41.3478	7.45455	
7.75862	8.88889	33.4783	9.27273	
4.10345	3.88889	41.4783	6	
3.03448	0.444444	34	11.2727	
5.65517	0.666667	30.3913	5.36364	
11.8621	9.22222	29.087	7.63636	
8	5.22222	39.1739	10.0909	
14.069	7.66667	25.8696	8.18182	
7.03448	4.22222	32.2609	5.72727	
2.89655	2.44444	32.1304	10.9091	
7.31034	4.33333	34.2174	5	
11.2069	3.44444	26.087	7.90909	
4.31034	3.22222	26.913	8.45455	
4.82759	4.88889	40.4783	8.81818	
9.2069	4.11111	34.6957	6.54545	
8.17241	5.77778	20.5652	10.0909	
12.4483	1.66667	37.6957	8.63636	
5.10345	3.44444	23.0435	9.63636	
10.931	5.22222	29.4348	5.27273	
6.37931	3	37.1304	8.36364	
10.931	1.11111	33.8696	11.5455	
