FD[0]	FD[1]	FD[2]	FD[3]	
1.11247	-0.527135	0.254876	-0.710013	
-1.4895	-0.214561	0.0248166	-0.247211	
-1.23198	-0.737818	-1.28624	0.389783	
0.0696589	-0.242105	1.40034	-0.221091	
-0.0441423	0.222544	0.12885	-0.0123663	
-0.7913	0.222544	0.319715	-0.405188	
0.546535	-0.430895	-0.593709	0.0557881	
-0.186038	0.685506	-0.33894	0.637489	
-0.502114	-1.02115	0.233943	-0.818185	
-0.331259	1.90078	-1.80504	-0.247211	
0.163866	1.23556	-1.07567	-0.181016	
-0.302187	1.24992	0.959036	0.260967	
-0.0376994	-0.563979	0.446757	0.0987753	
-0.612226	-0.7238	-0.227528	0.325368	
-0.355495	1.353	-0.0587383	0.516404	
-1.45537	-1.09112	-0.262503	-0.591733	
0.910319	0.89293	0.693549	-0.860003	
-0.160526	1.03578	0.43049	-0.573307	
-0.424208	-0.642262	-0.0778493	0.657484	
0.351763	1.14442	-0.339973	-0.7425	
0.125965	1.73561	-0.479455	0.28841	
1.03833	1.34402	-0.0651753	0.518939	
-1.03222	-2.49458	0.038461	0.12932	
0.0202235	0.894339	0.665801	0.25136	
0.91809	0.0657083	-0.0694582	-0.10362	
0.291545	-1.13712	0.572952	0.049735	
0.460384	0.59637	0.605024	-0.300485	
0.841113	0.453642	-0.457152	-0.0121408	
0.0202235	-0.475537	-0.799518	-0.591733	
-1.92488	0.685506	-1.06272	1.19634	
-0.728236	-0.642262	-0.0908671	0.952344	
0.413132	-0.525108	-1.07154	-0.970106	
0.603362	1.74078	0.385298	-0.237069	
1.18503	-0.532669	0.693549	-0.434208	
0.207796	0.329353	0.502874	-0.64814	
0.0185771	-0.910647	-0.403006	-0.490135	
1.37978	0.764818	0.839728	-0.544608	
0.418418	0.764818	1.21367	-0.490135	
0.440382	1.24992	0.580493	0.318855	
1.30433	-0.407028	-0.383431	-1.4139	
-0.800932	0.222544	1.05327	-1.29675	
0.33876	-0.675841	-0.459994	-0.64814	
-1.10646	1.31938	0.395255	-0.410249	
-0.160526	1.00159	-1.06304	0.373315	
1.1719	0.592226	-0.547959	0.39382	
0.867554	-0.898933	-0.151855	-0.482057	
