ZnA[0]	thetaWatt[0]	ThetaTaj[0]	Rm[0]	
0.321895	0.7945	1.47333	1	
na	0.264833	0.22	0	
na	0	0	0	
na	0.264833	0.5	0	
0.192127	1.32417	1.68	1	
na	0.264833	0.08	0	
1	0.529667	0.16	0	
0.0129476	0.529667	0.606667	1	
0.110872	1.05933	1.59333	1	
0.00173611	0.529667	0.16	0	
na	0.264833	0.48	0	
1	0.529667	0.666667	0	
na	0	0	0	
0.456522	0.529667	0.433333	0	
na	0	0	0	
0.122807	0.529667	0.8	0	
0.00173611	0.7945	0.24	0	
0.305556	0.529667	0.3	0	
0.125874	0.529667	0.74	0	
0.334669	1.05933	1.39333	0	
0.295268	0.7945	0.913333	1	
0.0540748	0.7945	0.613333	0	
na	0.264833	0.153333	0	
0.0530303	0.529667	0.64	0	
na	0.264833	0.28	0	
na	0	0	0	
na	0	0	0	
0.0196078	0.529667	0.533333	0	
0.0625	0.529667	0.58	0	
0.107143	0.529667	0.92	1	
na	0.264833	0.153333	0	
na	0.264833	0.333333	0	
0.074793	0.529667	0.433333	1	
0.0482955	0.7945	0.8	0	
0.0118577	0.529667	0.373333	0	
0.217601	1.05933	0.68	0	
na	0.264833	0.453333	0	
0.147727	0.529667	0.74	0	
0.130435	0.529667	0.653333	0	
na	0.264833	0.38	0	
na	0.264833	0.453333	0	
1	0.529667	0.96	0	
0.502841	0.7945	0.52	0	
0.389234	0.7945	0.766667	0	
0.00173611	0.529667	0.16	0	
na	0	0	0	
0.21875	0.7945	0.68	0	
1	0.529667	0.906667	0	
0.14702	0.7945	0.953333	1	
0.456522	0.529667	0.433333	0	
0.0530303	0.529667	0.593333	0	
na	0.264833	0.153333	0	
0.0591167	0.7945	0.82	0	
0.444444	0.529667	0.813333	0	
0.765625	0.7945	1.12	0	
na	0.264833	0.08	0	
na	0.264833	0.08	0	
0.862637	0.7945	1.55333	0	
na	0	0	0	
na	0	0	0	
0.00362319	0.529667	0.233333	0	
0.100791	1.32417	1.19333	0	
0.130639	0.7945	0.973333	0	
0.122703	1.589	1.23333	0	
na	0	0	0	
0.015687	0.7945	0.84	0	
0.561404	0.7945	1.18	0	
0.154589	0.529667	0.633333	0	
0.0471531	1.32417	1.26	0	
na	0.264833	0.22	0	
na	0.264833	0.28	0	
na	0.264833	0.08	0	
na	0	0	0	
0.00362319	0.529667	0.233333	0	
na	0	0	0	
na	0.264833	0.22	0	
1	0.529667	0.16	0	
na	0.264833	0.153333	0	
na	0	0	0	
na	0.264833	0.28	0	
na	0.264833	0.08	0	
na	0.264833	0.08	0	
0.0384615	0.529667	0.6	0	
na	0.264833	0.08	0	
0.0384615	0.7945	0.68	0	
0.28267	0.7945	1.00667	0	
na	0.264833	0.153333	0	
0.434389	0.529667	0.973333	0	
na	0	0	0	
na	0	0	0	
na	0	0	0	
0.057971	0.529667	0.653333	0	
na	0.264833	0.28	0	
na	0.264833	0.42	0	
na	0.264833	0.153333	0	
0.0885417	0.529667	0.533333	0	
0.00173611	0.529667	0.16	0	
0.21875	0.529667	0.36	0	
na	0	0	0	
na	0.264833	0.22	0	
0.0207507	1.05933	1.17333	0	
na	0	0	0	
0.0210551	1.32417	1.17333	1	
na	0.264833	0.22	0	
na	0.264833	0.38	0	
na	0.264833	0.38	0	
0.00793651	0.529667	0.36	0	
0.0306713	1.05933	0.74	0	
0.603175	0.529667	0.66	0	
na	0.264833	0.08	0	
na	0.264833	0.48	0	
0.00769336	1.05933	0.693333	0	
na	0	0	0	
0.126741	1.32417	1.86	1	
0.60593	0.7945	1.38	1	
0.00568182	0.529667	0.3	0	
na	0.264833	0.08	0	
na	0.264833	0.42	0	
na	0.264833	0.453333	0	
0.289773	0.529667	0.673333	0	
0.317417	1.05933	0.666667	0	
0.152422	1.05933	1.38	1	
na	0	0	0	
na	0.264833	0.5	0	
na	0.264833	0.42	0	
na	0.264833	0.333333	0	
0.100535	0.7945	0.94	0	
0.0243271	1.05933	0.846667	0	
0.00568182	0.529667	0.3	0	
0.148607	0.529667	0.833333	0	
0.110672	0.7945	0.873333	0	
na	0.264833	0.38	0	
na	0.264833	0.08	0	
0.0559712	0.7945	1.18	1	
0.00173611	0.529667	0.16	0	
na	0	0	0	
0.175824	0.529667	0.8	0	
1	0.529667	1.04	0	
0.00362319	0.529667	0.233333	0	
na	0.264833	0.153333	0	
0.0625	0.529667	0.58	0	
0.489796	0.529667	0.7	0	
0.117552	0.7945	1.31333	2	
na	0.264833	0.153333	0	
0.183427	0.7945	0.72	0	
1	0.7945	1.56	0	
0.123589	0.7945	1.09333	0	
0.048913	0.529667	0.633333	0	
na	0.264833	0.453333	0	
0.351789	0.7945	1.15333	0	
na	0.264833	0.08	0	
0.154589	0.529667	0.633333	0	
0.00173611	0.529667	0.16	0	
na	0.264833	0.153333	0	
0.537037	0.7945	0.64	0	
na	0.264833	0.08	0	
0.048913	0.529667	0.633333	0	
na	0.264833	0.513333	0	
na	0	0	0	
na	0	0	0	
0.0104167	0.529667	0.413333	0	
0.512987	0.7945	0.78	0	
na	0.264833	0.28	0	
0.402282	1.05933	1.44	0	
na	0	0	0	
na	0	0	0	
0.880952	0.7945	0.946667	0	
na	0.264833	0.513333	0	
na	0.264833	0.08	0	
na	0	0	0	
0.0217391	0.529667	0.486667	0	
na	0	0	0	
0.13402	1.05933	1.21333	0	
1	0.529667	1.02667	0	
0.026864	0.529667	0.86	1	
na	0.264833	0.333333	0	
0.053157	1.05933	1.22667	1	
0.161509	1.05933	0.393333	0	
0.0384615	0.529667	0.6	0	
0.479167	0.529667	0.233333	0	
0.0292308	1.05933	1	1	
0.010672	0.7945	0.613333	0	
na	0.264833	0.333333	0	
0.0716374	0.529667	0.88	1	
0.0104167	0.529667	0.413333	0	
na	0	0	0	
0.405247	1.589	0.753333	0	
na	0.264833	0.333333	0	
na	0	0	0	
0.342105	1.05933	0.92	0	
0.147727	0.7945	0.94	0	
0.246934	0.7945	1.12	1	
na	0	0	0	
na	0	0	0	
0.275362	0.529667	0.533333	0	
0.243364	0.7945	0.386667	0	
0.0953947	0.7945	0.94	0	
0.235918	1.589	1.42667	0	
0.0118577	0.529667	0.373333	0	
0.0362812	0.529667	0.56	0	
0.0364583	0.7945	0.746667	0	
0.138544	1.05933	1.36	0	
na	0	0	0	
0.334491	1.05933	0.32	0	
0.553571	0.7945	1.04	0	
na	0.264833	0.08	0	
0.0104167	0.529667	0.413333	0	
