S[0]	S[1]	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
10	5	
