B[0]	B[1]	B[2]	B[3]	
0.102041	0.235294	0.255319	0.105263	
0.325581	0.285714	0.211538	0.0384615	
0.230769	0.375	0.151515	0.173913	
0.0487805	0.333333	0.236641	0.117647	
0.108108	0.25	0.13913	0.1	
0.119048	0	0.16129	0.0333333	
0.0322581	0.368421	0.176471	0.222222	
0.0810811	0.125	0.182692	0.0384615	
0.148148	0.5	0.153153	0.130435	
0.131579	0	0.229167	0	
0.025	0.222222	0.125	0.185185	
0.1	0.222222	0.158416	0.173913	
0.218182	0	0.157143	0.269231	
0.0222222	0.166667	0.0803571	0.09375	
0.0851064	0.0666667	0.149123	0.157895	
0.289474	0.647059	0.258621	0.0952381	
0.191489	0.2	0.169014	0.0588235	
0.185185	0.111111	0.172662	0.0833333	
0.0645161	0.473684	0.179688	0.15625	
0.322581	0.142857	0.203252	0	
0.0967742	0	0.282759	0.12	
0.155556	0	0.213793	0.0888889	
0.0731707	0.125	0.15625	0.269231	
0.159091	0	0.161491	0.08	
0	0.25	0.0822785	0.166667	
0.175	0.444444	0.246753	0.3	
0.037037	0	0.130769	0.0555556	
0.0952381	0.333333	0.0642202	0.102041	
0.0869565	0	0.172131	0.117647	
0.219512	0.555556	0.2	0.285714	
0.04	0	0.0909091	0.0740741	
0.320755	0.631579	0.115044	0.135135	
0.0967742	0.35	0.248175	0.0555556	
0.162162	0.333333	0.235294	0.214286	
0.0416667	0.125	0.137405	0.285714	
0.0909091	0.142857	0.128205	0.257143	
0.037037	0.4	0.169811	0.107143	
0.333333	0.166667	0.0652174	0.0588235	
0.0689655	0.6	0.193277	0.15	
0.0588235	0	0.114035	0.153846	
0	0	0.0952381	0	
0.240741	0.272727	0.244604	0.176471	
0.25	0	0.17037	0.105263	
0.108108	0.166667	0.141791	0.277778	
0.0851064	0.4	0.166667	0.190476	
0	0.2	0.244275	0.2	
0.135135	0.3	0.118056	0.0416667	
0.111111	0.125	0.212121	0.2	
0.117647	0.25	0.256	0.227273	
0.153846	0	0.125984	0	
0.257576	0.222222	0.0991736	0.09375	
0.1875	0.6	0.138462	0.173913	
0.0740741	0.2	0.1	0.2	
0.3	0.653846	0.145161	0.173913	
0.1	0.2	0.147651	0.148148	
0	0.285714	0.189394	0.214286	
0.2	0.25	0.198529	0.176471	
0.1875	0.333333	0.15625	0.04	
0.108696	0.25	0.25	0.117647	
0.075	0	0.0380952	0.04	
0.106383	0.473684	0.0633803	0.0740741	
0.157895	0.230769	0.117021	0.25	
0.178571	0.294118	0.120301	0.125	
0.205882	0.444444	0.123457	0.0869565	
0.24	0.333333	0.219697	0.0833333	
0.0232558	0.333333	0.131944	0.3	
0.0606061	0.357143	0.0909091	0.137931	
0.121212	0.333333	0.0862069	0.133333	
0.131579	0.48	0.167939	0.25	
0.148936	0.117647	0.221239	0.16	
0.09375	0.25	0.208333	0.294118	
0.275	0.257143	0.141791	0.186047	
0	0	0.24375	0.0833333	
0.133333	0.285714	0.154321	0	
0.255319	0.5	0.0903614	0.0952381	
0.186047	0.1	0.117021	0.190476	
0.04	0	0.217391	0.15625	
0.1	0.375	0.228261	0.130435	
0.133333	0.333333	0.12	0.111111	
0.115385	0.230769	0.174194	0.0952381	
0.16129	0.545455	0.173077	0.147059	
0.131148	0.272727	0.25	0	
0.3	0.210526	0.237569	0.227273	
0.0769231	0.333333	0.192593	0.133333	
0.108108	0.181818	0.155556	0.1	
0.16	0.111111	0.121739	0.117647	
0.03125	0.764706	0.121739	0.2	
0.0277778	0.142857	0.10625	0.0869565	
0.0357143	0.142857	0.151724	0.117647	
0.115385	0.25	0.247788	0.0769231	
