ThetaTaj[0]	ThetaTaj[1]	ThetaTaj[2]	ThetaTaj[3]	
14.7057	5.71111	39.3804	4.63636	
12.7839	3.15556	33.5507	8.0303	
11.6828	6.22222	35.5906	8.80303	
10.0598	3.06667	33.221	5.84848	
7.84368	6.62222	30.2609	6.59091	
8.25747	0.4	30.8442	10.0606	
6.01379	7.82222	36.4565	5.06061	
7.95172	6.2	28.308	9.45455	
3.75402	1.73333	31.2971	8	
11.223	2.06667	31.2826	7.54545	
5.34023	3.75556	31.3732	9.40909	
12.9701	2.26667	29.308	9.81818	
19.6184	0.822222	40.6196	9.93939	
13.469	4.62222	29.8007	10.3182	
9.42299	4.97778	26.8659	6.37879	
10.0782	8.75556	27.3478	8.12121	
12.1333	4.13333	43.6667	6.62121	
6.35862	3.02222	39.2101	7.81818	
9.89885	8.97778	25.4022	12.697	
10.4161	4.26667	26.837	8.75758	
6.14253	3.02222	47.5362	7.65152	
8.51954	3.6	46.6159	16.8636	
9.46667	3.62222	32.721	9.09091	
14.377	1.88889	48.0833	7.09091	
9.01379	4.17778	41.192	7.89394	
9.14483	2.93333	44.9964	7.0303	
5.64828	1.51111	36.6159	5.28788	
11.954	5.91111	25.3949	13.4242	
10.8667	1.95556	30.8949	6.54545	
10.4437	3.66667	43.3406	6.16667	
4.10345	4.95556	36.9783	11.1818	
18.0391	10.2222	32.8804	13.8485	
8.50115	6.88889	43.4493	6.36364	
10.1149	2.46667	38.7754	3.24242	
6.50575	6.35556	35.7826	8.07576	
11.6207	3.6	31.7283	12.2121	
6.15862	5.15556	32.8623	9.09091	
7.24598	2.42222	38.8696	6.21212	
7.93103	3.51111	34.3804	6.21212	
6.83678	1.93333	36.1304	8.25758	
5.25747	0.755556	32.6558	3.90909	
16.2207	5.93333	44.9783	11.2121	
4.53103	2.53333	35.5833	5.21212	
8.43908	1.97778	38.9312	5.87879	
10.7126	2.35556	44.5	8.42424	
4.88736	2.08889	37.1304	7.0303	
7.70805	5	37.3804	7.86364	
8.11034	2.37778	37.0254	2.48485	
13.1471	4.55556	41.0435	8.33333	
16.5931	2.35556	38.087	5.48485	
22.0621	3.93333	32.4239	9.5	
9.94023	5.84444	33.4348	7.93939	
7.73103	7.51111	26.5616	7.24242	
11.4437	11.6889	39.0688	7.13636	
7.41149	3.91111	42.3514	9.16667	
6.14023	2.93333	36.9022	10.2727	
12.3724	3.64444	28.2609	4.28788	
6.88966	1.77778	48.5761	6.93939	
9.23678	2.48889	34.558	6.68182	
12.6644	3.31111	24.8804	8.07576	
11.4207	17.1333	33.3297	10.2576	
9.05747	4.37778	23.3188	10.0606	
9.03448	6.53333	33.221	8.87879	
8.83908	5.84444	43.5399	8.07576	
15.931	9.08889	37.4565	8	
13.023	3	39.2717	7.27273	
7.3931	11.4667	26.779	9.59091	
9.77931	3.13333	26.9493	9.98485	
5.97931	11.6222	41.3949	6.83333	
15.0069	6	25.5254	7.33333	
9.66667	1	39.4493	6.69697	
13.2782	14.0667	30.1232	13.3636	
9.90805	1.73333	48.1993	6.98485	
10.1011	2.8	46.1196	7.10606	
12.9885	1.26667	44.8043	7.93939	
7.34023	2.97778	25.5543	5.5303	
5.54253	1.28889	45.5181	11.4848	
12.5609	3.66667	44.7935	7.4697	
9.06897	6.48889	34.2464	12.303	
12.8759	6.46667	47.3333	7.04545	
9.81839	8.44444	45.5543	13.8636	
15.7632	5.42222	38.4928	4.65152	
12.9609	8.57778	52.8804	6.78788	
5.97701	6.8	37.6123	11.7424	
10.8897	3.88889	44.7645	4.90909	
14.4046	3.33333	26.2246	4.78788	
8.65287	3.6	31.1341	9.5303	
6.43678	3.08889	42.2609	7.59091	
14.0138	4.08889	41.7645	6.5	
5.47356	4.84444	25.9601	7.95455	
16.0529	4.8	21.5688	9.92424	
6.98391	2.26667	26.7283	7.92424	
6.54943	3.66667	26.3442	8.62121	
10.092	1.42222	27.8297	7	
5.95172	9.15556	40.2246	9.81818	
8.6	1.26667	35.6377	8.15152	
11.0736	2.4	30.9565	5.06061	
11.954	3.68889	39.1087	10.4394	
10.6483	4.04444	35.8261	7.63636	
9.84138	1.73333	39.2464	6.9697	
9.9954	1.95556	30.7283	8.07576	
19.1655	1.15556	36.2428	4.15152	
5.18621	5.33333	27.1123	7.93939	
7.93793	4.11111	35.1341	5.66667	
4.03448	2.2	42.8007	6.40909	
10.0483	1.26667	43.9022	10.0152	
11.6552	13.2	55.2101	8.09091	
5.26667	10.3778	34.9348	3.25758	
11.7195	3.62222	32.8587	5.93939	
4.46437	4.75556	26.692	8.87879	
6.36552	5.77778	32.9275	4.69697	
7.1931	6	25.3188	11.2576	
4.43448	5.77778	21.2029	11.0758	
10.7816	6.08889	35.1341	6.56061	
12.3172	3.66667	26.942	7.42424	
6.29195	6.75556	40.2754	6.45455	
15.3241	14.8222	25.7935	7.78788	
7.6069	4.24444	27.0254	7.66667	
8.94943	0.755556	30.5543	10.0606	
4.61149	1.93333	27.4928	6.45455	
4.1954	3.73333	34.2717	8.78788	
5.52874	6.53333	28.6522	6.19697	
2.87126	4.22222	26.9275	8.90909	
6.07816	1.57778	36.25	7.60606	
13.5494	7.84444	21.8949	7.4697	
6.04598	4.2	37.5507	8.37879	
13.246	1.33333	28.1304	6.89394	
8.15172	2.4	39.4384	8.68182	
5.30345	2	41.5616	7.04545	
7.22759	8.17778	34.1014	7.48485	
13.7034	3.62222	35.913	10.5455	
13.2644	1.77778	34.8225	13.0758	
4.89195	2.75556	32.7935	12.2273	
12.8529	2	40.7283	7.27273	
8.70805	4.37778	29.5797	4.28788	
12.669	3.48889	23.1486	6.25758	
8.53103	6.51111	38.5652	8.93939	
4.4046	3.22222	38.0906	6.31818	
14.1862	2.55556	33.4022	8.24242	
10.7103	16.5556	35.2899	10.1364	
12.0092	0.2	28.3841	9.31818	
12.0897	11.4222	45.6232	10.6515	
12.0828	2.88889	28.7717	10.6212	
11.2805	4.71111	30.442	4.95455	
8.06207	1.75556	30.4239	7.80303	
7.51034	4.86667	22.9348	7.09091	
3.58851	4.17778	32.6304	7.93939	
10.8736	4.6	42	5.25758	
20.1931	7.35556	25.3768	11.6818	
12.8851	13.7778	29.0036	11.4091	
9.07586	5.66667	36.5978	6.33333	
10.9655	2.86667	38.1486	5.83333	
6.36782	7.2	38.4094	11.3939	
9.62759	2.46667	58.2138	7.25758	
15.777	5.26667	18.8696	9.30303	
8.55862	4.51111	32.1196	3.89394	
8.41149	2.22222	32.6413	6.5303	
10.2874	5.66667	46.3478	9.33333	
6.84368	5.84444	39.7935	6.89394	
9.92874	1.53333	44.0942	5.24242	
6.4092	3.37778	33.8297	6.40909	
6.77701	2.75556	29.913	12.2121	
10.2897	6.33333	34.8913	5.4697	
7.29655	1.51111	28.4529	7.09091	
10.9839	13.8	27.9493	6.75758	
7.31954	3.71111	43.9891	6.06061	
10.0805	3.55556	32.8514	7.31818	
8.26207	6.73333	28.6739	10.4091	
12.0023	4.91111	56.7681	9.92424	
11.3747	3.28889	30.5543	6.0303	
15.2115	6.82222	36.8152	5.33333	
5.69885	3.66667	26.5072	10.0909	
7.11494	4.71111	37.8442	7.5303	
11.4322	3.2	40.6268	8.07576	
7.17011	3	30.1196	8.65152	
17.0644	4.11111	27.0652	8.33333	
11.6897	6.22222	24.0688	9.63636	
12.0138	7.22222	54.5435	4.4697	
4.41839	2.57778	36.5109	10.0758	
12.0943	4.46667	25.0036	6.98485	
5.3954	14.2444	23.4094	11.2424	
11.3793	6.24444	34.2935	10.2879	
14.7471	6.51111	31.7899	9.07576	
7.33563	4.95556	37.6884	7.24242	
9.06207	2.57778	39.1014	10.303	
8.17471	1.68889	35.7572	11.8485	
14.9885	6.86667	34.8297	4.92424	
12.3908	3.46667	34.7609	13.0758	
7.25057	2.84444	36.0688	6.63636	
6.78851	4.77778	39.4928	11.4848	
7.05287	8.75556	34.308	8.34848	
9.46897	8.91111	51.5652	9.21212	
8.87356	3.84444	32.5109	6.83333	
10.0069	7.35556	27.9601	9.28788	
11.4391	13.0222	40.7826	10.7879	
10.0598	5.8	30.1486	7.66667	
7.98391	7.86667	42.4746	7.45455	
8.77011	2.48889	44.7899	7.30303	
6.67356	2.06667	27.0725	10.4394	
7.15402	6.77778	23.1341	12.7424	
8.53563	8.51111	35.5942	8.78788	
8.62989	5.15556	47.3442	8.07576	
9.26207	1.68889	44.7935	6.71212	
13.2828	5.04444	27.913	6.40909	
12.846	5.55556	43.1413	13.2424	
10.1195	3.24444	39.6449	10.3939	
10.3839	2.37778	40.2065	10.1212	
11.1862	8.6	29.6522	7.68182	
12.3977	5.51111	23.6377	9.80303	
6.07586	3.17778	30.7355	11.2273	
2.5954	4.55556	22.5942	9.95455	
4.70575	5.73333	31.7717	8.90909	
8.21839	2.53333	29.2355	8.59091	
7.09655	3.26667	42.3949	7.71212	
18.7839	3.24444	28.6087	11.7879	
5.44598	5.42222	35.2391	5.4697	
5.82299	6.46667	21.8986	6.63636	
9.02069	3.86667	35.7391	5.81818	
13.223	5.37778	31.3007	7.34848	
12.4759	11.7556	30.2391	7.84848	
10.2092	3.28889	44.8116	9.62121	
7.83448	5.95556	35.6014	7.89394	
10.3931	2.13333	41.1522	9.18182	
7.55402	4.66667	41.3297	9.83333	
8.23678	6.57778	33.9891	8.0303	
4.31264	7.46667	25.2681	8.30303	
8.34943	5.15556	39.7609	7.51515	
5.34483	2.82222	40.9022	10.197	
6.23218	2.71111	43.4312	8.56061	
12.6575	1.46667	25.7101	10.5758	
6.34943	3.02222	35.0217	6.33333	
17.5195	7.97778	37.9565	13.8636	
10.4644	3.68889	35.279	4.4697	
10.8506	2.35556	35.25	7.95455	
8.71034	3.73333	45.6703	6.93939	
12.1563	7.26667	48.087	13.0455	
12.9356	6.08889	35.413	3.43939	
7.29655	3.04444	30.3551	9	
6.2092	3.48889	40.7536	7.12121	
4.8069	3.42222	38.8333	6.81818	
8.28276	4.22222	28.0109	8.21212	
20.8368	3.35556	21.2899	6.90909	
5.3931	3.06667	29.8007	11.197	
7.45747	3.42222	48.3768	5.51515	
8.06667	2.73333	42.2754	10.4242	
12.4483	9.08889	31.2428	9.98485	
12.2897	6.33333	35.0254	11.5152	
10.8322	4.06667	27.5797	8.72727	
7.83218	1.66667	29.2355	5.83333	
10.1425	6.84444	46.6304	10.1515	
8.77471	7.82222	26.0725	8.78788	
10.623	8.66667	38.4493	8.10606	
13.1264	3.8	29.75	6.0303	
9.65287	4.68889	33.9674	7.19697	
14.7701	6.06667	26.2355	7.57576	
11.3149	8.13333	31.7283	12.5606	
7.89885	5.08889	16.4312	7.10606	
17.4989	4.13333	45.0181	13.0909	
7.09885	4.55556	35.2862	9.37879	
10.7379	3.84444	43.6957	10.1667	
10.5862	5.02222	28.3768	5.80303	
10.131	6.51111	24.4891	9.21212	
16.0069	6.8	29.8152	9.48485	
16.0437	1.2	39.3442	14.4242	
10.2759	8.93333	33.8841	6.5303	
6.08966	4.57778	46.2862	10.3636	
7.53563	4.46667	39.3804	4.4697	
14.2161	5.35556	31.5688	7.59091	
11.1655	1.64444	28.3225	5.30303	
10.3103	11.7333	20.5725	9.90909	
10.4023	3.42222	30.3333	7.4697	
11.8299	3.06667	34.7826	6.77273	
8.82299	2.02222	33.5942	10.7576	
16.1724	5.8	32.0543	8.13636	
7.74943	3.37778	34.2283	6.69697	
16.446	4.4	37.6123	9.86364	
6.57701	3.11111	38.5471	10.303	
7.68276	3.6	32.1486	12.2424	
9.27356	6.97778	32.4275	10.5	
12.1425	1.95556	33.5254	7.04545	
8.45977	4.33333	21.8732	5.74242	
