FDn[0]	FDn[1]	FDn[2]	FDn[3]	
-0.372505	0.540395	-1.44582	-1.20897	
0.620861	0.962078	-0.75129	-0.700815	
-0.0621449	0.0152291	0.245215	0.484566	
-1.15597	-1.03681	-0.0891136	-0.353861	
-0.73197	-1.0008	-0.758747	-0.43937	
-0.0778101	0.724203	-0.0788061	-0.477136	
0.605715	-1.24341	-0.103941	0.22457	
1.17277	0.893625	0.411623	0.298921	
0.158556	-1.66769	-0.152498	0.0369688	
1.02009	0.686445	0.453427	-0.057839	
0.23413	1.23914	-0.747592	0.624616	
-0.134459	0.224955	-1.17109	-0.693575	
-1.15597	0.855836	0.15196	-0.528078	
-0.0292123	-0.174199	0.406846	-0.057839	
-0.228651	0.799241	-0.485502	-0.076645	
0.518118	1.05395	-0.281294	0.599985	
-1.33779	0.96117	-0.480313	-0.600421	
0.488763	-1.35225	0.319954	0.730464	
-0.552632	0.35378	-0.4891	-0.427723	
0.0322094	-1.93522	0.720964	-0.43937	
0.404375	-0.534832	-0.623984	-0.686148	
0.882753	-1.45575	-0.445364	0.355913	
0.121491	0.203685	0.062078	-1.21783	
0.247492	0.488155	0.439012	0.28524	
-0.76079	0.230067	0.281098	0.120316	
-0.996063	-1.51001	0.940483	0.852011	
-0.281018	0.217142	-0.580498	-0.290249	
-0.62363	0.512949	-0.251627	-0.300291	
-0.0621449	-0.690063	0.0444225	-1.02506	
-0.500498	-0.938776	-1.22529	-1.3414	
-0.36869	0.548116	-0.707505	0.194273	
-0.796689	-0.849905	0.786946	-0.11758	
-0.654525	-0.0268151	0.13176	-0.0599252	
0.283095	0.155854	-0.129198	-0.0454292	
0.92879	0.136996	1.09512	-0.414813	
-0.237446	-0.188839	-0.355487	-0.0306804	
0.854171	-1.94593	0.120897	-0.320607	
0.556522	-1.03681	0.4108	0.332504	
0.0714512	-2.06005	0.546403	-0.944841	
0.488763	-0.767765	0.369631	1.1216	
-0.229815	-0.59482	0.959012	0.180181	
1.14308	-1.06037	-1.21644	-0.202751	
0.00176693	-0.710595	-0.892396	0.447903	
0.454728	-0.521204	1.27365	-0.960155	
-0.92031	0.376717	-0.324341	-0.414813	
0.632659	-1.391	-1.0862	-0.319316	
1.25846	1.33571	0.446508	0.599985	
-0.456865	0.0691608	-0.0415722	0.77323	
0.213108	-0.527338	0.0494733	-0.139178	
0.0730476	0.912108	0.0219555	0.0582567	
-0.47852	-1.0008	-0.938381	0.77323	
-0.551813	-0.938776	-0.536281	0.935894	
-0.212952	-1.03801	-0.683999	-0.353861	
0.391322	0.109164	0.168483	0.691848	
0.263517	-0.59482	-0.239392	0.530882	
-0.484225	-1.14764	-0.674757	0.0820019	
0.371756	0.660269	0.143116	0.0582567	
0.165463	0.963144	0.0448723	0.0180496	
-0.216763	1.43508	-0.109603	-0.0306804	
-0.753168	0.452123	0.091938	-0.0797166	
-0.0676963	1.27324	-0.118767	0.646958	
-1.1166	0.799241	0.179818	0.180181	
0.254183	0.889017	0.243953	-0.422919	
-0.429417	0.0638193	0.340064	0.692268	
0.307572	-1.13149	0.159562	0.22457	
-0.257625	0.386083	0.491692	0.165132	
0.569686	1.10746	0.157687	0.84756	
-0.551827	0.540395	0.298933	-0.760873	
0.488763	-0.938776	0.851766	-0.696889	
-0.758862	-0.262568	0.176532	-0.290249	
0.540991	0.855836	1.0865	-0.104813	
0.322488	0.962078	-0.663048	0.489731	
-0.886863	0.774915	0.811691	0.28524	
0.524108	0.927374	-0.083099	-0.0103571	
0.287755	-0.304603	0.0576499	0.908553	
0.125398	-1.43724	0.762316	0.124083	
-1.46236	-0.556237	-0.980706	1.05394	
0.697227	1.48672	-0.857882	0.43583	
-0.661104	-1.93522	-0.50183	-0.0400873	
0.395008	-1.51135	0.227431	1.06383	
0.583051	-0.231567	0.130259	0.599985	
-1.98641	0.312521	0.168483	-0.255634	
-1.01376	-0.319522	-0.0207846	-0.0849666	
-0.493416	-0.231567	-0.0553349	-0.255634	
-0.117282	-0.660919	0.396582	-0.207045	
1.14215	0.539341	-0.285363	-0.43937	
-0.346471	0.34366	0.802666	-0.171359	
0.488763	0.136996	-0.0221061	0.186331	
-1.1166	-0.367546	0.821366	-1.01084	
0.776621	0.0311011	-0.248807	0.0661011	
-0.62363	-0.304603	0.180507	0.383019	
-0.713812	1.5621	-0.60495	0.303069	
1.34464	1.13136	0.0563321	-0.13053	
-0.281018	-0.913028	0.459701	-0.114533	
-0.552632	0.376717	0.162218	0.303069	
0.509406	-0.0239592	-0.0756018	0.0776363	
-0.552243	-1.03681	0.801542	-0.785913	
0.506139	-0.028688	-0.372983	0.745029	
1.20434	0.217142	0.0675597	-0.583375	
-0.0384176	0.376717	0.307992	-0.169322	
-0.613053	-0.849905	0.196046	-0.270879	
0.14781	1.00433	-0.156377	0.372809	
1.02009	1.17128	-0.1466	-0.728036	
-0.779746	0.217142	-0.153561	-0.536146	
0.73818	-0.231567	-0.053746	0.0482692	
0.776621	-0.39729	-0.429555	0.906934	
0.879012	-1.98205	-0.516022	-0.169322	
1.05374	-2.12108	-0.353652	0.186331	
-1.15597	-2.0608	-0.0139438	0.0776363	
0.585274	-1.83464	0.707988	-0.810396	
-0.112811	-1.59449	-0.466356	1.09856	
0.548514	-0.289526	-0.951379	0.0724267	
0.318478	0.616311	0.40928	-0.371632	
0.305127	-1.9162	-1.00812	0.180181	
-0.419966	-1.63423	0.266975	-0.353861	
0.524108	1.07677	0.653076	0.879186	
-0.709022	1.307	0.309078	0.0661011	
-0.741966	0.719558	1.06085	-0.528078	
0.404375	0.623123	-0.818701	-0.381063	
0.965547	-0.544197	0.265572	-0.241422	
0.670647	0.312521	-0.849485	-0.13053	
-0.0950674	0.527754	0.15196	0.336864	
-1.88446	0.0691608	0.0576499	0.419226	
-0.0930162	0.449894	0.512077	0.000588419	
-0.890641	-0.262568	0.46131	-0.384003	
-0.216763	0.449894	0.287765	0.22457	
0.263517	0.855836	-0.50183	-0.166397	
1.08346	0.719558	-1.16228	0.0724267	
0.593346	0.0152291	-0.741472	-0.0797166	
0.197314	-2.08124	0.315466	0.203576	
-0.709022	1.18331	0.51095	-0.290249	
-0.713812	-0.802285	0.510069	-0.0610567	
-1.22974	0.109164	-0.0417028	-0.057839	
0.955911	-0.304603	0.503674	-0.518824	
-0.318207	0.450405	-0.0856556	-0.590142	
0.121491	0.867038	-0.871518	0.0724267	
0.518118	0.623123	-0.270631	-0.270879	
0.00176693	0.217142	-0.0583577	0.0582567	
0.247492	-1.28357	-1.0171	-0.355959	
1.18686	0.488155	-0.0940859	-0.0599252	
0.449686	0.217142	0.0292756	0.194273	
0.593346	0.224955	-0.263679	0.681	
-0.408967	-1.78608	0.110497	0.77323	
-0.937731	1.0291	-1.02965	0.742889	
0.371756	0.116205	-0.786411	-0.257437	
-0.36869	-1.81276	0.39013	-0.604416	
-0.216763	-0.0904862	-0.924137	-0.381063	
0.678608	-0.804896	0.318781	0.632408	
-0.731446	0.34366	0.376959	0.262936	
-0.394638	0.450405	0.0306206	0.234591	
0.357627	1.01161	0.110497	-0.422919	
-0.222035	0.67057	-0.287379	-1.11138	
1.22641	-1.68598	-0.487516	0.198541	
-0.843832	-1.25376	0.805103	-1.27539	
-0.753168	0.497993	0.622511	1.1216	
-0.161477	0.879453	-0.45335	-1.01607	
0.753152	-0.417559	0.74497	0.852011	
-0.408967	1.49945	-0.480047	-0.353861	
1.14308	0.34366	-0.670935	-0.23186	
-0.33324	0.367662	-1.55484	-0.213702	
0.423663	-0.262568	0.0750756	-0.381063	
-0.300975	0.342942	0.196166	-0.338443	
0.672399	1.41121	0.0794805	-0.319316	
-0.753563	0.0638193	-0.0162752	0.418155	
0.247492	0.96117	-0.328491	-0.23186	
-0.326937	0.512949	-0.330839	0.827544	
0.336528	0.962078	0.436101	-0.0400873	
0.687555	0.855836	-0.30955	0.470115	
-0.765809	1.11819	0.366683	0.646958	
0.371756	-2.21874	-0.736348	0.234591	
-1.89851	-0.262568	0.527742	0.332504	
-1.89201	-2.21874	-0.45876	-0.0797166	
0.569686	-0.412453	0.458011	-0.0400873	
0.907425	-0.0904862	0.0531188	0.804186	
-0.55183	-1.12706	0.303886	-0.270879	
0.0762125	-1.15328	0.181153	0.209433	
0.348119	0.746243	0.465907	-0.518824	
-1.27063	0.203685	0.315466	0.529684	
-0.245781	-0.834439	-0.0221061	0.591263	
0.833971	1.0291	-0.250889	-0.68426	
-1.20613	-1.7327	0.48747	0.530882	
-2.08972	-2.02437	-1.40628	0.646958	
0.341279	0.512949	-0.0852811	0.719157	
-0.0621449	-1.50872	0.657498	0.314178	
-0.687433	0.714135	-0.80293	0.186331	
0.518118	-0.367546	-1.04641	-0.0599252	
0.605649	-1.61264	-0.452014	-1.10891	
0.625954	-0.246504	0.260674	0.234591	
-0.489139	-1.03681	0.0817903	0.376713	
0.357627	0.889017	0.589681	-0.318738	
-0.429417	-0.961902	-0.283377	-0.300291	
0.454728	0.376717	0.600848	-0.0239806	
-0.14922	-0.0268151	0.118507	0.247043	
0.92879	0.34366	-0.234137	-0.0106413	
-0.275826	-0.556237	-0.325274	-0.40034	
-0.719338	1.26242	-0.356098	-0.422919	
0.357771	-1.22552	-0.183498	-0.150013	
0.879012	-1.26611	0.815515	0.0661011	
-0.166041	-0.0651493	1.06694	-0.810396	
0.173825	1.0426	0.2303	0.123398	
0.585274	0.96117	-0.561071	0.325599	
0.423663	0.179806	-0.291819	-0.0599252	
-2.05246	0.764011	0.0444225	-1.11486	
0.72957	-0.188839	-0.651906	-0.355959	
-0.408967	-0.38531	-0.915733	-0.296405	
0.0762125	0.855836	-0.174151	-1.27539	
-0.456865	-0.319522	-0.357162	0.383019	
-0.199839	0.855836	-2.39662	-0.0849666	
-1.32358	-1.63436	0.0590903	-0.225434	
-0.648719	0.109164	-0.0338615	-0.384003	
0.0753526	-1.40581	-0.115399	-0.0797166	
0.0322094	0.488155	0.606174	0.403082	
1.14398	-0.188839	-0.536281	0.354932	
-0.097236	0.0469692	-0.0416408	0.9538	
1.36065	-2.14643	0.472857	-0.466116	
0.496181	-0.849905	0.12922	-0.202751	
-0.33324	-0.904279	-1.10694	-0.338443	
-0.358208	-0.904279	0.98015	0.77323	
0.207418	0.411721	0.231118	-0.169322	
-0.143225	-1.68598	0.303886	0.125589	
0.455912	-0.367546	-0.240968	0.186331	
0.184164	-2.03633	-0.280581	-0.29068	
0.700648	0.67057	-0.345984	0.180181	
0.700648	-1.23663	-0.896804	0.165132	
0.216755	0.224955	-0.169383	-0.754522	
0.664349	-0.174199	-0.725727	0.0482692	
-0.46653	0.855836	0.00100224	0.53275	
-0.00537588	0.512949	-0.207998	0.180181	
0.814284	-0.765061	0.38417	-0.0849666	
0.118286	-1.28357	0.645047	-0.257437	
-0.838293	-0.938776	0.239791	-0.797109	
-0.661104	0.0311011	-0.60495	-0.23186	
-0.740696	-0.319522	0.664935	-0.255634	
0.965547	1.48672	-0.504463	-1.14181	
