H[0]	H[1]	H[2]	H[3]	
-4.44138	1.95556	7.07246	3.66667	
2.23448	2.22222	-4.80435	2.15152	
-8.12874	-2.13333	-0.681159	-0.0909091	
-10.5655	-0.266667	-5.67391	1.9697	
0.744828	1.51111	-5.95652	3.27273	
-8.34023	0.355556	6.65217	-2.30303	
-4.73563	-3.02222	9.3913	-3.48485	
-6.51034	1.15556	9.53623	-1.54545	
0.873563	2.22222	-0.34058	4.45455	
1.18621	2.22222	3.54348	-2.60606	
-0.275862	2.4	1.77536	-1.9697	
0.873563	-1.15556	1.07971	-0.484848	
4.35862	1.15556	7.64493	3.78788	
0.726437	2.31111	4.34783	-3.21212	
4.08276	-4.53333	-7.67391	1.06061	
0.478161	1.33333	-13.413	-4.93939	
1.88506	2.66667	-0.347826	-2.06061	
1.89425	1.68889	-1.8913	-0.939394	
-11.6598	0.622222	5.05797	-2.24242	
3.16322	1.86667	-14.5145	-0.0909091	
2.24368	-2.48889	7.82609	1.51515	
3.33793	-4.88889	5.6087	-2.33333	
-4.30345	1.24444	-2.13768	1.45455	
0.864368	2.04444	-2.36232	1.15152	
2.08736	-5.24444	-6.8913	2.30303	
2.71264	2.22222	7.35507	3.90909	
-3.75172	1.68889	-1.08696	4.63636	
1.17701	-1.51111	13.1884	-5.06061	
-1.38851	1.24444	1.02174	-3.93939	
-6.74943	-15.0222	3.97826	-0.969697	
3.32874	0.888889	-2.46377	-4.18182	
1.47126	-2.13333	1.68841	-0.393939	
1.0023	1.51111	10.3841	2.51515	
3.51264	-0.444444	2.06522	1.12121	
1.78391	0.444444	-1	1.39394	
4	2.22222	6.48551	0.727273	
3.61379	-2.22222	3.86957	2.93939	
0.56092	1.15556	0.76087	1.06061	
-5.25977	0.711111	-19.6449	2.51515	
1.61839	3.82222	11.7754	0.30303	
0.413793	2.48889	-8.36957	1.84848	
5.01149	-0.533333	12.1014	2.69697	
0.395402	0.355556	5.98551	1.0303	
2.4	1.6	-17.4493	-0.484848	
1.03908	0.711111	6.38406	1.51515	
3.35632	0.177778	-21.558	-1.9697	
-0.183908	0.711111	-15.3478	3.42424	
-2.32644	1.68889	-12.1232	0.545455	
0.956322	2.22222	-1.53623	0.787879	
3.62299	0.622222	5.22464	-0.575758	
2.86897	-9.51111	-3.82609	-0.484848	
5.88506	0.8	4.41304	1.48485	
2.28966	2.48889	4.00725	3.84848	
0.533333	-0.622222	-4.17391	1.93939	
2.87816	0.266667	1.07971	3.33333	
1.0023	3.28889	2.07971	0.363636	
0.505747	1.86667	-1.55072	-0.666667	
2.51954	1.24444	-1.15942	-0.030303	
1.89425	2.22222	5.65942	2.39394	
0.864368	0.355556	7.18841	-2.78788	
0.570115	0.533333	-7.83333	0.333333	
-4.30345	1.15556	5.5	1.60606	
-1.29655	1.42222	8.86957	-3	
2.24368	0.888889	1.5	4.30303	
-0.0367816	0.266667	4.85507	-0.30303	
-0.266667	1.42222	-1.76087	1.69697	
3.2	1.86667	-1.04348	-3	
0.312644	2.57778	-2.63768	3.78788	
-3.50345	-1.86667	3.64493	1.18182	
1.12184	0.888889	-0.376812	0.818182	
1.89425	-0.533333	-3.15217	-6.18182	
-9.97701	-5.15556	1.34058	2.81818	
1.84828	0.977778	-11.2971	0.69697	
-1.12184	-1.95556	9.73913	4.30303	
-20.4874	0.622222	-5.52174	-2.33333	
-5.52644	-1.06667	8.84058	-0.181818	
1.48966	1.95556	5.3913	-0.363636	
0.790805	1.86667	2.51449	-0.030303	
1.15862	1.95556	-1.43478	1.15152	
4.34943	2.13333	9.62319	1.60606	
-0.606897	1.24444	-0.971014	2.51515	
-9.35172	0.266667	1.78261	5.27273	
-1.71954	0.888889	11.2681	-3.42424	
2.05977	1.6	9.80435	0.424242	
-4.47816	-5.06667	-1.28986	2.78788	
5.11264	1.86667	8.21739	0.484848	
1.24138	-4.8	4.32609	-0.515152	
3.15402	0.977778	-3.31159	0.212121	
5.31494	1.15556	-0.927536	1.15152	
3.31954	2.48889	6.73913	-0.0606061	
-1.71954	2.4	-2.86957	-1.18182	
-0.450575	1.15556	7.86232	-2.15152	
1.01149	-0.177778	3.45652	0.454545	
2.73103	-0.977778	-5.61594	-6.12121	
-7.13563	-0.355556	12.6957	0.818182	
-2.33563	0.622222	4.73913	2.33333	
-7.2	-0.8	1.23188	1.63636	
-5.16782	1.86667	16.6377	-1.75758	
-8.66207	1.06667	-4.24638	-1.27273	
-0.468966	-7.11111	-1.28261	0.424242	
8.57011	-0.622222	1.53623	1.45455	
0.165517	-8.08889	10.9928	1.48485	
-3.01609	-4.26667	3.01449	-6.78788	
1.9954	1.24444	0.550725	-2.78788	
-2.48276	4.17778	5.00725	0.515152	
-7.0069	3.11111	10.3116	-1.33333	
2.35402	-2.31111	-3.44928	-3.27273	
1.25057	-2.22222	1.34058	2.0303	
1.52644	1.68889	12.0435	0.30303	
-3.76092	-0.8	4.31884	-1.69697	
0.0735632	0.888889	1.94203	4.39394	
-2.85057	1.15556	-1.1087	1.87879	
-2.83218	-1.51111	11.6739	-1.06061	
4.78161	1.24444	-5.7029	-0.484848	
1.52644	2.04444	9.28261	1.30303	
-6.54713	-4.26667	3.21014	-1.24242	
1.48046	2.48889	-12.8333	5.09091	
0.956322	2.22222	-11.4275	4.0303	
0.165517	2.13333	13.4783	-6.75758	
0.551724	1.15556	-0.637681	-0.575758	
1.98621	0.355556	-12.1522	-0.121212	
-1.15862	0.266667	2.84783	1.15152	
-2.46437	1.06667	-6.78986	-1.69697	
2.62069	-0.8	-6.49275	-0.939394	
0.110345	2.04444	5.35507	1.09091	
-10.308	0.711111	7.19565	-3.24242	
2.77701	3.37778	-5.64493	-0.636364	
3.64138	0.622222	9.25362	-7.93939	
3.31034	-2.75556	8.27536	-0.181818	
3.08046	1.95556	-0.376812	4.21212	
2.97011	2.13333	-1.21739	-0.0909091	
5.37011	-1.06667	-3.76812	2.9697	
-2.48276	2.48889	-11.4565	1.18182	
-2.36322	0.977778	-4.32609	-2.9697	
-1.5908	2.57778	-0.34058	4.27273	
2.32644	-6.22222	11.0942	2.06061	
-1.46207	1.42222	-0.485507	-2.78788	
2.82299	1.06667	4.68116	-2.81818	
-5.64598	1.68889	4.87681	-6.45455	
3.4023	2.22222	2.96377	1.48485	
2.14253	0.622222	-5.56522	3.63636	
-2.64828	0.533333	7.75362	-0.393939	
-0.211494	0.977778	-8.54348	0.787879	
2.97931	-0.977778	0.15942	-0.030303	
-3.77011	-0.977778	7.77536	-7.48485	
3.97241	-9.15556	13.1232	0.545455	
0.202299	-3.37778	-7.94203	-0.757576	
1.46207	-3.11111	-2.68841	-3.09091	
1.82069	1.6	4.68116	-3.81818	
0.11954	0.355556	-10.0217	1.27273	
1.14943	-3.64444	-2.52174	-0.181818	
1.46207	-1.15556	-12.6232	-0.212121	
-4.37701	-0.622222	3.49275	-2.60606	
2.15172	1.15556	10.5072	-4	
0.285057	-4.08889	5.02174	-0.030303	
-2.97011	-1.95556	6.94928	-5.18182	
-0.56092	1.51111	1.22464	1.36364	
2.4092	0.711111	3.7029	3.36364	
-7.45747	1.24444	6.74638	-1.48485	
4.57011	0.355556	4.26812	2.0303	
1.98621	-3.64444	-1.27536	-0.393939	
-2.10575	0.177778	0.23913	0.212121	
2.22529	-1.95556	-1.44203	-4	
-0.717241	1.15556	-36.6304	2.21212	
-6.31724	1.6	1.5	-3	
3.13563	1.24444	6.15217	-0.0606061	
6.05057	0.8	-1.26087	-0.787879	
2.74943	-0.533333	6.07246	-0.515152	
0.377011	-5.24444	-2.73188	-4.36364	
0.404598	3.02222	-4.86957	3.27273	
-0.542529	0.0888889	0.688406	3.60606	
3.77931	1.6	0.65942	1.12121	
