TD[0]	TD[1]	TD[2]	TD[3]	
-0.338389	0.144759	-1.11212	-1.03405	
0.826826	1.00846	-0.503133	-0.441329	
-0.317359	0.108863	0.363154	0.554818	
-1.07521	-1.08568	0.0639442	0.261558	
0.30169	-0.861359	-0.219654	-0.19044	
1.03977	1.28699	0.150157	-0.195932	
0.1272	-1.11173	0.0376161	-0.133221	
-0.360021	0.547757	0.936669	-0.244039	
0.516053	-1.44062	-0.386798	-0.256217	
0.0580136	-0.219974	-0.446167	-0.280074	
-1.01512	0.927592	0.0572406	0.108746	
-0.254885	0.665329	-1.0416	-0.639127	
-1.5356	-0.0682021	0.165082	-0.501138	
-0.450112	-0.864136	0.715323	-0.0331287	
-0.0927627	1.39125	-0.811067	-0.21138	
0.692091	1.43683	-0.327047	0.502044	
-0.67708	0.664363	-0.229672	-0.57753	
0.638244	-1.46428	-0.123514	0.436067	
-0.106191	-0.542253	-0.250132	-0.0765911	
-0.0809932	-1.6372	0.97067	-0.701212	
0.589059	-0.574611	-0.788181	-0.422383	
-0.395594	-1.15925	-0.130373	0.287175	
-0.364282	0.197608	-0.440298	-0.940834	
0.0695202	0.316531	1.08835	0.196465	
-0.554526	0.470964	0.402138	-0.0380173	
-0.606109	-1.14612	0.771453	0.922585	
-0.83892	0.270329	-0.364027	-0.345302	
-0.485116	-0.110351	-0.452339	0.243236	
0.372949	-1.04748	-0.0515601	-0.764778	
-1.32602	-1.18946	-0.651431	-0.925766	
-0.54763	1.24707	-0.489582	0.324097	
-0.792905	-0.87557	0.409698	0.0731997	
-0.417305	0.0259535	-0.253479	-0.351867	
0.082986	0.560283	0.00285035	-0.461569	
0.0434039	-0.0348805	1.14033	-0.414913	
0.089441	0.147984	0.00344997	-0.181789	
0.214637	-1.81484	0.103614	0.0286077	
-0.0649989	-0.612435	-0.262898	0.396	
0.618809	-1.86367	0.281765	-0.559767	
0.821424	-0.419883	0.24343	0.963673	
0.18654	-0.249636	0.0168777	0.200759	
1.21465	-1.03476	-0.710511	-0.303989	
0.0250455	-0.762804	-0.604188	0.348117	
0.128669	-0.127652	1.50405	-0.893903	
-1.50506	0.176958	0.0697629	-0.352258	
0.0722072	-0.973268	-0.538377	-0.367493	
0.645755	1.44209	-0.113559	0.428888	
-0.297843	0.481821	0.0652389	0.674171	
0.461279	-0.143098	0.164488	-0.0948368	
0.136218	0.356723	0.200735	-0.217566	
0.710718	-0.830773	-0.544758	0.681753	
-0.775054	-0.842697	-0.0725644	1.45518	
0.881914	-0.736572	-0.686494	-0.757792	
0.428243	-0.485602	0.120464	0.730252	
-0.739626	-0.463739	-0.383943	-0.201262	
-0.673242	-0.718628	0.0129832	-0.0410548	
-0.649705	0.595089	0.00361296	0.426239	
-0.047084	-0.145072	-0.110287	-0.0289035	
-0.525964	0.912638	-0.11464	0.376794	
-0.512917	0.728462	-0.302377	-0.147394	
-0.207885	1.98863	0.115993	0.732992	
-0.424058	0.118049	-0.0836275	-0.329266	
0.614425	1.10348	0.663779	-0.275603	
-0.223513	-0.517192	0.129941	0.451167	
-0.200451	-0.697946	0.12531	0.391145	
-0.199726	0.594674	-0.281553	0.181706	
-0.0198141	1.57634	-0.0024265	0.470081	
-0.368312	0.972939	0.365652	-0.841588	
-0.0304072	-0.842697	0.812291	-0.526239	
-0.28803	0.444744	0.209781	-0.345302	
0.143735	1.39886	0.954367	0.115568	
-0.167971	0.635523	-0.129517	0.542518	
0.0123662	0.50103	0.289372	0.590762	
0.610333	1.31418	-0.0799237	0.240759	
