S[0]	S[1]	S[2]	S[3]	
50	18	142	20	
44	8	105	27	
53	17	133	24	
42	7	132	18	
38	17	116	21	
43	2	125	31	
32	20	154	19	
38	17	105	27	
28	7	112	24	
39	7	97	23	
41	10	121	28	
51	10	102	24	
56	2	141	27	
46	13	113	33	
48	16	115	20	
39	18	117	22	
48	11	143	18	
28	10	140	25	
32	20	129	33	
32	15	124	27	
32	10	146	26	
46	10	146	46	
42	9	129	27	
45	6	162	26	
34	13	159	25	
41	10	155	21	
28	5	131	19	
43	13	110	50	
47	6	123	18	
42	10	161	15	
26	13	133	28	
54	20	114	38	
32	21	138	19	
38	7	137	15	
25	17	132	22	
45	15	118	36	
28	21	107	29	
22	7	139	18	
30	16	120	21	
35	5	115	27	
19	3	127	14	
55	23	140	35	
21	9	136	20	
38	7	135	19	
48	11	157	22	
22	6	132	21	
38	11	145	25	
37	9	133	11	
52	13	126	23	
53	7	128	15	
67	10	122	33	
33	16	131	24	
28	21	101	21	
41	27	125	24	
31	16	150	28	
31	8	133	29	
46	13	137	18	
33	4	161	26	
47	5	113	18	
41	9	106	26	
48	39	143	28	
39	14	95	25	
29	18	134	25	
35	19	163	24	
51	22	133	25	
44	10	145	21	
34	29	111	30	
34	7	117	31	
39	26	132	21	
48	18	114	26	
33	5	145	18	
41	36	135	44	
36	6	161	25	
46	8	163	23	
48	3	167	22	
44	11	95	22	
26	4	162	33	
41	9	185	24	
31	16	126	37	
53	14	156	22	
32	23	157	35	
62	12	129	16	
41	20	182	23	
27	16	136	31	
38	12	136	21	
51	10	116	18	
33	18	116	26	
37	8	161	24	
57	15	146	18	
27	13	114	27	
53	24	108	29	
37	6	106	23	
37	8	97	24	
43	5	113	23	
38	22	153	30	
41	5	126	27	
41	9	104	18	
63	15	136	31	
41	13	126	25	
43	5	166	21	
35	8	136	21	
67	5	128	17	
30	12	117	24	
31	12	117	17	
23	6	167	20	
43	5	160	26	
53	29	191	33	
24	25	140	14	
42	10	120	18	
30	15	112	30	
30	15	122	16	
39	18	113	33	
20	20	106	29	
36	27	119	22	
43	14	91	21	
21	23	139	19	
59	30	107	29	
39	17	103	22	
40	2	119	33	
23	6	113	19	
20	11	136	25	
26	19	116	21	
17	16	110	33	
32	5	131	22	
49	16	85	22	
24	12	110	28	
49	4	118	18	
32	8	142	31	
26	6	152	23	
28	17	125	29	
53	14	136	30	
53	6	150	42	
22	9	114	33	
45	6	166	24	
38	12	153	17	
41	8	99	21	
37	18	132	24	
25	12	140	18	
52	9	132	26	
33	37	127	32	
46	1	105	29	
53	29	138	34	
42	12	119	34	
44	14	128	16	
44	4	112	23	
32	12	116	25	
25	12	117	27	
49	16	133	16	
82	16	119	37	
43	30	118	31	
44	14	145	22	
37	12	147	16	
26	23	153	35	
39	11	175	26	
54	17	88	31	
38	17	124	11	
37	6	137	25	
40	15	136	27	
32	15	135	21	
47	6	138	13	
33	9	139	21	
31	8	126	35	
37	23	132	20	
45	6	127	27	
51	31	119	19	
37	13	149	18	
45	10	131	24	
32	17	107	35	
47	14	165	33	
44	9	114	19	
57	31	134	16	
23	12	106	28	
24	22	132	26	
37	10	143	20	
27	9	112	25	
51	15	123	27	
46	21	106	27	
46	21	148	17	
30	7	134	33	
47	16	108	23	
18	31	90	31	
49	16	126	27	
52	19	114	28	
28	13	134	23	
30	9	169	27	
41	6	136	27	
48	23	157	18	
44	11	126	34	
36	9	149	21	
33	16	147	35	
34	22	128	23	
38	26	198	28	
41	9	125	19	
46	18	113	29	
48	26	148	28	
45	16	115	25	
27	18	136	24	
37	8	162	20	
28	7	98	29	
30	17	93	37	
34	18	133	24	
38	12	162	30	
37	6	139	23	
57	13	99	21	
49	12	130	39	
42	8	153	28	
41	6	140	27	
38	19	113	22	
50	17	85	26	
33	13	104	33	
18	13	105	25	
26	12	137	23	
42	11	121	27	
25	14	159	18	
56	11	104	31	
38	16	126	19	
34	19	92	21	
39	11	139	19	
54	16	114	22	
42	27	124	26	
45	10	145	30	
37	14	145	22	
45	6	135	34	
28	13	142	26	
31	17	119	22	
27	21	105	24	
33	11	155	23	
33	11	138	31	
26	7	149	24	
53	5	110	32	
29	12	114	24	
58	20	158	36	
36	9	130	16	
45	7	116	25	
37	13	160	26	
50	15	175	36	
44	12	126	13	
29	9	109	29	
27	11	160	20	
28	10	157	20	
31	19	109	25	
70	16	99	22	
25	14	103	32	
29	15	156	20	
36	11	143	27	
44	28	130	29	
51	17	115	36	
37	17	111	25	
34	7	113	18	
38	17	149	25	
44	17	99	26	
49	19	134	27	
54	9	124	20	
34	15	142	24	
60	16	130	23	
40	23	117	35	
47	16	85	19	
62	11	158	36	
33	13	124	29	
41	11	144	29	
36	12	121	20	
39	19	103	29	
51	18	120	29	
60	6	138	38	
44	21	109	21	
27	15	148	32	
48	11	140	16	
41	17	123	25	
39	4	106	18	
37	28	97	29	
43	9	128	26	
46	9	111	23	
40	8	148	34	
54	15	126	24	
31	9	120	19	
51	12	141	29	
31	14	137	27	
35	9	152	31	
34	22	123	31	
51	9	109	24	
41	12	112	20	
43	3	134	32	
24	10	166	20	
44	4	131	26	
43	28	137	24	
34	18	99	21	
57	17	136	41	
39	11	102	15	
46	26	71	20	
28	7	112	27	
52	16	120	13	
31	13	125	18	
51	10	179	29	
42	20	152	17	
45	13	138	20	
36	26	164	32	
37	8	101	23	
21	8	149	30	
40	14	91	29	
52	8	97	18	
47	8	145	27	
55	12	138	39	
43	26	125	28	
34	9	97	26	
37	13	145	28	
41	9	80	29	
34	14	119	27	
53	12	140	28	
44	4	154	26	
40	22	123	35	
52	15	96	25	
45	6	138	25	
37	8	145	18	
23	9	164	33	
46	8	160	21	
22	28	91	28	
61	8	130	35	
37	10	155	31	
33	10	92	22	
43	6	128	24	
35	33	141	16	
30	22	154	26	
36	12	146	29	
43	18	152	30	
37	14	121	35	
46	7	169	30	
46	10	130	23	
47	10	143	33	
23	13	137	31	
