FD[0]	FD[1]	FD[2]	FD[3]	
-0.51242	0.495406	-1.21313	-1.69156	
0.66808	1.00159	-1.03912	-1.06614	
0.0738985	-0.181537	0.212285	0.457324	
-1.40872	-0.701392	0.149295	-0.312127	
-0.304263	-1.41138	-1.05582	-0.523498	
-0.160526	0.764049	-0.196727	0.290895	
0.652447	-1.35239	-0.226921	0.119949	
1.33759	0.985167	0.422692	0.217216	
0.312962	-2.29712	-0.0792787	-0.127918	
1.14644	0.685506	0.475092	-0.232432	
0.583216	1.27179	-0.741443	0.637489	
-0.226705	0.0964736	-1.42889	-1.0701	
-1.40872	0.894339	0.0946414	-0.436277	
-0.107982	-0.42308	0.416478	0.429982	
-0.140414	0.835873	-0.708931	-0.119567	
0.546535	1.20193	-0.239844	0.612099	
-1.48195	1.03726	-0.705581	-0.434208	
0.509192	-1.89819	0.306978	1.0924	
-0.70944	0.260444	-0.717488	-0.405188	
-0.0323949	-2.61441	0.864698	-0.7425	
0.570176	-0.89438	-0.876263	-0.700084	
0.977145	-0.89438	-0.457152	0.28763	
0.0738985	0.081969	-0.0191548	-0.84346	
0.223441	0.432619	0.457236	0.199312	
-0.963903	0.100419	0.257652	-0.0121408	
-0.733479	-1.95176	1.09124	1.29613	
-0.400064	0.0908188	-0.710886	-0.275641	
-0.800932	0.453642	-0.41477	-0.573307	
-0.143748	-1.12223	-0.0413357	-0.927712	
-0.67046	-1.27385	-1.51224	-1.91932	
-0.516306	0.522646	-0.988776	0.0836747	
-1.01434	-0.151282	1.01111	-0.312127	
-0.854596	-0.214561	0.0689928	-0.247211	
0.264761	0.00276859	-0.258849	-0.237069	
1.03981	-0.0180098	1.2901	-0.0128341	
0.0199894	-0.409914	-0.471556	0.370579	
0.956376	-0.890837	0.117736	-0.232432	
0.579545	-1.49926	0.498283	0.671324	
0.0180226	-2.44934	0.592717	-1.1805	
0.726839	-1.13712	0.369745	1.26987	
-0.334526	-0.409914	1.11074	0.28976	
1.30017	-1.56058	-1.36028	-0.436277	
-0.0702233	-1.14184	-1.1404	0.623039	
0.47178	-0.143902	1.51407	-1.37659	
-0.888243	0.287307	-0.444802	-0.36735	
0.685151	-1.68203	-0.542746	-0.580859	
1.37492	1.58276	0.463953	0.612099	
-0.621018	-0.108342	-0.083413	0.834902	
0.182774	-0.349181	-0.0343985	-0.35457	
0.0185771	0.970196	0.117736	-0.0935196	
-0.629084	-1.41138	-0.738061	0.834902	
-0.728236	-1.27385	-0.652078	1.04676	
-0.328001	-1.12223	-0.266333	0.28841	
0.395474	-0.0477638	0.115401	0.734916	
0.242132	-0.910647	-0.175077	0.51486	
-0.639603	-1.68203	-0.665759	-0.0689499	
0.369706	0.665248	0.148654	0.15015	
0.125965	1.07351	-0.0420222	0.0557881	
-0.329289	1.59302	-0.235477	-0.20323	
-0.792894	0.388209	0.0925767	-0.277865	
0.0202235	1.48715	-0.191432	0.671324	
