Hw[0]	Hw[1]	Hw[2]	Hw[3]	
0.956322	0.888889	0.985507	0.969697	
0.933333	0.844444	0.98913	0.969697	
0.963218	0.777778	0.992754	1	
0.931034	0.777778	0.985507	0.939394	
0.958621	0.911111	0.98913	0.969697	
0.96092	0.377778	0.963768	1	
0.956322	0.933333	0.98913	0.893939	
0.949425	0.911111	0.98913	0.984848	
0.898851	0.733333	0.963768	1	
0.963218	0.844444	0.98913	0.984848	
0.951724	0.911111	0.960145	0.969697	
0.873563	0.533333	0.98913	0.984848	
0.896552	0.688889	0.992754	1	
0.942529	0.844444	0.992754	0.984848	
0.910345	0.911111	0.985507	0.772727	
0.951724	0.755556	0.985507	0.984848	
0.972414	0.844444	0.985507	0.954545	
0.834483	0.977778	0.974638	1	
0.954023	0.888889	0.98913	0.969697	
0.903448	0.866667	0.981884	0.939394	
0.956322	0.911111	0.992754	0.984848	
0.94023	0.955556	0.945652	1	
0.933333	0.866667	0.98913	0.969697	
0.965517	0.8	0.981884	0.984848	
0.958621	0.911111	0.971014	0.984848	
0.954023	0.822222	0.978261	0.939394	
0.878161	0.8	0.992754	0.969697	
0.965517	0.755556	0.98913	1	
0.937931	0.888889	0.985507	0.984848	
0.951724	0.755556	0.98913	0.969697	
0.864368	0.866667	0.992754	1	
0.954023	0.711111	0.992754	0.939394	
0.882759	0.844444	0.971014	1	
0.951724	0.866667	0.985507	0.893939	
0.94023	0.977778	0.98913	0.954545	
0.951724	0.866667	0.992754	0.984848	
0.857471	0.911111	0.978261	0.984848	
0.85977	0.888889	0.985507	0.969697	
0.949425	0.755556	0.978261	1	
0.94023	0.866667	0.974638	0.969697	
0.91954	0.644444	0.992754	1	
0.970115	0.866667	0.992754	0.969697	
0.882759	0.533333	0.981884	0.984848	
0.91954	0.866667	0.974638	0.969697	
0.977011	0.755556	0.992754	0.939394	
0.94023	0.822222	0.978261	0.984848	
0.901149	0.822222	0.985507	1	
0.931034	0.911111	0.963768	0.848485	
0.970115	0.844444	0.963768	0.984848	
0.956322	0.933333	0.996377	0.924242	
0.977011	0.888889	0.981884	0.984848	
0.926437	0.888889	0.992754	0.954545	
0.903448	0.911111	0.981884	0.984848	
0.88046	0.888889	0.949275	0.954545	
0.954023	0.977778	0.992754	1	
0.905747	0.711111	0.963768	0.969697	
0.935632	0.711111	0.985507	0.984848	
0.951724	0.8	0.992754	0.984848	
0.949425	0.688889	0.967391	0.969697	
0.935632	0.888889	0.985507	1	
0.949425	0.933333	0.992754	0.984848	
0.944828	0.755556	0.981884	0.954545	
0.894253	0.8	0.981884	0.984848	
0.954023	0.844444	0.960145	0.984848	
0.937931	0.977778	0.967391	0.954545	
0.956322	0.755556	0.985507	0.984848	
0.937931	0.933333	0.981884	0.984848	
0.928736	0.866667	0.996377	1	
0.944828	0.866667	0.978261	0.984848	
0.965517	0.911111	0.974638	0.969697	
0.914943	0.533333	0.992754	0.984848	
0.910345	0.822222	0.985507	0.984848	
0.958621	0.844444	0.981884	0.984848	
0.963218	0.866667	0.98913	1	
0.949425	0.644444	0.992754	0.984848	
0.956322	0.666667	0.985507	0.984848	
0.933333	0.822222	0.985507	0.969697	
0.933333	0.844444	0.985507	1	
0.912644	0.844444	0.981884	1	
0.924138	0.733333	0.992754	0.984848	
0.931034	0.822222	0.974638	0.969697	
0.958621	0.844444	0.974638	0.969697	
0.937931	0.888889	0.960145	0.969697	
0.963218	0.844444	0.974638	0.984848	
