ThetaFL[0]	ThetaFL[1]	ThetaFL[2]	ThetaFL[3]	
7	8	21	11	
7	2	13	10	
13	6	34	7	
10	1	28	7	
14	6	28	9	
14	2	29	10	
10	4	41	9	
8	4	16	8	
12	1	28	11	
6	5	26	9	
31	4	39	12	
13	9	26	5	
6	0	41	8	
6	5	28	13	
18	7	39	8	
12	2	47	6	
10	2	25	6	
8	6	45	9	
6	4	45	5	
9	8	48	9	
15	4	29	13	
20	5	28	10	
15	1	35	6	
7	4	29	13	
5	5	35	10	
10	4	43	5	
7	3	41	9	
12	3	39	26	
11	3	36	4	
11	5	48	2	
10	6	38	4	
9	1	33	11	
8	7	22	6	
9	4	26	7	
10	7	34	4	
7	11	36	13	
12	14	18	9	
3	3	33	7	
7	8	17	12	
15	1	16	10	
5	2	39	7	
10	10	26	8	
7	5	38	11	
16	4	28	8	
18	6	47	4	
7	1	23	7	
9	1	44	12	
15	6	31	6	
10	5	20	8	
12	3	26	3	
8	3	36	14	
6	2	45	6	
11	7	25	6	
8	3	31	11	
10	10	27	9	
13	3	43	9	
13	8	52	9	
13	0	30	15	
19	0	28	6	
10	3	37	10	
14	5	39	5	
10	5	25	5	
6	6	33	7	
8	7	39	9	
12	8	28	10	
9	4	32	7	
10	7	30	13	
10	1	49	12	
13	1	17	7	
7	9	27	12	
5	5	42	4	
10	5	47	16	
8	4	39	14	
21	1	36	9	
15	1	48	7	
15	6	25	9	
11	2	27	10	
11	2	43	9	
5	6	33	14	
5	1	46	8	
6	1	30	5	
12	2	31	7	
5	6	33	10	
8	5	20	8	
3	7	28	13	
8	4	33	9	
6	13	40	5	
12	1	34	12	
15	11	43	5	
10	2	35	9	
11	9	43	12	
6	2	37	10	
16	1	26	7	
15	3	35	11	
14	7	33	9	
15	4	39	10	
9	7	27	8	
24	11	36	11	
10	7	31	11	
13	1	44	7	
6	7	53	6	
12	4	31	13	
14	1	58	7	
11	5	21	6	
5	3	57	4	
8	2	42	4	
17	3	43	17	
10	3	41	8	
11	3	30	7	
15	6	29	12	
6	3	33	6	
15	9	39	10	
7	11	34	6	
4	14	21	10	
4	9	24	4	
2	15	33	5	
19	3	21	14	
12	7	25	7	
7	1	20	13	
9	2	45	6	
5	6	44	8	
11	8	21	9	
5	12	31	14	
8	2	33	4	
10	1	18	9	
5	4	17	13	
17	2	37	5	
6	5	29	19	
8	3	51	11	
9	3	30	15	
12	5	39	9	
11	3	52	13	
10	3	34	9	
9	2	51	7	
12	3	63	11	
7	1	39	11	
9	7	32	6	
11	6	35	7	
15	6	52	11	
9	8	37	9	
8	1	31	9	
5	5	30	10	
9	10	33	12	
5	3	27	6	
8	0	40	5	
9	4	51	13	
11	2	30	11	
13	7	29	4	
22	3	42	13	
8	4	35	7	
19	2	51	9	
7	9	34	2	
9	7	54	14	
10	10	29	12	
10	9	33	14	
5	9	40	3	
9	2	37	12	
9	4	29	8	
12	5	32	7	
16	5	19	1	
10	3	49	8	
11	2	40	15	
10	13	36	10	
15	4	57	18	
16	8	46	6	
14	5	22	7	
16	4	34	9	
7	6	32	13	
6	5	19	11	
11	4	37	5	
8	16	34	6	
4	8	22	6	
6	18	26	14	
6	6	32	2	
8	4	15	7	
5	10	53	11	
12	12	43	6	
9	8	13	10	
11	2	43	13	
8	11	36	10	
1	2	19	7	
16	6	35	5	
12	8	31	11	
7	2	34	8	
10	6	60	5	
14	4	47	4	
14	13	47	5	
9	4	32	7	
8	5	43	5	
11	11	51	12	
7	5	32	7	
9	4	54	9	
12	0	37	7	
16	5	29	11	
12	2	43	6	
19	3	28	8	
6	3	33	9	
12	3	36	4	
6	5	23	9	
9	5	19	11	
6	2	32	3	
12	3	38	16	
7	4	21	12	
17	6	25	7	
9	2	15	15	
9	1	56	7	
16	1	20	7	
7	3	32	7	
10	8	23	4	
7	9	17	11	
9	7	43	3	
4	0	53	4	
15	6	40	10	
5	10	37	2	
10	3	27	7	
10	5	32	7	
13	9	25	7	
12	5	40	7	
15	9	24	9	
4	7	38	12	
14	3	23	12	
7	5	40	7	
15	3	21	20	
4	5	45	6	
11	8	29	6	
9	0	39	7	
2	1	40	8	
10	3	28	10	
9	2	37	6	
10	2	32	10	
10	8	18	13	
10	8	50	7	
3	3	34	7	
12	2	23	9	
13	6	35	10	
12	2	53	10	
5	1	37	7	
8	3	32	13	
4	5	46	7	
4	5	51	3	
4	11	35	10	
8	13	32	6	
11	7	29	11	
5	9	27	8	
10	9	46	3	
8	13	54	10	
11	4	25	14	
8	12	43	7	
11	4	27	8	
7	2	27	4	
16	1	22	9	
18	4	16	13	
11	2	49	9	
4	8	34	8	
10	5	49	9	
11	6	30	10	
25	6	23	4	
16	3	32	13	
