FF[0]	FF[1]	FF[2]	FF[3]	
0.883772	1.20246	-1.04152	-1.07403	
-0.079956	-0.121834	0.327931	0.592558	
-1.5672	-0.973032	0.145896	-0.176232	
-0.102744	-1.51885	-0.928956	-0.518033	
0.321805	1.12014	-0.0886409	0.17731	
0.564696	-1.50062	-0.162555	0.0542381	
0.879902	1.05021	0.747783	0.0962316	
0.470531	-2.49096	-0.233227	-0.203653	
0.920106	0.527728	0.177074	-0.298435	
0.00909329	1.40213	-0.559643	0.586531	
-0.287744	0.303586	-1.58624	-1.1492	
-1.76112	0.762857	0.147459	-0.556035	
-0.283134	-0.66148	0.644663	0.358987	
-0.150414	1.20046	-0.916921	-0.180277	
0.730339	1.55063	-0.33343	0.707931	
-1.45392	1.13085	-0.657316	-0.580045	
0.676099	-2.14846	0.18686	1.09426	
-0.605483	0.0402392	-0.675683	-0.374925	
-0.0606534	-2.83208	1.11196	-0.890902	
0.705031	-0.977154	-1.0376	-0.754153	
0.592837	-1.17491	-0.417913	0.346364	
-0.100337	0.133224	-0.210085	-1.06375	
0.205081	0.485129	0.842052	0.242233	
-0.996004	0.245799	0.38098	-0.0240199	
-0.838961	-2.0783	1.2011	1.43735	
-0.675617	0.166584	-0.721087	-0.360299	
-0.838052	0.365031	-0.526802	-0.401082	
0.0493846	-1.34131	-0.055379	-1.0701	
-1.10637	-1.49211	-1.47966	-1.98191	
-0.644419	0.892835	-0.995663	0.186995	
-1.13898	-0.422744	0.977634	-0.242809	
-0.850168	-0.180345	-0.0577896	-0.339041	
0.243784	0.191941	-0.203013	-0.372745	
0.829431	-0.0274144	1.52177	-0.16325	
0.0548965	-0.31357	-0.370397	0.254313	
0.838173	-1.4128	0.138606	-0.190307	
0.432274	-1.51793	0.277572	0.719545	
0.273987	-2.78063	0.591615	-1.21538	
0.926157	-1.13617	0.399024	1.43515	
-0.184998	-0.440957	0.883613	0.321188	
1.54991	-1.71412	-1.38606	-0.484467	
-0.0437121	-1.25939	-1.16585	0.660636	
0.424493	-0.169533	1.85904	-1.50029	
-1.34292	0.308951	-0.319489	-0.443764	
0.565766	-1.8007	-0.665273	-0.630917	
1.36117	1.88487	0.317006	0.68117	
-0.615243	0.067373	-0.0368989	0.960675	
0.346832	-0.354109	0.0453887	-0.338453	
0.0725782	0.969397	0.181597	-0.158522	
-0.191376	-1.50905	-0.822778	0.963428	
-0.908142	-1.38553	-0.545716	1.42587	
0.134062	-1.234	-0.514483	-0.0195813	
0.496763	-0.200501	0.144189	0.897415	
-0.13084	-0.950508	-0.308158	0.370593	
-0.792401	-1.71495	-0.518312	-0.074113	
0.00969695	0.785831	0.118733	0.282169	
0.0781258	0.885982	-0.0822127	0.0373098	
-0.487401	1.69524	-0.236244	-0.0411389	
-0.84413	0.58702	-0.0602586	-0.291852	
-0.0760722	1.98845	-0.0992264	0.842135	
-1.284	0.771727	0.122442	-0.0648269	
0.442253	1.21281	0.459893	-0.311551	
-0.550678	-0.246933	0.360501	0.780209	
0.145654	-1.56852	0.270165	0.245363	
-0.376655	0.465312	0.288162	0.238297	
0.465032	1.62261	0.178235	1.16679	
-0.561433	0.755073	0.383237	-1.31038	
0.38567	-1.38553	1.13097	-1.10648	
-0.432045	-0.313414	0.191401	-0.133825	
0.512091	1.24548	1.42637	-0.229063	
0.170879	1.08436	-0.708816	0.596956	
-0.875529	0.825989	0.95388	0.567046	
0.697387	1.33187	-0.136054	0.148307	
0.313542	-0.651436	0.0483764	1.09015	
-0.173878	-1.90964	0.861315	0.0344895	
-1.98337	-0.801757	-1.26802	1.35252	
0.162344	2.00834	-1.02318	1.02722	
-1.0351	-1.30326	-0.584383	-0.255997	
0.498184	-2.07664	0.225294	1.47643	
1.0374	0.0918964	0.100877	0.768749	
-0.758663	0.116372	0.169167	-0.37773	
-1.31626	-0.602513	-0.218401	-0.0823541	
-0.485227	-0.426065	-0.202531	-0.291712	
-0.216868	-0.998345	0.419533	-0.359233	
1.2937	0.829378	-0.411573	-0.779895	
-0.544437	0.117224	0.995482	-0.393363	
0.142275	0.294705	-0.20075	0.194447	
-0.661645	-0.519574	0.985127	-1.59789	
0.768534	-0.10933	-0.170915	0.720122	
-0.548361	-0.372249	0.275196	0.441625	
-1.0449	1.62752	-0.853302	0.26268	
1.19466	1.56224	-0.0102347	-0.101454	
-0.87588	-0.0668337	0.617545	0.0316258	
-0.636683	0.380247	0.285928	0.516198	
0.329821	-0.364656	-0.373949	0.089837	
-0.766482	-1.74367	0.978147	-1.34395	
0.860321	-0.00505478	-0.506012	0.962446	
1.30318	0.303771	0.0648268	-0.7223	
-0.165081	0.190124	0.692365	-0.203321	
-0.731362	-0.743447	0.442906	-0.574959	
0.0204419	1.53301	-0.187005	0.427045	
1.16259	1.7826	-0.0828805	-1.20635	
-0.147697	0.0195981	-0.0986486	-0.68185	
0.492474	-0.568087	-0.217768	0.0286315	
0.174486	-0.640224	-0.51433	0.901893	
0.849914	-1.61199	-0.419148	-0.347708	
1.23697	-2.65817	-0.70371	0.197743	
-1.33232	-1.21309	0.0506736	0.0307337	
0.515975	-1.62357	0.909265	-0.586946	
-0.337534	-2.35589	-0.172279	1.3488	
0.651686	-0.660152	-1.15348	-0.00258276	
0.165682	0.610722	0.571327	-0.348435	
0.482872	-2.07645	-0.908915	0.335921	
-0.580974	-1.24769	0.129545	-0.560026	
0.523519	1.26797	0.872766	1.19635	
-1.05853	1.78563	0.267581	-0.0398487	
-0.982247	1.10989	1.10528	-0.889106	
0.259512	0.793723	-1.02086	-0.701472	
1.03673	-0.96379	-0.0015185	-0.161884	
0.529222	0.293991	-1.15384	-0.298021	
0.0501716	0.429218	0.0968841	0.368385	
-2.36313	-0.251118	-0.498332	0.76668	
0.161402	0.426065	0.546962	0.0127476	
-0.922161	-0.473765	0.492465	-0.617281	
0.115041	0.31746	0.445466	0.71026	
0.451517	1.05866	-0.685288	-0.282736	
0.998534	0.597228	-0.9816	-0.134304	
0.900178	0.199365	-0.721473	-0.258276	
0.226737	-2.87764	0.399384	0.590493	
-0.838604	1.51127	0.772675	-0.106374	
-0.871694	-1.28721	0.728795	0.0567392	
-1.28356	0.175439	0.017959	-0.43684	
1.43676	-0.692151	0.351065	-0.663002	
-0.135909	0.514705	-0.164892	0.0783253	
0.223407	1.13651	-1.30137	0.154966	
0.359155	0.62714	-0.497298	-0.663196	
-0.0239607	0.0293972	0.222958	-0.0475565	
