R2[0]	R2[1]	R2[2]	R2[3]	
0.143574	0.167065	0.132802	0.107253	
0.139216	0.179333	0.154704	0.120533	
0.102813	0.155027	0.123764	0.166605	
0.112553	0.209199	0.117461	0.138588	
0.0931164	0.166275	0.12124	0.127481	
0.086447	0.2	0.114692	0.13558	
0.0867349	0.178661	0.107787	0.105574	
0.0992365	0.163546	0.128852	0.154393	
0.065978	0.217176	0.129407	0.139754	
0.139449	0.122428	0.15058	0.136278	
0.0606231	0.155686	0.11727	0.140109	
0.12013	0.159513	0.133913	0.189075	
0.171803	0.205556	0.132646	0.16245	
0.142431	0.160069	0.121265	0.129235	
0.0882517	0.128275	0.103957	0.143641	
0.119795	0.23316	0.105176	0.166564	
0.120209	0.173549	0.145851	0.16021	
0.10602	0.1127	0.129356	0.129619	
0.149283	0.209517	0.0873014	0.180796	
0.157449	0.106203	0.0962943	0.134712	
0.084595	0.121249	0.154936	0.111675	
0.0889181	0.139284	0.152433	0.167042	
0.103339	0.193023	0.116504	0.147842	
0.155163	0.143025	0.141419	0.105079	
0.128124	0.153356	0.120732	0.132667	
0.107154	0.133333	0.134031	0.148113	
0.0946563	0.129233	0.127925	0.106673	
0.130474	0.207293	0.10255	0.0956256	
0.108027	0.155401	0.115061	0.165386	
0.118556	0.162104	0.122134	0.196025	
0.069958	0.164372	0.127351	0.189087	
0.161978	0.251004	0.133306	0.160129	
0.12578	0.150147	0.150879	0.14882	
0.126872	0.138095	0.133165	0.136939	
0.12272	0.15054	0.125437	0.172226	
0.124422	0.140791	0.122734	0.143447	
0.102387	0.201921	0.146786	0.135436	
0.160715	0.159087	0.130238	0.146361	
0.125498	0.225056	0.137919	0.120801	
0.0884484	0.183424	0.151535	0.129182	
0.131761	0.145909	0.118534	0.114007	
0.141971	0.175075	0.152995	0.142723	
0.101112	0.13323	0.119818	0.0926072	
0.103618	0.126716	0.13598	0.130497	
0.102478	0.191376	0.130071	0.178573	
0.102293	0.165158	0.133229	0.144195	
0.0959143	0.21988	0.118749	0.124978	
0.100967	0.121044	0.130324	0.0913982	
0.121468	0.154048	0.156419	0.155923	
0.15015	0.141457	0.140783	0.170833	
0.16089	0.172852	0.121676	0.11313	
0.145267	0.171966	0.113986	0.145598	
0.126811	0.168671	0.122325	0.151774	
0.134967	0.206715	0.146278	0.118553	
0.112034	0.127301	0.133602	0.140071	
0.0896954	0.166354	0.126702	0.153522	
0.125941	0.156525	0.092376	0.109937	
0.0947909	0.222222	0.143545	0.0951455	
0.0928361	0.248889	0.144155	0.160254	
0.147707	0.166575	0.104781	0.126054	
0.110917	0.207552	0.105827	0.169209	
0.109654	0.137439	0.112102	0.187739	
0.149773	0.169887	0.115637	0.15555	
0.118886	0.128364	0.12419	0.145322	
0.149176	0.173568	0.132637	0.137113	
0.143367	0.156525	0.126752	0.155989	
0.101318	0.174962	0.110911	0.132527	
0.135578	0.213862	0.099342	0.132766	
0.0688707	0.219961	0.151118	0.136948	
0.151812	0.139443	0.102242	0.108974	
0.14208	0.184391	0.124654	0.171054	
0.155636	0.184538	0.101253	0.127424	
0.130783	0.112765	0.140602	0.106202	
0.0986779	0.166771	0.132683	0.127091	
0.126921	0.203973	0.122235	0.159915	
0.0985367	0.108716	0.123987	0.0985865	
0.0974096	0.149485	0.133574	0.152615	
0.145673	0.186844	0.112231	0.130782	
0.140663	0.172675	0.125383	0.137047	
0.118834	0.224833	0.139365	0.14166	
0.147692	0.179701	0.137562	0.188853	
0.12143	0.211897	0.140517	0.11879	
0.154648	0.191363	0.138403	0.123197	
0.103022	0.186036	0.132929	0.169089	
0.140875	0.127982	0.156138	0.0819848	
0.136269	0.149815	0.102153	0.104773	
0.124779	0.263874	0.120154	0.165912	
0.0791819	0.184409	0.122738	0.121344	
0.116005	0.122601	0.132459	0.161772	
0.0974034	0.173687	0.101558	0.124813	
0.144973	0.259674	0.0873863	0.140204	
0.0904418	0.184926	0.11253	0.145905	
0.0821805	0.219888	0.125379	0.15683	
0.109096	0.123128	0.111592	0.11973	
0.07929	0.184341	0.12287	0.139114	
0.0951636	0.140633	0.12913	0.121281	
0.128523	0.124722	0.138467	0.11816	
0.093952	0.148703	0.133362	0.142785	
0.121647	0.15686	0.132521	0.121823	
0.105334	0.164655	0.106599	0.142819	
0.137553	0.152436	0.100798	0.171252	
0.137413	0.137347	0.131574	0.0941414	
0.0757967	0.215345	0.0991821	0.146588	
0.118123	0.150687	0.143482	0.14241	
0.0828393	0.170783	0.114784	0.146908	
0.111278	0.18915	0.127747	0.178281	
0.102599	0.218361	0.135798	0.0935592	
0.0995844	0.196413	0.113271	0.10054	
0.131434	0.175882	0.127072	0.139123	
0.0659725	0.136634	0.109175	0.120935	
0.101051	0.182724	0.126118	0.130486	
0.0836078	0.134944	0.0995197	0.146212	
0.102243	0.10595	0.0888261	0.173983	
0.146521	0.207722	0.140274	0.118472	
0.140474	0.124289	0.138795	0.165906	
0.147114	0.118082	0.135538	0.150604	
0.123563	0.237529	0.113009	0.105978	
0.0886631	0.213405	0.121966	0.147873	
0.106951	0.204426	0.121188	0.11952	
0.0942555	0.144124	0.106286	0.149063	
0.0983334	0.136195	0.115167	0.152043	
0.0956231	0.139691	0.116131	0.120181	
0.0821249	0.111631	0.112	0.115308	
0.0892049	0.142378	0.128423	0.160241	
0.132439	0.239624	0.118909	0.143237	
0.120022	0.160943	0.16457	0.119926	
0.127326	0.190029	0.107393	0.175029	
0.122031	0.121192	0.13099	0.108664	
0.0953871	0.158114	0.124997	0.133047	
0.120186	0.2245	0.126979	0.111875	
0.122372	0.196859	0.120728	0.152665	
0.118966	0.144989	0.103484	0.13072	
0.100469	0.148908	0.132132	0.166775	
0.137843	0.149071	0.111401	0.127575	
0.105288	0.166206	0.0885142	0.11134	
0.149696	0.208948	0.102251	0.116349	
0.107942	0.173391	0.136518	0.171839	
0.0800177	0.162829	0.125413	0.144527	
0.128469	0.116502	0.111419	0.128958	
0.155005	0.203471	0.127731	0.12732	
0.125108	0.3	0.124434	0.140642	
0.111345	0.182484	0.156792	0.133667	
0.136645	0.0832304	0.110464	0.129037	
0.124825	0.160282	0.1108	0.132478	
0.085729	0.219444	0.122816	0.156082	
0.111868	0.178233	0.0846754	0.112937	
0.0653633	0.160898	0.129546	0.127805	
0.103687	0.114735	0.149236	0.143638	
0.114867	0.213045	0.0941725	0.128165	
0.144368	0.217423	0.112921	0.167006	
0.0895992	0.190253	0.112927	0.120023	
0.142848	0.117096	0.120679	0.170767	
0.113621	0.133444	0.11243	0.137312	
0.115897	0.148113	0.159509	0.11481	
0.140395	0.124706	0.0940127	0.113589	
0.109306	0.181526	0.117373	0.159213	
0.107197	0.165842	0.108491	0.102924	
0.121804	0.180876	0.161915	0.153702	
0.104449	0.16756	0.138198	0.142408	
0.100076	0.120313	0.154252	0.190975	
0.0902317	0.162504	0.108376	0.130806	
0.102503	0.155481	0.106679	0.146437	
0.131406	0.132551	0.121314	0.100121	
0.0740203	0.125435	0.0950563	0.09272	
0.0985025	0.200857	0.103736	0.156757	
0.0895494	0.159032	0.141581	0.149389	
0.103027	0.152914	0.1151	0.124886	
0.122784	0.173449	0.122414	0.121982	
0.123844	0.151088	0.167391	0.122346	
0.122917	0.156688	0.121023	0.137483	
0.129148	0.21083	0.127072	0.143205	
0.119541	0.135087	0.117596	0.159969	
0.141294	0.1859	0.135529	0.116534	
0.150252	0.135647	0.133381	0.195524	
0.125091	0.142725	0.12916	0.148474	
0.164192	0.113807	0.0950941	0.131671	
0.119768	0.104462	0.102277	0.162191	
0.124715	0.157903	0.180693	0.0949072	
0.0670532	0.177608	0.124575	0.120714	
0.12347	0.197917	0.108425	0.143388	
0.148356	0.224135	0.122227	0.163819	
0.107416	0.167724	0.125818	0.176682	
0.134804	0.149677	0.129628	0.138426	
0.123587	0.181191	0.130072	0.131289	
0.141328	0.106259	0.101331	0.17696	
0.0915581	0.133076	0.117785	0.207805	
0.147563	0.178143	0.0979946	0.119316	
0.134519	0.129135	0.1285	0.176143	
0.0959945	0.12671	0.109129	0.14149	
0.0958194	0.110948	0.121266	0.139456	
0.0988257	0.181176	0.124194	0.159899	
0.117711	0.158056	0.119496	0.141537	
0.0995795	0.21358	0.118815	0.157346	
0.0992979	0.182136	0.113586	0.132668	
0.111654	0.243222	0.126007	0.178097	
0.107256	0.165005	0.12138	0.135154	
0.14219	0.203451	0.146644	0.132697	
0.109409	0.131219	0.129142	0.167575	
0.113311	0.122428	0.131564	0.158642	
0.110966	0.174456	0.116237	0.14725	
0.120936	0.226402	0.12377	0.171176	
0.107581	0.193618	0.137035	0.0964372	
0.120015	0.169765	0.155213	0.108414	
0.109622	0.15642	0.132249	0.124894	
0.12553	0.217386	0.161423	0.146635	
0.114183	0.193938	0.115963	0.166989	
0.115311	0.188243	0.13751	0.165063	
0.141485	0.215789	0.120556	0.150514	
0.117496	0.123168	0.129318	0.177329	
0.0861132	0.127488	0.141406	0.14418	
0.067405	0.143897	0.0919522	0.189883	
0.0869314	0.238889	0.102661	0.176904	
0.090381	0.245136	0.107942	0.135873	
0.136475	0.118976	0.124519	0.206009	
0.162504	0.132034	0.127552	0.173552	
0.0962207	0.149726	0.130944	0.113692	
0.0775902	0.132465	0.108149	0.138173	
0.107369	0.154931	0.117226	0.136748	
0.114855	0.1264	0.12923	0.14063	
0.145573	0.197444	0.109823	0.119898	
0.104922	0.14204	0.148295	0.130614	
0.100219	0.196777	0.112233	0.156739	
0.108537	0.166481	0.146564	0.0987527	
0.131021	0.15406	0.133091	0.167128	
0.122867	0.163806	0.133618	0.163508	
0.0735678	0.177778	0.105703	0.153894	
0.124716	0.226898	0.118696	0.139083	
0.0731481	0.175237	0.140035	0.144133	
0.110631	0.17469	0.135918	0.157255	
0.114511	0.133333	0.107105	0.144396	
0.100113	0.093752	0.147531	0.0954703	
0.14522	0.166801	0.107575	0.177965	
0.142804	0.185769	0.125398	0.108519	
0.112642	0.150919	0.14303	0.154177	
0.110204	0.126345	0.133414	0.105992	
0.114685	0.230437	0.126741	0.162387	
0.143458	0.246641	0.129266	0.0952846	
0.119789	0.168648	0.127672	0.122321	
0.110765	0.128521	0.116651	0.152265	
0.0824965	0.158644	0.112275	0.160733	
0.129756	0.235252	0.118147	0.136721	
0.145256	0.148976	0.0945758	0.134995	
0.098473	0.23326	0.133874	0.152547	
0.1235	0.178625	0.148124	0.123814	
0.104842	0.103962	0.136434	0.184481	
0.136023	0.145232	0.105065	0.147392	
0.113803	0.167357	0.144026	0.129684	
0.140034	0.165695	0.109723	0.152612	
0.106171	0.216392	0.12023	0.14822	
0.12798	0.190997	0.149422	0.19133	
0.0910105	0.224876	0.122468	0.144589	
0.0982384	0.209941	0.138721	0.123185	
0.115692	0.194047	0.105699	0.118867	
0.138602	0.138969	0.110058	0.123498	
0.118027	0.168493	0.0875979	0.135758	
0.133755	0.155903	0.12615	0.159868	
0.0707232	0.142808	0.0864853	0.168474	
0.133137	0.17083	0.134517	0.154854	
0.098763	0.13878	0.13397	0.14251	
0.12356	0.158547	0.14225	0.152136	
0.140346	0.198977	0.104786	0.124667	
0.126766	0.152488	0.112182	0.133725	
0.151653	0.190029	0.110938	0.141671	
0.126706	0.133333	0.133459	0.165581	
0.106724	0.205174	0.147591	0.127599	
0.103269	0.119611	0.148366	0.140292	
0.0803858	0.186333	0.129869	0.11569	
0.169546	0.127337	0.120604	0.118757	
0.134465	0.195513	0.12249	0.123852	
0.131989	0.199013	0.0902297	0.149474	
0.115528	0.173684	0.106118	0.114431	
0.120754	0.146191	0.145405	0.125151	
0.105616	0.137444	0.0992787	0.125593	
0.14682	0.172434	0.117314	0.150411	
0.11953	0.169931	0.133538	0.153721	
0.155941	0.159861	0.12276	0.155712	
0.0976054	0.198031	0.130434	0.17696	
0.0983022	0.191808	0.0904393	0.182521	
0.130552	0.131662	0.11661	0.142219	
0.112384	0.110644	0.145217	0.134139	
0.0948025	0.149717	0.083471	0.113875	
0.157357	0.15436	0.134704	0.166282	
0.0869275	0.156844	0.123424	0.144165	
0.126241	0.15298	0.103316	0.155686	
0.138922	0.224271	0.126633	0.12964	
0.0672363	0.185343	0.122504	0.113898	
0.14418	0.212542	0.112138	0.150777	
0.0837229	0.175202	0.135676	0.112576	
0.11852	0.181875	0.114441	0.185785	
0.115334	0.182871	0.10724	0.119093	
0.123075	0.147505	0.12085	0.17486	
0.109955	0.233333	0.113442	0.126876	
0.152148	0.170276	0.0974919	0.125992	
0.13413	0.160567	0.0844279	0.127532	
0.130584	0.140943	0.118431	0.139194	
0.0820143	0.144326	0.129317	0.131364	
0.126548	0.188889	0.129763	0.120655	
0.0962384	0.174939	0.136505	0.154493	
0.117027	0.167534	0.11982	0.148174	
0.118958	0.174005	0.124621	0.156739	
0.126558	0.203485	0.133043	0.140871	
0.141905	0.160898	0.120596	0.16572	
0.117812	0.196846	0.118791	0.179897	
0.140102	0.230137	0.0995886	0.152723	
0.104407	0.127728	0.114346	0.150725	
0.115364	0.135628	0.123717	0.139968	
0.121669	0.131471	0.112753	0.128745	
0.154374	0.165295	0.116708	0.186709	
0.120656	0.166133	0.145938	0.138428	
0.108222	0.188333	0.113664	0.141475	
0.135076	0.16653	0.10657	0.119614	
0.0949828	0.135982	0.15483	0.155456	
0.11791	0.131659	0.133109	0.163309	
