Q[0]	Q[1]	Q[2]	Q[3]	
0.16	0.333333	0.366197	0.2	
0.386364	0.375	0.285714	0.0740741	
0.283019	0.411765	0.218045	0.291667	
0.0714286	0.428571	0.356061	0.222222	
0.210526	0.352941	0.198276	0.190476	
0.186047	0	0.248	0.0645161	
0.0625	0.4	0.227273	0.315789	
0.131579	0.176471	0.228571	0.0740741	
0.214286	0.571429	0.223214	0.25	
0.205128	0	0.319588	0	
0.0487805	0.3	0.190083	0.321429	
0.196078	0.3	0.264706	0.333333	
0.339286	0	0.22695	0.444444	
0.0434783	0.307692	0.141593	0.151515	
0.145833	0.125	0.243478	0.25	
0.435897	0.666667	0.350427	0.181818	
0.354167	0.363636	0.251748	0.111111	
0.285714	0.2	0.242857	0.16	
0.125	0.5	0.255814	0.212121	
0.46875	0.266667	0.266129	0	
0.1875	0	0.349315	0.192308	
0.217391	0	0.315068	0.152174	
0.119048	0.222222	0.217054	0.444444	
0.222222	0	0.253086	0.153846	
0	0.461538	0.138365	0.24	
0.268293	0.6	0.348387	0.52381	
0.0714286	0	0.183206	0.105263	
0.139535	0.384615	0.118182	0.18	
0.148936	0	0.252033	0.166667	
0.309524	0.7	0.298137	0.4	
0.0769231	0	0.165414	0.142857	
0.444444	0.65	0.192982	0.210526	
0.1875	0.428571	0.347826	0.105263	
0.263158	0.428571	0.321168	0.266667	
0.08	0.176471	0.219697	0.454545	
0.177778	0.2	0.177966	0.416667	
0.0714286	0.428571	0.224299	0.206897	
0.5	0.285714	0.122302	0.111111	
0.133333	0.625	0.25	0.238095	
0.114286	0	0.156522	0.296296	
0	0	0.149606	0	
0.381818	0.304348	0.357143	0.314286	
0.333333	0	0.235294	0.2	
0.210526	0.285714	0.207407	0.421053	
0.125	0.545455	0.261146	0.318182	
0	0.333333	0.318182	0.333333	
0.236842	0.363636	0.17931	0.08	
0.189189	0.222222	0.285714	0.363636	
0.211538	0.384615	0.373016	0.391304	
0.207547	0	0.21875	0	
0.373134	0.3	0.172131	0.151515	
0.30303	0.6875	0.221374	0.291667	
0.142857	0.285714	0.168317	0.333333	
0.390244	0.666667	0.216	0.291667	
0.193548	0.25	0.233333	0.25	
0	0.375	0.263158	0.37931	
0.304348	0.384615	0.277372	0.222222	
0.333333	0.5	0.242236	0.0769231	
0.148936	0.4	0.353982	0.222222	
0.121951	0	0.0754717	0.0769231	
0.1875	0.512821	0.111888	0.142857	
0.230769	0.285714	0.2	0.44	
0.241379	0.5	0.201493	0.24	
0.342857	0.526316	0.184049	0.166667	
0.333333	0.363636	0.308271	0.12	
0.0454545	0.5	0.213793	0.47619	
0.0882353	0.37931	0.171171	0.233333	
0.205882	0.428571	0.153846	0.225806	
0.230769	0.5	0.25	0.380952	
0.208333	0.222222	0.298246	0.307692	
0.181818	0.4	0.303448	0.444444	
0.365854	0.305556	0.185185	0.272727	
0	0	0.31677	0.16	
0.23913	0.375	0.239264	0	
0.354167	0.666667	0.143713	0.181818	
0.204545	0.181818	0.2	0.272727	
0.0769231	0	0.308642	0.242424	
0.170732	0.444444	0.308108	0.208333	
0.225806	0.375	0.198413	0.216216	
0.188679	0.357143	0.25	0.181818	
0.25	0.565217	0.261146	0.257143	
0.193548	0.333333	0.317829	0	
0.365854	0.25	0.324176	0.391304	
0.148148	0.375	0.279412	0.193548	
0.184211	0.333333	0.264706	0.190476	
0.27451	0.2	0.206897	0.166667	
0.0606061	0.777778	0.198276	0.307692	
0.0540541	0.25	0.149068	0.125	
0.0701754	0.2	0.212329	0.222222	
0.222222	0.307692	0.324561	0.148148	
0.169811	0.791667	0.203704	0.137931	
0.243243	0.333333	0.226415	0.391304	
0.324324	0.25	0.185567	0.166667	
0.27907	0	0.20354	0	
0.315789	0.272727	0.104575	0.266667	
0.0487805	0	0.190476	0.185185	
0.219512	0	0.346154	0.333333	
0.396825	0.533333	0.257353	0.290323	
0.292683	0.230769	0.269841	0.08	
