ZnA[0]	ZnA[1]	ZnA[2]	ZnA[3]	
0.233457	0.312429	0.34056	0.185385	
0.399736	0.376417	0.339221	0.176206	
0.272506	0.45905	0.231522	0.270178	
0.147758	0.514991	0.303678	0.202846	
0.179653	0.34327	0.205589	0.222028	
0.168911	0.0123457	0.249351	0.160386	
0.0852275	0.436177	0.253855	0.324181	
0.159604	0.369399	0.258832	0.162682	
0.172423	0.526749	0.233408	0.257179	
0.254408	0.0843621	0.334075	0.200044	
0.0436873	0.330051	0.208804	0.329984	
0.18634	0.259259	0.259617	0.344295	
0.357803	0.107143	0.246316	0.368934	
0.120351	0.331538	0.158523	0.231478	
0.12766	0.141204	0.205911	0.351287	
0.321787	0.719499	0.319553	0.253241	
0.328675	0.278935	0.258874	0.192416	
0.266784	0.168871	0.257769	0.204238	
0.172616	0.568713	0.254614	0.379741	
0.466902	0.302249	0.266289	0.12338	
0.144925	0.104448	0.408702	0.263592	
0.17755	0.101509	0.339285	0.244818	
0.150294	0.364666	0.243653	0.35422	
0.254756	0.0641975	0.285058	0.18789	
0.0962042	0.298391	0.173663	0.339063	
0.239186	0.458162	0.324071	0.420513	
0.13286	0.14892	0.200414	0.170443	
0.180361	0.483025	0.116518	0.190545	
0.198812	0.0449735	0.268504	0.204037	
0.302874	0.595336	0.338767	0.473548	
0.132937	0.140138	0.178343	0.242157	
0.399633	0.814536	0.214158	0.275669	
0.193297	0.549405	0.373446	0.144682	
0.231106	0.374486	0.316528	0.23344	
0.114352	0.235796	0.243057	0.442964	
0.180251	0.182414	0.211628	0.327828	
0.0930912	0.429343	0.276965	0.250663	
0.435682	0.261317	0.157573	0.200042	
0.147366	0.638117	0.301397	0.243536	
0.113362	0.177331	0.223998	0.276006	
0.0714047	0.0200617	0.17673	0.0509589	
0.349511	0.376503	0.362341	0.264208	
0.302914	0.226466	0.269876	0.197274	
0.163587	0.259994	0.241309	0.343337	
0.152294	0.410494	0.253755	0.358018	
0.0409636	0.240079	0.343372	0.336517	
0.28139	0.444444	0.219195	0.195341	
0.157684	0.157848	0.287271	0.213994	
0.201101	0.393004	0.386595	0.344017	
0.246516	0.169501	0.236815	0.284742	
0.397105	0.3592	0.170555	0.185495	
0.310334	0.63955	0.23492	0.273045	
0.220996	0.31961	0.187122	0.283749	
0.400836	0.683085	0.26754	0.274157	
0.159281	0.236214	0.24957	0.251173	
0.0410032	0.314689	0.278715	0.324847	
0.286399	0.346083	0.310713	0.21211	
0.243853	0.513889	0.277721	0.0888091	
0.190748	0.446429	0.331823	0.26443	
0.19272	0.188988	0.0964144	0.130371	
0.227029	0.572344	0.139839	0.218376	
0.240873	0.273504	0.19285	0.397848	
0.267073	0.461618	0.217252	0.290472	
0.282502	0.472737	0.199385	0.178421	
0.332135	0.418871	0.353238	0.203282	
0.161814	0.41407	0.214526	0.358649	
0.151234	0.522077	0.181007	0.285756	
0.194535	0.453704	0.162929	0.256585	
0.221407	0.582782	0.273381	0.314783	
0.270964	0.247432	0.290656	0.229274	
0.190421	0.259259	0.2758	0.41237	
0.338565	0.505187	0.252118	0.262618	
0.0825042	0.0758377	0.368	0.199342	
0.211723	0.326814	0.250019	0.226774	
0.355737	0.537037	0.188641	0.197322	
0.210732	0.28858	0.193584	0.222284	
0.0711149	0.0380658	0.330313	0.333606	
0.205265	0.448224	0.290806	0.258953	
0.268175	0.394121	0.222597	0.280054	
0.216989	0.431624	0.305041	0.195604	
0.279322	0.595869	0.270241	0.267998	
0.257718	0.38346	0.334308	0.103713	
0.356424	0.339692	0.341622	0.324493	
0.128676	0.472957	0.29108	0.330591	
0.226421	0.224186	0.285865	0.142479	
0.298295	0.239418	0.184635	0.17902	
0.135877	0.767611	0.206153	0.35077	
0.0967258	0.246032	0.225258	0.173876	
0.167051	0.197058	0.262025	0.287863	
0.148184	0.35481	0.319837	0.197296	
0.217598	0.785293	0.174152	0.21306	
0.277533	0.407407	0.215169	0.367333	
0.227284	0.424198	0.197504	0.241258	
0.300866	0.0338404	0.237073	0.106129	
0.292395	0.367914	0.160474	0.2612	
0.0686716	0.135802	0.212889	0.206858	
0.223912	0.0365961	0.323906	0.238121	
0.397811	0.455737	0.246939	0.271656	
0.273317	0.254115	0.237834	0.145293	
0.180162	0.518849	0.145786	0.200555	
0.326141	0.167549	0.249244	0.319261	
0.348722	0.367284	0.305547	0.154081	
