D_Dmin[0]	D_Dmin[1]	D_Dmin[2]	D_Dmin[3]	
-0.0115677	-0.372604	-0.19321	-0.120456	
-0.161818	-0.308256	0.107743	0.239457	
0.17873	-0.131298	-0.121642	-0.170904	
-0.125224	0.0738117	-0.403659	-0.479783	
0.304594	0.538326	-0.184135	-0.201611	
-0.117636	0.0537029	0.132131	0.251321	
-0.410415	-0.553584	0.0232423	0.120815	
0.109779	-0.45304	-0.07992	-0.0858682	
0.388344	0.612185	0.0546716	-0.0874183	
0.0465652	-1	0.0137483	-0.0597222	
-0.130889	0.263112	0.34054	-0.108586	
0.189848	-0.734563	-0.141005	-0.114005	
0.0212877	-0.110615	-0.162425	-0.1306	
-0.372489	0.556424	0.0208922	0.0493876	
-0.0954038	0.339248	-0.379902	-0.28882	
-0.586152	-0.034776	0.0602	-0.225494	
-0.164252	-0.429915	0.260232	-0.0154481	
-0.0331756	0.692158	-0.29567	-0.0937205	
0.254276	0.689142	-0.119243	0.224329	
-0.248449	0.334078	-0.0834329	-0.263025	
0.23658	-0.746629	-0.044859	0.203341	
-0.0403968	-0.263492	-0.0907888	-0.034037	
-0.0299249	-0.842054	0.351639	-0.316173	
0.213978	-0.284599	-0.289293	-0.188734	
-0.146393	-0.574166	-0.0474894	0.138961	
-0.135029	0.110008	-0.160097	-0.42516	
0.0256473	0.158269	0.395784	0.0884022	
-0.20756	0.235487	0.146258	-0.0173673	
-0.221639	-0.638041	0.280474	0.438518	
-0.313329	0.142182	-0.132331	-0.157743	
-0.181997	-0.0589066	-0.164719	0.108094	
0.138242	-0.508995	-0.0187599	-0.350541	
-0.48599	-0.662172	-0.237184	-0.416562	
-0.199453	0.59729	-0.178475	0.149098	
-0.293908	-0.44314	0.148766	0.0338115	
-0.152943	0.0134852	-0.0922392	-0.159388	
0.0310618	0.277502	0.00104135	-0.20512	
0.0158717	-0.0175398	0.413438	-0.184862	
0.0328197	0.0778335	0.00125874	-0.0836304	
0.0777832	-0.869228	0.0376895	0.01334	
-0.0249994	-0.312278	-0.096067	0.177843	
0.237068	-0.907865	0.102519	-0.252396	
0.30448	-0.218169	0.0884506	0.441706	
0.0707389	-0.131298	0.00616018	0.0907223	
0.442391	-0.517388	-0.258849	-0.136784	
0.00916863	-0.372604	-0.220779	0.156641	
