FFn[0]	FFn[1]	FFn[2]	FFn[3]	
0.91062	-0.676044	0.754014	-1.43421	
0.526801	0.572686	1.10714	-0.443109	
-0.096066	0.178123	0.0455173	0.397361	
0.0529073	1.02454	0.268566	-0.123223	
-0.838546	0.264778	0.163374	-0.312528	
-0.822341	-1.71902	0.092839	-0.00297868	
-0.628029	0.78738	-0.102572	-0.658472	
0.0321866	0.563254	0.681042	0.316507	
-2.07883	-1.73384	0.031089	-0.346902	
0.780687	-1.15064	0.360708	-0.122035	
-3.38793	0.0542152	-0.362299	-0.229436	
0.0454372	-2.03307	0.237045	0.871671	
1.42699	1.00958	0.0523579	0.388851	
0.949789	0.0337703	0.0513708	-0.197495	
-0.950051	-0.508861	-0.597266	-0.188044	
-0.219082	1.42974	-1.1988	0.473059	
0.293777	0.747969	0.766488	0.243161	
-0.265941	-0.828718	-0.155433	-0.069227	
0.538508	1.00287	-0.926806	1.00245	
0.128847	-0.71233	-1.02745	-0.197817	
-1.43688	-0.828718	0.752508	-0.659235	
-1.81815	-0.313674	0.753957	0.692975	
-0.67743	1.03964	-0.200098	0.262248	
0.96171	-0.919281	0.698684	-0.887566	
0.680907	-0.0890309	0.268275	-0.204037	
-0.736727	-0.232351	-0.0016282	0.288268	
-0.216355	-0.740176	-0.113334	-0.61155	
0.0466361	0.887239	-0.601175	-1.0935	
-0.206426	-0.399947	-0.291806	0.624332	
-0.415833	-0.290439	-0.324509	1.10763	
-1.14822	-0.122801	-0.0565563	1.08381	
0.99756	1.73845	0.0608577	0.208776	
0.132009	0.104953	0.861954	-0.0109485	
0.208535	-0.535914	0.40653	-1.98289	
-0.675001	0.0120353	0.134511	0.630289	
0.613397	-1.967	-0.129944	-0.279261	
-1.05265	-1.80796	0.705896	0.117347	
1.03593	-0.131351	0.28965	-0.0443604	
0.211974	-2.08124	0.745916	-0.901907	
-1.67643	0.643331	0.999652	-0.135646	
0.114449	-0.961786	-0.331509	-0.930755	
0.688247	-1.53349	0.720417	0.453258	
-0.554426	-0.751088	-0.0340337	-0.959624	
-1.03573	-0.767092	0.497643	-0.489553	
-0.796455	-2.12993	-0.121303	0.858615	
-0.447964	0.638721	0.51352	-0.0570827	
-0.288663	1.31429	-0.330719	-0.502806	
-0.964648	-1.15421	0.305389	-1.32048	
0.385	0.0153501	0.920195	0.0144343	
0.542666	-0.162876	0.570556	0.699046	
1.2512	0.429849	-0.0942328	-0.525092	
0.692577	0.926126	-0.451035	0.253554	
-0.561456	0.215846	-0.0148088	0.328226	
0.510443	1.26575	0.329996	-0.643346	
-0.398811	-1.98965	0.540463	0.132199	
-1.13647	0.0985772	-0.339716	0.154348	
-0.143778	-1.23108	-1.26337	-1.25688	
-1.11135	1.31844	0.686798	-1.19435	
-1.22599	1.54953	0.33081	0.256305	
0.412403	0.233389	-0.550173	-0.168614	
-0.251613	1.2533	-0.157328	0.818321	
-0.226859	-0.0315928	-0.147774	0.878089	
0.606713	0.232961	0.0661287	0.24776	
0.0220727	-0.0890857	0.178196	-0.0290137	
0.270034	0.322361	0.40338	-0.33399	
0.557641	-0.52279	0.330163	0.161259	
-0.370315	0.679981	-0.145716	-0.438283	
0.0183472	1.05606	-1.12704	-0.133048	
-1.08747	1.56453	0.974865	0.0784887	
0.9814	-0.431663	-0.249227	-0.991779	
0.808519	-2.17902	-0.177802	0.657192	
0.496844	1.02474	-0.731932	-0.294669	
0.336515	-1.00285	0.374965	-1.08456	
-1.26311	0.8027	0.397686	-0.198143	
-0.410274	0.337648	-0.168087	0.274812	
-2.04582	-0.776463	0.0368649	-0.656266	
-1.05071	-0.379052	0.577361	0.173159	
0.265184	0.712897	0.0214716	-0.435205	
0.578094	0.249342	-0.0111568	-0.160396	
0.874088	1.43891	-0.02084	-0.0519544	
0.690872	1.23516	0.596611	1.08445	
0.390972	1.07499	0.377686	-0.425817	
1.11814	0.592607	0.653051	-0.412033	
-0.350758	0.526671	0.753328	0.577864	
1.17752	-0.715563	0.693177	-1.49271	
0.751332	-0.0929404	-0.25741	-0.750842	
-0.0078833	-2.58998	-0.434514	0.622936	
-0.779493	0.924748	0.302043	-0.567659	
-0.245777	-1.41117	-0.0153277	0.216873	
-1.03047	0.841188	-0.413973	-0.180861	
0.589013	-2.64296	-1.10109	-0.150119	
-0.113141	0.250713	-0.503909	-0.215202	
-1.49218	1.16884	0.026586	0.214449	
-0.962703	-0.795516	-0.37297	-0.534069	
-1.11738	0.487334	0.313109	0.0880662	
-0.81168	-1.45268	-0.0764239	-0.288247	
0.326538	-1.48945	0.218437	-0.691694	
-1.39814	-1.72686	0.188221	0.046666	
0.00205569	-0.623216	0.269117	-0.539242	
