H_norm[0]	H_norm[1]	H_norm[2]	H_norm[3]	
0.550062	0.02524	0.25851	-0.0482709	
-0.982281	0.541912	-0.00184171	-0.504981	
-0.11561	-0.663006	0.25287	-0.088993	
-0.242245	0.491332	-0.172159	0.33515	
-0.435875	0.636486	-0.662152	0.254337	
-0.0695459	0.515696	-0.287277	0.347653	
-0.859726	-0.0920831	-0.119881	-0.420723	
0.83039	-0.875168	0.44247	0.295599	
-1.10396	-4.69495	-0.436834	0.328589	
0.203475	0.764294	0.271417	0.469286	
0.332247	0.908468	0.407249	0.232402	
0.418892	0.454234	0.267543	0.0821474	
0.257254	0.773543	0.502969	0.0492664	
0.435933	-0.865889	0.0947635	0.815649	
0.175536	0.0558786	-0.0763013	0.152858	
-0.905539	-0.0757199	-0.731274	-0.473387	
0.0371572	0.305807	0.426885	0.837875	
-0.560377	0.949762	0.300056	0.791996	
-0.0130262	0.161145	-0.338167	0.174415	
0.182366	0.472341	-0.384343	-0.209382	
0.392646	-0.908468	-0.259277	0.197515	
-0.269292	0.867174	0.0407626	0.327882	
0.528007	1.078	-0.191892	-0.221699	
0.642234	0.612934	0.423444	-0.458744	
0.797804	0.299731	0.702377	-0.164999	
-2.07803	-0.784586	-0.0986402	-0.493259	
-0.333708	-0.420122	0.508805	0.664743	
0.177413	0.432944	0.745146	-0.216042	
-0.253498	-0.0612934	-0.0777924	-0.211674	
-0.436621	0.82588	-0.609119	0.175333	
0.470884	0.632765	0.212981	0.67933	
-0.188182	0.115104	0.363498	-0.531458	
0.454055	-1.54368	-0.477274	-0.504868	
0.612453	0.436739	-0.120168	-2.61968	
0.499175	0.609966	0.145985	-0.00739667	
0.489839	-0.265692	0.506937	-0.615542	
-0.0692601	-0.308736	-0.185356	0.692679	
0.626179	0.655109	0.849699	0.440987	
0.325486	-2.82187	-0.40893	-0.262044	
-0.459678	0.770223	0.419868	0.511139	
1.00613	0.696677	-0.0455505	-0.0655982	
0.223309	-2.726	0.169173	-0.2527	
0.535755	-0.134749	0.186558	0.643612	
0.354745	0.109185	0.192233	-0.370236	
-0.435636	-2.17888	0.267024	-0.147933	
0.735306	1.04199	-0.265427	-0.955689	
-0.876523	0	-0.255305	-0.574197	
0.308108	0.943246	0.248478	-0.53399	
0.0558752	0.666068	-0.259213	-0.0142208	
0.133126	0.436739	0.401138	-0.226902	
0.230207	-0.991056	0.548091	-0.38474	
-0.132104	-0.307332	-0.164897	0.21906	
0.333708	0.198473	0.240465	0.539502	
-0.89143	-0.916071	-0.0952406	0.143758	
0.760304	-1.45284	0.199477	0.0655494	
-0.0134059	-0.443382	-0.0362288	-0.034634	
-0.0519921	-0.266427	-1.75772	-0.0970171	
-0.504889	0.409768	0.306989	0.471487	
-0.452115	0.420122	0.11749	-0.291051	
0.692675	0.76358	0.79519	-0.00637144	
-0.00768769	0.352065	0.276521	0.4946	
-0.0621296	0.970192	0.428078	0.501597	
-0.0305063	-0.328119	-0.326594	-0.171599	
-0.0343043	0.0963152	-0.2217	0.403891	
-0.01816	0.46559	-0.68725	-0.316798	
0.527958	0.20647	-0.0797197	0.739888	
-0.523064	-0.198139	0.0152701	-0.117537	
0.813655	0.436739	-0.219714	0.93975	
-1.34666	0.0729082	0.0667255	0.192679	
-0.0845646	0.757199	-0.836257	-0.433258	
0.723855	0.700203	0.0134548	-0.229313	
0.434591	0.663556	0.0815096	-0.0707225	
0.794021	0.245174	-0.20557	-0.481798	
0.389274	1.13309	0.0351001	0.476397	
-0.377978	0.0995253	0.00878885	0.147933	
-2.33552	-1.26145	0.296713	-0.184917	
0.802745	0.737582	-1.02888	0.318052	
0.803919	1.12291	-0.924532	-0.28067	
0.660718	0.447029	0.109549	0.147728	
-0.802261	0.406855	0.190406	0.73227	
0.135844	-1.11888	0.0849622	-0.189525	
-0.165188	0.96097	0.304614	0.829747	
-0.00148325	0.759686	0.0815889	0.284416	
-0.693811	0.223514	-0.257457	0.135802	
0.104992	0.889787	0.268915	0.46243	
0.43342	0.82588	0.156341	0.564463	
-0.665947	-1.61536	0.0355321	-0.923859	
0.546117	0.591177	-0.0291503	0.595568	
-1.46893	0.797075	-0.0738404	-0.291051	
0.450977	-0.865889	-1.2648	-0.646622	
0.442587	-4.9354	-0.0801977	0.767719	
-1.36285	-0.245174	0.513247	0.604384	
-0.159759	0.246324	0.590058	-0.00684561	
-0.482564	0.840243	-0.447232	0.127987	
-0.696764	0.0211632	0.471737	-0.940298	
0.560667	0.0700203	0.350247	-0.751313	
0.0237319	0.853413	0.0892247	-1.18184	
-2.56952	0.383777	0.290041	-0.00543208	
-0.102344	0.0333034	0.185152	0.158399	
0.536497	-0.0700203	-0.103731	0.400773	
0.770132	0.689706	-0.619829	0.362237	
-0.62605	-0.280081	-0.234377	0.53746	
0.893608	0.177957	0.400874	0.711944	
0.16087	0.889787	0.363564	0.908121	
-0.56227	0.122587	0.152633	0.555115	
-0.293796	-2.03059	0.486671	0.197515	
-0.315299	0.693488	0.209043	-1.07727	
0.175716	-0.0755258	-0.386383	0.448254	
0.216135	0.991056	-0.103143	-0.352789	
0.79103	-1.41702	-0.9087	0.929104	
-0.538532	-0.295213	-0.0318426	0.214758	
0.0652361	0.883398	-0.307017	-0.0974675	
0.753693	0.575519	-0.833969	-0.317478	
0.685365	-2.87153	-0.601481	0.495577	
0.119222	-0.312965	0.137458	0.631988	
0.354464	0.650985	0.119182	-0.656328	
-0.345183	-0.304184	-0.888354	-0.634956	
0.391417	-2.83767	-0.0867794	-0.162727	
-0.176022	0.257848	-1.21479	-0.656623	
-0.229906	0.980695	-0.317308	0.656328	
