thetaL[0]	thetaL[1]	thetaL[2]	thetaL[3]	
4.82759	2.44444	41.087	6.45455	
5.65517	4	26	11.4545	
8.62069	8.77778	32.087	6.63636	
9.44828	0.888889	29.5217	6.36364	
10.5517	12.7778	29.1304	6.18182	
6.27586	6.33333	47.4348	4.90909	
8.72414	2.44444	29.1739	5.36364	
10.1379	5.88889	29.2174	8.09091	
11.4138	5.66667	50.1739	12.4545	
12.069	2.66667	30.0435	8	
18.5862	14.3333	34.8261	5.81818	
4.03448	3.22222	27.7391	12.1818	
6.37931	5.77778	37	7.72727	
10.931	2.44444	35.4348	6.81818	
5.41379	3.22222	29.087	8.09091	
16.1724	3.88889	27.5652	7.63636	
9.68966	5.11111	20.8261	9.27273	
10.2069	8.33333	52.6087	3	
4.13793	2	36.1304	9.54545	
14.7241	4.11111	34.8261	5.72727	
4.58621	12.3333	17.5217	11.0909	
11.1724	5	38.4783	9.36364	
12.2414	6.77778	25.7391	7.72727	
7.13793	4.77778	34.6957	6.72727	
7.86207	1.77778	47.8261	10.5455	
7.65517	1.33333	32.5652	11.0909	
13.3103	6.77778	45.6087	5.90909	
12.4828	3.11111	42.4348	11.3636	
8.41379	2	42.1304	6.36364	
6.31034	3.66667	40.2609	11.0909	
5.24138	8.44444	31.6957	8.63636	
8.03448	13.6667	53.4783	9.45455	
5.93103	3.44444	30.3043	6.09091	
8.86207	6.11111	25.9565	7.36364	
11.1724	13.3333	42.8696	9.81818	
8.62069	5.66667	29.6087	6	
7.48276	6.22222	41.4348	7.27273	
8.51724	1.55556	45.5652	7.63636	
5.41379	1.44444	27.6522	10.4545	
6.2069	5.66667	20.3043	11.5455	
8.10345	8.33333	32	10.1818	
8.34483	4.88889	51.2609	7.90909	
11.4138	1.11111	42.0435	5.90909	
13.931	4.33333	23.4783	7.90909	
11.7241	5.11111	42.3913	11.0909	
10.1379	3.11111	37.2174	10.5455	
10.5172	1.66667	41.087	9.27273	
9.58621	7.66667	30.1739	9.18182	
12.2414	4.22222	24.9565	7.90909	
7.82759	4.11111	28.913	10.6364	
2.03448	4.11111	22.7826	9.54545	
3.75862	6	33.3478	12	
13.2069	5.11111	28.5652	7.18182	
6.17241	2.77778	48.0435	7.36364	
19.3448	4.22222	23.7391	9.63636	
15.6897	5.11111	38	6.63636	
8.58621	7	17.4783	6.72727	
8.27586	2.88889	33.0435	6	
12.8276	4.44444	30.0435	7.36364	
11.8966	10.7778	30.9565	7.27273	
8.03448	2.22222	40	8.81818	
8.13793	5.33333	36.087	6.63636	
15.069	2	40.2609	6.54545	
8.41379	4.22222	35.6957	11.5455	
7.2069	5.77778	29.087	7.81818	
6.55172	10	25.913	6.90909	
5.7931	4.22222	35.6522	7.27273	
4.72414	5.22222	38.7391	10.4545	
4.65517	2.22222	45.087	8.45455	
10	0.888889	26.1739	10	
4.68966	1.77778	31.6522	6.36364	
18.3793	6.77778	39.3913	14.4545	
10.6897	3.11111	31.3478	5.54545	
10.3448	2.44444	33.5217	7.72727	
7.34483	4.22222	48.4783	10	
15.7241	7.44444	41.7391	12.6364	
14.1034	5.77778	33.0435	2.27273	
10.8966	3.44444	29.7391	8.18182	
8.7931	2.55556	32.4348	8	
9.13793	2.88889	40.9565	7.45455	
8.51724	7.77778	28.6522	8	
16.5517	3.66667	20.5217	6.18182	
5.31034	7.11111	24.3043	10.4545	
8.96552	5.55556	46.8696	8.90909	
7.06897	2.11111	42	11.8182	
13.6897	7	28.7391	9.72727	
15.7931	4.77778	29.8696	12.1818	
9.65517	5.22222	29.3043	10.3636	
7.2069	2.77778	28.5652	4.81818	
9.37931	6	40.6087	10	
10.6552	8.22222	23.913	9.63636	
10.5862	8.22222	37.4783	5.90909	
14.5517	3.22222	30.3043	5.09091	
11.069	5.44444	28.1304	7.72727	
12.3793	5.44444	29.087	7.81818	
10.5517	7.11111	27.087	11.9091	
11.1724	7.22222	14.8261	7.72727	
16.7586	2.88889	51.4348	10.5455	
6.62069	3.44444	41	7.36364	
10.6552	2.77778	36.9565	13.5455	
10.3103	4.44444	28.6957	6.09091	
9.13793	6.33333	30.5652	9.27273	
16.5862	6.66667	28.3913	8.90909	
17.2759	0.666667	42.7391	15.2727	
8.96552	9.33333	37.1304	7	
6.03448	3.55556	43.6087	9.81818	
12.6897	4.11111	35.7826	6.09091	
12.8276	3.66667	34.3913	7.90909	
9.34483	1.33333	23.6957	9.27273	
8.65517	13.1111	16.4348	10	
8.86207	2.44444	30.5217	5.36364	
10.3448	2	35.3913	6.81818	
6.13793	2.55556	35.4783	9.27273	
17.4138	4.55556	37.7826	7.54545	
8.93103	2.88889	36.3913	8.18182	
17.2414	3.11111	37.7826	7.72727	
5.41379	6.22222	33	9.27273	
8.41379	2.88889	32.3913	13.6364	
7.86207	6.44444	30.087	11.9091	
14.9655	1.11111	31.087	10.2727	
6.75862	3.22222	20.3913	5	
12.8621	0.555556	41.1304	9.81818	
5.75862	3.33333	40	6.63636	
11.8966	0.777778	34.0435	8.72727	
11	13.7778	37.3913	7.36364	
6.96552	7.88889	22.5652	9.72727	
14.7586	8.66667	27.5217	14	
7.03448	4.77778	32.8696	4.09091	
11	11.8889	18.5652	9.27273	
6	1.88889	24.4348	9.45455	
13.1379	5.22222	35.6087	4.18182	
6.72414	7.88889	32.8696	5.81818	
15.1034	4.33333	46.3478	9.18182	
